"X1";"X288";"X32";"X46";"X4";"X2";"X36";"X19";"X61";"X64";"X18";"X11";"X14";"X29";"X22";"X37";"X59";"X3";"X58";"X56";"X52";"X15";"X12";"X1.1";"X51";"X43";"X54";"X28";"X25";"X23";"X30";"X13";"X20";"X35";"X44";"X26";"X48";"X55";"X27";"X49";"X21";"X57";"X38";"X39";"X45";"X6";"X31";"X33";"X7";"X8";"X41";"X5";"X42";"X47";"X40";"X24";"X50";"X16";"X10";"X62";"X34";"X17";"X63";"X9";"X60";"X53"
1;288;32;46;4;2;36;19;61;64;18;11;14;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;26;48;55;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;40;24;50;16;10;62;34;17;63;9;60;53
32;46;4;2;36;19;61;64;26;11;14;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;18;48;55;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;40;24;50;16;10;62;34;17;63;9;60;53;1;288
1;288;32;46;4;2;36;19;61;64;26;11;14;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;18;48;55;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;40;24;50;16;10;62;34;17;63;9;60;53
32;46;4;2;36;19;61;64;26;40;14;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;18;48;55;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;24;50;16;10;62;34;17;63;9;60;53;1;292
1;292;32;46;4;2;36;19;61;64;26;40;14;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;18;48;55;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;24;50;16;10;62;34;17;63;9;60;53
32;46;4;2;36;19;61;64;26;40;14;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;18;48;55;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;24;50;16;34;62;10;17;63;9;60;53;1;292
1;292;32;46;4;2;36;19;61;64;26;40;14;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;18;48;55;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;24;50;16;34;62;10;17;63;9;60;53
32;46;4;2;36;19;61;55;26;40;14;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;18;48;64;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;24;50;16;34;62;10;17;63;9;60;53;1;288
1;288;32;46;4;2;36;19;61;55;26;40;14;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;18;48;64;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;24;50;16;34;62;10;17;63;9;60;53
32;46;4;2;14;19;61;55;26;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;18;48;64;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;24;50;16;34;62;10;17;63;9;60;53;1;264
1;264;32;46;4;2;14;19;61;55;26;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;18;48;64;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;24;50;16;34;62;10;17;63;9;60;53
32;46;4;2;14;19;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;18;48;64;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;24;50;16;34;62;10;17;63;9;60;53;1;276
1;276;32;46;4;2;14;19;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;25;23;30;13;20;35;44;18;48;64;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;24;50;16;34;62;10;17;63;9;60;53
