"X1";"X280";"X53";"X62";"X20";"X58";"X27";"X12";"X48";"X33";"X21";"X59";"X36";"X15";"X25";"X46";"X57";"X47";"X28";"X52";"X18";"X24";"X56";"X29";"X37";"X54";"X32";"X22";"X26";"X40";"X2";"X8";"X16";"X11";"X44";"X19";"X51";"X45";"X3";"X17";"X49";"X42";"X50";"X13";"X60";"X55";"X30";"X63";"X14";"X4";"X9";"X35";"X7";"X1.1";"X6";"X31";"X10";"X38";"X39";"X64";"X43";"X23";"X34";"X5";"X41";"X61"
1;280;53;62;20;58;27;12;48;33;21;59;36;15;25;46;57;47;28;52;18;24;56;29;37;54;32;22;26;40;2;8;16;11;44;19;51;45;3;17;49;42;50;13;60;55;30;63;14;4;9;35;7;1;6;31;10;38;39;64;43;23;34;5;41;61
53;62;20;58;27;12;48;33;21;59;36;15;25;46;57;47;28;52;31;24;56;29;37;54;32;22;26;40;2;8;16;11;44;19;51;45;3;17;49;42;50;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61;1;272
1;272;53;62;20;58;27;12;48;33;21;59;36;15;25;46;57;47;28;52;31;24;56;29;37;54;32;22;26;40;2;8;16;11;44;19;51;45;3;17;49;42;50;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61
53;62;20;58;27;12;48;33;24;59;36;15;25;46;57;47;28;52;31;21;56;29;37;54;32;22;26;40;2;8;16;11;44;19;51;45;3;17;49;42;50;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61;1;272
1;272;53;62;20;58;27;12;48;33;24;59;36;15;25;46;57;47;28;52;31;21;56;29;37;54;32;22;26;40;2;8;16;11;44;19;51;45;3;17;49;42;50;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61
53;62;20;58;27;12;48;33;24;59;40;15;25;46;57;47;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;11;44;19;51;45;3;17;49;42;50;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61;1;276
1;276;53;62;20;58;27;12;48;33;24;59;40;15;25;46;57;47;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;11;44;19;51;45;3;17;49;42;50;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61
53;62;20;58;27;12;48;47;24;59;40;15;25;46;57;33;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;11;44;19;51;45;3;17;49;42;50;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61;1;256
1;256;53;62;20;58;27;12;48;47;24;59;40;15;25;46;57;33;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;11;44;19;51;45;3;17;49;42;50;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61
53;62;20;58;27;12;48;47;24;59;40;15;25;46;57;33;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;11;44;50;51;45;3;17;49;42;19;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61;1;256
1;256;53;62;20;58;27;12;48;47;24;59;40;15;25;46;57;33;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;11;44;50;51;45;3;17;49;42;19;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61
53;62;20;58;46;12;48;47;24;59;40;15;25;27;57;33;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;11;44;50;51;45;3;17;49;42;19;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61;1;228
1;228;53;62;20;58;46;12;48;47;24;59;40;15;25;27;57;33;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;11;44;50;51;45;3;17;49;42;19;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61
53;62;20;58;46;12;48;47;24;59;40;15;25;27;57;11;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;33;44;50;51;45;3;17;49;42;19;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61;1;226
1;226;53;62;20;58;46;12;48;47;24;59;40;15;25;27;57;11;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;33;44;50;51;45;3;17;49;42;19;13;60;55;30;63;14;4;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61
53;62;20;58;46;12;48;47;24;59;40;15;25;27;57;11;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;33;44;50;51;4;3;17;49;42;19;13;60;55;30;63;14;45;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61;1;226
1;226;53;62;20;58;46;12;48;47;24;59;40;15;25;27;57;11;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;33;44;50;51;4;3;17;49;42;19;13;60;55;30;63;14;45;9;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61
53;62;20;58;46;12;48;47;24;59;40;15;25;27;57;11;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;33;9;50;51;4;3;17;49;42;19;13;60;55;30;63;14;45;44;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61;1;228
1;228;53;62;20;58;46;12;48;47;24;59;40;15;25;27;57;11;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;33;9;50;51;4;3;17;49;42;19;13;60;55;30;63;14;45;44;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61
