"X1";"X296";"X47";"X5";"X64";"X63";"X32";"X45";"X37";"X26";"X44";"X36";"X12";"X18";"X40";"X1.1";"X39";"X15";"X23";"X25";"X62";"X60";"X58";"X28";"X50";"X46";"X6";"X17";"X38";"X41";"X34";"X42";"X57";"X61";"X55";"X8";"X53";"X4";"X43";"X14";"X27";"X10";"X13";"X24";"X59";"X11";"X22";"X2";"X29";"X31";"X9";"X56";"X30";"X21";"X49";"X7";"X19";"X52";"X3";"X51";"X33";"X20";"X16";"X48";"X35";"X54"
1;296;47;5;64;63;32;45;37;26;44;36;12;18;40;1;39;15;23;25;62;60;58;28;50;46;6;17;38;41;34;42;57;61;55;8;53;4;43;14;27;10;13;24;59;11;22;2;29;31;9;56;30;21;49;7;19;52;3;51;33;20;16;48;35;54
47;5;64;63;32;45;37;26;44;36;12;18;40;1;39;15;23;25;9;60;58;28;50;46;6;17;38;41;34;42;57;61;55;8;53;4;43;14;27;10;13;24;59;11;22;2;29;31;62;56;30;21;49;7;19;52;3;51;33;20;16;48;35;54;1;268
1;268;47;5;64;63;32;45;37;26;44;36;12;18;40;1;39;15;23;25;9;60;58;28;50;46;6;17;38;41;34;42;57;61;55;8;53;4;43;14;27;10;13;24;59;11;22;2;29;31;62;56;30;21;49;7;19;52;3;51;33;20;16;48;35;54
47;5;64;63;32;45;37;26;44;36;12;18;40;1;39;15;23;25;9;60;58;28;50;46;6;17;38;41;34;42;8;61;55;57;53;4;43;14;27;10;13;24;59;11;22;2;29;31;62;56;30;21;49;7;19;52;3;51;33;20;16;48;35;54;1;268
1;268;47;5;64;63;32;45;37;26;44;36;12;18;40;1;39;15;23;25;9;60;58;28;50;46;6;17;38;41;34;42;8;61;55;57;53;4;43;14;27;10;13;24;59;11;22;2;29;31;62;56;30;21;49;7;19;52;3;51;33;20;16;48;35;54
47;5;64;21;32;45;37;26;44;36;12;18;40;1;39;15;23;25;9;60;58;28;50;46;6;17;38;41;34;42;8;61;55;57;53;4;43;14;27;10;13;24;59;11;22;2;29;31;62;56;30;63;49;7;19;52;3;51;33;20;16;48;35;54;1;276
1;276;47;5;64;21;32;45;37;26;44;36;12;18;40;1;39;15;23;25;9;60;58;28;50;46;6;17;38;41;34;42;8;61;55;57;53;4;43;14;27;10;13;24;59;11;22;2;29;31;62;56;30;63;49;7;19;52;3;51;33;20;16;48;35;54
47;5;64;22;32;45;37;26;44;36;12;18;40;1;39;15;23;25;9;60;58;28;50;46;6;17;38;41;34;42;8;61;55;57;53;4;43;14;27;10;13;24;59;11;21;2;29;31;62;56;30;63;49;7;19;52;3;51;33;20;16;48;35;54;1;272
1;272;47;5;64;22;32;45;37;26;44;36;12;18;40;1;39;15;23;25;9;60;58;28;50;46;6;17;38;41;34;42;8;61;55;57;53;4;43;14;27;10;13;24;59;11;21;2;29;31;62;56;30;63;49;7;19;52;3;51;33;20;16;48;35;54
47;5;64;22;32;45;37;26;44;36;12;18;40;1;39;15;23;25;9;60;58;28;50;2;6;17;38;41;34;42;8;61;55;57;53;4;43;14;27;10;13;24;59;11;21;46;29;31;62;56;30;63;49;7;19;52;3;51;33;20;16;48;35;54;1;280
