"X1";"X304";"X30";"X64";"X40";"X45";"X57";"X49";"X51";"X1.1";"X21";"X53";"X12";"X8";"X43";"X14";"X46";"X58";"X47";"X54";"X59";"X20";"X4";"X5";"X39";"X42";"X27";"X61";"X63";"X52";"X36";"X17";"X56";"X16";"X7";"X15";"X25";"X23";"X55";"X24";"X34";"X11";"X2";"X22";"X6";"X41";"X18";"X3";"X9";"X38";"X37";"X13";"X48";"X50";"X29";"X33";"X35";"X26";"X31";"X19";"X10";"X62";"X60";"X28";"X44";"X32"
1;304;30;64;40;45;57;49;51;1;21;53;12;8;43;14;46;58;47;54;59;20;4;5;39;42;27;61;63;52;36;17;56;16;7;15;25;23;55;24;34;11;2;22;6;41;18;3;9;38;37;13;48;50;29;33;35;26;31;19;10;62;60;28;44;32
30;64;40;45;57;49;51;1;21;31;12;8;43;14;46;58;47;54;59;20;4;5;39;42;27;61;63;52;36;17;56;16;7;15;25;23;55;24;34;11;2;22;6;41;18;3;9;38;37;13;48;50;29;33;35;26;53;19;10;62;60;28;44;32;1;304
1;304;30;64;40;45;57;49;51;1;21;31;12;8;43;14;46;58;47;54;59;20;4;5;39;42;27;61;63;52;36;17;56;16;7;15;25;23;55;24;34;11;2;22;6;41;18;3;9;38;37;13;48;50;29;33;35;26;53;19;10;62;60;28;44;32
30;64;40;45;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;63;52;36;17;56;16;7;15;25;23;55;24;34;11;2;22;6;41;18;3;9;38;37;13;48;50;29;33;35;58;53;19;10;62;60;28;44;32;1;304
1;304;30;64;40;45;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;63;52;36;17;56;16;7;15;25;23;55;24;34;11;2;22;6;41;18;3;9;38;37;13;48;50;29;33;35;58;53;19;10;62;60;28;44;32
30;64;3;45;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;63;52;36;17;56;16;7;15;25;23;55;24;34;11;2;22;6;41;18;40;9;38;37;13;48;50;29;33;35;58;53;19;10;62;60;28;44;32;1;302
1;302;30;64;3;45;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;63;52;36;17;56;16;7;15;25;23;55;24;34;11;2;22;6;41;18;40;9;38;37;13;48;50;29;33;35;58;53;19;10;62;60;28;44;32
30;64;3;45;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;63;52;33;17;56;16;7;15;25;23;55;24;34;11;2;22;6;41;18;40;9;38;37;13;48;50;29;36;35;58;53;19;10;62;60;28;44;32;1;302
1;302;30;64;3;45;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;63;52;33;17;56;16;7;15;25;23;55;24;34;11;2;22;6;41;18;40;9;38;37;13;48;50;29;36;35;58;53;19;10;62;60;28;44;32
30;64;3;45;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;63;52;33;17;56;16;7;15;25;23;55;24;34;11;2;22;35;41;18;40;9;38;37;13;48;50;29;36;6;58;53;19;10;62;60;28;44;32;1;302
