"X1";"X290";"X25";"X41";"X17";"X9";"X43";"X1.1";"X10";"X50";"X35";"X46";"X56";"X3";"X36";"X29";"X60";"X47";"X62";"X33";"X39";"X42";"X14";"X34";"X31";"X44";"X7";"X13";"X19";"X52";"X27";"X37";"X61";"X57";"X49";"X63";"X24";"X58";"X23";"X8";"X48";"X45";"X26";"X4";"X38";"X18";"X32";"X54";"X51";"X5";"X40";"X2";"X15";"X22";"X6";"X30";"X12";"X16";"X20";"X11";"X59";"X28";"X21";"X53";"X64";"X55"
1;290;25;41;17;9;43;1;10;50;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;44;7;13;19;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;51;5;40;2;15;22;6;30;12;16;20;11;59;28;21;53;64;55
25;41;17;9;43;1;44;50;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;19;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;51;5;40;2;15;22;6;30;12;16;20;11;59;28;21;53;64;55;1;290
1;290;25;41;17;9;43;1;44;50;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;19;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;51;5;40;2;15;22;6;30;12;16;20;11;59;28;21;53;64;55
25;19;17;9;43;1;44;50;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;51;5;40;2;15;22;6;30;12;16;20;11;59;28;21;53;64;55;1;270
1;270;25;19;17;9;43;1;44;50;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;51;5;40;2;15;22;6;30;12;16;20;11;59;28;21;53;64;55
25;19;59;9;43;1;44;50;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;51;5;40;2;15;22;6;30;12;16;20;11;17;28;21;53;64;55;1;272
1;272;25;19;59;9;43;1;44;50;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;51;5;40;2;15;22;6;30;12;16;20;11;17;28;21;53;64;55
25;19;59;9;43;51;44;50;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;1;5;40;2;15;22;6;30;12;16;20;11;17;28;21;53;64;55;1;256
1;256;25;19;59;9;43;51;44;50;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;1;5;40;2;15;22;6;30;12;16;20;11;17;28;21;53;64;55
25;19;59;9;1;51;44;50;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;43;5;40;2;15;22;6;30;12;16;20;11;17;28;21;53;64;55;1;256
1;256;25;19;59;9;1;51;44;50;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;43;5;40;2;15;22;6;30;12;16;20;11;17;28;21;53;64;55
50;19;59;9;1;51;44;25;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;43;5;40;2;15;22;6;30;12;16;20;11;17;28;21;53;64;55;1;272
1;272;50;19;59;9;1;51;44;25;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;61;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;43;5;40;2;15;22;6;30;12;16;20;11;17;28;21;53;64;55
50;19;59;9;1;51;44;25;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;22;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;64;55;1;272
1;272;50;19;59;9;1;51;44;25;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;22;57;49;63;24;58;23;8;48;45;26;4;38;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;64;55
50;19;59;9;1;51;44;25;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;23;57;49;63;24;58;22;8;48;45;26;4;38;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;64;55;1;264
1;264;50;19;59;9;1;51;44;25;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;23;57;49;63;24;58;22;8;48;45;26;4;38;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;64;55
50;19;59;9;1;51;44;38;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;23;57;49;63;24;58;22;8;48;45;26;4;25;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;64;55;1;248
1;248;50;19;59;9;1;51;44;38;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;23;57;49;63;24;58;22;8;48;45;26;4;25;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;64;55
50;19;59;9;1;51;44;38;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;23;57;49;63;64;58;22;8;48;45;26;4;25;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;24;55;1;248
