"X1";"X264";"X6";"X64";"X54";"X1.1";"X50";"X45";"X38";"X52";"X51";"X4";"X19";"X18";"X59";"X2";"X31";"X56";"X63";"X57";"X12";"X17";"X49";"X33";"X30";"X24";"X14";"X27";"X21";"X15";"X53";"X55";"X43";"X29";"X61";"X39";"X13";"X48";"X32";"X58";"X26";"X34";"X62";"X25";"X7";"X36";"X41";"X47";"X9";"X40";"X42";"X11";"X23";"X60";"X5";"X16";"X44";"X28";"X10";"X46";"X35";"X37";"X3";"X8";"X22";"X20"
1;264;6;64;54;1;50;45;38;52;51;4;19;18;59;2;31;56;63;57;12;17;49;33;30;24;14;27;21;15;53;55;43;29;61;39;13;48;32;58;26;34;62;25;7;36;41;47;9;40;42;11;23;60;5;16;44;28;10;46;35;37;3;8;22;20
6;31;54;1;50;45;38;52;51;4;19;18;59;2;64;56;63;57;12;17;49;33;30;24;14;27;21;15;53;55;43;29;61;39;13;48;32;58;26;34;62;25;7;36;41;47;9;40;42;11;23;60;5;16;44;28;10;46;35;37;3;8;22;20;1;260
1;260;6;31;54;1;50;45;38;52;51;4;19;18;59;2;64;56;63;57;12;17;49;33;30;24;14;27;21;15;53;55;43;29;61;39;13;48;32;58;26;34;62;25;7;36;41;47;9;40;42;11;23;60;5;16;44;28;10;46;35;37;3;8;22;20
6;31;54;23;50;45;38;52;51;4;19;18;59;2;64;56;63;57;12;17;49;33;30;24;14;27;21;15;53;55;43;29;61;39;13;48;32;58;26;34;62;25;7;36;41;47;9;40;42;11;1;60;5;16;44;28;10;46;35;37;3;8;22;20;1;264
1;264;6;31;54;23;50;45;38;52;51;4;19;18;59;2;64;56;63;57;12;17;49;33;30;24;14;27;21;15;53;55;43;29;61;39;13;48;32;58;26;34;62;25;7;36;41;47;9;40;42;11;1;60;5;16;44;28;10;46;35;37;3;8;22;20
6;31;54;23;50;45;38;52;51;4;19;18;59;2;64;56;63;57;12;17;49;21;30;24;14;27;33;15;53;55;43;29;61;39;13;48;32;58;26;34;62;25;7;36;41;47;9;40;42;11;1;60;5;16;44;28;10;46;35;37;3;8;22;20;1;274
1;274;6;31;54;23;50;45;38;52;51;4;19;18;59;2;64;56;63;57;12;17;49;21;30;24;14;27;33;15;53;55;43;29;61;39;13;48;32;58;26;34;62;25;7;36;41;47;9;40;42;11;1;60;5;16;44;28;10;46;35;37;3;8;22;20
6;31;54;23;50;45;38;52;51;4;19;18;59;2;64;56;63;57;12;17;49;21;30;24;14;27;33;15;53;55;43;29;61;39;13;47;32;58;26;34;62;25;7;36;41;48;9;40;42;11;1;60;5;16;44;28;10;46;35;37;3;8;22;20;1;266
1;266;6;31;54;23;50;45;38;52;51;4;19;18;59;2;64;56;63;57;12;17;49;21;30;24;14;27;33;15;53;55;43;29;61;39;13;47;32;58;26;34;62;25;7;36;41;48;9;40;42;11;1;60;5;16;44;28;10;46;35;37;3;8;22;20
6;31;54;23;50;45;38;52;51;4;19;18;59;2;64;56;63;57;12;17;49;21;30;24;14;8;33;15;53;55;43;29;61;39;13;47;32;58;26;34;62;25;7;36;41;48;9;40;42;11;1;60;5;16;44;28;10;46;35;37;3;27;22;20;1;266
1;266;6;31;54;23;50;45;38;52;51;4;19;18;59;2;64;56;63;57;12;17;49;21;30;24;14;8;33;15;53;55;43;29;61;39;13;47;32;58;26;34;62;25;7;36;41;48;9;40;42;11;1;60;5;16;44;28;10;46;35;37;3;27;22;20
6;31;54;23;9;45;38;52;51;4;19;18;59;2;64;56;63;57;12;17;49;21;30;24;14;8;33;15;53;55;43;29;61;39;13;47;32;58;26;34;62;25;7;36;41;48;50;40;42;11;1;60;5;16;44;28;10;46;35;37;3;27;22;20;1;266
1;266;6;31;54;23;9;45;38;52;51;4;19;18;59;2;64;56;63;57;12;17;49;21;30;24;14;8;33;15;53;55;43;29;61;39;13;47;32;58;26;34;62;25;7;36;41;48;50;40;42;11;1;60;5;16;44;28;10;46;35;37;3;27;22;20
6;31;54;23;9;45;38;52;51;4;19;18;59;2;64;56;63;57;13;17;49;21;30;24;14;8;33;15;53;55;43;29;61;39;12;47;32;58;26;34;62;25;7;36;41;48;50;40;42;11;1;60;5;16;44;28;10;46;35;37;3;27;22;20;1;292
1;292;6;31;54;23;9;45;38;52;51;4;19;18;59;2;64;56;63;57;13;17;49;21;30;24;14;8;33;15;53;55;43;29;61;39;12;47;32;58;26;34;62;25;7;36;41;48;50;40;42;11;1;60;5;16;44;28;10;46;35;37;3;27;22;20
6;31;54;23;9;45;38;52;51;4;19;18;46;2;64;56;63;57;13;17;49;21;30;24;14;8;33;15;53;55;43;29;61;39;12;47;32;58;26;34;62;25;7;36;41;48;50;40;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20;1;292
1;292;6;31;54;23;9;45;38;52;51;4;19;18;46;2;64;56;63;57;13;17;49;21;30;24;14;8;33;15;53;55;43;29;61;39;12;47;32;58;26;34;62;25;7;36;41;48;50;40;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20
6;31;54;23;9;45;38;52;51;4;19;18;46;2;64;56;63;57;13;17;49;21;30;24;14;8;33;32;53;55;43;29;61;39;12;47;15;58;26;34;62;25;7;36;41;48;50;40;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20;1;292
1;292;6;31;54;23;9;45;38;52;51;4;19;18;46;2;64;56;63;57;13;17;49;21;30;24;14;8;33;32;53;55;43;29;61;39;12;47;15;58;26;34;62;25;7;36;41;48;50;40;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20
6;31;54;23;41;45;38;52;51;4;19;18;46;2;64;56;63;57;13;17;49;21;30;24;14;8;33;32;53;55;43;29;61;39;12;47;15;58;26;34;62;25;7;36;9;48;50;40;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20;1;292
1;292;6;31;54;23;41;45;38;52;51;4;19;18;46;2;64;56;63;57;13;17;49;21;30;24;14;8;33;32;53;55;43;29;61;39;12;47;15;58;26;34;62;25;7;36;9;48;50;40;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20
6;31;54;23;41;45;64;52;51;4;19;18;46;2;38;56;63;57;13;17;49;21;30;24;14;8;33;32;53;55;43;29;61;39;12;47;15;58;26;34;62;25;7;36;9;48;50;40;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20;1;286
1;286;6;31;54;23;41;45;64;52;51;4;19;18;46;2;38;56;63;57;13;17;49;21;30;24;14;8;33;32;53;55;43;29;61;39;12;47;15;58;26;34;62;25;7;36;9;48;50;40;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20
6;31;54;23;41;40;64;52;51;4;19;18;46;2;38;56;63;57;13;17;49;21;30;24;14;8;33;32;53;55;43;29;61;39;12;47;15;58;26;34;62;25;7;36;9;48;50;45;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20;1;270
1;270;6;31;54;23;41;40;64;52;51;4;19;18;46;2;38;56;63;57;13;17;49;21;30;24;14;8;33;32;53;55;43;29;61;39;12;47;15;58;26;34;62;25;7;36;9;48;50;45;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20
