"X1";"X300";"X62";"X27";"X30";"X14";"X41";"X3";"X25";"X23";"X24";"X33";"X32";"X59";"X50";"X13";"X55";"X36";"X46";"X53";"X60";"X63";"X64";"X12";"X49";"X38";"X31";"X37";"X4";"X28";"X26";"X8";"X35";"X15";"X47";"X54";"X51";"X5";"X45";"X7";"X16";"X19";"X9";"X56";"X44";"X20";"X1.1";"X29";"X18";"X22";"X61";"X17";"X43";"X6";"X2";"X52";"X40";"X11";"X39";"X57";"X10";"X34";"X21";"X58";"X48";"X42"
1;300;62;27;30;14;41;3;25;23;24;33;32;59;50;13;55;36;46;53;60;63;64;12;49;38;31;37;4;28;26;8;35;15;47;54;51;5;45;7;16;19;9;56;44;20;1;29;18;22;61;17;43;6;2;52;40;11;39;57;10;34;21;58;48;42
62;27;30;14;41;3;25;23;24;33;32;59;50;13;55;36;46;6;60;63;64;12;49;38;31;37;4;28;26;8;35;15;47;54;51;5;45;7;16;19;9;56;44;20;1;29;18;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42;1;300
1;300;62;27;30;14;41;3;25;23;24;33;32;59;50;13;55;36;46;6;60;63;64;12;49;38;31;37;4;28;26;8;35;15;47;54;51;5;45;7;16;19;9;56;44;20;1;29;18;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42
62;27;30;14;41;3;25;23;24;33;32;59;50;13;55;36;46;6;60;63;64;12;49;38;31;37;4;28;26;8;35;20;47;54;51;5;45;7;16;19;9;56;44;15;1;29;18;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42;1;276
1;276;62;27;30;14;41;3;25;23;24;33;32;59;50;13;55;36;46;6;60;63;64;12;49;38;31;37;4;28;26;8;35;20;47;54;51;5;45;7;16;19;9;56;44;15;1;29;18;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42
62;27;30;14;41;3;25;23;24;33;32;59;50;13;37;36;46;6;60;63;64;12;49;38;31;55;4;28;26;8;35;20;47;54;51;5;45;7;16;19;9;56;44;15;1;29;18;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42;1;268
1;268;62;27;30;14;41;3;25;23;24;33;32;59;50;13;37;36;46;6;60;63;64;12;49;38;31;55;4;28;26;8;35;20;47;54;51;5;45;7;16;19;9;56;44;15;1;29;18;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42
62;27;30;14;41;3;25;23;24;33;32;59;50;13;37;36;46;6;60;63;64;12;49;38;31;55;4;28;18;8;35;20;47;54;51;5;45;7;16;19;9;56;44;15;1;29;26;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42;1;268
1;268;62;27;30;14;41;3;25;23;24;33;32;59;50;13;37;36;46;6;60;63;64;12;49;38;31;55;4;28;18;8;35;20;47;54;51;5;45;7;16;19;9;56;44;15;1;29;26;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42
62;27;30;14;41;3;25;23;44;33;32;59;50;13;37;36;46;6;60;63;64;12;49;38;31;55;4;28;18;8;35;20;47;54;51;5;45;7;16;19;9;56;24;15;1;29;26;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42;1;268
1;268;62;27;30;14;41;3;25;23;44;33;32;59;50;13;37;36;46;6;60;63;64;12;49;38;31;55;4;28;18;8;35;20;47;54;51;5;45;7;16;19;9;56;24;15;1;29;26;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42
62;27;30;14;41;3;25;23;44;33;32;59;50;13;37;36;46;26;60;63;64;12;49;38;31;55;4;28;18;8;35;20;47;54;51;5;45;7;16;19;9;56;24;15;1;29;6;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42;1;268
1;268;62;27;30;14;41;3;25;23;44;33;32;59;50;13;37;36;46;26;60;63;64;12;49;38;31;55;4;28;18;8;35;20;47;54;51;5;45;7;16;19;9;56;24;15;1;29;6;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42
62;27;30;14;41;3;25;23;44;33;32;59;50;13;37;36;46;26;60;63;64;12;49;38;31;7;4;28;18;8;35;20;47;54;51;5;45;55;16;19;9;56;24;15;1;29;6;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42;1;268
1;268;62;27;30;14;41;3;25;23;44;33;32;59;50;13;37;36;46;26;60;63;64;12;49;38;31;7;4;28;18;8;35;20;47;54;51;5;45;55;16;19;9;56;24;15;1;29;6;22;61;17;43;53;2;52;40;11;39;57;10;34;21;58;48;42
62;27;30;14;41;3;25;23;44;33;32;59;50;13;37;36;46;26;39;63;64;12;49;38;31;7;4;28;18;8;35;20;47;54;51;5;45;55;16;19;9;56;24;15;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;34;21;58;48;42;1;240
1;240;62;27;30;14;41;3;25;23;44;33;32;59;50;13;37;36;46;26;39;63;64;12;49;38;31;7;4;28;18;8;35;20;47;54;51;5;45;55;16;19;9;56;24;15;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;34;21;58;48;42
