"X1";"X282";"X29";"X64";"X8";"X57";"X38";"X33";"X46";"X47";"X20";"X32";"X39";"X36";"X41";"X15";"X58";"X59";"X50";"X24";"X43";"X60";"X10";"X11";"X6";"X14";"X30";"X34";"X3";"X4";"X44";"X26";"X27";"X19";"X45";"X49";"X1.1";"X25";"X53";"X13";"X16";"X12";"X61";"X56";"X51";"X21";"X28";"X62";"X48";"X37";"X54";"X5";"X18";"X42";"X23";"X55";"X52";"X31";"X22";"X7";"X17";"X40";"X9";"X2";"X63";"X35"
1;282;29;64;8;57;38;33;46;47;20;32;39;36;41;15;58;59;50;24;43;60;10;11;6;14;30;34;3;4;44;26;27;19;45;49;1;25;53;13;16;12;61;56;51;21;28;62;48;37;54;5;18;42;23;55;52;31;22;7;17;40;9;2;63;35
29;64;8;57;38;33;46;47;20;32;39;36;41;15;58;59;50;24;43;60;10;11;6;14;30;34;3;4;44;26;27;19;45;49;1;25;53;13;16;18;61;56;51;21;28;62;48;37;54;5;12;42;23;55;52;31;22;7;17;40;9;2;63;35;1;282
1;282;29;64;8;57;38;33;46;47;20;32;39;36;41;15;58;59;50;24;43;60;10;11;6;14;30;34;3;4;44;26;27;19;45;49;1;25;53;13;16;18;61;56;51;21;28;62;48;37;54;5;12;42;23;55;52;31;22;7;17;40;9;2;63;35
29;64;8;57;38;33;46;47;20;32;39;36;41;15;58;59;50;24;43;60;10;11;6;14;49;34;3;4;44;26;27;19;45;30;1;25;53;13;16;18;61;56;51;21;28;62;48;37;54;5;12;42;23;55;52;31;22;7;17;40;9;2;63;35;1;282
1;282;29;64;8;57;38;33;46;47;20;32;39;36;41;15;58;59;50;24;43;60;10;11;6;14;49;34;3;4;44;26;27;19;45;30;1;25;53;13;16;18;61;56;51;21;28;62;48;37;54;5;12;42;23;55;52;31;22;7;17;40;9;2;63;35
29;64;8;57;38;33;46;47;20;32;39;36;41;15;58;59;50;24;43;60;10;11;62;14;49;34;3;4;44;26;27;19;45;30;1;25;53;13;16;18;61;56;51;21;28;6;48;37;54;5;12;42;23;55;52;31;22;7;17;40;9;2;63;35;1;290
1;290;29;64;8;57;38;33;46;47;20;32;39;36;41;15;58;59;50;24;43;60;10;11;62;14;49;34;3;4;44;26;27;19;45;30;1;25;53;13;16;18;61;56;51;21;28;6;48;37;54;5;12;42;23;55;52;31;22;7;17;40;9;2;63;35
29;64;8;57;38;33;10;47;20;32;39;36;41;15;58;59;50;24;43;60;46;11;62;14;49;34;3;4;44;26;27;19;45;30;1;25;53;13;16;18;61;56;51;21;28;6;48;37;54;5;12;42;23;55;52;31;22;7;17;40;9;2;63;35;1;290
1;290;29;64;8;57;38;33;10;47;20;32;39;36;41;15;58;59;50;24;43;60;46;11;62;14;49;34;3;4;44;26;27;19;45;30;1;25;53;13;16;18;61;56;51;21;28;6;48;37;54;5;12;42;23;55;52;31;22;7;17;40;9;2;63;35
29;64;8;57;38;33;10;47;20;32;39;36;41;15;58;59;50;24;43;60;46;11;62;14;49;34;3;4;16;26;27;19;45;30;1;25;53;13;44;18;61;56;51;21;28;6;48;37;54;5;12;42;23;55;52;31;22;7;17;40;9;2;63;35;1;290
1;290;29;64;8;57;38;33;10;47;20;32;39;36;41;15;58;59;50;24;43;60;46;11;62;14;49;34;3;4;16;26;27;19;45;30;1;25;53;13;44;18;61;56;51;21;28;6;48;37;54;5;12;42;23;55;52;31;22;7;17;40;9;2;63;35
29;64;8;57;38;33;10;47;20;32;39;36;41;15;58;46;50;24;43;60;59;11;62;14;49;34;3;4;16;26;27;19;45;30;1;25;53;13;44;18;61;56;51;21;28;6;48;37;54;5;12;42;23;55;52;31;22;7;17;40;9;2;63;35;1;290
1;290;29;64;8;57;38;33;10;47;20;32;39;36;41;15;58;46;50;24;43;60;59;11;62;14;49;34;3;4;16;26;27;19;45;30;1;25;53;13;44;18;61;56;51;21;28;6;48;37;54;5;12;42;23;55;52;31;22;7;17;40;9;2;63;35
29;55;8;57;38;33;10;47;20;32;39;36;41;15;58;46;50;24;43;60;59;11;62;14;49;34;3;4;16;26;27;19;45;30;1;25;53;13;44;18;61;56;51;21;28;6;48;37;54;5;12;42;23;64;52;31;22;7;17;40;9;2;63;35;1;290
1;290;29;55;8;57;38;33;10;47;20;32;39;36;41;15;58;46;50;24;43;60;59;11;62;14;49;34;3;4;16;26;27;19;45;30;1;25;53;13;44;18;61;56;51;21;28;6;48;37;54;5;12;42;23;64;52;31;22;7;17;40;9;2;63;35
29;55;8;57;38;33;10;47;20;32;39;36;41;15;58;46;50;24;12;60;59;11;62;14;49;34;3;4;16;26;27;19;45;30;1;25;53;13;44;18;61;56;51;21;28;6;48;37;54;5;43;42;23;64;52;31;22;7;17;40;9;2;63;35;1;298
1;298;29;55;8;57;38;33;10;47;20;32;39;36;41;15;58;46;50;24;12;60;59;11;62;14;49;34;3;4;16;26;27;19;45;30;1;25;53;13;44;18;61;56;51;21;28;6;48;37;54;5;43;42;23;64;52;31;22;7;17;40;9;2;63;35
29;55;8;57;38;33;10;47;20;32;39;36;41;15;58;46;50;24;12;60;59;11;62;14;49;34;3;4;16;26;27;19;45;30;1;25;53;13;2;18;61;56;51;21;28;6;48;37;54;5;43;42;23;64;52;31;22;7;17;40;9;44;63;35;1;292
1;292;29;55;8;57;38;33;10;47;20;32;39;36;41;15;58;46;50;24;12;60;59;11;62;14;49;34;3;4;16;26;27;19;45;30;1;25;53;13;2;18;61;56;51;21;28;6;48;37;54;5;43;42;23;64;52;31;22;7;17;40;9;44;63;35
29;55;8;57;38;33;10;47;20;32;39;36;41;15;58;46;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;25;53;13;2;18;61;56;51;21;28;6;48;37;54;5;43;42;23;64;52;31;22;7;17;40;9;44;63;35;1;294
1;294;29;55;8;57;38;33;10;47;20;32;39;36;41;15;58;46;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;25;53;13;2;18;61;56;51;21;28;6;48;37;54;5;43;42;23;64;52;31;22;7;17;40;9;44;63;35
29;55;8;57;35;33;10;47;20;32;39;36;41;15;58;46;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;25;53;13;2;18;61;56;51;21;28;6;48;37;54;5;43;42;23;64;52;31;22;7;17;40;9;44;63;38;1;294
1;294;29;55;8;57;35;33;10;47;20;32;39;36;41;15;58;46;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;25;53;13;2;18;61;56;51;21;28;6;48;37;54;5;43;42;23;64;52;31;22;7;17;40;9;44;63;38
29;55;8;57;35;33;10;47;20;32;39;36;41;15;58;46;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;25;53;13;2;18;61;56;51;21;48;6;28;37;54;5;43;42;23;64;52;31;22;7;17;40;9;44;63;38;1;294
1;294;29;55;8;57;35;33;10;47;20;32;39;36;41;15;58;46;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;25;53;13;2;18;61;56;51;21;48;6;28;37;54;5;43;42;23;64;52;31;22;7;17;40;9;44;63;38
29;55;8;57;35;33;10;47;20;32;39;36;41;15;58;61;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;25;53;13;2;18;46;56;51;21;48;6;28;37;54;5;43;42;23;64;52;31;22;7;17;40;9;44;63;38;1;294
1;294;29;55;8;57;35;33;10;47;20;32;39;36;41;15;58;61;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;25;53;13;2;18;46;56;51;21;48;6;28;37;54;5;43;42;23;64;52;31;22;7;17;40;9;44;63;38
29;55;8;57;35;33;10;47;20;32;39;36;41;15;58;61;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;25;53;13;2;18;46;56;51;21;48;6;28;37;54;5;43;42;23;64;52;31;22;7;17;40;63;44;9;38;1;294
