"X1";"X294";"X50";"X62";"X49";"X55";"X20";"X32";"X53";"X41";"X1.1";"X48";"X54";"X57";"X40";"X27";"X63";"X51";"X2";"X34";"X23";"X43";"X33";"X19";"X26";"X29";"X61";"X22";"X44";"X58";"X64";"X14";"X30";"X16";"X18";"X31";"X56";"X21";"X37";"X10";"X6";"X17";"X15";"X28";"X60";"X11";"X8";"X46";"X5";"X24";"X13";"X42";"X47";"X45";"X35";"X39";"X25";"X59";"X12";"X7";"X52";"X9";"X4";"X3";"X36";"X38"
1;294;50;62;49;55;20;32;53;41;1;48;54;57;40;27;63;51;2;34;23;43;33;19;26;29;61;22;44;58;64;14;30;16;18;31;56;21;37;10;6;17;15;28;60;11;8;46;5;24;13;42;47;45;35;39;25;59;12;7;52;9;4;3;36;38
50;62;49;55;20;32;53;41;1;48;54;57;40;27;63;51;2;34;23;38;33;19;26;29;61;22;44;58;64;14;30;16;18;31;56;21;37;10;6;17;15;28;60;11;8;46;5;24;13;42;47;45;35;39;25;59;12;7;52;9;4;3;36;43;1;298
1;298;50;62;49;55;20;32;53;41;1;48;54;57;40;27;63;51;2;34;23;38;33;19;26;29;61;22;44;58;64;14;30;16;18;31;56;21;37;10;6;17;15;28;60;11;8;46;5;24;13;42;47;45;35;39;25;59;12;7;52;9;4;3;36;43
50;62;49;55;20;32;53;41;1;48;54;57;40;27;63;51;2;34;23;38;33;19;26;29;61;22;44;58;64;14;30;16;18;31;56;21;37;10;6;17;15;25;60;11;8;46;5;24;13;42;47;45;35;39;28;59;12;7;52;9;4;3;36;43;1;298
1;298;50;62;49;55;20;32;53;41;1;48;54;57;40;27;63;51;2;34;23;38;33;19;26;29;61;22;44;58;64;14;30;16;18;31;56;21;37;10;6;17;15;25;60;11;8;46;5;24;13;42;47;45;35;39;28;59;12;7;52;9;4;3;36;43
50;62;49;55;20;32;53;41;1;48;54;57;40;59;63;51;2;34;23;38;33;19;26;29;61;22;44;58;64;14;30;16;18;31;56;21;37;10;6;17;15;25;60;11;8;46;5;24;13;42;47;45;35;39;28;27;12;7;52;9;4;3;36;43;1;294
1;294;50;62;49;55;20;32;53;41;1;48;54;57;40;59;63;51;2;34;23;38;33;19;26;29;61;22;44;58;64;14;30;16;18;31;56;21;37;10;6;17;15;25;60;11;8;46;5;24;13;42;47;45;35;39;28;27;12;7;52;9;4;3;36;43
50;62;49;55;20;32;53;41;1;48;54;57;40;59;63;51;2;34;61;38;33;19;26;29;23;22;44;58;64;14;30;16;18;31;56;21;37;10;6;17;15;25;60;11;8;46;5;24;13;42;47;45;35;39;28;27;12;7;52;9;4;3;36;43;1;278
1;278;50;62;49;55;20;32;53;41;1;48;54;57;40;59;63;51;2;34;61;38;33;19;26;29;23;22;44;58;64;14;30;16;18;31;56;21;37;10;6;17;15;25;60;11;8;46;5;24;13;42;47;45;35;39;28;27;12;7;52;9;4;3;36;43
50;62;49;55;20;32;53;41;1;44;54;57;40;59;63;51;2;34;61;38;33;19;26;29;23;22;48;58;64;14;30;16;18;31;56;21;37;10;6;17;15;25;60;11;8;46;5;24;13;42;47;45;35;39;28;27;12;7;52;9;4;3;36;43;1;278
1;278;50;62;49;55;20;32;53;41;1;44;54;57;40;59;63;51;2;34;61;38;33;19;26;29;23;22;48;58;64;14;30;16;18;31;56;21;37;10;6;17;15;25;60;11;8;46;5;24;13;42;47;45;35;39;28;27;12;7;52;9;4;3;36;43
50;62;49;55;20;6;53;41;1;44;54;57;40;59;63;51;2;34;61;38;33;19;26;29;23;22;48;58;64;14;30;16;18;31;56;21;37;10;32;17;15;25;60;11;8;46;5;24;13;42;47;45;35;39;28;27;12;7;52;9;4;3;36;43;1;272
