"X1";"X290";"X28";"X13";"X18";"X10";"X31";"X51";"X36";"X54";"X11";"X52";"X56";"X58";"X37";"X34";"X47";"X38";"X4";"X12";"X7";"X24";"X43";"X48";"X21";"X1.1";"X55";"X32";"X8";"X3";"X57";"X45";"X46";"X63";"X19";"X22";"X16";"X42";"X62";"X60";"X17";"X29";"X6";"X23";"X49";"X2";"X50";"X61";"X27";"X39";"X15";"X64";"X44";"X14";"X5";"X59";"X53";"X41";"X35";"X30";"X9";"X40";"X20";"X33";"X26";"X25"
1;290;28;13;18;10;31;51;36;54;11;52;56;58;37;34;47;38;4;12;7;24;43;48;21;1;55;32;8;3;57;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;61;27;39;15;64;44;14;5;59;53;41;35;30;9;40;20;33;26;25
28;13;18;10;31;51;36;54;11;52;56;58;37;34;47;38;4;12;7;24;43;48;21;1;55;32;8;3;57;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;15;27;39;61;64;44;14;5;59;53;41;35;30;9;40;20;33;26;25;1;294
1;294;28;13;18;10;31;51;36;54;11;52;56;58;37;34;47;38;4;12;7;24;43;48;21;1;55;32;8;3;57;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;15;27;39;61;64;44;14;5;59;53;41;35;30;9;40;20;33;26;25
40;13;18;10;31;51;36;54;11;52;56;58;37;34;47;38;4;12;7;24;43;48;21;1;55;32;8;3;57;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;15;27;39;61;64;44;14;5;59;53;41;35;30;9;28;20;33;26;25;1;294
1;294;40;13;18;10;31;51;36;54;11;52;56;58;37;34;47;38;4;12;7;24;43;48;21;1;55;32;8;3;57;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;15;27;39;61;64;44;14;5;59;53;41;35;30;9;28;20;33;26;25
40;13;18;10;31;51;36;54;11;52;56;58;37;34;47;38;4;12;7;24;43;48;21;1;55;32;8;3;57;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;28;20;33;26;25;1;294
1;294;40;13;18;10;31;51;36;54;11;52;56;58;37;34;47;38;4;12;7;24;43;48;21;1;55;32;8;3;57;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;28;20;33;26;25
40;13;18;10;31;51;36;54;11;52;56;58;37;34;47;38;4;12;7;24;43;3;21;1;55;32;8;48;57;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;28;20;33;26;25;1;286
1;286;40;13;18;10;31;51;36;54;11;52;56;58;37;34;47;38;4;12;7;24;43;3;21;1;55;32;8;48;57;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;28;20;33;26;25
40;13;18;10;31;51;36;54;11;52;56;57;37;34;47;38;4;12;7;24;43;3;21;1;55;32;8;48;58;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;28;20;33;26;25;1;286
1;286;40;13;18;10;31;51;36;54;11;52;56;57;37;34;47;38;4;12;7;24;43;3;21;1;55;32;8;48;58;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;28;20;33;26;25
40;13;18;10;31;51;36;54;11;52;56;57;37;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;58;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;28;20;33;26;25;1;286
1;286;40;13;18;10;31;51;36;54;11;52;56;57;37;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;58;45;46;63;19;22;16;42;62;60;17;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;28;20;33;26;25
40;13;18;10;31;51;36;54;11;52;56;17;37;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;58;45;46;63;19;22;16;42;62;60;57;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;28;20;33;26;25;1;298
1;298;40;13;18;10;31;51;36;54;11;52;56;17;37;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;58;45;46;63;19;22;16;42;62;60;57;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;28;20;33;26;25
40;13;28;10;31;51;36;54;11;52;56;17;37;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;58;45;46;63;19;22;16;42;62;60;57;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;18;20;33;26;25;1;298
1;298;40;13;28;10;31;51;36;54;11;52;56;17;37;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;58;45;46;63;19;22;16;42;62;60;57;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;18;20;33;26;25
40;13;28;10;31;51;36;54;37;52;56;17;11;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;58;45;46;63;19;22;16;42;62;60;57;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;18;20;33;26;25;1;298
1;298;40;13;28;10;31;51;36;54;37;52;56;17;11;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;58;45;46;63;19;22;16;42;62;60;57;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;18;20;33;26;25
40;13;28;10;31;51;36;54;37;52;56;17;11;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;57;45;46;63;19;22;16;42;62;60;58;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;18;20;33;26;25;1;292
1;292;40;13;28;10;31;51;36;54;37;52;56;17;11;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;57;45;46;63;19;22;16;42;62;60;58;29;6;23;49;2;50;15;27;39;61;9;44;14;5;59;53;41;35;30;64;18;20;33;26;25
40;13;28;10;31;51;36;54;37;52;56;17;11;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;57;45;46;63;19;22;16;42;62;60;58;29;6;23;49;2;50;15;27;39;61;9;44;14;64;59;53;41;35;30;5;18;20;33;26;25;1;292
1;292;40;13;28;10;31;51;36;54;37;52;56;17;11;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;57;45;46;63;19;22;16;42;62;60;58;29;6;23;49;2;50;15;27;39;61;9;44;14;64;59;53;41;35;30;5;18;20;33;26;25
40;13;28;10;31;51;36;54;37;52;30;17;11;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;57;45;46;63;19;22;16;42;62;60;58;29;6;23;49;2;50;15;27;39;61;9;44;14;64;59;53;41;35;56;5;18;20;33;26;25;1;308
1;308;40;13;28;10;31;51;36;54;37;52;30;17;11;34;47;32;4;12;7;24;43;3;21;1;55;38;8;48;57;45;46;63;19;22;16;42;62;60;58;29;6;23;49;2;50;15;27;39;61;9;44;14;64;59;53;41;35;56;5;18;20;33;26;25
40;13;28;10;31;51;36;54;37;52;30;17;11;34;47;32;4;12;7;24;43;56;21;1;55;38;8;48;57;45;46;63;19;22;16;42;62;60;58;29;6;23;49;2;50;15;27;39;61;9;44;14;64;59;53;41;35;3;5;18;20;33;26;25;1;308
1;308;40;13;28;10;31;51;36;54;37;52;30;17;11;34;47;32;4;12;7;24;43;56;21;1;55;38;8;48;57;45;46;63;19;22;16;42;62;60;58;29;6;23;49;2;50;15;27;39;61;9;44;14;64;59;53;41;35;3;5;18;20;33;26;25
