"X1";"X286";"X46";"X52";"X12";"X42";"X4";"X57";"X64";"X48";"X27";"X11";"X59";"X24";"X31";"X6";"X33";"X53";"X18";"X34";"X60";"X30";"X7";"X5";"X62";"X50";"X16";"X15";"X45";"X40";"X19";"X2";"X58";"X37";"X13";"X61";"X10";"X8";"X39";"X56";"X55";"X41";"X35";"X28";"X38";"X25";"X21";"X54";"X14";"X43";"X36";"X49";"X47";"X44";"X26";"X9";"X22";"X63";"X17";"X51";"X3";"X32";"X1.1";"X23";"X29";"X20"
1;286;46;52;12;42;4;57;64;48;27;11;59;24;31;6;33;53;18;34;60;30;7;5;62;50;16;15;45;40;19;2;58;37;13;61;10;8;39;56;55;41;35;28;38;25;21;54;14;43;36;49;47;44;26;9;22;63;17;51;3;32;1;23;29;20
46;52;12;42;4;57;64;48;27;11;59;24;31;6;25;53;18;34;60;30;7;5;62;50;16;15;45;40;19;2;58;37;13;61;10;8;39;56;55;41;35;28;38;33;21;54;14;43;36;49;47;44;26;9;22;63;17;51;3;32;1;23;29;20;1;288
1;288;46;52;12;42;4;57;64;48;27;11;59;24;31;6;25;53;18;34;60;30;7;5;62;50;16;15;45;40;19;2;58;37;13;61;10;8;39;56;55;41;35;28;38;33;21;54;14;43;36;49;47;44;26;9;22;63;17;51;3;32;1;23;29;20
46;52;12;42;4;57;64;48;27;11;59;24;31;6;25;53;18;3;60;30;7;5;62;50;16;15;45;40;19;2;58;37;13;61;10;8;39;56;55;41;35;28;38;33;21;54;14;43;36;49;47;44;26;9;22;63;17;51;34;32;1;23;29;20;1;288
1;288;46;52;12;42;4;57;64;48;27;11;59;24;31;6;25;53;18;3;60;30;7;5;62;50;16;15;45;40;19;2;58;37;13;61;10;8;39;56;55;41;35;28;38;33;21;54;14;43;36;49;47;44;26;9;22;63;17;51;34;32;1;23;29;20
46;52;12;42;4;57;64;48;27;11;47;24;31;6;25;53;18;3;60;30;7;5;62;50;16;15;45;40;19;2;58;37;13;61;10;8;39;56;55;41;35;28;38;33;21;54;14;43;36;49;59;44;26;9;22;63;17;51;34;32;1;23;29;20;1;292
1;292;46;52;12;42;4;57;64;48;27;11;47;24;31;6;25;53;18;3;60;30;7;5;62;50;16;15;45;40;19;2;58;37;13;61;10;8;39;56;55;41;35;28;38;33;21;54;14;43;36;49;59;44;26;9;22;63;17;51;34;32;1;23;29;20
46;52;12;42;4;57;64;48;27;11;47;24;31;6;25;53;18;3;60;30;7;5;62;50;16;15;45;40;19;2;58;37;13;61;10;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;59;44;33;9;22;63;17;51;34;32;1;23;29;20;1;292
1;292;46;52;12;42;4;57;64;48;27;11;47;24;31;6;25;53;18;3;60;30;7;5;62;50;16;15;45;40;19;2;58;37;13;61;10;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;59;44;33;9;22;63;17;51;34;32;1;23;29;20
46;52;12;42;4;57;64;48;27;11;47;24;31;6;25;53;18;3;60;30;7;5;62;50;16;15;45;40;19;2;58;37;13;61;10;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;59;44;33;1;22;63;17;51;34;32;9;23;29;20;1;292
1;292;46;52;12;42;4;57;64;48;27;11;47;24;31;6;25;53;18;3;60;30;7;5;62;50;16;15;45;40;19;2;58;37;13;61;10;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;59;44;33;1;22;63;17;51;34;32;9;23;29;20
46;52;12;42;4;57;64;48;27;11;47;24;31;6;25;37;18;3;60;30;7;5;62;50;16;15;45;40;19;2;58;53;13;61;10;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;59;44;33;1;22;63;17;51;34;32;9;23;29;20;1;294
1;294;46;52;12;42;4;57;64;48;27;11;47;24;31;6;25;37;18;3;60;30;7;5;62;50;16;15;45;40;19;2;58;53;13;61;10;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;59;44;33;1;22;63;17;51;34;32;9;23;29;20
46;52;12;42;30;57;64;48;27;11;47;24;31;6;25;37;18;3;60;4;7;5;62;50;16;15;45;40;19;2;58;53;13;61;10;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;59;44;33;1;22;63;17;51;34;32;9;23;29;20;1;294
1;294;46;52;12;42;30;57;64;48;27;11;47;24;31;6;25;37;18;3;60;4;7;5;62;50;16;15;45;40;19;2;58;53;13;61;10;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;59;44;33;1;22;63;17;51;34;32;9;23;29;20
46;52;12;42;30;57;64;48;27;11;47;24;31;6;25;37;18;3;60;4;7;5;62;50;16;15;45;40;19;2;58;53;13;59;10;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;61;44;33;1;22;63;17;51;34;32;9;23;29;20;1;294
