"X1";"X290";"X17";"X56";"X22";"X16";"X49";"X48";"X57";"X6";"X43";"X19";"X63";"X64";"X54";"X41";"X9";"X11";"X52";"X12";"X55";"X53";"X60";"X46";"X62";"X36";"X47";"X21";"X4";"X14";"X51";"X27";"X32";"X29";"X44";"X38";"X13";"X33";"X18";"X34";"X20";"X31";"X2";"X1.1";"X5";"X39";"X7";"X24";"X8";"X25";"X10";"X40";"X59";"X50";"X23";"X45";"X35";"X15";"X28";"X30";"X58";"X37";"X26";"X61";"X42";"X3"
1;290;17;56;22;16;49;48;57;6;43;19;63;64;54;41;9;11;52;12;55;53;60;46;62;36;47;21;4;14;51;27;32;29;44;38;13;33;18;34;20;31;2;1;5;39;7;24;8;25;10;40;59;50;23;45;35;15;28;30;58;37;26;61;42;3
17;56;22;16;49;48;57;6;43;19;63;64;54;41;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;32;29;44;38;13;33;18;34;20;31;2;1;5;39;7;24;8;25;10;40;59;50;23;45;35;15;28;12;58;37;26;61;42;3;1;290
1;290;17;56;22;16;49;48;57;6;43;19;63;64;54;41;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;32;29;44;38;13;33;18;34;20;31;2;1;5;39;7;24;8;25;10;40;59;50;23;45;35;15;28;12;58;37;26;61;42;3
17;56;22;16;49;48;57;6;43;19;63;64;54;41;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;32;29;44;38;13;33;18;34;20;31;2;15;5;39;7;24;8;25;10;40;59;50;23;45;35;1;28;12;58;37;26;61;42;3;1;290
1;290;17;56;22;16;49;48;57;6;43;19;63;64;54;41;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;32;29;44;38;13;33;18;34;20;31;2;15;5;39;7;24;8;25;10;40;59;50;23;45;35;1;28;12;58;37;26;61;42;3
17;56;22;64;49;48;57;6;43;19;63;16;54;41;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;32;29;44;38;13;33;18;34;20;31;2;15;5;39;7;24;8;25;10;40;59;50;23;45;35;1;28;12;58;37;26;61;42;3;1;286
1;286;17;56;22;64;49;48;57;6;43;19;63;16;54;41;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;32;29;44;38;13;33;18;34;20;31;2;15;5;39;7;24;8;25;10;40;59;50;23;45;35;1;28;12;58;37;26;61;42;3
17;56;22;64;49;48;57;6;43;19;63;16;54;41;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;10;29;44;38;13;33;18;34;20;31;2;15;5;39;7;24;8;25;32;40;59;50;23;45;35;1;28;12;58;37;26;61;42;3;1;286
1;286;17;56;22;64;49;48;57;6;43;19;63;16;54;41;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;10;29;44;38;13;33;18;34;20;31;2;15;5;39;7;24;8;25;32;40;59;50;23;45;35;1;28;12;58;37;26;61;42;3
17;56;22;64;49;48;57;6;43;19;63;16;54;41;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;25;32;40;59;50;23;45;35;1;28;12;58;37;26;61;42;3;1;314
