"X1";"X278";"X48";"X43";"X2";"X45";"X41";"X46";"X17";"X61";"X10";"X20";"X58";"X38";"X11";"X31";"X37";"X15";"X1.1";"X51";"X32";"X49";"X24";"X23";"X39";"X22";"X28";"X13";"X35";"X50";"X9";"X26";"X40";"X25";"X21";"X30";"X14";"X27";"X57";"X54";"X19";"X62";"X18";"X8";"X7";"X60";"X3";"X34";"X33";"X52";"X16";"X44";"X64";"X4";"X36";"X47";"X59";"X42";"X6";"X29";"X56";"X12";"X53";"X5";"X63";"X55"
1;278;48;43;2;45;41;46;17;61;10;20;58;38;11;31;37;15;1;51;32;49;24;23;39;22;28;13;35;50;9;26;40;25;21;30;14;27;57;54;19;62;18;8;7;60;3;34;33;52;16;44;64;4;36;47;59;42;6;29;56;12;53;5;63;55
48;43;2;45;41;46;17;61;32;20;58;38;11;31;37;15;1;51;10;49;24;23;39;22;28;13;35;50;9;26;40;25;21;30;14;27;57;54;19;62;18;8;7;60;3;34;33;52;16;44;64;4;36;47;59;42;6;29;56;12;53;5;63;55;1;270
1;270;48;43;2;45;41;46;17;61;32;20;58;38;11;31;37;15;1;51;10;49;24;23;39;22;28;13;35;50;9;26;40;25;21;30;14;27;57;54;19;62;18;8;7;60;3;34;33;52;16;44;64;4;36;47;59;42;6;29;56;12;53;5;63;55
48;43;2;45;41;46;17;61;32;20;58;38;11;31;37;15;1;51;10;49;24;23;39;22;28;13;35;50;9;26;40;25;21;30;56;27;57;54;19;62;18;8;7;60;3;34;33;52;16;44;64;4;36;47;59;42;6;29;14;12;53;5;63;55;1;270
1;270;48;43;2;45;41;46;17;61;32;20;58;38;11;31;37;15;1;51;10;49;24;23;39;22;28;13;35;50;9;26;40;25;21;30;56;27;57;54;19;62;18;8;7;60;3;34;33;52;16;44;64;4;36;47;59;42;6;29;14;12;53;5;63;55
48;43;2;45;41;46;17;61;32;20;58;38;11;31;37;15;1;51;10;49;24;23;39;22;28;13;35;50;9;26;40;25;21;30;56;27;57;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;14;12;53;5;63;55;1;270
1;270;48;43;2;45;41;46;17;61;32;20;58;38;11;31;37;15;1;51;10;49;24;23;39;22;28;13;35;50;9;26;40;25;21;30;56;27;57;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;14;12;53;5;63;55
48;50;2;45;41;46;17;61;32;20;58;38;11;31;37;15;1;51;10;49;24;23;39;22;28;13;35;43;9;26;40;25;21;30;56;27;57;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;14;12;53;5;63;55;1;274
1;274;48;50;2;45;41;46;17;61;32;20;58;38;11;31;37;15;1;51;10;49;24;23;39;22;28;13;35;43;9;26;40;25;21;30;56;27;57;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;14;12;53;5;63;55
48;50;2;45;41;46;17;61;32;20;58;38;11;31;37;15;1;51;10;49;24;23;39;22;28;13;35;43;9;26;40;25;21;57;56;27;30;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;14;12;53;5;63;55;1;278
1;278;48;50;2;45;41;46;17;61;32;20;58;38;11;31;37;15;1;51;10;49;24;23;39;22;28;13;35;43;9;26;40;25;21;57;56;27;30;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;14;12;53;5;63;55
48;50;2;45;41;46;17;61;32;20;58;38;11;31;37;15;1;51;10;49;24;23;39;22;28;13;35;43;25;26;40;9;21;57;56;27;30;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;14;12;53;5;63;55;1;276
1;276;48;50;2;45;41;46;17;61;32;20;58;38;11;31;37;15;1;51;10;49;24;23;39;22;28;13;35;43;25;26;40;9;21;57;56;27;30;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;14;12;53;5;63;55
48;50;2;45;41;46;17;23;32;20;58;38;11;31;37;15;1;51;10;49;24;61;39;22;28;13;35;43;25;26;40;9;21;57;56;27;30;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;14;12;53;5;63;55;1;290
1;290;48;50;2;45;41;46;17;23;32;20;58;38;11;31;37;15;1;51;10;49;24;61;39;22;28;13;35;43;25;26;40;9;21;57;56;27;30;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;14;12;53;5;63;55
48;50;2;45;41;46;17;23;32;20;58;38;11;31;37;15;1;51;10;49;24;61;39;22;30;13;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;14;12;53;5;63;55;1;290
1;290;48;50;2;45;41;46;17;23;32;20;58;38;11;31;37;15;1;51;10;49;24;61;39;22;30;13;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;14;12;53;5;63;55
48;50;2;45;41;46;17;23;32;20;58;38;14;31;37;15;1;51;10;49;24;61;39;22;30;13;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;11;12;53;5;63;55;1;290
1;290;48;50;2;45;41;46;17;23;32;20;58;38;14;31;37;15;1;51;10;49;24;61;39;22;30;13;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;11;12;53;5;63;55
48;50;2;45;41;37;17;23;32;20;58;38;14;31;46;15;1;51;10;49;24;61;39;22;30;13;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;11;12;53;5;63;55;1;290
1;290;48;50;2;45;41;37;17;23;32;20;58;38;14;31;46;15;1;51;10;49;24;61;39;22;30;13;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;6;29;11;12;53;5;63;55
48;50;2;45;41;37;17;23;32;20;58;38;14;31;46;15;1;51;10;49;24;61;39;22;30;13;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;5;29;11;12;53;6;63;55;1;290
1;290;48;50;2;45;41;37;17;23;32;20;58;38;14;31;46;15;1;51;10;49;24;61;39;22;30;13;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;52;16;44;64;4;36;47;7;42;5;29;11;12;53;6;63;55
48;50;2;45;41;52;17;23;32;20;58;38;14;31;46;15;1;51;10;49;24;61;39;22;30;13;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;37;16;44;64;4;36;47;7;42;5;29;11;12;53;6;63;55;1;270
1;270;48;50;2;45;41;52;17;23;32;20;58;38;14;31;46;15;1;51;10;49;24;61;39;22;30;13;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;37;16;44;64;4;36;47;7;42;5;29;11;12;53;6;63;55
48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;15;1;51;10;49;24;61;39;22;30;41;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;37;16;44;64;4;36;47;7;42;5;29;11;12;53;6;63;55;1;270
1;270;48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;15;1;51;10;49;24;61;39;22;30;41;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;37;16;44;64;4;36;47;7;42;5;29;11;12;53;6;63;55
48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;24;1;51;10;49;15;61;39;22;30;41;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;37;16;44;64;4;36;47;7;42;5;29;11;12;53;6;63;55;1;270
1;270;48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;24;1;51;10;49;15;61;39;22;30;41;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;37;16;44;64;4;36;47;7;42;5;29;11;12;53;6;63;55
48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;24;47;51;10;49;15;61;39;22;30;41;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;37;16;44;64;4;36;1;7;42;5;29;11;12;53;6;63;55;1;270
1;270;48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;24;47;51;10;49;15;61;39;22;30;41;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;37;16;44;64;4;36;1;7;42;5;29;11;12;53;6;63;55
48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;24;4;51;10;49;15;61;39;22;30;41;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;37;16;44;64;47;36;1;7;42;5;29;11;12;53;6;63;55;1;254
1;254;48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;24;4;51;10;49;15;61;39;22;30;41;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;3;34;33;37;16;44;64;47;36;1;7;42;5;29;11;12;53;6;63;55
48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;24;4;51;10;49;15;61;39;22;30;41;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;29;34;33;37;16;44;64;47;36;1;7;42;5;3;11;12;53;6;63;55;1;254
1;254;48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;24;4;51;10;49;15;61;39;22;30;41;35;43;25;26;40;9;21;57;56;27;28;54;19;62;18;8;59;60;29;34;33;37;16;44;64;47;36;1;7;42;5;3;11;12;53;6;63;55
48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;24;4;51;10;28;15;61;39;22;30;41;35;43;25;26;40;9;21;57;56;27;49;54;19;62;18;8;59;60;29;34;33;37;16;44;64;47;36;1;7;42;5;3;11;12;53;6;63;55;1;274
1;274;48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;24;4;51;10;28;15;61;39;22;30;41;35;43;25;26;40;9;21;57;56;27;49;54;19;62;18;8;59;60;29;34;33;37;16;44;64;47;36;1;7;42;5;3;11;12;53;6;63;55
48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;24;4;51;10;28;15;61;39;22;30;41;35;43;25;26;40;9;21;6;56;27;49;54;19;62;18;8;59;60;29;34;33;37;16;44;64;47;36;1;7;42;5;3;11;12;53;57;63;55;1;274
1;274;48;50;2;45;13;52;17;23;32;20;58;38;14;31;46;24;4;51;10;28;15;61;39;22;30;41;35;43;25;26;40;9;21;6;56;27;49;54;19;62;18;8;59;60;29;34;33;37;16;44;64;47;36;1;7;42;5;3;11;12;53;57;63;55
48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;10;28;15;61;39;22;30;41;35;43;25;26;40;9;21;6;56;27;49;54;19;62;18;8;59;60;29;34;33;37;16;44;64;47;36;1;32;42;5;3;11;12;53;57;63;55;1;274
2;274;48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;10;28;15;61;39;22;30;41;35;43;25;26;40;9;21;6;56;27;49;54;19;62;18;8;59;60;29;34;33;37;16;44;64;47;36;1;32;42;5;3;11;12;53;57;63;55
48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;10;28;15;61;39;22;30;41;35;43;25;26;40;9;21;6;56;27;49;54;63;62;18;8;59;60;29;34;33;37;16;44;64;47;36;1;32;42;5;3;11;12;53;57;19;55;2;280
2;280;48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;10;28;15;61;39;22;30;41;35;43;25;26;40;9;21;6;56;27;49;54;63;62;18;8;59;60;29;34;33;37;16;44;64;47;36;1;32;42;5;3;11;12;53;57;19;55
48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;28;10;15;61;39;22;30;41;35;43;25;26;40;9;21;6;56;27;49;54;63;62;18;8;59;60;29;34;33;37;16;44;64;47;36;1;32;42;5;3;11;12;53;57;19;55;2;268
2;268;48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;28;10;15;61;39;22;30;41;35;43;25;26;40;9;21;6;56;27;49;54;63;62;18;8;59;60;29;34;33;37;16;44;64;47;36;1;32;42;5;3;11;12;53;57;19;55
48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;28;59;15;61;39;22;30;41;35;43;25;26;40;9;21;6;56;27;49;54;63;62;18;8;10;60;29;34;33;37;16;44;64;47;36;1;32;42;5;3;11;12;53;57;19;55;2;264
2;264;48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;28;59;15;61;39;22;30;41;35;43;25;26;40;9;21;6;56;27;49;54;63;62;18;8;10;60;29;34;33;37;16;44;64;47;36;1;32;42;5;3;11;12;53;57;19;55
48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;28;59;15;61;39;22;30;41;35;43;25;32;40;9;21;6;56;27;49;54;63;62;18;8;10;60;29;34;33;37;16;44;64;47;36;1;26;42;5;3;11;12;53;57;19;55;2;268
2;268;48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;28;59;15;61;39;22;30;41;35;43;25;32;40;9;21;6;56;27;49;54;63;62;18;8;10;60;29;34;33;37;16;44;64;47;36;1;26;42;5;3;11;12;53;57;19;55
48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;30;41;35;43;25;32;40;9;21;6;56;27;49;54;63;62;18;8;10;60;29;34;33;37;16;44;64;47;36;1;22;42;5;3;11;12;53;57;19;55;2;268
2;268;48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;30;41;35;43;25;32;40;9;21;6;56;27;49;54;63;62;18;8;10;60;29;34;33;37;16;44;64;47;36;1;22;42;5;3;11;12;53;57;19;55
48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;30;41;35;43;25;32;42;9;21;6;56;27;49;54;63;62;18;8;10;60;29;34;33;37;16;44;64;47;36;1;22;40;5;3;11;12;53;57;19;55;2;268
2;268;48;50;2;45;13;52;17;23;7;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;30;41;35;43;25;32;42;9;21;6;56;27;49;54;63;62;18;8;10;60;29;34;33;37;16;44;64;47;36;1;22;40;5;3;11;12;53;57;19;55
48;50;2;45;13;52;53;23;7;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;30;41;35;43;25;32;42;9;21;6;56;27;49;54;63;62;18;8;10;60;29;34;33;37;16;44;64;47;36;1;22;40;5;3;11;12;17;57;19;55;2;268
2;268;48;50;2;45;13;52;53;23;7;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;30;41;35;43;25;32;42;9;21;6;56;27;49;54;63;62;18;8;10;60;29;34;33;37;16;44;64;47;36;1;22;40;5;3;11;12;17;57;19;55
48;50;2;45;13;52;53;23;27;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;30;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;16;44;64;47;36;1;22;40;5;3;11;12;17;57;19;55;2;268
2;268;48;50;2;45;13;52;53;23;27;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;30;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;16;44;64;47;36;1;22;40;5;3;11;12;17;57;19;55
48;50;2;45;13;52;53;23;27;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;30;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;17;57;19;55;2;268
2;268;48;50;2;45;13;52;53;23;27;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;30;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;17;57;19;55
48;50;2;45;13;52;53;23;27;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;17;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;55;2;268
2;268;48;50;2;45;13;52;53;23;27;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;17;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;55
48;55;2;45;13;52;53;23;27;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;17;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50;2;268
2;268;48;55;2;45;13;52;53;23;27;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;17;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50
23;55;2;45;13;52;53;48;27;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;17;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50;2;260
2;260;23;55;2;45;13;52;53;48;27;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;17;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50
23;55;2;45;13;52;53;48;27;20;58;38;14;31;46;24;4;51;28;59;15;61;60;26;17;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;39;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50;2;284
2;260;23;55;2;45;13;52;53;48;27;20;58;38;14;31;46;24;4;51;28;59;15;61;39;26;17;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50
23;55;2;45;13;52;53;48;27;20;58;38;14;31;24;46;4;51;28;59;15;61;39;26;17;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50;2;244
2;244;23;55;2;45;13;52;53;48;27;20;58;38;14;31;24;46;4;51;28;59;15;61;39;26;17;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50
23;55;2;45;13;52;53;48;31;20;58;38;14;27;24;46;4;51;28;59;15;61;39;26;17;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50;2;236
2;236;23;55;2;45;13;52;53;48;31;20;58;38;14;27;24;46;4;51;28;59;15;61;39;26;17;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50
23;55;2;45;13;52;53;48;17;20;58;38;14;27;24;46;4;51;28;59;15;61;39;26;31;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50;2;236
2;236;23;55;2;45;13;52;53;48;17;20;58;38;14;27;24;46;4;51;28;59;15;61;39;26;31;41;35;43;25;32;42;9;21;6;56;7;49;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50
23;55;2;45;13;52;53;48;17;20;58;38;14;27;24;49;4;51;28;59;15;61;39;26;31;41;35;43;25;32;42;9;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50;2;240
2;240;23;55;2;45;13;52;53;48;17;20;58;38;14;27;24;49;4;51;28;59;15;61;39;26;31;41;35;43;25;32;42;9;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;36;1;22;40;5;16;11;12;30;57;19;50
23;55;2;45;13;52;53;48;17;20;58;38;14;27;24;49;4;51;28;59;15;61;39;26;31;41;35;43;25;32;42;9;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;36;12;30;57;19;50;2;240
2;240;23;55;2;45;13;52;53;48;17;20;58;38;14;27;24;49;4;51;28;59;15;61;39;26;31;41;35;43;25;32;42;9;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;36;12;30;57;19;50
23;55;2;45;13;52;53;48;17;20;58;38;14;27;24;49;4;51;28;59;15;61;39;26;31;41;35;43;25;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;9;12;30;57;19;50;2;240
2;240;23;55;2;45;13;52;53;48;17;20;58;38;14;27;24;49;4;51;28;59;15;61;39;26;31;41;35;43;25;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;9;12;30;57;19;50
23;55;2;45;13;52;53;48;17;20;58;38;14;27;25;49;4;51;28;59;15;61;39;26;31;41;35;43;24;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;9;12;30;57;19;50;2;244
3;244;23;55;2;45;13;52;53;48;17;20;58;38;14;27;25;49;4;51;28;59;15;61;39;26;31;41;35;43;24;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;9;12;30;57;19;50
23;55;2;45;13;52;53;48;17;26;58;38;14;27;25;49;4;51;28;59;15;61;39;20;31;41;35;43;24;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;9;12;30;57;19;50;3;236
3;236;23;55;2;45;13;52;53;48;17;26;58;38;14;27;25;49;4;51;28;59;15;61;39;20;31;41;35;43;24;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;9;12;30;57;19;50
23;55;2;45;13;52;53;48;17;26;58;24;14;27;25;49;4;51;28;59;15;61;39;20;31;41;35;43;38;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;9;12;30;57;19;50;3;236
3;236;23;55;2;45;13;52;53;48;17;26;58;24;14;27;25;49;4;51;28;59;15;61;39;20;31;41;35;43;38;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;9;12;30;57;19;50
23;55;58;45;13;52;53;48;17;26;2;24;14;27;25;49;4;51;28;59;15;61;39;20;31;41;35;43;38;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;9;12;30;57;19;50;3;246
