"X1";"X282";"X35";"X5";"X10";"X20";"X52";"X57";"X25";"X59";"X41";"X53";"X22";"X34";"X30";"X40";"X49";"X50";"X9";"X3";"X33";"X23";"X12";"X58";"X37";"X7";"X27";"X51";"X47";"X61";"X60";"X1.1";"X38";"X31";"X16";"X62";"X32";"X48";"X8";"X21";"X2";"X24";"X54";"X43";"X45";"X36";"X39";"X55";"X46";"X64";"X13";"X26";"X6";"X17";"X44";"X4";"X11";"X14";"X15";"X19";"X42";"X56";"X18";"X63";"X29";"X28"
1;282;35;5;10;20;52;57;25;59;41;53;22;34;30;40;49;50;9;3;33;23;12;58;37;7;27;51;47;61;60;1;38;31;16;62;32;48;8;21;2;24;54;43;45;36;39;55;46;64;13;26;6;17;44;4;11;14;15;19;42;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;22;34;30;40;49;50;9;3;33;23;12;58;37;7;27;51;47;61;60;1;38;31;16;62;41;48;8;21;2;24;54;43;45;36;39;55;46;64;13;26;6;17;44;4;11;14;15;19;42;56;18;63;29;28;1;288
1;288;35;5;10;20;52;57;25;59;32;53;22;34;30;40;49;50;9;3;33;23;12;58;37;7;27;51;47;61;60;1;38;31;16;62;41;48;8;21;2;24;54;43;45;36;39;55;46;64;13;26;6;17;44;4;11;14;15;19;42;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;22;34;30;40;49;50;9;3;44;23;12;58;37;7;27;51;47;61;60;1;38;31;16;62;41;48;8;21;2;24;54;43;45;36;39;55;46;64;13;26;6;17;33;4;11;14;15;19;42;56;18;63;29;28;1;300
1;300;35;5;10;20;52;57;25;59;32;53;22;34;30;40;49;50;9;3;44;23;12;58;37;7;27;51;47;61;60;1;38;31;16;62;41;48;8;21;2;24;54;43;45;36;39;55;46;64;13;26;6;17;33;4;11;14;15;19;42;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;22;34;30;40;49;50;9;3;44;23;12;58;37;7;27;51;47;61;60;1;38;31;16;62;41;48;8;21;2;24;54;13;45;36;39;55;46;64;43;26;6;17;33;4;11;14;15;19;42;56;18;63;29;28;1;300
1;300;35;5;10;20;52;57;25;59;32;53;22;34;30;40;49;50;9;3;44;23;12;58;37;7;27;51;47;61;60;1;38;31;16;62;41;48;8;21;2;24;54;13;45;36;39;55;46;64;43;26;6;17;33;4;11;14;15;19;42;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;22;34;30;40;49;50;9;3;44;23;12;58;37;7;14;51;47;61;60;1;38;31;16;62;41;48;8;21;2;24;54;13;45;36;39;55;46;64;43;26;6;17;33;4;11;27;15;19;42;56;18;63;29;28;1;300
1;300;35;5;10;20;52;57;25;59;32;53;22;34;30;40;49;50;9;3;44;23;12;58;37;7;14;51;47;61;60;1;38;31;16;62;41;48;8;21;2;24;54;13;45;36;39;55;46;64;43;26;6;17;33;4;11;27;15;19;42;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;14;34;30;40;49;50;9;3;44;23;12;58;37;7;22;51;47;61;60;1;38;31;16;62;41;48;8;21;2;24;54;13;45;36;39;55;46;64;43;26;6;17;33;4;11;27;15;19;42;56;18;63;29;28;1;304
1;304;35;5;10;20;52;57;25;59;32;53;14;34;30;40;49;50;9;3;44;23;12;58;37;7;22;51;47;61;60;1;38;31;16;62;41;48;8;21;2;24;54;13;45;36;39;55;46;64;43;26;6;17;33;4;11;27;15;19;42;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;14;34;30;40;49;50;9;3;44;23;12;58;37;7;22;51;47;61;60;1;38;31;2;62;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;6;17;33;4;11;27;15;19;42;56;18;63;29;28;1;284
1;284;35;5;10;20;52;57;25;59;32;53;14;34;30;40;49;50;9;3;44;23;12;58;37;7;22;51;47;61;60;1;38;31;2;62;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;6;17;33;4;11;27;15;19;42;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;51;47;61;60;1;38;31;2;62;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;6;17;33;4;11;27;15;19;40;56;18;63;29;28;1;272
1;272;35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;51;47;61;60;1;38;31;2;62;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;6;17;33;4;11;27;15;19;40;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;51;47;61;6;1;38;31;2;62;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;60;17;33;4;11;27;15;19;40;56;18;63;29;28;1;272
1;272;35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;51;47;61;6;1;38;31;2;62;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;60;17;33;4;11;27;15;19;40;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;31;2;62;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;60;17;33;4;51;27;15;19;40;56;18;63;29;28;1;272
1;272;35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;31;2;62;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;60;17;33;4;51;27;15;19;40;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;31;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;60;17;33;4;51;27;15;19;40;56;18;63;29;28;1;270
1;270;35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;31;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;60;17;33;4;51;27;15;19;40;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;60;17;33;4;51;31;15;19;40;56;18;63;29;28;1;270
1;270;35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;60;17;33;4;51;31;15;19;40;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;56;18;63;29;28;1;270
1;270;35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;54;13;45;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;56;18;63;29;28
35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;45;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;56;18;54;29;28;1;270
1;270;35;5;10;20;52;57;25;59;32;53;14;34;30;42;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;45;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;56;18;54;29;28
35;5;10;20;52;57;25;59;32;53;14;34;30;56;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;45;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;42;18;54;29;28;1;278
1;278;35;5;10;20;52;57;25;59;32;53;14;34;30;56;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;45;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;42;18;54;29;28
35;5;10;20;52;57;25;59;32;53;14;34;30;56;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;45;18;54;29;28;1;278
1;278;35;5;10;20;52;57;25;59;32;53;14;34;30;56;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;45;18;54;29;28
25;5;10;20;52;57;35;59;32;53;14;34;30;56;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;45;18;54;29;28;1;278
1;278;25;5;10;20;52;57;35;59;32;53;14;34;30;56;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;45;18;54;29;28
25;5;10;20;52;57;35;59;32;53;14;18;30;56;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;45;34;54;29;28;1;278
1;278;25;5;10;20;52;57;35;59;32;53;14;18;30;56;49;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;45;34;54;29;28
25;5;10;20;52;57;35;59;32;53;14;18;30;56;29;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;45;34;54;49;28;1;288
1;288;25;5;10;20;52;57;35;59;32;53;14;18;30;56;29;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;4;31;15;19;40;45;34;54;49;28
25;5;10;20;52;57;35;59;32;4;14;18;30;56;29;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;34;54;49;28;1;284
1;284;25;5;10;20;52;57;35;59;32;4;14;18;30;56;29;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;34;54;49;28
25;5;10;20;52;57;35;59;34;4;14;18;30;56;29;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;32;54;49;28;1;284
2;284;25;5;10;20;52;57;35;59;34;4;14;18;30;56;29;50;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;27;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;32;54;49;28
25;5;10;20;52;57;35;59;34;4;14;18;30;56;29;27;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;50;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;32;54;49;28;2;284
2;284;25;5;10;20;52;57;35;59;34;4;14;18;30;56;29;27;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;50;41;48;8;21;16;24;63;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;32;54;49;28
63;5;10;20;52;57;35;59;34;4;14;18;30;56;29;27;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;50;41;48;8;21;16;24;25;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;32;54;49;28;2;284
2;284;63;5;10;20;52;57;35;59;34;4;14;18;30;56;29;27;9;3;44;23;12;58;37;7;22;11;47;61;6;1;38;62;2;50;41;48;8;21;16;24;25;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;32;54;49;28
63;5;10;20;52;57;35;59;34;4;7;18;30;56;29;27;9;3;44;23;12;58;37;14;22;11;47;61;6;1;38;62;2;50;41;48;8;21;16;24;25;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;32;54;49;28;2;276
2;276;63;5;10;20;52;57;35;59;34;4;7;18;30;56;29;27;9;3;44;23;12;58;37;14;22;11;47;61;6;1;38;62;2;50;41;48;8;21;16;24;25;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;32;54;49;28
