"X1";"X282";"X12";"X49";"X4";"X3";"X16";"X50";"X29";"X2";"X36";"X9";"X26";"X27";"X19";"X53";"X57";"X63";"X45";"X46";"X31";"X34";"X56";"X6";"X42";"X41";"X10";"X35";"X15";"X23";"X47";"X28";"X5";"X62";"X32";"X30";"X37";"X18";"X61";"X44";"X25";"X59";"X54";"X64";"X48";"X43";"X33";"X40";"X11";"X21";"X51";"X17";"X22";"X20";"X8";"X52";"X1.1";"X14";"X7";"X55";"X58";"X39";"X24";"X60";"X38";"X13"
1;282;12;49;4;3;16;50;29;2;36;9;26;27;19;53;57;63;45;46;31;34;56;6;42;41;10;35;15;23;47;28;5;62;32;30;37;18;61;44;25;59;54;64;48;43;33;40;11;21;51;17;22;20;8;52;1;14;7;55;58;39;24;60;38;13
12;49;4;3;16;50;29;2;22;9;26;27;19;53;57;63;45;46;31;34;56;6;42;41;10;35;15;23;47;28;5;62;32;30;37;18;61;44;25;59;54;64;48;43;33;40;11;21;51;17;36;20;8;52;1;14;7;55;58;39;24;60;38;13;1;282
1;282;12;49;4;3;16;50;29;2;22;9;26;27;19;53;57;63;45;46;31;34;56;6;42;41;10;35;15;23;47;28;5;62;32;30;37;18;61;44;25;59;54;64;48;43;33;40;11;21;51;17;36;20;8;52;1;14;7;55;58;39;24;60;38;13
12;49;4;3;16;50;29;2;22;9;26;27;19;53;57;63;45;46;31;34;56;6;42;41;10;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;17;59;20;8;52;1;14;7;55;58;39;24;60;38;13;1;282
1;282;12;49;4;3;16;50;29;2;22;9;26;27;19;53;57;63;45;46;31;34;56;6;42;41;10;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;17;59;20;8;52;1;14;7;55;58;39;24;60;38;13
12;49;4;3;16;50;29;2;22;9;26;27;19;53;57;63;45;46;31;34;56;6;42;41;10;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;20;8;52;1;14;7;55;17;39;24;60;38;13;1;282
1;282;12;49;4;3;16;50;29;2;22;9;26;27;19;53;57;63;45;46;31;34;56;6;42;41;10;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;20;8;52;1;14;7;55;17;39;24;60;38;13
12;49;4;3;16;50;29;2;22;9;26;27;20;53;57;63;45;46;31;34;56;6;42;41;10;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;7;55;17;39;24;60;38;13;1;282
1;282;12;49;4;3;16;50;29;2;22;9;26;27;20;53;57;63;45;46;31;34;56;6;42;41;10;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;7;55;17;39;24;60;38;13
12;49;4;10;16;50;29;2;22;9;26;27;20;53;57;63;45;46;31;34;56;6;42;41;3;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;7;55;17;39;24;60;38;13;1;278
1;278;12;49;4;10;16;50;29;2;22;9;26;27;20;53;57;63;45;46;31;34;56;6;42;41;3;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;7;55;17;39;24;60;38;13
12;49;4;10;16;50;29;2;22;9;26;27;20;53;57;63;45;46;7;34;56;6;42;41;3;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;17;39;24;60;38;13;1;282
1;282;12;49;4;10;16;50;29;2;22;9;26;27;20;53;57;63;45;46;7;34;56;6;42;41;3;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;17;39;24;60;38;13
12;49;4;10;16;50;29;2;22;46;26;27;20;53;57;63;45;9;7;34;56;6;42;41;3;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;17;39;24;60;38;13;1;278
1;278;12;49;4;10;16;50;29;2;22;46;26;27;20;53;57;63;45;9;7;34;56;6;42;41;3;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;17;39;24;60;38;13
12;49;4;10;16;50;60;2;22;46;26;27;20;53;57;63;45;9;7;34;56;6;42;41;3;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;17;39;24;29;38;13;1;278
1;278;12;49;4;10;16;50;60;2;22;46;26;27;20;53;57;63;45;9;7;34;56;6;42;41;3;35;15;23;47;28;5;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;17;39;24;29;38;13
12;49;4;10;16;50;5;2;22;46;26;27;20;53;57;63;45;9;7;34;56;6;42;41;3;35;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;17;39;24;29;38;13;1;278
1;278;12;49;4;10;16;50;5;2;22;46;26;27;20;53;57;63;45;9;7;34;56;6;42;41;3;35;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;17;39;24;29;38;13
12;49;4;10;16;50;5;2;22;46;26;17;20;53;57;63;45;9;7;34;56;6;42;41;3;35;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;27;39;24;29;38;13;1;278
1;278;12;49;4;10;16;50;5;2;22;46;26;17;20;53;57;63;45;9;7;34;56;6;42;41;3;35;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;27;39;24;29;38;13
12;49;4;10;16;50;5;2;22;46;26;17;39;53;57;63;45;9;7;34;56;6;42;41;3;35;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;27;20;24;29;38;13;1;278
1;278;12;49;4;10;16;50;5;2;22;46;26;17;39;53;57;63;45;9;7;34;56;6;42;41;3;35;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;27;20;24;29;38;13
12;49;4;10;16;50;5;2;22;46;26;17;39;53;57;63;45;9;7;34;56;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;27;20;24;29;35;13;1;278
1;278;12;49;4;10;16;50;5;2;22;46;26;17;39;53;57;63;45;9;7;34;56;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;55;27;20;24;29;35;13
12;49;4;10;16;50;5;2;22;46;26;17;39;53;57;63;45;9;7;34;55;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;56;27;20;24;29;35;13;1;278
1;278;12;49;4;10;16;50;5;2;22;46;26;17;39;53;57;63;45;9;7;34;55;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;14;31;56;27;20;24;29;35;13
12;49;4;10;16;50;5;2;22;46;26;17;39;53;57;63;45;9;7;14;55;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;34;31;56;27;20;24;29;35;13;1;268
1;268;12;49;4;10;16;50;5;2;22;46;26;17;39;53;57;63;45;9;7;14;55;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;43;33;40;11;21;51;58;59;19;8;52;1;34;31;56;27;20;24;29;35;13
12;49;4;10;16;50;5;2;22;46;26;17;39;53;57;63;45;9;7;14;55;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;56;27;20;24;29;35;13;1;264
1;264;12;49;4;10;16;50;5;2;22;46;26;17;39;53;57;63;45;9;7;14;55;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;25;36;54;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;56;27;20;24;29;35;13
12;49;4;10;16;50;5;2;22;46;26;17;39;53;57;25;45;9;7;14;55;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;63;36;54;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;56;27;20;24;29;35;13;1;258
1;258;12;49;4;10;16;50;5;2;22;46;26;17;39;53;57;25;45;9;7;14;55;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;63;36;54;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;56;27;20;24;29;35;13
12;49;4;10;16;50;5;2;22;46;55;17;39;53;57;25;45;9;7;14;26;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;63;36;54;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;56;27;20;24;29;35;13;1;250
1;250;12;49;4;10;16;50;5;2;22;46;55;17;39;53;57;25;45;9;7;14;26;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;63;36;54;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;56;27;20;24;29;35;13
12;49;4;10;16;50;5;2;22;46;55;17;39;53;57;25;45;9;7;14;26;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;63;36;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;54;27;20;24;29;35;13;1;250
1;250;12;49;4;10;16;50;5;2;22;46;55;17;39;53;57;25;45;9;7;14;26;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;63;36;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;54;27;20;24;29;35;13
12;49;4;10;16;50;5;2;22;46;55;17;39;53;57;25;45;9;7;14;26;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;27;20;24;29;35;13;1;250
1;250;12;49;4;10;16;50;5;2;22;46;55;17;39;53;57;25;45;9;7;14;26;6;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;27;20;24;29;35;13
12;49;4;10;16;50;5;2;22;46;55;17;39;53;57;25;45;9;7;14;26;27;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13;1;252
2;252;12;49;4;10;16;50;5;2;22;46;55;17;39;53;57;25;45;9;7;14;26;27;42;41;3;38;15;23;47;28;60;62;32;30;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13
12;49;4;10;16;50;5;2;22;46;55;17;39;47;57;25;45;9;7;14;26;27;42;41;3;38;15;23;53;28;60;62;32;30;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13;2;260
2;260;12;49;4;10;16;50;5;2;22;46;55;17;39;47;57;25;45;9;7;14;26;27;42;41;3;38;15;23;53;28;60;62;32;30;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13
12;49;4;10;16;50;5;2;9;46;55;17;39;47;57;25;45;22;7;14;26;27;42;41;3;38;15;23;53;28;60;62;32;30;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13;2;260
2;260;12;49;4;10;16;50;5;2;9;46;55;17;39;47;57;25;45;22;7;14;26;27;42;41;3;38;15;23;53;28;60;62;32;30;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13
12;5;4;10;16;50;49;2;9;46;55;17;39;47;57;25;45;22;7;14;26;27;42;41;3;38;15;23;53;28;60;62;32;30;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13;2;260
2;260;12;5;4;10;16;50;49;2;9;46;55;17;39;47;57;25;45;22;7;14;26;27;42;41;3;38;15;23;53;28;60;62;32;30;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13
12;5;4;10;16;50;49;2;9;46;55;17;39;47;57;25;45;22;7;14;26;27;42;41;30;38;15;23;53;28;60;62;32;3;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13;2;260
2;260;12;5;4;10;16;50;49;2;9;46;55;17;39;47;57;25;45;22;7;14;26;27;42;41;30;38;15;23;53;28;60;62;32;3;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13
12;5;4;10;47;50;49;2;9;46;55;17;39;16;57;25;45;22;7;14;26;27;42;41;30;38;15;23;53;28;60;62;32;3;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13;2;276
2;276;12;5;4;10;47;50;49;2;9;46;55;17;39;16;57;25;45;22;7;14;26;27;42;41;30;38;15;23;53;28;60;62;32;3;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13
12;5;4;10;47;50;15;2;9;46;55;17;39;16;57;25;45;22;7;14;26;27;42;41;30;38;49;23;53;28;60;62;32;3;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13;2;288
2;288;12;5;4;10;47;50;15;2;9;46;55;17;39;16;57;25;45;22;7;14;26;27;42;41;30;38;49;23;53;28;60;62;32;3;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13
16;5;4;10;47;50;15;2;9;46;55;17;39;12;57;25;45;22;7;14;26;27;42;41;30;38;49;23;53;28;60;62;32;3;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13;2;288
2;288;16;5;4;10;47;50;15;2;9;46;55;17;39;12;57;25;45;22;7;14;26;27;42;41;30;38;49;23;53;28;60;62;32;3;37;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13
16;5;4;10;47;50;15;2;9;46;55;17;39;12;57;25;45;37;7;14;26;27;42;41;30;38;49;23;53;28;60;62;32;3;22;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13;2;282
2;282;16;5;4;10;47;50;15;2;9;46;55;17;39;12;57;25;45;37;7;14;26;27;42;41;30;38;49;23;53;28;60;62;32;3;22;18;61;44;63;54;56;64;48;1;33;40;11;21;51;58;59;19;8;52;43;34;31;36;6;20;24;29;35;13
16;5;4;10;47;50;15;2;9;46;55;17;39;12;57;25;45;37;7;14;26;27;42;41;30;38;49;23;53;28;60;62;32;3;22;18;61;44;63;54;56;64;48;1;33;40;11;43;51;58;59;19;8;52;21;34;31;36;6;20;24;29;35;13;2;282
2;282;16;5;4;10;47;50;15;2;9;46;55;17;39;12;57;25;45;37;7;14;26;27;42;41;30;38;49;23;53;28;60;62;32;3;22;18;61;44;63;54;56;64;48;1;33;40;11;43;51;58;59;19;8;52;21;34;31;36;6;20;24;29;35;13
16;5;4;10;59;50;15;2;9;46;55;17;39;12;57;25;45;37;7;14;26;27;42;41;30;38;49;23;53;28;60;62;32;3;22;18;61;44;63;54;56;64;48;1;33;40;11;43;51;58;47;19;8;52;21;34;31;36;6;20;24;29;35;13;2;282
2;282;16;5;4;10;59;50;15;2;9;46;55;17;39;12;57;25;45;37;7;14;26;27;42;41;30;38;49;23;53;28;60;62;32;3;22;18;61;44;63;54;56;64;48;1;33;40;11;43;51;58;47;19;8;52;21;34;31;36;6;20;24;29;35;13
16;5;4;10;59;50;15;2;9;46;55;17;39;12;57;25;45;37;7;14;26;27;42;41;30;38;49;23;53;28;60;62;32;3;22;18;61;44;63;54;56;64;48;1;33;40;11;43;52;58;47;19;8;51;21;34;31;36;6;20;24;29;35;13;2;282
2;282;16;5;4;10;59;50;15;2;9;46;55;17;39;12;57;25;45;37;7;14;26;27;42;41;30;38;49;23;53;28;60;62;32;3;22;18;61;44;63;54;56;64;48;1;33;40;11;43;52;58;47;19;8;51;21;34;31;36;6;20;24;29;35;13
16;5;4;10;59;50;15;2;9;46;55;17;39;12;57;25;45;37;7;14;26;27;29;41;30;38;49;23;53;28;60;62;32;3;22;18;61;44;63;54;56;64;48;1;33;40;11;43;52;58;47;19;8;51;21;34;31;36;6;20;24;42;35;13;2;282
2;282;16;5;4;10;59;50;15;2;9;46;55;17;39;12;57;25;45;37;7;14;26;27;29;41;30;38;49;23;53;28;60;62;32;3;22;18;61;44;63;54;56;64;48;1;33;40;11;43;52;58;47;19;8;51;21;34;31;36;6;20;24;42;35;13
16;5;4;10;59;50;15;9;2;46;55;17;39;12;57;25;45;37;7;14;26;27;29;41;30;38;49;23;53;28;60;62;32;3;22;18;61;44;63;54;56;64;48;1;33;40;11;43;52;58;47;19;8;51;21;34;31;36;6;20;24;42;35;13;2;278
2;278;16;5;4;10;59;50;15;9;2;46;55;17;39;12;57;25;45;37;7;14;26;27;29;41;30;38;49;23;53;28;60;62;32;3;22;18;61;44;63;54;56;64;48;1;33;40;11;43;52;58;47;19;8;51;21;34;31;36;6;20;24;42;35;13
16;5;4;10;59;50;15;9;2;46;55;17;39;12;57;25;45;37;7;14;26;27;29;41;30;38;49;23;53;28;60;62;54;3;22;18;61;44;63;32;56;64;48;1;33;40;11;43;52;58;47;19;8;51;21;34;31;36;6;20;24;42;35;13;2;276
2;276;16;5;4;10;59;50;15;9;2;46;55;17;39;12;57;25;45;37;7;14;26;27;29;41;30;38;49;23;53;28;60;62;54;3;22;18;61;44;63;32;56;64;48;1;33;40;11;43;52;58;47;19;8;51;21;34;31;36;6;20;24;42;35;13
16;5;4;10;59;50;15;9;2;46;55;17;39;12;57;25;45;37;7;14;26;27;29;41;30;38;49;23;53;28;60;62;54;3;22;18;61;44;63;32;56;64;48;1;33;40;11;43;52;58;47;19;20;51;21;34;31;36;6;8;24;42;35;13;2;276
2;276;16;5;4;10;59;50;15;9;2;46;55;17;39;12;57;25;45;37;7;14;26;27;29;41;30;38;49;23;53;28;60;62;54;3;22;18;61;44;63;32;56;64;48;1;33;40;11;43;52;58;47;19;20;51;21;34;31;36;6;8;24;42;35;13
16;56;4;10;59;50;15;9;2;46;55;17;39;12;57;25;45;37;7;14;26;27;29;41;30;38;49;23;53;28;60;62;54;3;22;18;61;44;63;32;5;64;48;1;33;40;11;43;52;58;47;19;20;51;21;34;31;36;6;8;24;42;35;13;2;276
2;276;16;56;4;10;59;50;15;9;2;46;55;17;39;12;57;25;45;37;7;14;26;27;29;41;30;38;49;23;53;28;60;62;54;3;22;18;61;44;63;32;5;64;48;1;33;40;11;43;52;58;47;19;20;51;21;34;31;36;6;8;24;42;35;13
16;56;4;10;59;50;15;9;2;46;55;17;39;12;57;25;45;37;7;14;26;27;35;41;30;38;49;23;53;28;60;62;54;3;22;18;61;44;63;32;5;64;48;1;33;40;11;43;52;58;47;19;20;51;21;34;31;36;6;8;24;42;29;13;2;276
2;276;16;56;4;10;59;50;15;9;2;46;55;17;39;12;57;25;45;37;7;14;26;27;35;41;30;38;49;23;53;28;60;62;54;3;22;18;61;44;63;32;5;64;48;1;33;40;11;43;52;58;47;19;20;51;21;34;31;36;6;8;24;42;29;13
16;56;4;10;59;50;15;9;2;46;55;17;39;12;57;25;45;37;7;14;26;27;35;41;30;20;49;23;53;28;60;62;54;3;22;18;61;44;63;32;5;64;48;1;33;40;11;43;52;58;47;19;38;51;21;34;31;36;6;8;24;42;29;13;2;276
2;276;16;56;4;10;59;50;15;9;2;46;55;17;39;12;57;25;45;37;7;14;26;27;35;41;30;20;49;23;53;28;60;62;54;3;22;18;61;44;63;32;5;64;48;1;33;40;11;43;52;58;47;19;38;51;21;34;31;36;6;8;24;42;29;13
16;56;4;10;59;50;15;9;2;46;55;17;39;12;57;25;23;37;7;14;26;27;35;41;30;20;49;45;53;28;60;62;54;3;22;18;61;44;63;32;5;64;48;1;33;40;11;43;52;58;47;19;38;51;21;34;31;36;6;8;24;42;29;13;2;288
2;288;16;56;4;10;59;50;15;9;2;46;55;17;39;12;57;25;23;37;7;14;26;27;35;41;30;20;49;45;53;28;60;62;54;3;22;18;61;44;63;32;5;64;48;1;33;40;11;43;52;58;47;19;38;51;21;34;31;36;6;8;24;42;29;13
16;56;4;10;59;50;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;35;41;30;23;49;45;53;28;60;62;54;3;22;18;61;44;63;32;5;64;48;1;33;40;11;43;52;58;47;19;38;51;21;34;31;36;6;8;24;42;29;13;2;292
3;292;16;56;4;10;59;50;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;35;41;30;23;49;45;53;28;60;62;54;3;22;18;61;44;63;32;5;64;48;1;33;40;11;43;52;58;47;19;38;51;21;34;31;36;6;8;24;42;29;13
48;56;4;10;59;50;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;35;41;30;23;49;45;53;28;60;62;54;3;22;18;61;44;63;32;5;64;16;1;33;40;11;43;52;58;47;19;38;51;21;34;31;36;6;8;24;42;29;13;3;292
3;292;48;56;4;10;59;50;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;35;41;30;23;49;45;53;28;60;62;54;3;22;18;61;44;63;32;5;64;16;1;33;40;11;43;52;58;47;19;38;51;21;34;31;36;6;8;24;42;29;13
48;56;4;10;59;33;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;35;41;30;23;49;45;53;28;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;6;8;24;42;29;13;3;284
3;284;48;56;4;10;59;33;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;35;41;30;23;49;45;53;28;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;6;8;24;42;29;13
48;56;6;10;59;33;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;35;41;30;23;49;45;53;28;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;4;8;24;42;29;13;3;288
3;288;48;56;6;10;59;33;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;35;41;30;23;49;45;53;28;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;4;8;24;42;29;13
48;56;6;10;59;33;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;28;41;30;23;49;45;53;35;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;4;8;24;42;29;13;3;284
3;284;48;56;6;10;59;33;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;28;41;30;23;49;45;53;35;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;4;8;24;42;29;13
48;56;6;10;59;33;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;28;41;49;23;30;45;53;35;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;4;8;24;42;29;13;3;276
3;276;48;56;6;10;59;33;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;28;41;49;23;30;45;53;35;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;4;8;24;42;29;13
48;56;6;10;59;33;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;28;13;49;23;30;45;53;35;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;4;8;24;42;29;41;3;276
3;276;48;56;6;10;59;33;15;9;2;46;55;17;39;12;57;25;20;37;7;14;26;27;28;13;49;23;30;45;53;35;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;4;8;24;42;29;41
48;56;17;10;59;33;15;9;2;46;55;6;39;12;57;25;20;37;7;14;26;27;28;13;49;23;30;45;53;35;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;4;8;24;42;29;41;3;274
3;274;48;56;17;10;59;33;15;9;2;46;55;6;39;12;57;25;20;37;7;14;26;27;28;13;49;23;30;45;53;35;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;4;8;24;42;29;41
48;56;17;10;59;33;15;9;2;46;55;6;39;12;57;25;20;37;45;14;26;27;28;13;49;23;30;7;53;35;60;62;54;3;22;18;61;44;63;32;5;64;16;1;50;40;11;43;52;58;47;19;38;51;21;34;31;36;4;8;24;42;29;41;3;270
