"X1";"X234";"X7";"X1.1";"X27";"X45";"X39";"X46";"X25";"X58";"X19";"X42";"X14";"X22";"X54";"X34";"X33";"X15";"X55";"X20";"X62";"X36";"X64";"X4";"X56";"X12";"X40";"X13";"X41";"X47";"X44";"X43";"X10";"X5";"X6";"X18";"X35";"X57";"X30";"X53";"X26";"X23";"X37";"X59";"X63";"X8";"X28";"X2";"X48";"X60";"X52";"X24";"X29";"X51";"X38";"X61";"X49";"X16";"X11";"X50";"X17";"X21";"X32";"X9";"X31";"X3"
1;234;7;1;27;45;39;46;25;58;19;42;14;22;54;34;33;15;55;20;62;36;64;4;56;12;40;13;41;47;44;43;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;2;48;60;52;24;29;51;38;61;49;16;11;50;17;21;32;9;31;3
7;1;27;45;39;46;25;58;19;42;14;22;54;34;33;15;55;20;62;36;64;4;56;12;40;13;41;47;44;43;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;38;48;60;52;24;29;51;2;61;49;16;11;50;17;21;32;9;31;3;1;222
1;222;7;1;27;45;39;46;25;58;19;42;14;22;54;34;33;15;55;20;62;36;64;4;56;12;40;13;41;47;44;43;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;38;48;60;52;24;29;51;2;61;49;16;11;50;17;21;32;9;31;3
7;1;27;45;39;46;25;58;19;42;14;22;54;34;33;15;55;20;62;36;64;4;56;12;40;13;41;47;44;43;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;38;48;60;52;24;2;51;29;61;49;16;11;50;17;21;32;9;31;3;1;222
1;222;7;1;27;45;39;46;25;58;19;42;14;22;54;34;33;15;55;20;62;36;64;4;56;12;40;13;41;47;44;43;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;38;48;60;52;24;2;51;29;61;49;16;11;50;17;21;32;9;31;3
7;1;27;45;39;46;25;58;19;42;14;22;54;34;33;15;55;20;62;36;64;4;56;12;40;13;41;47;44;43;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;38;60;52;24;2;51;29;61;49;16;11;50;17;21;32;9;31;3;1;230
1;230;7;1;27;45;39;46;25;58;19;42;14;22;54;34;33;15;55;20;62;36;64;4;56;12;40;13;41;47;44;43;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;38;60;52;24;2;51;29;61;49;16;11;50;17;21;32;9;31;3
7;1;27;45;39;46;25;58;19;42;14;22;54;34;33;15;38;20;62;36;64;4;56;12;40;13;41;47;44;43;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;55;60;52;24;2;51;29;61;49;16;11;50;17;21;32;9;31;3;1;194
1;194;7;1;27;45;39;46;25;58;19;42;14;22;54;34;33;15;38;20;62;36;64;4;56;12;40;13;41;47;44;43;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;55;60;52;24;2;51;29;61;49;16;11;50;17;21;32;9;31;3
7;1;27;45;39;46;25;58;19;42;14;22;54;34;33;15;38;20;62;36;64;4;56;12;40;13;41;43;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;55;60;52;24;2;51;29;61;49;16;11;50;17;21;32;9;31;3;1;198
1;198;7;1;27;45;39;46;25;58;19;42;14;22;54;34;33;15;38;20;62;36;64;4;56;12;40;13;41;43;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;55;60;52;24;2;51;29;61;49;16;11;50;17;21;32;9;31;3
7;13;27;45;39;46;25;58;19;42;14;22;54;34;33;15;38;20;62;36;64;4;56;12;40;1;41;43;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;55;60;52;24;2;51;29;61;49;16;11;50;17;21;32;9;31;3;1;198
1;198;7;13;27;45;39;46;25;58;19;42;14;22;54;34;33;15;38;20;62;36;64;4;56;12;40;1;41;43;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;55;60;52;24;2;51;29;61;49;16;11;50;17;21;32;9;31;3
7;13;27;45;39;46;25;58;19;42;14;22;54;34;33;15;38;20;62;61;64;4;56;12;40;1;41;43;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;55;60;52;24;2;51;29;36;49;16;11;50;17;21;32;9;31;3;1;192
1;192;7;13;27;45;39;46;25;58;19;42;14;22;54;34;33;15;38;20;62;61;64;4;56;12;40;1;41;43;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;55;60;52;24;2;51;29;36;49;16;11;50;17;21;32;9;31;3
7;13;27;45;39;46;25;58;19;42;14;22;54;34;33;15;38;20;62;61;64;4;56;12;40;1;41;31;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;55;60;52;24;2;51;29;36;49;16;11;50;17;21;32;9;43;3;1;192
1;192;7;13;27;45;39;46;25;58;19;42;14;22;54;34;33;15;38;20;62;61;64;4;56;12;40;1;41;31;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;55;60;52;24;2;51;29;36;49;16;11;50;17;21;32;9;43;3
7;13;27;45;39;46;25;58;19;22;14;42;54;34;33;15;38;20;62;61;64;4;56;12;40;1;41;31;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;55;60;52;24;2;51;29;36;49;16;11;50;17;21;32;9;43;3;1;208
1;208;7;13;27;45;39;46;25;58;19;22;14;42;54;34;33;15;38;20;62;61;64;4;56;12;40;1;41;31;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;8;28;48;55;60;52;24;2;51;29;36;49;16;11;50;17;21;32;9;43;3
7;13;27;45;39;46;25;58;19;22;14;42;54;34;8;15;38;20;62;61;64;4;56;12;40;1;41;31;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;33;28;48;55;60;52;24;2;51;29;36;49;16;11;50;17;21;32;9;43;3;1;212
1;212;7;13;27;45;39;46;25;58;19;22;14;42;54;34;8;15;38;20;62;61;64;4;56;12;40;1;41;31;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;33;28;48;55;60;52;24;2;51;29;36;49;16;11;50;17;21;32;9;43;3
7;13;27;45;39;46;25;58;11;22;14;42;54;34;8;15;38;20;62;61;64;4;56;12;40;1;41;31;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;33;28;48;55;60;52;24;2;51;29;36;49;16;19;50;17;21;32;9;43;3;1;212
1;212;7;13;27;45;39;46;25;58;11;22;14;42;54;34;8;15;38;20;62;61;64;4;56;12;40;1;41;31;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;33;28;48;55;60;52;24;2;51;29;36;49;16;19;50;17;21;32;9;43;3
7;13;27;45;39;46;25;58;11;22;14;42;54;34;8;15;38;20;62;61;64;4;56;12;40;1;41;31;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;33;28;48;55;60;52;24;2;51;29;16;49;36;19;50;17;21;32;9;43;3;1;212
