"X1";"X310";"X48";"X37";"X60";"X61";"X18";"X3";"X19";"X44";"X11";"X39";"X25";"X59";"X29";"X34";"X17";"X56";"X8";"X57";"X15";"X10";"X6";"X63";"X27";"X16";"X45";"X58";"X54";"X33";"X23";"X22";"X1.1";"X4";"X35";"X42";"X30";"X26";"X28";"X31";"X41";"X20";"X53";"X55";"X5";"X14";"X38";"X47";"X50";"X52";"X43";"X24";"X13";"X2";"X12";"X64";"X49";"X32";"X62";"X46";"X51";"X9";"X21";"X40";"X36";"X7"
1;310;48;37;60;61;18;3;19;44;11;39;25;59;29;34;17;56;8;57;15;10;6;63;27;16;45;58;54;33;23;22;1;4;35;42;30;26;28;31;41;20;53;55;5;14;38;47;50;52;43;24;13;2;12;64;49;32;62;46;51;9;21;40;36;7
48;37;60;61;18;3;19;44;11;39;25;59;32;34;17;56;8;57;15;10;6;63;27;16;45;58;54;33;23;22;1;4;35;42;30;26;28;31;41;20;53;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;21;40;36;7;1;310
1;310;48;37;60;61;18;3;19;44;11;39;25;59;32;34;17;56;8;57;15;10;6;63;27;16;45;58;54;33;23;22;1;4;35;42;30;26;28;31;41;20;53;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;21;40;36;7
48;37;60;61;18;3;19;44;11;39;25;59;32;34;17;56;8;57;40;10;6;63;27;16;45;58;54;33;23;22;1;4;35;42;30;26;28;31;41;20;53;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;21;15;36;7;1;314
1;314;48;37;60;61;18;3;19;44;11;39;25;59;32;34;17;56;8;57;40;10;6;63;27;16;45;58;54;33;23;22;1;4;35;42;30;26;28;31;41;20;53;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;21;15;36;7
48;37;60;61;18;3;19;44;11;39;25;59;32;34;17;56;8;45;40;10;6;63;27;16;57;58;54;33;23;22;1;4;35;42;30;26;28;31;41;20;53;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;21;15;36;7;1;314
1;314;48;37;60;61;18;3;19;44;11;39;25;59;32;34;17;56;8;45;40;10;6;63;27;16;57;58;54;33;23;22;1;4;35;42;30;26;28;31;41;20;53;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;21;15;36;7
48;37;60;61;18;3;19;44;11;39;25;59;32;34;17;56;8;45;40;10;6;63;27;16;57;58;54;33;23;22;1;4;35;42;30;26;53;31;41;20;28;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;21;15;36;7;1;314
1;314;48;37;60;61;18;3;19;44;11;39;25;59;32;34;17;56;8;45;40;10;6;63;27;16;57;58;54;33;23;22;1;4;35;42;30;26;53;31;41;20;28;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;21;15;36;7
48;37;60;61;18;3;19;44;11;39;21;59;32;34;17;56;8;45;40;10;6;63;27;16;57;58;54;33;23;22;1;4;35;42;30;26;53;31;41;20;28;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;7;1;302
1;302;48;37;60;61;18;3;19;44;11;39;21;59;32;34;17;56;8;45;40;10;6;63;27;16;57;58;54;33;23;22;1;4;35;42;30;26;53;31;41;20;28;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;7
48;37;60;61;18;3;19;44;11;39;21;59;32;34;17;56;8;45;40;10;6;63;27;16;57;58;28;33;23;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;7;1;298
1;298;48;37;60;61;18;3;19;44;11;39;21;59;32;34;17;56;8;45;40;10;6;63;27;16;57;58;28;33;23;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;7
48;37;60;61;18;3;19;44;11;39;23;59;32;34;17;56;8;45;40;10;6;63;27;16;57;58;28;33;21;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;7;1;294
1;294;48;37;60;61;18;3;19;44;11;39;23;59;32;34;17;56;8;45;40;10;6;63;27;16;57;58;28;33;21;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;47;50;52;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;7
48;37;52;61;18;3;19;44;11;39;23;59;32;34;17;56;8;45;40;10;6;63;27;16;57;58;28;33;21;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;47;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;7;1;292
1;292;48;37;52;61;18;3;19;44;11;39;23;59;32;34;17;56;8;45;40;10;6;63;27;16;57;58;28;33;21;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;47;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;7
48;37;8;61;18;3;19;44;11;39;23;59;32;34;17;56;52;45;40;10;6;63;27;16;57;58;28;33;21;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;47;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;7;1;298
1;298;48;37;8;61;18;3;19;44;11;39;23;59;32;34;17;56;52;45;40;10;6;63;27;16;57;58;28;33;21;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;47;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;7
48;37;8;7;18;3;19;44;11;39;23;59;32;34;17;56;52;45;40;10;6;63;27;16;57;58;28;33;21;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;47;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;61;1;294
1;294;48;37;8;7;18;3;19;44;11;39;23;59;32;34;17;56;52;45;40;10;6;63;27;16;57;58;28;33;21;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;47;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;61
48;37;8;7;18;3;19;44;11;39;23;59;32;34;17;56;52;45;40;10;6;63;27;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;47;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;58;1;294
