"X1";"X282";"X20";"X26";"X7";"X42";"X60";"X17";"X56";"X34";"X23";"X14";"X30";"X41";"X21";"X57";"X64";"X15";"X29";"X46";"X27";"X8";"X22";"X38";"X11";"X9";"X32";"X47";"X62";"X12";"X53";"X13";"X49";"X2";"X28";"X40";"X33";"X48";"X18";"X35";"X51";"X61";"X50";"X39";"X25";"X5";"X6";"X55";"X1.1";"X43";"X24";"X59";"X44";"X4";"X37";"X45";"X16";"X58";"X19";"X3";"X63";"X36";"X52";"X31";"X10";"X54"
1;282;20;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;11;9;32;47;62;12;53;13;49;2;28;40;33;48;18;35;51;61;50;39;25;5;6;55;1;43;24;59;44;4;37;45;16;58;19;3;63;36;52;31;10;54
20;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;11;9;32;47;45;12;53;13;49;2;28;40;33;48;18;35;51;61;50;39;25;5;6;55;1;43;24;59;44;4;37;62;16;58;19;3;63;36;52;31;10;54;1;282
1;282;20;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;11;9;32;47;45;12;53;13;49;2;28;40;33;48;18;35;51;61;50;39;25;5;6;55;1;43;24;59;44;4;37;62;16;58;19;3;63;36;52;31;10;54
20;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;47;45;12;53;13;49;2;28;40;33;48;18;35;51;61;50;39;25;5;6;55;1;43;24;59;44;4;37;62;16;58;19;3;63;36;52;31;10;54;1;282
1;282;20;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;47;45;12;53;13;49;2;28;40;33;48;18;35;51;61;50;39;25;5;6;55;1;43;24;59;44;4;37;62;16;58;19;3;63;36;52;31;10;54
20;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;2;47;40;33;48;18;35;51;61;50;39;25;5;6;55;1;43;24;59;44;4;37;62;16;58;19;3;63;36;52;31;10;54;1;278
1;278;20;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;2;47;40;33;48;18;35;51;61;50;39;25;5;6;55;1;43;24;59;44;4;37;62;16;58;19;3;63;36;52;31;10;54
20;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;2;47;40;33;48;18;35;59;61;50;39;25;5;6;55;1;43;24;51;44;4;37;62;16;58;19;3;63;36;52;31;10;54;1;272
1;272;20;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;2;47;40;33;48;18;35;59;61;50;39;25;5;6;55;1;43;24;51;44;4;37;62;16;58;19;3;63;36;52;31;10;54
20;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;2;47;25;33;48;18;35;59;61;50;39;40;5;6;55;1;43;24;51;44;4;37;62;16;58;19;3;63;36;52;31;10;54;1;272
1;272;20;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;2;47;25;33;48;18;35;59;61;50;39;40;5;6;55;1;43;24;51;44;4;37;62;16;58;19;3;63;36;52;31;10;54
31;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;2;47;25;33;48;18;35;59;61;50;39;40;5;6;55;1;43;24;51;44;4;37;62;16;58;19;3;63;36;52;20;10;54;1;272
1;272;31;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;2;47;25;33;48;18;35;59;61;50;39;40;5;6;55;1;43;24;51;44;4;37;62;16;58;19;3;63;36;52;20;10;54
31;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;2;47;25;37;48;18;35;59;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;36;52;20;10;54;1;270
