"X1";"X304";"X43";"X11";"X37";"X32";"X53";"X20";"X35";"X41";"X15";"X40";"X50";"X26";"X13";"X14";"X34";"X1.1";"X19";"X42";"X7";"X6";"X29";"X57";"X16";"X2";"X18";"X38";"X12";"X46";"X8";"X36";"X58";"X45";"X64";"X56";"X55";"X17";"X22";"X5";"X61";"X3";"X10";"X59";"X51";"X31";"X33";"X47";"X9";"X48";"X39";"X62";"X24";"X44";"X63";"X4";"X25";"X23";"X21";"X54";"X27";"X60";"X28";"X52";"X49";"X30"
1;304;43;11;37;32;53;20;35;41;15;40;50;26;13;14;34;1;19;42;7;6;29;57;16;2;18;38;12;46;8;36;58;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;62;24;44;63;4;25;23;21;54;27;60;28;52;49;30
43;11;37;32;53;20;35;41;15;40;50;26;13;14;34;1;19;42;7;6;29;46;16;2;18;38;12;57;8;36;58;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;62;24;44;63;4;25;23;21;54;27;60;28;52;49;30;1;302
1;302;43;11;37;32;53;20;35;41;15;40;50;26;13;14;34;1;19;42;7;6;29;46;16;2;18;38;12;57;8;36;58;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;62;24;44;63;4;25;23;21;54;27;60;28;52;49;30
43;11;37;32;53;20;35;41;15;40;50;26;13;14;34;1;19;42;7;6;28;46;16;2;18;38;12;57;8;36;58;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;62;24;44;63;4;25;23;21;54;27;60;29;52;49;30;1;302
1;302;43;11;37;32;53;20;35;41;15;40;50;26;13;14;34;1;19;42;7;6;28;46;16;2;18;38;12;57;8;36;58;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;62;24;44;63;4;25;23;21;54;27;60;29;52;49;30
43;11;37;41;53;20;35;32;15;40;50;26;13;14;34;1;19;42;7;6;28;46;16;2;18;38;12;57;8;36;58;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;62;24;44;63;4;25;23;21;54;27;60;29;52;49;30;1;290
1;290;43;11;37;41;53;20;35;32;15;40;50;26;13;14;34;1;19;42;7;6;28;46;16;2;18;38;12;57;8;36;58;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;62;24;44;63;4;25;23;21;54;27;60;29;52;49;30
43;11;37;41;53;20;35;32;15;40;50;26;13;14;34;1;8;42;7;6;28;46;16;2;18;38;12;57;19;36;58;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;62;24;44;63;4;25;23;21;54;27;60;29;52;49;30;1;274
1;274;43;11;37;41;53;20;35;32;15;40;50;26;13;14;34;1;8;42;7;6;28;46;16;2;18;38;12;57;19;36;58;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;62;24;44;63;4;25;23;21;54;27;60;29;52;49;30
43;62;37;41;53;20;35;32;15;40;50;26;13;14;34;1;8;42;7;6;28;46;16;2;18;38;12;57;19;36;58;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30;1;274
1;274;43;62;37;41;53;20;35;32;15;40;50;26;13;14;34;1;8;42;7;6;28;46;16;2;18;38;12;57;19;36;58;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30
