"X1";"X306";"X61";"X59";"X7";"X24";"X21";"X20";"X54";"X63";"X9";"X19";"X38";"X27";"X44";"X15";"X50";"X51";"X28";"X5";"X12";"X48";"X4";"X39";"X42";"X29";"X31";"X32";"X11";"X2";"X1.1";"X13";"X43";"X25";"X14";"X57";"X47";"X46";"X17";"X36";"X53";"X26";"X30";"X33";"X58";"X41";"X60";"X55";"X10";"X22";"X23";"X40";"X56";"X49";"X6";"X62";"X37";"X18";"X35";"X3";"X45";"X8";"X64";"X34";"X16";"X52"
1;306;61;59;7;24;21;20;54;63;9;19;38;27;44;15;50;51;28;5;12;48;4;39;42;29;31;32;11;2;1;13;43;25;14;57;47;46;17;36;53;26;30;33;58;41;60;55;10;22;23;40;56;49;6;62;37;18;35;3;45;8;64;34;16;52
61;59;7;24;21;20;54;63;9;19;38;27;44;15;50;51;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;47;46;17;36;53;26;30;33;58;41;60;55;10;22;23;42;56;49;6;62;37;18;35;3;45;8;64;34;16;52;1;306
1;306;61;59;7;24;21;20;54;63;9;19;38;27;44;15;50;51;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;47;46;17;36;53;26;30;33;58;41;60;55;10;22;23;42;56;49;6;62;37;18;35;3;45;8;64;34;16;52
61;59;7;24;21;20;54;63;9;19;38;27;44;15;60;51;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;47;46;17;36;53;26;30;33;58;41;50;55;10;22;23;42;56;49;6;62;37;18;35;3;45;8;64;34;16;52;1;294
1;294;61;59;7;24;21;20;54;63;9;19;38;27;44;15;60;51;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;47;46;17;36;53;26;30;33;58;41;50;55;10;22;23;42;56;49;6;62;37;18;35;3;45;8;64;34;16;52
61;59;7;24;21;20;54;63;9;19;38;27;44;3;60;51;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;47;46;17;36;53;26;30;33;58;41;50;55;10;22;23;42;56;49;6;62;37;18;35;15;45;8;64;34;16;52;1;286
1;286;61;59;7;24;21;20;54;63;9;19;38;27;44;3;60;51;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;47;46;17;36;53;26;30;33;58;41;50;55;10;22;23;42;56;49;6;62;37;18;35;15;45;8;64;34;16;52
61;59;7;24;21;20;54;63;9;19;38;27;44;3;60;51;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;62;46;17;36;53;26;30;33;58;41;50;55;10;22;23;42;56;49;6;47;37;18;35;15;45;8;64;34;16;52;1;284
1;284;61;59;7;24;21;20;54;63;9;19;38;27;44;3;60;51;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;62;46;17;36;53;26;30;33;58;41;50;55;10;22;23;42;56;49;6;47;37;18;35;15;45;8;64;34;16;52
61;59;7;24;21;20;54;47;9;19;38;27;44;3;60;51;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;62;46;17;36;53;26;30;33;58;41;50;55;10;22;23;42;56;49;6;63;37;18;35;15;45;8;64;34;16;52;1;288
