"X1";"X258";"X13";"X57";"X15";"X18";"X8";"X38";"X62";"X24";"X50";"X54";"X12";"X11";"X33";"X3";"X61";"X32";"X22";"X59";"X16";"X34";"X21";"X9";"X55";"X31";"X63";"X30";"X42";"X46";"X51";"X26";"X48";"X52";"X60";"X43";"X56";"X14";"X7";"X28";"X36";"X20";"X37";"X47";"X41";"X23";"X39";"X10";"X25";"X64";"X49";"X1.1";"X2";"X6";"X35";"X19";"X27";"X45";"X17";"X44";"X5";"X58";"X4";"X53";"X29";"X40"
1;258;13;57;15;18;8;38;62;24;50;54;12;11;33;3;61;32;22;59;16;34;21;9;55;31;63;30;42;46;51;26;48;52;60;43;56;14;7;28;36;20;37;47;41;23;39;10;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;53;29;40
13;57;15;18;8;38;62;24;50;54;12;11;33;3;61;32;22;59;16;34;21;9;55;31;63;30;42;46;51;26;48;52;10;43;56;14;7;28;36;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;53;29;40;1;268
1;268;13;57;15;18;8;38;62;24;50;54;12;11;33;3;61;32;22;59;16;34;21;9;55;31;63;30;42;46;51;26;48;52;10;43;56;14;7;28;36;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;53;29;40
13;57;15;18;8;29;62;24;50;54;12;11;33;3;61;32;22;59;16;34;21;9;55;31;63;30;42;46;51;26;48;52;10;43;56;14;7;28;36;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;53;38;40;1;264
1;264;13;57;15;18;8;29;62;24;50;54;12;11;33;3;61;32;22;59;16;34;21;9;55;31;63;30;42;46;51;26;48;52;10;43;56;14;7;28;36;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;53;38;40
13;57;15;18;8;29;62;24;50;54;12;11;33;3;61;53;22;59;16;34;21;9;55;31;63;30;42;46;51;26;48;52;10;43;56;14;7;28;36;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;32;38;40;1;264
1;264;13;57;15;18;8;29;62;24;50;54;12;11;33;3;61;53;22;59;16;34;21;9;55;31;63;30;42;46;51;26;48;52;10;43;56;14;7;28;36;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;32;38;40
13;57;15;18;8;29;62;24;50;54;12;11;33;3;61;53;22;59;16;34;21;43;55;31;63;30;42;46;51;26;48;52;10;9;56;14;7;28;36;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;32;38;40;1;264
1;264;13;57;15;18;8;29;62;24;50;54;12;11;33;3;61;53;22;59;16;34;21;43;55;31;63;30;42;46;51;26;48;52;10;9;56;14;7;28;36;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;32;38;40
13;57;15;18;8;29;62;24;50;54;12;11;33;3;61;53;22;16;59;34;21;43;55;31;63;30;42;46;51;26;48;52;10;9;56;14;7;28;36;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;32;38;40;1;272
1;272;13;57;15;18;8;29;62;24;50;54;12;11;33;3;61;53;22;16;59;34;21;43;55;31;63;30;42;46;51;26;48;52;10;9;56;14;7;28;36;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;32;38;40
13;57;15;18;8;29;62;24;50;54;12;11;33;3;61;53;22;16;59;34;21;43;55;31;63;30;42;46;51;26;48;52;10;9;36;14;7;28;56;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;32;38;40;1;280
1;280;13;57;15;18;8;29;62;24;50;54;12;11;33;3;61;53;22;16;59;34;21;43;55;31;63;30;42;46;51;26;48;52;10;9;36;14;7;28;56;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;32;38;40
13;57;15;18;8;29;62;24;50;54;12;11;33;3;61;53;22;16;59;34;21;43;55;32;63;30;42;46;51;26;48;52;10;9;36;14;7;28;56;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;31;38;40;1;280
1;280;13;57;15;18;8;29;62;24;50;54;12;11;33;3;61;53;22;16;59;34;21;43;55;32;63;30;42;46;51;26;48;52;10;9;36;14;7;28;56;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;27;45;17;44;5;58;4;31;38;40
13;57;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;55;32;63;30;42;46;51;26;48;52;10;9;36;14;7;28;56;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;12;45;17;44;5;58;4;31;38;40;1;264
1;264;13;57;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;55;32;63;30;42;46;51;26;48;52;10;9;36;14;7;28;56;20;37;47;41;23;39;60;25;64;49;1;2;6;35;19;12;45;17;44;5;58;4;31;38;40
13;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;55;32;63;30;42;46;51;26;48;52;10;9;36;14;7;28;56;20;37;47;41;23;39;57;25;64;49;1;2;6;35;19;12;45;17;44;5;58;4;31;38;40;1;260
1;260;13;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;55;32;63;30;42;46;51;26;48;52;10;9;36;14;7;28;56;20;37;47;41;23;39;57;25;64;49;1;2;6;35;19;12;45;17;44;5;58;4;31;38;40
13;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;32;63;30;42;46;51;26;48;52;10;9;36;14;7;28;56;20;37;47;41;55;39;57;25;64;49;1;2;6;35;19;12;45;17;44;5;58;4;31;38;40;1;264
1;264;13;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;32;63;30;42;46;51;26;48;52;10;9;36;14;7;28;56;20;37;47;41;55;39;57;25;64;49;1;2;6;35;19;12;45;17;44;5;58;4;31;38;40
13;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;32;63;38;42;46;51;26;48;52;10;9;36;14;7;28;56;20;37;47;41;55;39;57;25;64;49;1;2;6;35;19;12;45;17;44;5;58;4;31;30;40;1;264
1;264;13;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;32;63;38;42;46;51;26;48;52;10;9;36;14;7;28;56;20;37;47;41;55;39;57;25;64;49;1;2;6;35;19;12;45;17;44;5;58;4;31;30;40
13;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;14;63;38;42;46;51;26;48;52;10;9;36;32;7;28;56;20;37;47;41;55;39;57;25;64;49;1;2;6;35;19;12;45;17;44;5;58;4;31;30;40;1;264
1;264;13;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;14;63;38;42;46;51;26;48;52;10;9;36;32;7;28;56;20;37;47;41;55;39;57;25;64;49;1;2;6;35;19;12;45;17;44;5;58;4;31;30;40
13;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;14;63;55;42;46;51;26;48;52;10;9;36;32;7;28;56;20;37;47;41;38;39;57;25;64;49;1;2;6;35;19;12;45;17;44;5;58;4;31;30;40;1;284
1;284;13;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;14;63;55;42;46;51;26;48;52;10;9;36;32;7;28;56;20;37;47;41;38;39;57;25;64;49;1;2;6;35;19;12;45;17;44;5;58;4;31;30;40
13;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;14;63;55;42;46;51;26;58;52;10;9;36;32;7;28;56;20;37;47;41;38;39;57;25;64;49;1;2;6;35;19;12;45;17;44;5;48;4;31;30;40;1;284
1;284;13;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;14;63;55;42;46;51;26;58;52;10;9;36;32;7;28;56;20;37;47;41;38;39;57;25;64;49;1;2;6;35;19;12;45;17;44;5;48;4;31;30;40
35;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;14;63;55;42;46;51;26;58;52;10;9;36;32;7;28;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;48;4;31;30;40;1;284
1;284;35;60;15;18;8;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;14;63;55;42;46;51;26;58;52;10;9;36;32;7;28;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;48;4;31;30;40
35;60;15;18;55;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;28;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;48;4;31;30;40;1;284
1;284;35;60;15;18;55;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;28;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;48;4;31;30;40
35;60;15;18;55;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;28;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;4;48;31;30;40;1;284
1;284;35;60;15;18;55;29;62;24;50;54;27;11;33;3;61;53;22;16;59;34;21;43;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;28;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;4;48;31;30;40
35;60;15;18;55;29;62;43;50;54;27;11;33;3;61;53;22;16;59;34;21;24;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;28;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;4;48;31;30;40;1;290
1;290;35;60;15;18;55;29;62;43;50;54;27;11;33;3;61;53;22;16;59;34;21;24;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;28;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;4;48;31;30;40
35;28;15;18;55;29;62;43;50;54;27;11;33;3;61;53;22;16;59;34;21;24;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;60;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;4;48;31;30;40;1;290
1;290;35;28;15;18;55;29;62;43;50;54;27;11;33;3;61;53;22;16;59;34;21;24;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;60;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;4;48;31;30;40
35;28;15;18;55;29;62;43;50;54;27;11;33;3;61;53;22;16;59;34;21;40;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;60;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;4;48;31;30;24;1;290
2;290;35;28;15;18;55;29;62;43;50;54;27;11;33;3;61;53;22;16;59;34;21;40;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;60;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;4;48;31;30;24
35;28;15;18;55;29;31;43;50;54;27;11;33;3;61;53;22;16;59;34;21;40;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;60;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;4;48;62;30;24;2;290
2;290;35;28;15;18;55;29;31;43;50;54;27;11;33;3;61;53;22;16;59;34;21;40;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;60;56;20;37;47;41;38;39;57;25;64;49;1;2;6;13;19;12;45;17;44;5;4;48;62;30;24
35;28;15;18;55;29;31;43;50;54;27;11;33;3;61;53;22;16;59;34;21;40;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;2;56;20;37;47;41;38;39;57;25;64;49;1;60;6;13;19;12;45;17;44;5;4;48;62;30;24;2;290
2;290;35;28;15;18;55;29;31;43;50;54;27;11;33;3;61;53;22;16;59;34;21;40;23;14;63;8;42;46;51;26;58;52;10;9;36;32;7;2;56;20;37;47;41;38;39;57;25;64;49;1;60;6;13;19;12;45;17;44;5;4;48;62;30;24
35;28;15;18;55;29;31;43;50;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;36;32;7;2;56;20;37;47;41;38;39;57;25;64;49;1;60;6;13;19;12;45;17;44;5;4;48;62;30;24;2;286
2;286;35;28;15;18;55;29;31;43;50;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;36;32;7;2;56;20;37;47;41;38;39;57;25;64;49;1;60;6;13;19;12;45;17;44;5;4;48;62;30;24
35;28;15;18;55;29;31;43;50;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;36;32;7;2;56;20;37;47;41;38;39;57;25;64;49;48;60;6;13;19;12;45;17;44;5;4;1;62;30;24;2;286
2;286;35;28;15;18;55;29;31;43;50;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;36;32;7;2;56;20;37;47;41;38;39;57;25;64;49;48;60;6;13;19;12;45;17;44;5;4;1;62;30;24
35;28;15;18;55;29;31;43;36;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;32;7;2;56;20;37;47;41;38;39;57;25;64;49;48;60;6;13;19;12;45;17;44;5;4;1;62;30;24;2;286
2;286;35;28;15;18;55;29;31;43;36;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;32;7;2;56;20;37;47;41;38;39;57;25;64;49;48;60;6;13;19;12;45;17;44;5;4;1;62;30;24
35;28;15;18;55;29;31;43;36;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;7;32;56;20;37;47;41;38;39;57;25;64;49;48;60;6;13;19;12;45;17;44;5;4;1;62;30;24;2;286
2;286;35;28;15;18;55;29;31;43;36;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;7;32;56;20;37;47;41;38;39;57;25;64;49;48;60;6;13;19;12;45;17;44;5;4;1;62;30;24
35;28;6;18;55;29;31;43;36;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;7;32;56;20;37;47;41;38;39;57;25;64;49;48;60;15;13;19;12;45;17;44;5;4;1;62;30;24;2;280
2;280;35;28;6;18;55;29;31;43;36;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;7;32;56;20;37;47;41;38;39;57;25;64;49;48;60;15;13;19;12;45;17;44;5;4;1;62;30;24
43;28;6;18;55;29;31;35;36;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;7;32;56;20;37;47;41;38;39;57;25;64;49;48;60;15;13;19;12;45;17;44;5;4;1;62;30;24;2;284
