"X1";"X280";"X39";"X21";"X42";"X46";"X43";"X28";"X9";"X6";"X3";"X22";"X1.1";"X49";"X52";"X53";"X4";"X2";"X51";"X18";"X32";"X33";"X31";"X14";"X54";"X34";"X48";"X61";"X38";"X58";"X37";"X44";"X63";"X29";"X7";"X24";"X26";"X59";"X27";"X55";"X15";"X62";"X23";"X47";"X10";"X17";"X30";"X35";"X36";"X25";"X56";"X19";"X41";"X64";"X50";"X11";"X20";"X8";"X60";"X16";"X5";"X40";"X13";"X57";"X12";"X45"
1;280;39;21;42;46;43;28;9;6;3;22;1;49;52;53;4;2;51;18;32;33;31;14;54;34;48;61;38;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;10;17;30;35;36;25;56;19;41;64;50;11;20;8;60;16;5;40;13;57;12;45
39;21;42;46;43;28;9;6;3;22;1;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;38;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;10;17;30;35;36;25;56;19;41;64;31;11;20;8;60;16;5;40;13;57;12;45;1;280
1;280;39;21;42;46;43;28;9;6;3;22;1;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;38;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;10;17;30;35;36;25;56;19;41;64;31;11;20;8;60;16;5;40;13;57;12;45
39;10;42;46;43;28;9;6;3;22;1;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;38;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;21;17;30;35;36;25;56;19;41;64;31;11;20;8;60;16;5;40;13;57;12;45;1;280
1;280;39;10;42;46;43;28;9;6;3;22;1;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;38;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;21;17;30;35;36;25;56;19;41;64;31;11;20;8;60;16;5;40;13;57;12;45
39;10;42;46;43;36;9;6;3;22;1;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;38;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;21;17;30;35;28;25;56;19;41;64;31;11;20;8;60;16;5;40;13;57;12;45;1;280
1;280;39;10;42;46;43;36;9;6;3;22;1;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;38;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;21;17;30;35;28;25;56;19;41;64;31;11;20;8;60;16;5;40;13;57;12;45
39;10;42;46;3;36;9;6;43;22;1;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;38;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;21;17;30;35;28;25;56;19;41;64;31;11;20;8;60;16;5;40;13;57;12;45;1;280
1;280;39;10;42;46;3;36;9;6;43;22;1;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;38;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;21;17;30;35;28;25;56;19;41;64;31;11;20;8;60;16;5;40;13;57;12;45
39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;38;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;21;17;30;35;28;25;56;19;41;64;31;11;20;8;60;16;5;40;1;57;12;45;1;296
1;296;39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;38;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;21;17;30;35;28;25;56;19;41;64;31;11;20;8;60;16;5;40;1;57;12;45
39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;41;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;21;17;30;35;28;25;56;19;38;64;31;11;20;8;60;16;5;40;1;57;12;45;1;288
1;288;39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;41;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;21;17;30;35;28;25;56;19;38;64;31;11;20;8;60;16;5;40;1;57;12;45
39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;41;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;21;17;45;35;28;25;56;19;38;64;31;11;20;8;60;16;5;40;1;57;12;30;1;288
1;288;39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;41;58;37;44;63;29;7;24;26;59;27;55;15;62;23;47;21;17;45;35;28;25;56;19;38;64;31;11;20;8;60;16;5;40;1;57;12;30
39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;41;58;37;44;63;29;7;24;26;1;27;55;15;62;23;47;21;17;45;35;28;25;56;19;38;64;31;11;20;8;60;16;5;40;59;57;12;30;1;288
1;288;39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;50;14;54;34;48;61;41;58;37;44;63;29;7;24;26;1;27;55;15;62;23;47;21;17;45;35;28;25;56;19;38;64;31;11;20;8;60;16;5;40;59;57;12;30
39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;7;14;54;34;48;61;41;58;37;44;63;29;50;24;26;1;27;55;15;62;23;47;21;17;45;35;28;25;56;19;38;64;31;11;20;8;60;16;5;40;59;57;12;30;1;282
1;282;39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;7;14;54;34;48;61;41;58;37;44;63;29;50;24;26;1;27;55;15;62;23;47;21;17;45;35;28;25;56;19;38;64;31;11;20;8;60;16;5;40;59;57;12;30
39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;7;14;54;34;48;61;41;58;37;44;63;29;50;24;26;1;27;55;15;62;23;47;21;17;19;35;28;25;56;45;38;64;31;11;20;8;60;16;5;40;59;57;12;30;1;282
1;282;39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;7;14;54;34;48;61;41;58;37;44;63;29;50;24;26;1;27;55;15;62;23;47;21;17;19;35;28;25;56;45;38;64;31;11;20;8;60;16;5;40;59;57;12;30
39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;7;14;54;34;48;30;41;58;37;44;63;29;50;24;26;1;27;55;15;62;23;47;21;17;19;35;28;25;56;45;38;64;31;11;20;8;60;16;5;40;59;57;12;61;1;282
1;282;39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;7;14;54;34;48;30;41;58;37;44;63;29;50;24;26;1;27;55;15;62;23;47;21;17;19;35;28;25;56;45;38;64;31;11;20;8;60;16;5;40;59;57;12;61
39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;7;14;54;15;48;30;41;58;37;44;63;29;50;24;26;1;27;55;34;62;23;47;21;17;19;35;28;25;56;45;38;64;31;11;20;8;60;16;5;40;59;57;12;61;1;276
1;276;39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;7;14;54;15;48;30;41;58;37;44;63;29;50;24;26;1;27;55;34;62;23;47;21;17;19;35;28;25;56;45;38;64;31;11;20;8;60;16;5;40;59;57;12;61
39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;7;14;54;15;48;30;41;58;37;44;63;29;50;24;26;1;27;55;34;62;23;47;21;17;19;20;28;25;56;45;38;64;31;11;35;8;60;16;5;40;59;57;12;61;1;264
1;264;39;10;42;46;3;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;7;14;54;15;48;30;41;58;37;44;63;29;50;24;26;1;27;55;34;62;23;47;21;17;19;20;28;25;56;45;38;64;31;11;35;8;60;16;5;40;59;57;12;61
39;10;42;46;40;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;7;14;54;15;48;30;41;58;37;44;63;29;50;24;26;1;27;55;34;62;23;47;21;17;19;20;28;25;56;45;38;64;31;11;35;8;60;16;5;3;59;57;12;61;1;264
1;264;39;10;42;46;40;36;9;6;43;22;13;49;52;53;4;2;51;18;32;33;7;14;54;15;48;30;41;58;37;44;63;29;50;24;26;1;27;55;34;62;23;47;21;17;19;20;28;25;56;45;38;64;31;11;35;8;60;16;5;3;59;57;12;61
