"X1";"X284";"X59";"X28";"X46";"X10";"X31";"X26";"X19";"X8";"X21";"X38";"X57";"X24";"X22";"X27";"X44";"X6";"X35";"X16";"X29";"X53";"X48";"X12";"X1.1";"X15";"X25";"X42";"X30";"X7";"X5";"X2";"X4";"X47";"X37";"X43";"X51";"X52";"X9";"X41";"X63";"X14";"X33";"X50";"X3";"X60";"X18";"X61";"X23";"X20";"X49";"X11";"X58";"X64";"X55";"X62";"X32";"X17";"X40";"X45";"X39";"X54";"X34";"X36";"X13";"X56"
1;284;59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;6;35;16;29;53;48;12;1;15;25;42;30;7;5;2;4;47;37;43;51;52;9;41;63;14;33;50;3;60;18;61;23;20;49;11;58;64;55;62;32;17;40;45;39;54;34;36;13;56
59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;6;35;16;29;53;48;12;1;15;25;42;30;7;5;2;4;47;37;43;51;52;9;41;63;14;33;50;3;60;18;61;23;45;49;11;58;64;55;62;32;17;40;20;39;54;34;36;13;56;1;284
1;284;59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;6;35;16;29;53;48;12;1;15;25;42;30;7;5;2;4;47;37;43;51;52;9;41;63;14;33;50;3;60;18;61;23;45;49;11;58;64;55;62;32;17;40;20;39;54;34;36;13;56
59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;6;35;16;29;53;48;12;17;15;25;42;30;7;5;2;4;47;37;43;51;52;9;41;63;14;33;50;3;60;18;61;23;45;49;11;58;64;55;62;32;1;40;20;39;54;34;36;13;56;1;284
1;284;59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;6;35;16;29;53;48;12;17;15;25;42;30;7;5;2;4;47;37;43;51;52;9;41;63;14;33;50;3;60;18;61;23;45;49;11;58;64;55;62;32;1;40;20;39;54;34;36;13;56
59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;6;35;16;29;53;48;12;17;15;25;42;30;7;5;2;4;47;37;43;51;11;9;41;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;62;32;1;40;20;39;54;34;36;13;56;1;284
1;284;59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;6;35;16;29;53;48;12;17;15;25;42;30;7;5;2;4;47;37;43;51;11;9;41;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;62;32;1;40;20;39;54;34;36;13;56
59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;6;35;16;29;53;48;12;17;15;25;42;30;7;5;2;62;47;37;43;51;11;9;41;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;4;32;1;40;20;39;54;34;36;13;56;1;284
1;284;59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;6;35;16;29;53;48;12;17;15;25;42;30;7;5;2;62;47;37;43;51;11;9;41;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;4;32;1;40;20;39;54;34;36;13;56
59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;42;35;16;29;53;48;12;17;15;25;6;30;7;5;2;62;47;37;43;51;11;9;41;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;4;32;1;40;20;39;54;34;36;13;56;1;284
1;284;59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;42;35;16;29;53;48;12;17;15;25;6;30;7;5;2;62;47;37;43;51;11;9;41;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;4;32;1;40;20;39;54;34;36;13;56
59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;42;35;16;29;53;48;12;17;15;25;6;30;7;5;41;62;47;37;43;51;11;9;2;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;4;32;1;40;20;39;54;34;36;13;56;1;284
1;284;59;28;46;10;31;26;19;8;21;38;57;24;22;27;44;42;35;16;29;53;48;12;17;15;25;6;30;7;5;41;62;47;37;43;51;11;9;2;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;4;32;1;40;20;39;54;34;36;13;56
59;28;46;10;31;26;19;8;21;38;57;54;22;27;44;42;35;16;29;53;48;12;17;15;25;6;30;7;5;41;62;47;37;43;51;11;9;2;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;4;32;1;40;20;39;24;34;36;13;56;1;284
1;284;59;28;46;10;31;26;19;8;21;38;57;54;22;27;44;42;35;16;29;53;48;12;17;15;25;6;30;7;5;41;62;47;37;43;51;11;9;2;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;4;32;1;40;20;39;24;34;36;13;56
59;28;46;10;31;26;19;8;21;38;57;54;22;27;44;42;35;16;29;53;48;12;17;15;25;6;30;7;5;41;62;47;56;43;51;11;9;2;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;4;32;1;40;20;39;24;34;36;13;37;1;282
1;282;59;28;46;10;31;26;19;8;21;38;57;54;22;27;44;42;35;16;29;53;48;12;17;15;25;6;30;7;5;41;62;47;56;43;51;11;9;2;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;4;32;1;40;20;39;24;34;36;13;37
59;28;46;10;31;26;19;8;44;38;57;54;22;27;21;42;35;16;29;53;48;12;17;15;25;6;30;7;5;41;62;47;56;43;51;11;9;2;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;4;32;1;40;20;39;24;34;36;13;37;1;282
1;282;59;28;46;10;31;26;19;8;44;38;57;54;22;27;21;42;35;16;29;53;48;12;17;15;25;6;30;7;5;41;62;47;56;43;51;11;9;2;63;14;33;50;3;60;18;61;23;45;49;52;58;64;55;4;32;1;40;20;39;24;34;36;13;37
59;28;46;10;31;26;19;8;44;38;57;54;22;27;21;42;35;16;29;52;48;12;17;15;25;6;30;7;5;41;62;47;56;43;51;11;9;2;63;14;33;50;3;60;18;61;23;45;49;53;58;64;55;4;32;1;40;20;39;24;34;36;13;37;1;284
1;284;59;28;46;10;31;26;19;8;44;38;57;54;22;27;21;42;35;16;29;52;48;12;17;15;25;6;30;7;5;41;62;47;56;43;51;11;9;2;63;14;33;50;3;60;18;61;23;45;49;53;58;64;55;4;32;1;40;20;39;24;34;36;13;37
59;28;46;10;31;26;19;8;44;38;57;54;22;27;21;42;35;16;29;52;48;12;17;15;25;6;30;7;5;41;62;47;51;43;56;11;9;2;63;14;33;50;3;60;18;61;23;45;49;53;58;64;55;4;32;1;40;20;39;24;34;36;13;37;1;284
1;284;59;28;46;10;31;26;19;8;44;38;57;54;22;27;21;42;35;16;29;52;48;12;17;15;25;6;30;7;5;41;62;47;51;43;56;11;9;2;63;14;33;50;3;60;18;61;23;45;49;53;58;64;55;4;32;1;40;20;39;24;34;36;13;37
59;28;46;10;31;26;19;8;44;38;57;54;22;27;21;42;35;16;29;52;48;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;50;3;60;18;61;23;45;49;53;58;64;55;4;32;1;40;20;39;24;34;36;13;37;1;292
1;292;59;28;46;10;31;26;19;8;44;38;57;54;22;27;21;42;35;16;29;52;48;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;50;3;60;18;61;23;45;49;53;58;64;55;4;32;1;40;20;39;24;34;36;13;37
59;28;46;10;31;48;19;8;44;38;57;54;22;27;21;42;35;16;29;52;26;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;50;3;60;18;61;23;45;49;53;58;64;55;4;32;1;40;20;39;24;34;36;13;37;1;296
1;296;59;28;46;10;31;48;19;8;44;38;57;54;22;27;21;42;35;16;29;52;26;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;50;3;60;18;61;23;45;49;53;58;64;55;4;32;1;40;20;39;24;34;36;13;37
59;28;46;10;13;48;19;8;44;38;57;54;22;27;21;42;35;16;29;52;26;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;50;3;60;18;61;23;45;49;53;58;64;55;4;32;1;40;20;39;24;34;36;31;37;1;296
1;296;59;28;46;10;13;48;19;8;44;38;57;54;22;27;21;42;35;16;29;52;26;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;50;3;60;18;61;23;45;49;53;58;64;55;4;32;1;40;20;39;24;34;36;31;37
59;28;46;10;13;48;19;8;44;38;57;54;22;27;21;42;35;16;29;52;26;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;50;3;60;18;61;23;64;49;53;58;45;55;4;32;1;40;20;39;24;34;36;31;37;1;296
1;296;59;28;46;10;13;48;19;8;44;38;57;54;22;27;21;42;35;16;29;52;26;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;50;3;60;18;61;23;64;49;53;58;45;55;4;32;1;40;20;39;24;34;36;31;37
59;28;46;10;13;22;19;8;44;38;57;54;48;27;21;42;35;16;29;52;26;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;50;3;60;18;61;23;64;49;53;58;45;55;4;32;1;40;20;39;24;34;36;31;37;1;292
1;292;59;28;46;10;13;22;19;8;44;38;57;54;48;27;21;42;35;16;29;52;26;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;50;3;60;18;61;23;64;49;53;58;45;55;4;32;1;40;20;39;24;34;36;31;37
59;28;46;10;13;22;19;8;44;38;57;54;48;21;27;42;35;16;29;52;26;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;50;3;60;18;61;23;64;49;53;58;45;55;4;32;1;40;20;39;24;34;36;31;37;1;298
1;298;59;28;46;10;13;22;19;8;44;38;57;54;48;21;27;42;35;16;29;52;26;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;50;3;60;18;61;23;64;49;53;58;45;55;4;32;1;40;20;39;24;34;36;31;37
59;28;46;10;13;22;19;8;44;38;57;54;48;21;27;42;35;16;29;52;26;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;37;3;60;18;61;23;64;49;53;58;45;55;4;32;1;40;20;39;24;34;36;31;50;1;298
1;298;59;28;46;10;13;22;19;8;44;38;57;54;48;21;27;42;35;16;29;52;26;12;17;15;25;6;30;7;5;41;62;47;9;43;56;11;51;2;63;14;33;37;3;60;18;61;23;64;49;53;58;45;55;4;32;1;40;20;39;24;34;36;31;50
59;28;46;10;13;22;19;8;44;38;57;54;48;21;27;42;35;16;29;52;26;12;17;15;25;6;30;58;5;41;62;47;9;43;56;11;51;2;63;14;33;37;3;60;18;61;23;64;49;53;7;45;55;4;32;1;40;20;39;24;34;36;31;50;1;298
1;298;59;28;46;10;13;22;19;8;44;38;57;54;48;21;27;42;35;16;29;52;26;12;17;15;25;6;30;58;5;41;62;47;9;43;56;11;51;2;63;14;33;37;3;60;18;61;23;64;49;53;7;45;55;4;32;1;40;20;39;24;34;36;31;50
59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;16;29;52;26;12;17;15;25;6;30;21;5;41;62;47;9;43;56;11;51;2;63;14;33;37;3;60;18;61;23;64;49;53;7;45;55;4;32;1;40;20;39;24;34;36;31;50;1;298
2;298;59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;16;29;52;26;12;17;15;25;6;30;21;5;41;62;47;9;43;56;11;51;2;63;14;33;37;3;60;18;61;23;64;49;53;7;45;55;4;32;1;40;20;39;24;34;36;31;50
59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;16;29;52;26;12;17;15;25;6;30;21;5;41;62;47;9;43;56;11;51;2;63;14;33;37;3;60;18;61;23;64;49;39;7;45;55;4;32;1;40;20;53;24;34;36;31;50;2;298
2;298;59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;16;29;52;26;12;17;15;25;6;30;21;5;41;62;47;9;43;56;11;51;2;63;14;33;37;3;60;18;61;23;64;49;39;7;45;55;4;32;1;40;20;53;24;34;36;31;50
59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;16;29;52;26;12;17;15;25;6;30;21;5;41;62;47;9;43;56;11;51;2;63;14;33;37;3;60;18;61;23;64;49;39;7;45;55;4;32;1;40;20;34;24;53;36;31;50;2;298
