"X1";"X298";"X17";"X56";"X9";"X40";"X53";"X20";"X41";"X60";"X6";"X3";"X22";"X54";"X44";"X38";"X16";"X28";"X26";"X62";"X1.1";"X43";"X4";"X45";"X15";"X51";"X32";"X36";"X34";"X27";"X42";"X24";"X13";"X46";"X30";"X49";"X2";"X63";"X11";"X57";"X23";"X5";"X55";"X19";"X14";"X64";"X21";"X50";"X59";"X39";"X12";"X25";"X35";"X48";"X18";"X58";"X33";"X29";"X8";"X7";"X52";"X10";"X31";"X47";"X37";"X61"
1;298;17;56;9;40;53;20;41;60;6;3;22;54;44;38;16;28;26;62;1;43;4;45;15;51;32;36;34;27;42;24;13;46;30;49;2;63;11;57;23;5;55;19;14;64;21;50;59;39;12;25;35;48;18;58;33;29;8;7;52;10;31;47;37;61
17;56;9;40;53;20;41;60;6;3;26;54;44;38;16;28;22;62;1;43;4;45;15;51;32;36;34;27;42;24;13;46;30;49;2;63;11;57;23;5;55;19;14;64;21;50;59;39;12;25;35;48;18;58;33;29;8;7;52;10;31;47;37;61;1;298
1;298;17;56;9;40;53;20;41;60;6;3;26;54;44;38;16;28;22;62;1;43;4;45;15;51;32;36;34;27;42;24;13;46;30;49;2;63;11;57;23;5;55;19;14;64;21;50;59;39;12;25;35;48;18;58;33;29;8;7;52;10;31;47;37;61
17;56;9;40;53;20;41;60;6;3;26;54;44;38;16;28;22;62;1;43;4;45;52;51;32;36;34;27;42;24;13;46;30;49;2;63;11;57;23;5;55;19;14;64;21;50;59;39;12;25;35;48;18;58;33;29;8;7;15;10;31;47;37;61;1;298
1;298;17;56;9;40;53;20;41;60;6;3;26;54;44;38;16;28;22;62;1;43;4;45;52;51;32;36;34;27;42;24;13;46;30;49;2;63;11;57;23;5;55;19;14;64;21;50;59;39;12;25;35;48;18;58;33;29;8;7;15;10;31;47;37;61
17;56;9;40;53;20;41;60;6;3;62;54;44;38;16;28;22;26;1;43;4;45;52;51;32;36;34;27;42;24;13;46;30;49;2;63;11;57;23;5;55;19;14;64;21;50;59;39;12;25;35;48;18;58;33;29;8;7;15;10;31;47;37;61;1;306
1;306;17;56;9;40;53;20;41;60;6;3;62;54;44;38;16;28;22;26;1;43;4;45;52;51;32;36;34;27;42;24;13;46;30;49;2;63;11;57;23;5;55;19;14;64;21;50;59;39;12;25;35;48;18;58;33;29;8;7;15;10;31;47;37;61
17;56;9;40;53;20;41;60;6;3;62;54;44;38;16;23;22;26;1;43;4;45;52;51;32;36;34;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;21;50;59;39;12;25;35;48;18;58;33;29;8;7;15;10;31;47;37;61;1;300
1;300;17;56;9;40;53;20;41;60;6;3;62;54;44;38;16;23;22;26;1;43;4;45;52;51;32;36;34;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;21;50;59;39;12;25;35;48;18;58;33;29;8;7;15;10;31;47;37;61
17;56;9;40;53;20;41;60;6;3;62;54;44;38;16;23;22;26;1;43;4;45;52;51;48;36;34;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;21;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61;1;300
1;300;17;56;9;40;53;20;41;60;6;3;62;54;44;38;16;23;22;26;1;43;4;45;52;51;48;36;34;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;21;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61
17;34;9;40;53;20;41;60;6;3;62;54;44;38;16;23;22;26;1;43;4;45;52;51;48;36;56;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;21;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61;1;296
1;296;17;34;9;40;53;20;41;60;6;3;62;54;44;38;16;23;22;26;1;43;4;45;52;51;48;36;56;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;21;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61
17;34;9;45;53;20;41;60;6;3;62;54;44;38;16;23;22;26;1;43;4;40;52;51;48;36;56;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;21;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61;1;294
1;294;17;34;9;45;53;20;41;60;6;3;62;54;44;38;16;23;22;26;1;43;4;40;52;51;48;36;56;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;21;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61
17;34;9;45;53;20;43;60;6;3;62;54;44;38;16;23;22;26;1;41;4;40;52;51;48;36;56;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;21;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61;1;296
1;296;17;34;9;45;53;20;43;60;6;3;62;54;44;38;16;23;22;26;1;41;4;40;52;51;48;36;56;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;21;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61
