"X1";"X290";"X38";"X36";"X49";"X48";"X44";"X54";"X58";"X34";"X46";"X4";"X2";"X45";"X23";"X43";"X5";"X19";"X61";"X64";"X8";"X55";"X11";"X10";"X21";"X39";"X18";"X1.1";"X24";"X15";"X30";"X27";"X22";"X7";"X63";"X60";"X62";"X9";"X32";"X28";"X37";"X51";"X14";"X59";"X16";"X13";"X12";"X52";"X31";"X33";"X47";"X53";"X40";"X25";"X50";"X20";"X57";"X17";"X29";"X35";"X3";"X56";"X42";"X6";"X41";"X26"
1;290;38;36;49;48;44;54;58;34;46;4;2;45;23;43;5;19;61;64;8;55;11;10;21;39;18;1;24;15;30;27;22;7;63;60;62;9;32;28;37;51;14;59;16;13;12;52;31;33;47;53;40;25;50;20;57;17;29;35;3;56;42;6;41;26
38;36;49;48;44;54;58;34;46;4;2;45;23;43;5;19;61;64;8;55;11;15;21;39;18;1;24;10;30;27;22;7;63;60;62;9;32;28;37;51;14;59;16;13;12;52;31;33;47;53;40;25;50;20;57;17;29;35;3;56;42;6;41;26;1;296
1;296;38;36;49;48;44;54;58;34;46;4;2;45;23;43;5;19;61;64;8;55;11;15;21;39;18;1;24;10;30;27;22;7;63;60;62;9;32;28;37;51;14;59;16;13;12;52;31;33;47;53;40;25;50;20;57;17;29;35;3;56;42;6;41;26
38;36;49;48;44;54;58;34;46;4;2;45;23;43;5;19;61;64;8;55;11;15;16;39;18;1;24;10;30;27;22;7;63;60;62;9;32;28;37;51;14;59;21;13;12;52;31;33;47;53;40;25;50;20;57;17;29;35;3;56;42;6;41;26;1;296
1;296;38;36;49;48;44;54;58;34;46;4;2;45;23;43;5;19;61;64;8;55;11;15;16;39;18;1;24;10;30;27;22;7;63;60;62;9;32;28;37;51;14;59;21;13;12;52;31;33;47;53;40;25;50;20;57;17;29;35;3;56;42;6;41;26
38;36;49;48;44;54;58;34;46;4;2;45;23;43;5;19;61;64;8;55;11;15;16;39;18;1;14;10;30;27;22;7;63;60;62;9;32;28;37;51;24;59;21;13;12;52;31;33;47;53;40;25;50;20;57;17;29;35;3;56;42;6;41;26;1;296
1;296;38;36;49;48;44;54;58;34;46;4;2;45;23;43;5;19;61;64;8;55;11;15;16;39;18;1;14;10;30;27;22;7;63;60;62;9;32;28;37;51;24;59;21;13;12;52;31;33;47;53;40;25;50;20;57;17;29;35;3;56;42;6;41;26
38;36;49;48;44;54;58;34;46;64;2;45;23;43;5;19;61;4;8;55;11;15;16;39;18;1;14;10;30;27;22;7;63;60;62;9;32;28;37;51;24;59;21;13;12;52;31;33;47;53;40;25;50;20;57;17;29;35;3;56;42;6;41;26;1;292
1;292;38;36;49;48;44;54;58;34;46;64;2;45;23;43;5;19;61;4;8;55;11;15;16;39;18;1;14;10;30;27;22;7;63;60;62;9;32;28;37;51;24;59;21;13;12;52;31;33;47;53;40;25;50;20;57;17;29;35;3;56;42;6;41;26
38;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;61;4;8;55;11;15;16;39;18;1;14;10;30;27;22;7;63;60;62;9;32;28;37;51;24;59;21;13;12;52;31;33;47;53;40;25;50;20;57;17;29;35;3;56;42;6;41;26;1;294
