"X1";"X270";"X24";"X61";"X1.1";"X43";"X44";"X37";"X35";"X59";"X27";"X64";"X63";"X60";"X17";"X23";"X25";"X32";"X22";"X46";"X12";"X56";"X28";"X14";"X3";"X16";"X54";"X2";"X11";"X45";"X8";"X47";"X58";"X42";"X49";"X53";"X29";"X10";"X40";"X57";"X15";"X52";"X50";"X7";"X20";"X18";"X19";"X31";"X36";"X5";"X21";"X38";"X30";"X33";"X51";"X62";"X9";"X41";"X6";"X39";"X13";"X55";"X26";"X34";"X4";"X48"
1;270;24;61;1;43;44;37;35;59;27;64;63;60;17;23;25;32;22;46;12;56;28;14;3;16;54;2;11;45;8;47;58;42;49;53;29;10;40;57;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;62;9;41;6;39;13;55;26;34;4;48
24;61;1;43;44;37;35;59;27;64;63;60;17;23;25;32;22;46;12;56;28;14;3;16;54;2;11;9;8;47;58;42;49;53;29;10;40;57;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;62;45;41;6;39;13;55;26;34;4;48;1;274
1;274;24;61;1;43;44;37;35;59;27;64;63;60;17;23;25;32;22;46;12;56;28;14;3;16;54;2;11;9;8;47;58;42;49;53;29;10;40;57;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;62;45;41;6;39;13;55;26;34;4;48
24;61;1;43;44;48;35;59;27;64;63;60;17;23;25;32;22;46;12;56;28;14;3;16;54;2;11;9;8;47;58;42;49;53;29;10;40;57;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;62;45;41;6;39;13;55;26;34;4;37;1;262
1;262;24;61;1;43;44;48;35;59;27;64;63;60;17;23;25;32;22;46;12;56;28;14;3;16;54;2;11;9;8;47;58;42;49;53;29;10;40;57;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;62;45;41;6;39;13;55;26;34;4;37
24;61;1;43;44;48;35;59;27;64;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;11;9;8;47;58;42;49;53;29;10;40;16;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;62;45;41;6;39;13;55;26;34;4;37;1;262
1;262;24;61;1;43;44;48;35;59;27;64;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;11;9;8;47;58;42;49;53;29;10;40;16;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;62;45;41;6;39;13;55;26;34;4;37
24;61;1;43;44;48;35;40;27;64;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;11;9;8;47;58;42;49;53;29;10;59;16;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;62;45;41;6;39;13;55;26;34;4;37;1;262
1;262;24;61;1;43;44;48;35;40;27;64;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;11;9;8;47;58;42;49;53;29;10;59;16;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;62;45;41;6;39;13;55;26;34;4;37
24;61;1;43;44;48;35;40;27;16;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;11;9;8;47;58;42;49;53;29;10;59;64;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;62;45;41;6;39;13;55;26;34;4;37;1;270
