"X1";"X270";"X33";"X41";"X9";"X38";"X58";"X50";"X22";"X27";"X29";"X54";"X2";"X15";"X11";"X37";"X48";"X30";"X23";"X14";"X6";"X7";"X61";"X49";"X8";"X17";"X28";"X3";"X36";"X55";"X62";"X57";"X24";"X47";"X64";"X25";"X51";"X19";"X52";"X45";"X44";"X63";"X42";"X39";"X21";"X1.1";"X16";"X31";"X13";"X56";"X59";"X60";"X10";"X4";"X5";"X20";"X32";"X18";"X35";"X53";"X26";"X46";"X34";"X43";"X40";"X12"
1;270;33;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;3;36;55;62;57;24;47;64;25;51;19;52;45;44;63;42;39;21;1;16;31;13;56;59;60;10;4;5;20;32;18;35;53;26;46;34;43;40;12
33;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;3;36;55;62;57;24;47;64;25;51;19;52;45;44;63;42;39;21;56;16;31;13;1;59;60;10;4;5;20;32;18;35;53;26;46;34;43;40;12;1;258
1;258;33;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;3;36;55;62;57;24;47;64;25;51;19;52;45;44;63;42;39;21;56;16;31;13;1;59;60;10;4;5;20;32;18;35;53;26;46;34;43;40;12
33;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;3;36;55;62;57;24;47;64;25;51;19;52;16;44;63;42;39;21;56;45;31;13;1;59;60;10;4;5;20;32;18;35;53;26;46;34;43;40;12;1;258
1;258;33;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;3;36;55;62;57;24;47;64;25;51;19;52;16;44;63;42;39;21;56;45;31;13;1;59;60;10;4;5;20;32;18;35;53;26;46;34;43;40;12
33;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;57;36;55;62;3;24;47;64;25;51;19;52;16;44;63;42;39;21;56;45;31;13;1;59;60;10;4;5;20;32;18;35;53;26;46;34;43;40;12;1;258
1;258;33;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;57;36;55;62;3;24;47;64;25;51;19;52;16;44;63;42;39;21;56;45;31;13;1;59;60;10;4;5;20;32;18;35;53;26;46;34;43;40;12
33;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;57;36;55;62;3;24;47;64;25;51;19;52;16;44;63;42;39;21;56;45;31;12;1;59;60;10;4;5;20;32;18;35;53;26;46;34;43;40;13;1;258
1;258;33;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;57;36;55;62;3;24;47;64;25;51;19;52;16;44;63;42;39;21;56;45;31;12;1;59;60;10;4;5;20;32;18;35;53;26;46;34;43;40;13
47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;57;36;55;62;3;24;33;64;25;51;19;52;16;44;63;42;39;21;56;45;31;12;1;59;60;10;4;5;20;32;18;35;53;26;46;34;43;40;13;1;260
1;260;47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;57;36;55;62;3;24;33;64;25;51;19;52;16;44;63;42;39;21;56;45;31;12;1;59;60;10;4;5;20;32;18;35;53;26;46;34;43;40;13
47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;57;36;55;62;3;24;33;64;25;26;19;52;16;44;63;42;39;21;56;45;31;12;1;59;60;10;4;5;20;32;18;35;53;51;46;34;43;40;13;1;260
1;260;47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;57;36;55;62;3;24;33;64;25;26;19;52;16;44;63;42;39;21;56;45;31;12;1;59;60;10;4;5;20;32;18;35;53;51;46;34;43;40;13
47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;57;36;55;62;3;24;33;64;25;26;19;52;16;44;63;1;39;21;56;45;31;12;42;59;60;10;4;5;20;32;18;35;53;51;46;34;43;40;13;1;260
1;260;47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;57;36;55;62;3;24;33;64;25;26;19;52;16;44;63;1;39;21;56;45;31;12;42;59;60;10;4;5;20;32;18;35;53;51;46;34;43;40;13
47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;57;36;55;62;3;24;33;64;56;26;19;52;16;44;63;1;39;21;25;45;31;12;42;59;60;10;4;5;20;32;18;35;53;51;46;34;43;40;13;1;276
1;276;47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;6;7;61;49;8;17;28;57;36;55;62;3;24;33;64;56;26;19;52;16;44;63;1;39;21;25;45;31;12;42;59;60;10;4;5;20;32;18;35;53;51;46;34;43;40;13
47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;17;28;57;36;55;62;3;24;33;64;56;26;19;52;16;44;63;1;39;21;25;45;31;12;42;59;60;10;4;5;20;32;18;35;53;51;46;34;6;40;13;1;280
1;280;47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;17;28;57;36;55;62;3;24;33;64;56;26;19;52;16;44;63;1;39;21;25;45;31;12;42;59;60;10;4;5;20;32;18;35;53;51;46;34;6;40;13
47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;17;28;57;36;55;62;3;24;33;64;56;26;19;52;16;60;63;1;39;21;25;45;31;12;42;59;44;10;4;5;20;32;18;35;53;51;46;34;6;40;13;1;286
1;286;47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;17;28;57;36;55;62;3;24;33;64;56;26;19;52;16;60;63;1;39;21;25;45;31;12;42;59;44;10;4;5;20;32;18;35;53;51;46;34;6;40;13
47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;17;28;57;36;55;62;3;24;33;64;56;26;19;52;16;12;63;1;39;21;25;45;31;60;42;59;44;10;4;5;20;32;18;35;53;51;46;34;6;40;13;1;286
1;286;47;41;9;38;58;50;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;17;28;57;36;55;62;3;24;33;64;56;26;19;52;16;12;63;1;39;21;25;45;31;60;42;59;44;10;4;5;20;32;18;35;53;51;46;34;6;40;13
47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;17;28;57;36;55;62;3;24;33;64;56;26;19;52;16;12;63;1;39;21;25;45;31;60;42;59;44;10;4;5;20;32;18;35;53;51;50;34;6;40;13;1;290
1;290;47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;17;28;57;36;55;62;3;24;33;64;56;26;19;52;16;12;63;1;39;21;25;45;31;60;42;59;44;10;4;5;20;32;18;35;53;51;50;34;6;40;13
47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;17;28;57;36;55;62;3;24;33;64;56;6;19;52;16;12;63;1;39;21;25;45;31;60;42;59;44;10;4;5;20;32;18;35;53;51;50;34;26;40;13;1;292
1;292;47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;17;28;57;36;55;62;3;24;33;64;56;6;19;52;16;12;63;1;39;21;25;45;31;60;42;59;44;10;4;5;20;32;18;35;53;51;50;34;26;40;13
47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;17;28;57;36;42;62;3;24;33;64;56;6;19;52;16;12;63;1;39;21;25;45;31;60;55;59;44;10;4;5;20;32;18;35;53;51;50;34;26;40;13;1;292
1;292;47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;17;28;57;36;42;62;3;24;33;64;56;6;19;52;16;12;63;1;39;21;25;45;31;60;55;59;44;10;4;5;20;32;18;35;53;51;50;34;26;40;13
47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;45;28;57;36;42;62;3;24;33;64;56;6;19;52;16;12;63;1;39;21;25;17;31;60;55;59;44;10;4;5;20;32;18;35;53;51;50;34;26;40;13;1;292
1;292;47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;45;28;57;36;42;62;3;24;33;64;56;6;19;52;16;12;63;1;39;21;25;17;31;60;55;59;44;10;4;5;20;32;18;35;53;51;50;34;26;40;13
47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;45;28;57;36;42;62;3;44;33;64;56;6;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;10;4;5;20;32;18;35;53;51;50;34;26;40;13;1;292
1;292;47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;45;28;57;36;42;62;3;44;33;64;56;6;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;10;4;5;20;32;18;35;53;51;50;34;26;40;13
47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;45;28;57;36;42;62;3;44;33;64;56;10;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;6;4;5;20;32;18;35;53;51;50;34;26;40;13;1;292
1;292;47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;30;23;14;43;7;61;49;8;45;28;57;36;42;62;3;44;33;64;56;10;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;6;4;5;20;32;18;35;53;51;50;34;26;40;13
47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;49;23;14;43;7;61;30;8;45;28;57;36;42;62;3;44;33;64;56;10;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;6;4;5;20;32;18;35;53;51;50;34;26;40;13;1;296
1;296;47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;49;23;14;43;7;61;30;8;45;28;57;36;42;62;3;44;33;64;56;10;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;6;4;5;20;32;18;35;53;51;50;34;26;40;13
47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;3;44;33;64;56;10;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;6;4;5;20;32;18;35;53;51;50;34;26;40;13;1;296
1;296;47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;3;44;33;64;56;10;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;6;4;5;20;32;18;35;53;51;50;34;26;40;13
47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;3;44;33;64;56;10;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;32;4;5;20;6;18;35;53;51;50;34;26;40;13;1;296
2;296;47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;3;44;33;64;56;10;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;32;4;5;20;6;18;35;53;51;50;34;26;40;13
47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;3;44;33;64;56;13;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;32;4;5;20;6;18;35;53;51;50;34;26;40;10;2;296
2;296;47;41;9;38;58;46;22;27;29;54;2;15;11;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;3;44;33;64;56;13;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;32;4;5;20;6;18;35;53;51;50;34;26;40;10
11;41;9;38;58;46;22;27;29;54;2;15;47;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;3;44;33;64;56;13;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;32;4;5;20;6;18;35;53;51;50;34;26;40;10;2;296
2;296;11;41;9;38;58;46;22;27;29;54;2;15;47;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;3;44;33;64;56;13;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;32;4;5;20;6;18;35;53;51;50;34;26;40;10
11;41;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;3;44;33;64;56;13;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;32;4;15;20;6;18;35;53;51;50;34;26;40;10;2;296
2;296;11;41;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;3;44;33;64;56;13;19;52;16;12;63;1;39;21;25;17;31;60;55;59;24;32;4;15;20;6;18;35;53;51;50;34;26;40;10
11;41;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;19;44;33;64;56;13;3;52;16;12;63;1;39;21;25;17;31;60;55;59;24;32;4;15;20;6;18;35;53;51;50;34;26;40;10;2;300
2;300;11;41;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;19;44;33;64;56;13;3;52;16;12;63;1;39;21;25;17;31;60;55;59;24;32;4;15;20;6;18;35;53;51;50;34;26;40;10
11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;19;44;33;64;56;13;3;52;16;12;63;1;39;21;25;17;31;60;55;59;24;32;4;41;20;6;18;35;53;51;50;34;26;40;10;2;300
2;300;11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;19;44;33;64;56;13;3;52;16;12;63;1;39;21;25;17;31;60;55;59;24;32;4;41;20;6;18;35;53;51;50;34;26;40;10
11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;19;44;33;64;56;13;3;52;16;12;63;1;39;21;25;17;31;60;50;59;24;32;4;41;20;6;18;35;53;51;55;34;26;40;10;2;300
2;300;11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;57;36;42;49;19;44;33;64;56;13;3;52;16;12;63;1;39;21;25;17;31;60;50;59;24;32;4;41;20;6;18;35;53;51;55;34;26;40;10
11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;56;36;42;49;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;31;60;50;59;24;32;4;41;20;6;18;35;53;51;55;34;26;40;10;2;300
2;300;11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;56;36;42;49;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;31;60;50;59;24;32;4;41;20;6;18;35;53;51;55;34;26;40;10
11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;56;36;42;49;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;31;60;50;59;24;6;4;41;20;32;18;35;53;51;55;34;26;40;10;2;300
2;300;11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;56;36;42;49;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;31;60;50;59;24;6;4;41;20;32;18;35;53;51;55;34;26;40;10
11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;56;36;42;49;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;31;60;50;59;24;6;4;41;20;32;18;35;53;51;10;34;26;40;55;2;300
2;300;11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;28;56;36;42;49;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;31;60;50;59;24;6;4;41;20;32;18;35;53;51;10;34;26;40;55
11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;36;42;49;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;31;60;50;59;24;28;4;41;20;32;18;35;53;51;10;34;26;40;55;2;300
2;300;11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;36;42;49;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;31;60;50;59;24;28;4;41;20;32;18;35;53;51;10;34;26;40;55
11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;36;42;49;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;26;60;50;59;24;28;4;41;20;32;18;35;53;51;10;34;31;40;55;2;300
2;300;11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;36;42;49;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;26;60;50;59;24;28;4;41;20;32;18;35;53;51;10;34;31;40;55
11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;36;42;49;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;26;60;50;59;24;28;4;41;34;32;18;35;53;51;10;20;31;40;55;2;300
2;300;11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;36;42;49;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;26;60;50;59;24;28;4;41;34;32;18;35;53;51;10;20;31;40;55
11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;36;42;40;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;26;60;50;59;24;28;4;41;34;32;18;35;53;51;10;20;31;49;55;2;300
2;300;11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;36;42;40;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;26;60;50;59;24;28;4;41;34;32;18;35;53;51;10;20;31;49;55
11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;36;42;40;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;26;60;50;59;24;28;4;41;34;32;51;35;53;18;10;20;31;49;55;2;300
2;300;11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;36;42;40;19;44;33;64;57;13;3;52;16;12;63;1;39;21;25;17;26;60;50;59;24;28;4;41;34;32;51;35;53;18;10;20;31;49;55
11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;36;42;40;19;44;33;64;57;13;3;52;59;12;63;1;39;21;25;17;26;60;50;16;24;28;4;41;34;32;51;35;53;18;10;20;31;49;55;2;300
2;300;11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;36;42;40;19;44;33;64;57;13;3;52;59;12;63;1;39;21;25;17;26;60;50;16;24;28;4;41;34;32;51;35;53;18;10;20;31;49;55
11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;19;42;40;36;44;33;64;57;13;3;52;59;12;63;1;39;21;25;17;26;60;50;16;24;28;4;41;34;32;51;35;53;18;10;20;31;49;55;2;300
2;300;11;15;9;38;58;46;22;27;29;54;2;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;19;42;40;36;44;33;64;57;13;3;52;59;12;63;1;39;21;25;17;26;60;50;16;24;28;4;41;34;32;51;35;53;18;10;20;31;49;55
11;15;9;38;58;46;22;27;29;54;35;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;19;42;40;36;44;33;64;57;13;3;52;59;12;63;1;39;21;25;17;26;60;50;16;24;28;4;41;34;32;51;2;53;18;10;20;31;49;55;2;296
2;296;11;15;9;38;58;46;22;27;29;54;35;5;47;37;48;62;23;14;43;7;61;30;8;45;6;56;19;42;40;36;44;33;64;57;13;3;52;59;12;63;1;39;21;25;17;26;60;50;16;24;28;4;41;34;32;51;2;53;18;10;20;31;49;55
11;15;9;38;58;46;22;27;29;54;35;5;47;37;48;62;23;44;43;7;61;30;8;45;6;56;19;42;40;36;14;33;64;57;13;3;52;59;12;63;1;39;21;25;17;26;60;50;16;24;28;4;41;34;32;51;2;53;18;10;20;31;49;55;2;296
2;296;11;15;9;38;58;46;22;27;29;54;35;5;47;37;48;62;23;44;43;7;61;30;8;45;6;56;19;42;40;36;14;33;64;57;13;3;52;59;12;63;1;39;21;25;17;26;60;50;16;24;28;4;41;34;32;51;2;53;18;10;20;31;49;55
3;15;9;38;58;46;22;27;29;54;35;5;47;37;48;62;23;44;43;7;61;30;8;45;6;56;19;42;40;36;14;33;64;57;13;11;52;59;12;63;1;39;21;25;17;26;60;50;16;24;28;4;41;34;32;51;2;53;18;10;20;31;49;55;2;296
2;296;3;15;9;38;58;46;22;27;29;54;35;5;47;37;48;62;23;44;43;7;61;30;8;45;6;56;19;42;40;36;14;33;64;57;13;11;52;59;12;63;1;39;21;25;17;26;60;50;16;24;28;4;41;34;32;51;2;53;18;10;20;31;49;55
3;15;9;38;58;46;22;27;29;54;35;5;47;37;48;62;23;44;43;7;61;30;28;45;6;56;19;42;40;36;14;33;64;57;13;11;52;59;12;63;1;39;21;25;17;26;60;50;16;24;8;4;41;34;32;51;2;53;18;10;20;31;49;55;2;296
3;296;3;15;9;38;58;46;22;27;29;54;35;5;47;37;48;62;23;44;43;7;61;30;28;45;6;56;19;42;40;36;14;33;64;57;13;11;52;59;12;63;1;39;21;25;17;26;60;50;16;24;8;4;41;34;32;51;2;53;18;10;20;31;49;55
3;15;9;38;58;46;22;27;29;54;35;5;47;37;48;62;23;44;43;7;61;30;28;45;6;56;19;42;63;36;14;33;64;57;13;11;52;59;12;40;1;39;21;25;17;26;60;50;16;24;8;4;41;34;32;51;2;53;18;10;20;31;49;55;3;296
3;296;3;15;9;38;58;46;22;27;29;54;35;5;47;37;48;62;23;44;43;7;61;30;28;45;6;56;19;42;63;36;14;33;64;57;13;11;52;59;12;40;1;39;21;25;17;26;60;50;16;24;8;4;41;34;32;51;2;53;18;10;20;31;49;55
3;15;9;38;58;46;22;27;29;54;35;5;47;37;48;62;23;44;43;7;61;30;28;45;6;56;19;42;63;36;14;33;64;57;13;11;52;59;12;40;1;39;21;50;17;26;60;25;16;24;8;4;41;34;32;51;2;53;18;10;20;31;49;55;3;288
3;288;3;15;9;38;58;46;22;27;29;54;35;5;47;37;48;62;23;44;43;7;61;30;28;45;6;56;19;42;63;36;14;33;64;57;13;11;52;59;12;40;1;39;21;50;17;26;60;25;16;24;8;4;41;34;32;51;2;53;18;10;20;31;49;55
3;15;9;38;58;46;61;27;29;54;35;5;47;37;48;62;23;44;43;7;22;30;28;45;6;56;19;42;63;36;14;33;64;57;13;11;52;59;12;40;1;39;21;50;17;26;60;25;16;24;8;4;41;34;32;51;2;53;18;10;20;31;49;55;3;288
3;288;3;15;9;38;58;46;61;27;29;54;35;5;47;37;48;62;23;44;43;7;22;30;28;45;6;56;19;42;63;36;14;33;64;57;13;11;52;59;12;40;1;39;21;50;17;26;60;25;16;24;8;4;41;34;32;51;2;53;18;10;20;31;49;55
3;15;9;38;58;46;61;27;29;54;35;5;47;37;48;62;23;44;43;7;22;30;28;45;6;56;19;42;63;36;14;33;64;57;13;11;52;59;12;40;1;39;21;50;17;26;60;25;16;24;8;4;41;53;32;51;2;34;18;10;20;31;49;55;3;288
3;288;3;15;9;38;58;46;61;27;29;54;35;5;47;37;48;62;23;44;43;7;22;30;28;45;6;56;19;42;63;36;14;33;64;57;13;11;52;59;12;40;1;39;21;50;17;26;60;25;16;24;8;4;41;53;32;51;2;34;18;10;20;31;49;55
3;15;9;38;58;46;61;27;29;54;35;5;47;37;48;62;23;44;43;7;22;30;28;45;6;56;19;42;63;36;14;33;64;57;24;11;52;59;12;40;1;39;21;50;17;26;60;25;16;13;8;4;41;53;32;51;2;34;18;10;20;31;49;55;3;284
3;284;3;15;9;38;58;46;61;27;29;54;35;5;47;37;48;62;23;44;43;7;22;30;28;45;6;56;19;42;63;36;14;33;64;57;24;11;52;59;12;40;1;39;21;50;17;26;60;25;16;13;8;4;41;53;32;51;2;34;18;10;20;31;49;55
3;15;9;38;58;46;61;27;6;54;35;5;47;37;48;62;23;44;43;7;22;30;28;45;29;56;19;42;63;36;14;33;64;57;24;11;52;59;12;40;1;39;21;50;17;26;60;25;16;13;8;4;41;53;32;51;2;34;18;10;20;31;49;55;3;284
3;284;3;15;9;38;58;46;61;27;6;54;35;5;47;37;48;62;23;44;43;7;22;30;28;45;29;56;19;42;63;36;14;33;64;57;24;11;52;59;12;40;1;39;21;50;17;26;60;25;16;13;8;4;41;53;32;51;2;34;18;10;20;31;49;55
3;15;9;38;58;46;61;27;6;54;35;24;47;37;48;62;23;44;43;7;22;30;28;45;29;56;19;42;63;36;14;33;64;57;5;11;52;59;12;40;1;39;21;50;17;26;60;25;16;13;8;4;41;53;32;51;2;34;18;10;20;31;49;55;3;290
3;290;3;15;9;38;58;46;61;27;6;54;35;24;47;37;48;62;23;44;43;7;22;30;28;45;29;56;19;42;63;36;14;33;64;57;5;11;52;59;12;40;1;39;21;50;17;26;60;25;16;13;8;4;41;53;32;51;2;34;18;10;20;31;49;55
3;15;9;38;58;46;61;27;6;54;35;24;47;37;48;62;19;44;43;7;22;30;28;45;29;56;23;42;63;36;14;33;64;57;5;11;52;59;12;40;1;39;21;50;17;26;60;25;16;13;8;4;41;53;32;51;2;34;18;10;20;31;49;55;3;290
3;290;3;15;9;38;58;46;61;27;6;54;35;24;47;37;48;62;19;44;43;7;22;30;28;45;29;56;23;42;63;36;14;33;64;57;5;11;52;59;12;40;1;39;21;50;17;26;60;25;16;13;8;4;41;53;32;51;2;34;18;10;20;31;49;55
3;15;49;38;58;46;61;27;6;54;35;24;47;37;48;62;19;44;43;7;22;30;28;45;29;56;23;42;63;36;14;33;64;57;5;11;52;59;12;40;1;39;21;50;17;26;60;25;16;13;8;4;41;53;32;51;2;34;18;10;20;31;9;55;3;288
3;288;3;15;49;38;58;46;61;27;6;54;35;24;47;37;48;62;19;44;43;7;22;30;28;45;29;56;23;42;63;36;14;33;64;57;5;11;52;59;12;40;1;39;21;50;17;26;60;25;16;13;8;4;41;53;32;51;2;34;18;10;20;31;9;55
3;15;49;38;58;46;61;27;6;54;35;24;47;37;48;62;19;44;43;7;22;30;28;45;29;56;23;42;63;36;14;33;64;57;5;11;52;59;12;40;1;39;21;50;17;26;60;25;16;2;8;4;41;53;32;51;13;34;18;10;20;31;9;55;3;288
3;288;3;15;49;38;58;46;61;27;6;54;35;24;47;37;48;62;19;44;43;7;22;30;28;45;29;56;23;42;63;36;14;33;64;57;5;11;52;59;12;40;1;39;21;50;17;26;60;25;16;2;8;4;41;53;32;51;13;34;18;10;20;31;9;55
3;15;49;38;58;46;61;27;6;54;35;24;47;37;48;62;19;44;43;7;16;30;28;45;29;56;23;42;63;36;14;33;64;57;5;11;52;59;12;40;1;39;21;50;17;26;60;25;22;2;8;4;41;53;32;51;13;34;18;10;20;31;9;55;3;288
3;288;3;15;49;38;58;46;61;27;6;54;35;24;47;37;48;62;19;44;43;7;16;30;28;45;29;56;23;42;63;36;14;33;64;57;5;11;52;59;12;40;1;39;21;50;17;26;60;25;22;2;8;4;41;53;32;51;13;34;18;10;20;31;9;55
