"X1";"X270";"X24";"X48";"X43";"X34";"X52";"X47";"X17";"X16";"X5";"X60";"X20";"X13";"X57";"X7";"X19";"X3";"X35";"X58";"X22";"X53";"X38";"X8";"X64";"X54";"X50";"X6";"X23";"X46";"X36";"X40";"X44";"X33";"X27";"X15";"X25";"X49";"X37";"X30";"X1.1";"X28";"X31";"X26";"X29";"X12";"X55";"X21";"X39";"X51";"X14";"X11";"X2";"X9";"X42";"X32";"X59";"X18";"X62";"X45";"X56";"X4";"X41";"X63";"X10";"X61"
1;270;24;48;43;34;52;47;17;16;5;60;20;13;57;7;19;3;35;58;22;53;38;8;64;54;50;6;23;46;36;40;44;33;27;15;25;49;37;30;1;28;31;26;29;12;55;21;39;51;14;11;2;9;42;32;59;18;62;45;56;4;41;63;10;61
24;48;43;34;52;47;17;16;5;60;20;13;57;7;19;3;35;58;22;53;62;8;64;54;50;6;23;46;36;40;44;33;27;15;25;49;37;30;1;28;31;26;29;12;55;21;39;51;14;11;2;9;42;32;59;18;38;45;56;4;41;63;10;61;1;270
1;270;24;48;43;34;52;47;17;16;5;60;20;13;57;7;19;3;35;58;22;53;62;8;64;54;50;6;23;46;36;40;44;33;27;15;25;49;37;30;1;28;31;26;29;12;55;21;39;51;14;11;2;9;42;32;59;18;38;45;56;4;41;63;10;61
24;48;43;34;52;47;17;16;5;60;20;13;7;57;19;3;35;58;22;53;62;8;64;54;50;6;23;46;36;40;44;33;27;15;25;49;37;30;1;28;31;26;29;12;55;21;39;51;14;11;2;9;42;32;59;18;38;45;56;4;41;63;10;61;1;298
1;298;24;48;43;34;52;47;17;16;5;60;20;13;7;57;19;3;35;58;22;53;62;8;64;54;50;6;23;46;36;40;44;33;27;15;25;49;37;30;1;28;31;26;29;12;55;21;39;51;14;11;2;9;42;32;59;18;38;45;56;4;41;63;10;61
24;48;43;34;52;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;23;46;36;40;44;33;27;15;25;49;37;30;1;28;31;26;29;12;55;21;39;51;14;11;2;9;42;32;59;18;38;45;56;4;41;63;10;61;1;300
1;300;24;48;43;34;52;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;23;46;36;40;44;33;27;15;25;49;37;30;1;28;31;26;29;12;55;21;39;51;14;11;2;9;42;32;59;18;38;45;56;4;41;63;10;61
24;48;43;34;52;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;23;46;36;40;44;33;27;1;25;49;37;30;15;28;31;26;29;12;55;21;39;51;14;11;2;9;42;32;59;18;38;45;56;4;41;63;10;61;1;294
1;294;24;48;43;34;52;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;23;46;36;40;44;33;27;1;25;49;37;30;15;28;31;26;29;12;55;21;39;51;14;11;2;9;42;32;59;18;38;45;56;4;41;63;10;61
24;48;43;34;52;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;23;46;36;40;44;33;27;1;25;49;37;30;15;28;31;26;29;12;55;21;39;51;14;11;2;9;42;32;56;18;38;45;59;4;41;63;10;61;1;294
