"X1";"X260";"X54";"X31";"X27";"X63";"X61";"X14";"X26";"X5";"X30";"X19";"X33";"X10";"X34";"X13";"X41";"X64";"X11";"X49";"X12";"X37";"X1.1";"X18";"X62";"X8";"X23";"X16";"X40";"X32";"X58";"X51";"X4";"X50";"X48";"X36";"X24";"X28";"X42";"X46";"X3";"X21";"X25";"X45";"X17";"X53";"X22";"X29";"X56";"X57";"X55";"X15";"X52";"X47";"X2";"X39";"X35";"X7";"X38";"X43";"X59";"X60";"X20";"X9";"X44";"X6"
1;260;54;31;27;63;61;14;26;5;30;19;33;10;34;13;41;64;11;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;36;24;28;42;46;3;21;25;45;17;53;22;29;56;57;55;15;52;47;2;39;35;7;38;43;59;60;20;9;44;6
54;31;27;63;56;14;26;5;30;19;33;10;34;13;41;64;11;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;36;24;28;42;46;3;21;25;45;17;53;22;29;61;57;55;15;52;47;2;39;35;7;38;43;59;60;20;9;44;6;1;260
1;260;54;31;27;63;56;14;26;5;30;19;33;10;34;13;41;64;11;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;36;24;28;42;46;3;21;25;45;17;53;22;29;61;57;55;15;52;47;2;39;35;7;38;43;59;60;20;9;44;6
54;31;27;63;56;14;26;11;30;19;33;10;34;13;41;64;5;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;36;24;28;42;46;3;21;25;45;17;53;22;29;61;57;55;15;52;47;2;39;35;7;38;43;59;60;20;9;44;6;1;260
1;260;54;31;27;63;56;14;26;11;30;19;33;10;34;13;41;64;5;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;36;24;28;42;46;3;21;25;45;17;53;22;29;61;57;55;15;52;47;2;39;35;7;38;43;59;60;20;9;44;6
54;31;27;63;56;14;26;11;30;19;33;43;34;13;41;64;5;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;36;24;28;42;46;3;21;25;45;17;53;22;29;61;57;55;15;52;47;2;39;35;7;38;10;59;60;20;9;44;6;1;260
1;260;54;31;27;63;56;14;26;11;30;19;33;43;34;13;41;64;5;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;36;24;28;42;46;3;21;25;45;17;53;22;29;61;57;55;15;52;47;2;39;35;7;38;10;59;60;20;9;44;6
54;31;27;63;56;14;26;11;30;19;33;43;34;55;41;64;5;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;36;24;28;42;46;3;21;25;45;17;53;22;29;61;57;13;15;52;47;2;39;35;7;38;10;59;60;20;9;44;6;1;288
1;288;54;31;27;63;56;14;26;11;30;19;33;43;34;55;41;64;5;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;36;24;28;42;46;3;21;25;45;17;53;22;29;61;57;13;15;52;47;2;39;35;7;38;10;59;60;20;9;44;6
54;31;27;63;56;14;26;11;30;19;33;43;34;55;25;64;5;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;36;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;7;38;10;59;60;20;9;44;6;1;288
1;288;54;31;27;63;56;14;26;11;30;19;33;43;34;55;25;64;5;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;36;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;7;38;10;59;60;20;9;44;6
54;31;27;63;56;14;26;11;30;19;33;43;34;55;25;64;5;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6;1;288
1;288;54;31;27;63;56;14;26;11;30;19;33;43;34;55;25;64;5;49;12;37;1;18;62;8;23;16;40;32;58;51;4;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6
54;31;27;63;56;14;16;11;30;19;33;43;34;55;25;64;5;49;12;37;1;18;62;8;23;26;40;32;58;51;4;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6;1;288
1;288;54;31;27;63;56;14;16;11;30;19;33;43;34;55;25;64;5;49;12;37;1;18;62;8;23;26;40;32;58;51;4;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6
54;31;27;63;56;14;16;11;4;19;33;43;34;55;25;64;5;49;12;37;1;18;62;8;23;26;40;32;58;51;30;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6;1;288
1;288;54;31;27;63;56;14;16;11;4;19;33;43;34;55;25;64;5;49;12;37;1;18;62;8;23;26;40;32;58;51;30;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6
54;31;27;63;56;14;16;11;4;19;33;43;34;55;25;64;5;49;62;37;1;18;12;8;23;26;40;32;58;51;30;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6;1;284
1;284;54;31;27;63;56;14;16;11;4;19;33;43;34;55;25;64;5;49;62;37;1;18;12;8;23;26;40;32;58;51;30;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6
54;31;27;63;51;14;16;11;4;19;33;43;34;55;25;64;5;49;62;37;1;18;12;8;23;26;40;32;58;56;30;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6;1;284
1;284;54;31;27;63;51;14;16;11;4;19;33;43;34;55;25;64;5;49;62;37;1;18;12;8;23;26;40;32;58;56;30;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6
54;31;27;63;51;14;16;11;4;19;33;43;34;55;25;64;5;49;62;37;26;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6;1;284
1;284;54;31;27;63;51;14;16;11;4;19;33;43;34;55;25;64;5;49;62;37;26;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6
54;31;27;63;51;14;16;11;26;19;33;43;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6;1;284
1;284;54;31;27;63;51;14;16;11;26;19;33;43;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;57;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6
54;31;57;63;51;14;16;11;26;19;33;43;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;27;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6;1;284
1;284;54;31;57;63;51;14;16;11;26;19;33;43;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;46;3;21;41;45;17;53;22;29;61;27;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6
54;22;57;63;51;14;16;11;26;19;33;43;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;46;3;21;41;45;17;53;31;29;61;27;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6;1;284
1;284;54;22;57;63;51;14;16;11;26;19;33;43;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;46;3;21;41;45;17;53;31;29;61;27;13;15;52;47;2;39;35;36;38;10;59;60;20;9;44;6
47;22;57;63;51;14;16;11;26;19;33;43;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;46;3;21;41;45;17;53;31;29;61;27;13;15;52;54;2;39;35;36;38;10;59;60;20;9;44;6;1;284
1;284;47;22;57;63;51;14;16;11;26;19;33;43;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;46;3;21;41;45;17;53;31;29;61;27;13;15;52;54;2;39;35;36;38;10;59;60;20;9;44;6
47;22;57;63;51;14;16;11;26;19;33;43;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;10;3;21;41;45;17;53;31;29;61;27;13;15;52;54;2;39;35;36;38;46;59;60;20;9;44;6;1;284
1;284;47;22;57;63;51;14;16;11;26;19;33;43;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;10;3;21;41;45;17;53;31;29;61;27;13;15;52;54;2;39;35;36;38;46;59;60;20;9;44;6
47;22;57;63;51;43;16;11;26;19;33;14;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;10;3;21;41;45;17;53;31;29;61;27;13;15;52;54;2;39;35;36;38;46;59;60;20;9;44;6;1;280
1;280;47;22;57;63;51;43;16;11;26;19;33;14;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;48;7;24;28;42;10;3;21;41;45;17;53;31;29;61;27;13;15;52;54;2;39;35;36;38;46;59;60;20;9;44;6
47;22;57;63;51;43;16;11;26;19;33;14;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;28;42;10;3;21;41;45;17;53;31;29;61;27;13;15;52;54;2;39;35;36;38;46;59;60;48;9;44;6;1;276
1;276;47;22;57;63;51;43;16;11;26;19;33;14;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;28;42;10;3;21;41;45;17;53;31;29;61;27;13;15;52;54;2;39;35;36;38;46;59;60;48;9;44;6
47;22;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;28;42;10;3;21;41;45;17;53;31;11;61;27;13;15;52;54;2;39;35;36;38;46;59;60;48;9;44;6;1;276
1;276;47;22;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;28;42;10;3;21;41;45;17;53;31;11;61;27;13;15;52;54;2;39;35;36;38;46;59;60;48;9;44;6
47;22;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;39;42;10;3;21;41;45;17;53;31;11;61;27;13;15;52;54;2;28;35;36;38;46;59;60;48;9;44;6;1;276
2;276;47;22;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;62;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;39;42;10;3;21;41;45;17;53;31;11;61;27;13;15;52;54;2;28;35;36;38;46;59;60;48;9;44;6
47;22;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;39;42;10;3;21;41;45;17;53;31;11;61;27;13;15;52;54;2;28;35;36;38;46;59;60;48;9;62;6;2;276
2;276;47;22;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;39;42;10;3;21;41;45;17;53;31;11;61;27;13;15;52;54;2;28;35;36;38;46;59;60;48;9;62;6
47;22;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;15;42;10;3;21;41;45;17;53;31;11;61;27;13;39;52;54;2;28;35;36;38;46;59;60;48;9;62;6;2;276
2;276;47;22;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;15;42;10;3;21;41;45;17;53;31;11;61;27;13;39;52;54;2;28;35;36;38;46;59;60;48;9;62;6
47;46;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;15;42;10;3;21;41;45;17;53;31;11;61;27;13;39;52;54;2;28;35;36;38;22;59;60;48;9;62;6;2;276
2;276;47;46;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;15;42;10;3;21;41;45;17;53;31;11;61;27;13;39;52;54;2;28;35;36;38;22;59;60;48;9;62;6
47;42;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;15;46;10;3;21;41;45;17;53;31;11;61;27;13;39;52;54;2;28;35;36;38;22;59;60;48;9;62;6;2;280
2;280;47;42;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;7;24;15;46;10;3;21;41;45;17;53;31;11;61;27;13;39;52;54;2;28;35;36;38;22;59;60;48;9;62;6
