"X1";"X304";"X47";"X9";"X32";"X28";"X10";"X64";"X17";"X11";"X23";"X26";"X4";"X33";"X59";"X29";"X49";"X12";"X34";"X48";"X44";"X45";"X3";"X2";"X22";"X61";"X16";"X37";"X15";"X8";"X14";"X53";"X50";"X6";"X60";"X39";"X24";"X30";"X58";"X13";"X54";"X63";"X20";"X19";"X18";"X55";"X42";"X38";"X43";"X46";"X25";"X27";"X21";"X62";"X57";"X36";"X40";"X5";"X41";"X51";"X7";"X52";"X35";"X56";"X31";"X1.1"
1;304;47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;12;34;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;13;54;63;20;19;18;55;42;38;43;46;25;27;21;62;57;36;40;5;41;51;7;52;35;56;31;1
47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;12;34;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;54;13;63;20;19;18;55;42;38;43;46;25;27;21;62;57;36;40;5;41;51;7;52;35;56;31;1;1;280
1;280;47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;12;34;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;54;13;63;20;19;18;55;42;38;43;46;25;27;21;62;57;36;40;5;41;51;7;52;35;56;31;1
47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;12;34;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;54;13;63;20;19;18;55;42;38;1;46;25;27;21;62;57;36;40;5;41;51;7;52;35;56;31;43;1;280
1;280;47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;12;34;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;54;13;63;20;19;18;55;42;38;1;46;25;27;21;62;57;36;40;5;41;51;7;52;35;56;31;43
47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;34;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;54;12;63;20;19;18;55;42;38;1;46;25;27;21;62;57;36;40;5;41;51;7;52;35;56;31;43;1;286
1;286;47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;34;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;54;12;63;20;19;18;55;42;38;1;46;25;27;21;62;57;36;40;5;41;51;7;52;35;56;31;43
47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;34;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;54;12;63;20;43;18;55;42;38;1;46;25;27;21;62;57;36;40;5;41;51;7;52;35;56;31;19;1;286
1;286;47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;34;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;54;12;63;20;43;18;55;42;38;1;46;25;27;21;62;57;36;40;5;41;51;7;52;35;56;31;19
47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;34;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;54;5;63;20;43;18;55;42;38;1;46;25;27;21;62;57;36;40;12;41;51;7;52;35;56;31;19;1;286
1;286;47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;34;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;54;5;63;20;43;18;55;42;38;1;46;25;27;21;62;57;36;40;12;41;51;7;52;35;56;31;19
47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;38;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;54;5;63;20;43;18;55;42;34;1;46;25;27;21;62;57;36;40;12;41;51;7;52;35;56;31;19;1;286
1;286;47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;38;48;44;45;3;2;22;61;16;37;15;8;14;53;50;6;60;39;24;30;58;54;5;63;20;43;18;55;42;34;1;46;25;27;21;62;57;36;40;12;41;51;7;52;35;56;31;19
47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;38;48;44;45;3;2;22;61;16;37;15;8;14;53;50;7;60;39;24;30;58;54;5;63;20;43;18;55;42;34;1;46;25;27;21;62;57;36;40;12;41;51;6;52;35;56;31;19;1;286
1;286;47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;38;48;44;45;3;2;22;61;16;37;15;8;14;53;50;7;60;39;24;30;58;54;5;63;20;43;18;55;42;34;1;46;25;27;21;62;57;36;40;12;41;51;6;52;35;56;31;19
47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;38;48;44;45;3;21;22;61;16;37;15;8;14;53;50;7;60;39;24;30;58;54;5;63;20;43;18;55;42;34;1;46;25;27;2;62;57;36;40;12;41;51;6;52;35;56;31;19;1;280
1;280;47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;38;48;44;45;3;21;22;61;16;37;15;8;14;53;50;7;60;39;24;30;58;54;5;63;20;43;18;55;42;34;1;46;25;27;2;62;57;36;40;12;41;51;6;52;35;56;31;19
47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;61;16;37;15;8;45;53;50;7;60;39;24;30;58;54;5;63;20;43;18;55;42;34;1;46;25;27;2;62;57;36;40;12;41;51;6;52;35;56;31;19;1;272
1;272;47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;61;16;37;15;8;45;53;50;7;60;39;24;30;58;54;5;63;20;43;18;55;42;34;1;46;25;27;2;62;57;36;40;12;41;51;6;52;35;56;31;19
47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;61;16;37;15;8;45;53;50;7;60;39;24;30;58;55;5;63;20;43;18;54;42;34;1;46;25;27;2;62;57;36;40;12;41;51;6;52;35;56;31;19;1;260
1;260;47;9;32;28;10;64;17;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;61;16;37;15;8;45;53;50;7;60;39;24;30;58;55;5;63;20;43;18;54;42;34;1;46;25;27;2;62;57;36;40;12;41;51;6;52;35;56;31;19
47;9;32;17;10;64;28;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;61;16;37;15;8;45;53;50;7;60;39;24;30;58;55;5;63;20;43;18;54;42;34;1;46;25;27;2;62;57;36;40;12;41;51;6;52;35;56;31;19;1;264
1;264;47;9;32;17;10;64;28;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;61;16;37;15;8;45;53;50;7;60;39;24;30;58;55;5;63;20;43;18;54;42;34;1;46;25;27;2;62;57;36;40;12;41;51;6;52;35;56;31;19
47;9;32;17;10;64;28;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;61;16;37;15;8;45;53;50;7;60;39;24;30;58;55;5;63;20;43;18;54;42;34;1;46;31;27;2;62;57;36;40;12;41;51;6;52;35;56;25;19;1;264
1;264;47;9;32;17;10;64;28;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;61;16;37;15;8;45;53;50;7;60;39;24;30;58;55;5;63;20;43;18;54;42;34;1;46;31;27;2;62;57;36;40;12;41;51;6;52;35;56;25;19
47;9;32;17;10;64;28;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;61;16;37;15;8;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;1;46;31;27;2;62;57;36;40;24;41;51;6;52;35;56;25;19;1;262
1;262;47;9;32;17;10;64;28;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;61;16;37;15;8;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;1;46;31;27;2;62;57;36;40;24;41;51;6;52;35;56;25;19
47;9;32;17;10;64;28;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;57;16;37;15;8;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;1;46;31;27;2;62;61;36;40;24;41;51;6;52;35;56;25;19;1;262
1;262;47;9;32;17;10;64;28;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;57;16;37;15;8;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;1;46;31;27;2;62;61;36;40;24;41;51;6;52;35;56;25;19
47;9;32;17;10;64;28;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;57;16;37;15;1;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;8;46;31;27;2;62;61;36;40;24;41;51;6;52;35;56;25;19;1;262
1;262;47;9;32;17;10;64;28;11;23;26;4;33;59;29;49;13;38;48;44;14;3;21;22;57;16;37;15;1;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;8;46;31;27;2;62;61;36;40;24;41;51;6;52;35;56;25;19
47;9;32;17;10;64;28;13;23;26;4;33;59;29;49;11;38;48;44;14;3;21;22;57;16;37;15;1;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;8;46;31;27;2;62;61;36;40;24;41;51;6;52;35;56;25;19;1;258
1;258;47;9;32;17;10;64;28;13;23;26;4;33;59;29;49;11;38;48;44;14;3;21;22;57;16;37;15;1;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;8;46;31;27;2;62;61;36;40;24;41;51;6;52;35;56;25;19
47;9;32;17;10;64;28;13;23;26;4;33;59;29;49;11;38;48;44;14;3;21;22;57;16;36;15;1;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;8;46;31;27;2;62;61;37;40;24;41;51;6;52;35;56;25;19;1;258
1;258;47;9;32;17;10;64;28;13;23;26;4;33;59;29;49;11;38;48;44;14;3;21;22;57;16;36;15;1;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;8;46;31;27;2;62;61;37;40;24;41;51;6;52;35;56;25;19
47;9;32;17;10;64;28;13;23;26;4;33;59;29;49;11;38;48;44;14;3;21;22;57;16;36;15;1;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;8;46;31;27;2;62;61;37;56;24;41;51;6;52;35;40;25;19;1;258
1;258;47;9;32;17;10;64;28;13;23;26;4;33;59;29;49;11;38;48;44;14;3;21;22;57;16;36;15;1;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;8;46;31;27;2;62;61;37;56;24;41;51;6;52;35;40;25;19
47;9;32;17;10;64;28;13;23;26;4;33;59;29;49;11;38;48;44;14;3;21;22;2;16;36;15;1;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;8;46;31;27;57;62;61;37;56;24;41;51;6;52;35;40;25;19;1;258
1;258;47;9;32;17;10;64;28;13;23;26;4;33;59;29;49;11;38;48;44;14;3;21;22;2;16;36;15;1;45;53;50;7;60;39;12;30;58;55;5;63;20;43;18;54;42;34;8;46;31;27;57;62;61;37;56;24;41;51;6;52;35;40;25;19
47;9;32;17;10;64;28;13;23;26;4;33;59;29;49;11;38;48;44;14;3;21;22;2;16;36;15;1;45;53;50;7;60;30;12;39;58;55;5;63;20;43;18;54;42;34;8;46;31;27;57;62;61;37;56;24;41;51;6;52;35;40;25;19;1;258
2;258;47;9;32;17;10;64;28;13;23;26;4;33;59;29;49;11;38;48;44;14;3;21;22;2;16;36;15;1;45;53;50;7;60;30;12;39;58;55;5;63;20;43;18;54;42;34;8;46;31;27;57;62;61;37;56;24;41;51;6;52;35;40;25;19
47;9;32;17;10;64;28;13;23;26;63;33;59;29;49;11;38;48;44;14;3;21;22;2;16;36;15;1;45;53;50;7;60;30;12;39;58;55;5;4;20;43;18;54;42;34;8;46;31;27;57;62;61;37;56;24;41;51;6;52;35;40;25;19;2;250
2;250;47;9;32;17;10;64;28;13;23;26;63;33;59;29;49;11;38;48;44;14;3;21;22;2;16;36;15;1;45;53;50;7;60;30;12;39;58;55;5;4;20;43;18;54;42;34;8;46;31;27;57;62;61;37;56;24;41;51;6;52;35;40;25;19
