"X1";"X27114";"X23";"X21";"X18";"X25";"X22";"X7";"X29";"X10";"X31";"X28";"X11";"X2";"X1.1";"X26";"X9";"X20";"X8";"X15";"X4";"X6";"X14";"X13";"X27";"X30";"X17";"X12";"X3";"X5";"X24";"X32";"X19";"X16"
1;27114;23;21;18;25;22;7;29;10;31;28;11;2;1;26;9;20;8;15;4;6;14;13;27;30;17;12;3;5;24;32;19;16
23;21;18;25;22;7;1;10;31;28;11;2;29;26;9;20;8;15;4;6;14;13;27;30;17;12;3;5;24;32;19;16;1;27948
1;27948;23;21;18;25;22;7;1;10;31;28;11;2;29;26;9;20;8;15;4;6;14;13;27;30;17;12;3;5;24;32;19;16
23;21;18;25;22;7;1;10;31;28;11;2;29;26;9;20;8;15;4;6;14;13;27;12;17;30;3;5;24;32;19;16;1;27564
1;27564;23;21;18;25;22;7;1;10;31;28;11;2;29;26;9;20;8;15;4;6;14;13;27;12;17;30;3;5;24;32;19;16
23;21;18;25;22;7;1;10;16;28;11;2;29;26;9;20;8;15;4;6;14;13;27;12;17;30;3;5;24;32;19;31;1;27738
1;27738;23;21;18;25;22;7;1;10;16;28;11;2;29;26;9;20;8;15;4;6;14;13;27;12;17;30;3;5;24;32;19;31
23;21;18;25;22;7;1;30;16;28;11;2;29;26;9;20;8;15;4;6;14;13;27;12;17;10;3;5;24;32;19;31;1;28446
1;28446;23;21;18;25;22;7;1;30;16;28;11;2;29;26;9;20;8;15;4;6;14;13;27;12;17;10;3;5;24;32;19;31
23;22;18;25;21;7;1;30;16;28;11;2;29;26;9;20;8;15;4;6;14;13;27;12;17;10;3;5;24;32;19;31;1;28446
1;28446;23;22;18;25;21;7;1;30;16;28;11;2;29;26;9;20;8;15;4;6;14;13;27;12;17;10;3;5;24;32;19;31
23;22;18;25;21;7;1;30;16;28;11;2;29;26;9;20;8;15;4;6;14;13;27;3;17;10;12;5;24;32;19;31;1;28206
1;28206;23;22;18;25;21;7;1;30;16;28;11;2;29;26;9;20;8;15;4;6;14;13;27;3;17;10;12;5;24;32;19;31
23;1;18;25;21;7;22;30;16;28;11;2;29;26;9;20;8;15;4;6;14;13;27;3;17;10;12;5;24;32;19;31;1;27558
1;27558;23;1;18;25;21;7;22;30;16;28;11;2;29;26;9;20;8;15;4;6;14;13;27;3;17;10;12;5;24;32;19;31
23;1;18;25;29;7;22;30;16;28;11;2;21;26;9;20;8;15;4;6;14;13;27;3;17;10;12;5;24;32;19;31;1;27718
1;27718;23;1;18;25;29;7;22;30;16;28;11;2;21;26;9;20;8;15;4;6;14;13;27;3;17;10;12;5;24;32;19;31
23;1;18;25;29;7;22;9;16;28;11;2;21;26;30;20;8;15;4;6;14;13;27;3;17;10;12;5;24;32;19;31;1;28096
1;28096;23;1;18;25;29;7;22;9;16;28;11;2;21;26;30;20;8;15;4;6;14;13;27;3;17;10;12;5;24;32;19;31
23;1;18;25;29;7;22;9;16;28;11;2;21;26;30;12;8;15;4;6;14;13;27;3;17;10;20;5;24;32;19;31;1;27644
1;27644;23;1;18;25;29;7;22;9;16;28;11;2;21;26;30;12;8;15;4;6;14;13;27;3;17;10;20;5;24;32;19;31
23;1;18;25;29;7;22;9;16;28;11;2;21;26;14;12;8;15;4;6;30;13;27;3;17;10;20;5;24;32;19;31;1;27000
1;27000;23;1;18;25;29;7;22;9;16;28;11;2;21;26;14;12;8;15;4;6;30;13;27;3;17;10;20;5;24;32;19;31
23;1;18;25;29;7;22;9;16;28;11;2;21;4;14;12;8;15;26;6;30;13;27;3;17;10;20;5;24;32;19;31;1;27444
1;27444;23;1;18;25;29;7;22;9;16;28;11;2;21;4;14;12;8;15;26;6;30;13;27;3;17;10;20;5;24;32;19;31
23;1;18;25;29;7;22;9;16;28;11;2;17;4;14;12;8;15;26;6;30;13;27;3;21;10;20;5;24;32;19;31;1;27764
1;27764;23;1;18;25;29;7;22;9;16;28;11;2;17;4;14;12;8;15;26;6;30;13;27;3;21;10;20;5;24;32;19;31
23;1;18;25;29;7;22;9;16;28;11;2;17;4;14;6;8;15;26;12;30;13;27;3;21;10;20;5;24;32;19;31;1;27564
1;27564;23;1;18;25;29;7;22;9;16;28;11;2;17;4;14;6;8;15;26;12;30;13;27;3;21;10;20;5;24;32;19;31
23;1;18;25;29;7;22;9;16;28;11;2;17;6;14;4;8;15;26;12;30;13;27;3;21;10;20;5;24;32;19;31;1;28364
1;28364;23;1;18;25;29;7;22;9;16;28;11;2;17;6;14;4;8;15;26;12;30;13;27;3;21;10;20;5;24;32;19;31
23;1;18;25;29;7;22;9;16;28;11;2;17;6;14;4;8;15;26;3;30;13;27;12;21;10;20;5;24;32;19;31;1;28284
1;28284;23;1;18;25;29;7;22;9;16;28;11;2;17;6;14;4;8;15;26;3;30;13;27;12;21;10;20;5;24;32;19;31
23;1;18;25;29;7;27;9;16;28;11;2;17;6;14;4;8;15;26;3;30;13;22;12;21;10;20;5;24;32;19;31;1;28004
1;28004;23;1;18;25;29;7;27;9;16;28;11;2;17;6;14;4;8;15;26;3;30;13;22;12;21;10;20;5;24;32;19;31
23;1;18;25;29;7;27;9;16;28;11;2;17;6;14;4;8;15;24;3;30;13;22;12;21;10;20;5;26;32;19;31;1;27824
1;27824;23;1;18;25;29;7;27;9;16;28;11;2;17;6;14;4;8;15;24;3;30;13;22;12;21;10;20;5;26;32;19;31
23;1;18;25;29;7;27;9;16;28;11;2;17;6;8;4;14;15;24;3;30;13;22;12;21;10;20;5;26;32;19;31;1;28104
1;28104;23;1;18;25;29;7;27;9;16;28;11;2;17;6;8;4;14;15;24;3;30;13;22;12;21;10;20;5;26;32;19;31
23;1;18;25;29;24;27;9;16;28;11;2;17;6;8;4;14;15;7;3;30;13;22;12;21;10;20;5;26;32;19;31;1;29082
2;29082;23;1;18;25;29;24;27;9;16;28;11;2;17;6;8;4;14;15;7;3;30;13;22;12;21;10;20;5;26;32;19;31
23;1;18;25;29;24;27;9;16;28;11;2;17;6;8;4;14;15;7;22;30;13;3;12;21;10;20;5;26;32;19;31;2;28864
2;28864;23;1;18;25;29;24;27;9;16;28;11;2;17;6;8;4;14;15;7;22;30;13;3;12;21;10;20;5;26;32;19;31
23;1;18;25;29;24;27;9;16;28;11;2;17;6;8;5;14;15;7;22;30;13;3;12;21;10;20;4;26;32;19;31;2;27744
2;27744;23;1;18;25;29;24;27;9;16;28;11;2;17;6;8;5;14;15;7;22;30;13;3;12;21;10;20;4;26;32;19;31
23;1;18;2;29;24;27;9;16;28;11;25;17;6;8;5;14;15;7;22;30;13;3;12;21;10;20;4;26;32;19;31;2;27694
2;27694;23;1;18;2;29;24;27;9;16;28;11;25;17;6;8;5;14;15;7;22;30;13;3;12;21;10;20;4;26;32;19;31
23;1;11;2;29;24;27;9;16;28;18;25;17;6;8;5;14;15;7;22;30;13;3;12;21;10;20;4;26;32;19;31;2;27088
2;27088;23;1;11;2;29;24;27;9;16;28;18;25;17;6;8;5;14;15;7;22;30;13;3;12;21;10;20;4;26;32;19;31
18;1;11;2;29;24;27;9;16;28;23;25;17;6;8;5;14;15;7;22;30;13;3;12;21;10;20;4;26;32;19;31;2;27368
2;27368;18;1;11;2;29;24;27;9;16;28;23;25;17;6;8;5;14;15;7;22;30;13;3;12;21;10;20;4;26;32;19;31
18;1;11;2;29;24;27;9;16;28;23;25;17;6;8;5;14;15;7;22;30;13;32;12;21;10;20;4;26;3;19;31;2;26890
2;26890;18;1;11;2;29;24;27;9;16;28;23;25;17;6;8;5;14;15;7;22;30;13;32;12;21;10;20;4;26;3;19;31
18;1;11;2;29;24;27;9;16;28;23;25;17;6;8;5;30;15;7;22;14;13;32;12;21;10;20;4;26;3;19;31;2;27672
2;27672;18;1;11;2;29;24;27;9;16;28;23;25;17;6;8;5;30;15;7;22;14;13;32;12;21;10;20;4;26;3;19;31
18;1;11;2;29;24;3;9;16;28;23;25;17;6;8;5;30;15;7;22;14;13;32;12;21;10;20;4;26;27;19;31;2;28010
2;28010;18;1;11;2;29;24;3;9;16;28;23;25;17;6;8;5;30;15;7;22;14;13;32;12;21;10;20;4;26;27;19;31
18;1;11;2;29;24;3;9;16;13;23;25;17;6;8;5;30;15;7;22;14;28;32;12;21;10;20;4;26;27;19;31;2;28226
2;28226;18;1;11;2;29;24;3;9;16;13;23;25;17;6;8;5;30;15;7;22;14;28;32;12;21;10;20;4;26;27;19;31
18;1;11;2;29;24;3;9;16;13;23;25;17;6;8;5;30;15;7;22;14;28;19;12;21;10;20;4;26;27;32;31;2;28106
2;28106;18;1;11;2;29;24;3;9;16;13;23;25;17;6;8;5;30;15;7;22;14;28;19;12;21;10;20;4;26;27;32;31
18;1;11;2;29;24;3;9;16;13;23;25;17;6;8;5;30;15;7;22;14;28;19;4;21;10;20;12;26;27;32;31;2;28226
