"X1";"X27344";"X3";"X11";"X20";"X22";"X1.1";"X26";"X12";"X5";"X14";"X4";"X29";"X25";"X7";"X27";"X28";"X19";"X13";"X31";"X30";"X18";"X8";"X9";"X16";"X6";"X32";"X21";"X23";"X10";"X17";"X24";"X2";"X15"
1;27344;3;11;20;22;1;26;12;5;14;4;29;25;7;27;28;19;13;31;30;18;8;9;16;6;32;21;23;10;17;24;2;15
3;11;20;22;1;26;12;5;14;4;15;25;7;27;28;19;13;31;30;18;8;9;16;6;32;21;23;10;17;24;2;29;1;26828
1;26828;3;11;20;22;1;26;12;5;14;4;15;25;7;27;28;19;13;31;30;18;8;9;16;6;32;21;23;10;17;24;2;29
3;11;20;22;1;26;12;5;14;4;15;25;7;27;28;19;13;31;30;9;8;18;16;6;32;21;23;10;17;24;2;29;1;26778
1;26778;3;11;20;22;1;26;12;5;14;4;15;25;7;27;28;19;13;31;30;9;8;18;16;6;32;21;23;10;17;24;2;29
3;11;20;22;1;26;12;6;14;4;15;25;7;27;28;19;13;31;30;9;8;18;16;5;32;21;23;10;17;24;2;29;1;26738
1;26738;3;11;20;22;1;26;12;6;14;4;15;25;7;27;28;19;13;31;30;9;8;18;16;5;32;21;23;10;17;24;2;29
3;11;20;22;1;26;12;2;14;4;15;25;7;27;28;19;13;31;30;9;8;18;16;5;32;21;23;10;17;24;6;29;1;26898
1;26898;3;11;20;22;1;26;12;2;14;4;15;25;7;27;28;19;13;31;30;9;8;18;16;5;32;21;23;10;17;24;6;29
3;11;20;22;1;26;12;2;14;4;15;25;7;27;28;19;13;31;30;9;8;18;16;5;32;10;23;21;17;24;6;29;1;27230
1;27230;3;11;20;22;1;26;12;2;14;4;15;25;7;27;28;19;13;31;30;9;8;18;16;5;32;10;23;21;17;24;6;29
3;11;20;22;1;26;12;2;23;4;15;25;7;27;28;19;13;31;30;9;8;18;16;5;32;10;14;21;17;24;6;29;1;27380
1;27380;3;11;20;22;1;26;12;2;23;4;15;25;7;27;28;19;13;31;30;9;8;18;16;5;32;10;14;21;17;24;6;29
3;11;20;22;1;26;12;2;23;4;15;25;7;27;28;9;13;31;30;19;8;18;16;5;32;10;14;21;17;24;6;29;1;26784
1;26784;3;11;20;22;1;26;12;2;23;4;15;25;7;27;28;9;13;31;30;19;8;18;16;5;32;10;14;21;17;24;6;29
3;11;20;22;1;26;12;2;23;9;15;25;7;27;28;4;13;31;30;19;8;18;16;5;32;10;14;21;17;24;6;29;1;27004
1;27004;3;11;20;22;1;26;12;2;23;9;15;25;7;27;28;4;13;31;30;19;8;18;16;5;32;10;14;21;17;24;6;29
3;11;20;22;1;26;12;19;23;9;15;25;7;27;28;4;13;31;30;2;8;18;16;5;32;10;14;21;17;24;6;29;1;27596
1;27596;3;11;20;22;1;26;12;19;23;9;15;25;7;27;28;4;13;31;30;2;8;18;16;5;32;10;14;21;17;24;6;29
3;11;20;22;1;26;12;19;23;9;15;13;7;27;28;4;25;31;30;2;8;18;16;5;32;10;14;21;17;24;6;29;1;27328
1;27328;3;11;20;22;1;26;12;19;23;9;15;13;7;27;28;4;25;31;30;2;8;18;16;5;32;10;14;21;17;24;6;29
3;11;20;22;1;26;12;19;23;9;15;13;7;27;28;4;25;31;30;2;8;18;5;16;32;10;14;21;17;24;6;29;1;26988
1;26988;3;11;20;22;1;26;12;19;23;9;15;13;7;27;28;4;25;31;30;2;8;18;5;16;32;10;14;21;17;24;6;29
3;11;20;22;1;26;12;19;15;9;23;13;7;27;28;4;25;31;30;2;8;18;5;16;32;10;14;21;17;24;6;29;1;26742
1;26742;3;11;20;22;1;26;12;19;15;9;23;13;7;27;28;4;25;31;30;2;8;18;5;16;32;10;14;21;17;24;6;29
3;11;20;22;1;26;32;19;15;9;23;13;7;27;28;4;25;31;30;2;8;18;5;16;12;10;14;21;17;24;6;29;1;27908
1;27908;3;11;20;22;1;26;32;19;15;9;23;13;7;27;28;4;25;31;30;2;8;18;5;16;12;10;14;21;17;24;6;29
3;11;20;22;1;26;32;19;15;9;23;13;7;27;16;4;25;31;30;2;8;18;5;28;12;10;14;21;17;24;6;29;1;28226
1;28226;3;11;20;22;1;26;32;19;15;9;23;13;7;27;16;4;25;31;30;2;8;18;5;28;12;10;14;21;17;24;6;29
3;11;20;22;1;26;32;19;15;9;23;13;7;27;16;4;25;31;30;2;8;18;5;28;12;10;14;21;6;24;17;29;1;27596
1;27596;3;11;20;22;1;26;32;19;15;9;23;13;7;27;16;4;25;31;30;2;8;18;5;28;12;10;14;21;6;24;17;29
3;14;20;22;1;26;32;19;15;9;23;13;7;27;16;4;25;31;30;2;8;18;5;28;12;10;11;21;6;24;17;29;1;28076
1;28076;3;14;20;22;1;26;32;19;15;9;23;13;7;27;16;4;25;31;30;2;8;18;5;28;12;10;11;21;6;24;17;29
3;14;20;22;28;26;32;19;15;9;23;13;7;27;16;4;25;31;30;2;8;18;5;1;12;10;11;21;6;24;17;29;1;27626
1;27626;3;14;20;22;28;26;32;19;15;9;23;13;7;27;16;4;25;31;30;2;8;18;5;1;12;10;11;21;6;24;17;29
3;14;20;22;28;26;6;19;15;9;23;13;7;27;16;4;25;31;30;2;8;18;5;1;12;10;11;21;32;24;17;29;1;27690
1;27690;3;14;20;22;28;26;6;19;15;9;23;13;7;27;16;4;25;31;30;2;8;18;5;1;12;10;11;21;32;24;17;29
3;14;20;22;28;26;6;19;15;9;1;13;7;27;16;4;25;31;30;2;8;18;5;23;12;10;11;21;32;24;17;29;1;27258
1;27258;3;14;20;22;28;26;6;19;15;9;1;13;7;27;16;4;25;31;30;2;8;18;5;23;12;10;11;21;32;24;17;29
3;14;20;22;28;24;6;19;15;9;1;13;7;27;16;4;25;31;30;2;8;18;5;23;12;10;11;21;32;26;17;29;1;27238
2;27238;3;14;20;22;28;24;6;19;15;9;1;13;7;27;16;4;25;31;30;2;8;18;5;23;12;10;11;21;32;26;17;29
3;27;20;22;28;24;6;19;15;9;1;13;7;14;16;4;25;31;30;2;8;18;5;23;12;10;11;21;32;26;17;29;2;26844
2;26844;3;27;20;22;28;24;6;19;15;9;1;13;7;14;16;4;25;31;30;2;8;18;5;23;12;10;11;21;32;26;17;29
3;27;20;22;4;24;6;19;15;9;1;13;7;14;16;28;25;31;30;2;8;18;5;23;12;10;11;21;32;26;17;29;2;26534
2;26534;3;27;20;22;4;24;6;19;15;9;1;13;7;14;16;28;25;31;30;2;8;18;5;23;12;10;11;21;32;26;17;29
3;27;20;22;4;24;6;19;15;9;1;13;7;14;18;28;25;31;30;2;8;16;5;23;12;10;11;21;32;26;17;29;2;26022
2;26022;3;27;20;22;4;24;6;19;15;9;1;13;7;14;18;28;25;31;30;2;8;16;5;23;12;10;11;21;32;26;17;29
3;27;20;22;4;24;6;19;15;9;1;13;12;14;18;28;25;31;30;2;8;16;5;23;7;10;11;21;32;26;17;29;2;26382
2;26382;3;27;20;22;4;24;6;19;15;9;1;13;12;14;18;28;25;31;30;2;8;16;5;23;7;10;11;21;32;26;17;29
3;27;20;22;23;24;6;19;15;9;1;13;12;14;18;28;25;31;30;2;8;16;5;4;7;10;11;21;32;26;17;29;2;26080
2;26080;3;27;20;22;23;24;6;19;15;9;1;13;12;14;18;28;25;31;30;2;8;16;5;4;7;10;11;21;32;26;17;29
3;27;20;22;23;24;7;19;15;9;1;13;12;14;18;28;25;31;30;2;8;16;5;4;6;10;11;21;32;26;17;29;2;25820
2;25820;3;27;20;22;23;24;7;19;15;9;1;13;12;14;18;28;25;31;30;2;8;16;5;4;6;10;11;21;32;26;17;29
3;27;20;22;23;24;7;19;15;9;6;13;12;14;18;28;25;31;30;2;8;16;5;4;1;10;11;21;32;26;17;29;2;25140
2;25140;3;27;20;22;23;24;7;19;15;9;6;13;12;14;18;28;25;31;30;2;8;16;5;4;1;10;11;21;32;26;17;29
3;27;20;22;23;24;7;19;15;9;6;13;12;14;18;28;25;31;30;2;8;16;5;4;32;10;11;21;1;26;17;29;2;24246
2;24246;3;27;20;22;23;24;7;19;15;9;6;13;12;14;18;28;25;31;30;2;8;16;5;4;32;10;11;21;1;26;17;29
3;27;20;22;23;24;7;19;15;4;6;13;12;14;18;28;25;31;30;2;8;16;5;9;32;10;11;21;1;26;17;29;2;24626
2;24626;3;27;20;22;23;24;7;19;15;4;6;13;12;14;18;28;25;31;30;2;8;16;5;9;32;10;11;21;1;26;17;29
25;27;20;22;23;24;7;19;15;4;6;13;12;14;18;28;3;31;30;2;8;16;5;9;32;10;11;21;1;26;17;29;2;24962
2;24962;25;27;20;22;23;24;7;19;15;4;6;13;12;14;18;28;3;31;30;2;8;16;5;9;32;10;11;21;1;26;17;29
25;27;20;22;23;24;7;19;15;4;6;13;12;14;18;28;3;31;30;2;32;16;5;9;8;10;11;21;1;26;17;29;2;25820
2;25820;25;27;20;22;23;24;7;19;15;4;6;13;12;14;18;28;3;31;30;2;32;16;5;9;8;10;11;21;1;26;17;29
25;27;20;22;23;24;7;19;15;4;6;13;12;17;18;28;3;31;30;2;32;16;5;9;8;10;11;21;1;26;14;29;2;26684
2;26684;25;27;20;22;23;24;7;19;15;4;6;13;12;17;18;28;3;31;30;2;32;16;5;9;8;10;11;21;1;26;14;29
25;27;20;22;23;24;7;19;15;4;6;13;12;17;18;28;3;31;30;14;32;16;5;9;8;10;11;21;1;26;2;29;2;27044
2;27044;25;27;20;22;23;24;7;19;15;4;6;13;12;17;18;28;3;31;30;14;32;16;5;9;8;10;11;21;1;26;2;29
25;27;20;22;23;24;7;19;15;4;6;13;12;17;18;28;3;31;30;14;26;16;5;9;8;10;11;21;1;32;2;29;2;26704
2;26704;25;27;20;22;23;24;7;19;15;4;6;13;12;17;18;28;3;31;30;14;26;16;5;9;8;10;11;21;1;32;2;29
25;27;20;22;23;24;6;19;15;4;7;13;12;17;18;28;3;31;30;14;26;16;5;9;8;10;11;21;1;32;2;29;2;26804
2;26804;25;27;20;22;23;24;6;19;15;4;7;13;12;17;18;28;3;31;30;14;26;16;5;9;8;10;11;21;1;32;2;29
25;27;20;22;23;24;6;19;15;4;7;13;12;17;18;28;2;31;30;14;26;16;5;9;8;10;11;21;1;32;3;29;2;27164
2;27164;25;27;20;22;23;24;6;19;15;4;7;13;12;17;18;28;2;31;30;14;26;16;5;9;8;10;11;21;1;32;3;29
25;27;20;22;23;24;6;19;15;4;7;13;12;17;9;28;2;31;30;14;26;16;5;18;8;10;11;21;1;32;3;29;2;27558
2;27558;25;27;20;22;23;24;6;19;15;4;7;13;12;17;9;28;2;31;30;14;26;16;5;18;8;10;11;21;1;32;3;29
25;27;31;22;23;24;6;19;15;4;7;13;12;17;9;28;2;20;30;14;26;16;5;18;8;10;11;21;1;32;3;29;2;27078
2;27078;25;27;31;22;23;24;6;19;15;4;7;13;12;17;9;28;2;20;30;14;26;16;5;18;8;10;11;21;1;32;3;29
11;27;31;22;23;24;6;19;15;4;7;13;12;17;9;28;2;20;30;14;26;16;5;18;8;10;25;21;1;32;3;29;2;26150
2;26150;11;27;31;22;23;24;6;19;15;4;7;13;12;17;9;28;2;20;30;14;26;16;5;18;8;10;25;21;1;32;3;29
11;27;19;22;23;24;6;31;15;4;7;13;12;17;9;28;2;20;30;14;26;16;5;18;8;10;25;21;1;32;3;29;2;26130
3;26130;11;27;19;22;23;24;6;31;15;4;7;13;12;17;9;28;2;20;30;14;26;16;5;18;8;10;25;21;1;32;3;29
11;27;19;22;23;24;6;31;15;4;7;13;12;17;1;28;2;20;30;14;26;16;5;18;8;10;25;21;9;32;3;29;3;26130
3;26130;11;27;19;22;23;24;6;31;15;4;7;13;12;17;1;28;2;20;30;14;26;16;5;18;8;10;25;21;9;32;3;29
11;27;19;22;23;24;6;31;15;4;25;13;12;17;1;28;2;20;30;14;26;16;5;18;8;10;7;21;9;32;3;29;3;26910
3;26910;11;27;19;22;23;24;6;31;15;4;25;13;12;17;1;28;2;20;30;14;26;16;5;18;8;10;7;21;9;32;3;29
11;27;19;22;23;24;6;31;15;4;25;13;14;17;1;28;2;20;30;12;26;16;5;18;8;10;7;21;9;32;3;29;3;26430
3;26430;11;27;19;22;23;24;6;31;15;4;25;13;14;17;1;28;2;20;30;12;26;16;5;18;8;10;7;21;9;32;3;29
11;27;19;22;23;24;6;31;15;4;25;9;14;17;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;32;3;29;3;26530
3;26530;11;27;19;22;23;24;6;31;15;4;25;9;14;17;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;32;3;29
11;27;19;22;23;24;6;31;15;4;17;9;14;25;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;32;3;29;3;26970
3;26970;11;27;19;22;23;24;6;31;15;4;17;9;14;25;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;32;3;29
19;27;11;22;23;24;6;31;15;4;17;9;14;25;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;32;3;29;3;27256
3;27256;19;27;11;22;23;24;6;31;15;4;17;9;14;25;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;32;3;29
19;27;31;22;23;24;6;11;15;4;17;9;14;25;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;32;3;29;3;27166
3;27166;19;27;31;22;23;24;6;11;15;4;17;9;14;25;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;32;3;29
19;27;31;22;23;24;32;11;15;4;17;9;14;25;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;6;3;29;3;27428
3;27428;19;27;31;22;23;24;32;11;15;4;17;9;14;25;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;6;3;29
19;15;31;22;23;24;32;11;27;4;17;9;14;25;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;6;3;29;3;28144
3;28144;19;15;31;22;23;24;32;11;27;4;17;9;14;25;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;6;3;29
19;15;31;22;23;24;32;11;29;4;17;9;14;25;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;6;3;27;3;28604
3;28604;19;15;31;22;23;24;32;11;29;4;17;9;14;25;1;28;2;20;30;12;26;16;5;18;8;10;7;21;13;6;3;27
19;15;31;22;23;24;32;11;29;4;17;9;14;21;1;28;2;20;30;12;26;16;5;18;8;10;7;25;13;6;3;27;3;28724
3;28724;19;15;31;22;23;24;32;11;29;4;17;9;14;21;1;28;2;20;30;12;26;16;5;18;8;10;7;25;13;6;3;27
19;15;3;22;23;24;32;11;29;4;17;9;14;21;1;28;2;20;30;12;26;16;5;18;8;10;7;25;13;6;31;27;3;28378
3;28378;19;15;3;22;23;24;32;11;29;4;17;9;14;21;1;28;2;20;30;12;26;16;5;18;8;10;7;25;13;6;31;27
19;15;26;22;23;24;32;11;29;4;17;9;14;21;1;28;2;20;30;12;3;16;5;18;8;10;7;25;13;6;31;27;3;28618
3;28618;19;15;26;22;23;24;32;11;29;4;17;9;14;21;1;28;2;20;30;12;3;16;5;18;8;10;7;25;13;6;31;27
19;15;26;22;23;24;32;11;29;4;17;9;14;21;1;28;2;20;30;12;3;16;5;18;27;10;7;25;13;6;31;8;3;28538
3;28538;19;15;26;22;23;24;32;11;29;4;17;9;14;21;1;28;2;20;30;12;3;16;5;18;27;10;7;25;13;6;31;8
19;15;26;22;23;24;32;11;29;4;17;9;14;21;1;28;2;20;30;12;3;16;5;18;27;10;7;8;13;6;31;25;3;27998
3;27998;19;15;26;22;23;24;32;11;29;4;17;9;14;21;1;28;2;20;30;12;3;16;5;18;27;10;7;8;13;6;31;25
19;15;26;22;23;24;32;11;29;4;17;2;14;21;1;28;9;20;30;12;3;16;5;18;27;10;7;8;13;6;31;25;3;28078
3;28078;19;15;26;22;23;24;32;11;29;4;17;2;14;21;1;28;9;20;30;12;3;16;5;18;27;10;7;8;13;6;31;25
19;15;26;22;23;24;32;11;29;4;17;30;14;21;1;28;9;20;2;12;3;16;5;18;27;10;7;8;13;6;31;25;3;27894
