"X1";"X26024";"X11";"X6";"X32";"X26";"X25";"X20";"X2";"X13";"X4";"X21";"X27";"X31";"X9";"X5";"X29";"X3";"X7";"X14";"X15";"X24";"X18";"X8";"X1.1";"X23";"X10";"X30";"X28";"X12";"X19";"X17";"X22";"X16"
1;26024;11;6;32;26;25;20;2;13;4;21;27;31;9;5;29;3;7;14;15;24;18;8;1;23;10;30;28;12;19;17;22;16
11;6;32;26;25;20;2;13;4;21;27;31;9;29;5;3;7;14;15;24;18;8;1;23;10;30;28;12;19;17;22;16;1;26170
1;26170;11;6;32;26;25;20;2;13;4;21;27;31;9;29;5;3;7;14;15;24;18;8;1;23;10;30;28;12;19;17;22;16
11;6;32;26;25;20;2;13;4;21;27;31;9;29;5;17;7;14;15;24;18;8;1;23;10;30;28;12;19;3;22;16;1;27030
1;27030;11;6;32;26;25;20;2;13;4;21;27;31;9;29;5;17;7;14;15;24;18;8;1;23;10;30;28;12;19;3;22;16
11;6;32;26;25;20;2;13;4;21;27;31;9;29;5;17;7;14;16;24;18;8;1;23;10;30;28;12;19;3;22;15;1;27070
1;27070;11;6;32;26;25;20;2;13;4;21;27;31;9;29;5;17;7;14;16;24;18;8;1;23;10;30;28;12;19;3;22;15
11;6;1;26;25;20;2;13;4;21;27;31;9;29;5;17;7;14;16;24;18;8;32;23;10;30;28;12;19;3;22;15;1;27282
1;27282;11;6;1;26;25;20;2;13;4;21;27;31;9;29;5;17;7;14;16;24;18;8;32;23;10;30;28;12;19;3;22;15
11;6;1;26;25;20;2;13;28;21;27;31;9;29;5;17;7;14;16;24;18;8;32;23;10;30;4;12;19;3;22;15;1;27592
1;27592;11;6;1;26;25;20;2;13;28;21;27;31;9;29;5;17;7;14;16;24;18;8;32;23;10;30;4;12;19;3;22;15
11;6;1;26;25;20;2;13;28;21;27;16;9;29;5;17;7;14;31;24;18;8;32;23;10;30;4;12;19;3;22;15;1;27568
1;27568;11;6;1;26;25;20;2;13;28;21;27;16;9;29;5;17;7;14;31;24;18;8;32;23;10;30;4;12;19;3;22;15
11;6;1;26;25;20;2;13;28;21;27;16;7;29;5;17;9;14;31;24;18;8;32;23;10;30;4;12;19;3;22;15;1;27128
1;27128;11;6;1;26;25;20;2;13;28;21;27;16;7;29;5;17;9;14;31;24;18;8;32;23;10;30;4;12;19;3;22;15
