"X1";"X29290";"X18";"X8";"X6";"X13";"X9";"X12";"X29";"X32";"X24";"X3";"X31";"X22";"X7";"X11";"X23";"X20";"X21";"X30";"X26";"X14";"X27";"X1.1";"X15";"X25";"X19";"X16";"X10";"X17";"X2";"X4";"X5";"X28"
1;29290;18;8;6;13;9;12;29;32;24;3;31;22;7;11;23;20;21;30;26;14;27;1;15;25;19;16;10;17;2;4;5;28
18;8;6;13;9;12;29;32;24;3;31;22;25;11;23;20;21;30;26;14;27;1;15;7;19;16;10;17;2;4;5;28;1;28226
1;28226;18;8;6;13;9;12;29;32;24;3;31;22;25;11;23;20;21;30;26;14;27;1;15;7;19;16;10;17;2;4;5;28
18;8;6;13;9;12;29;32;14;3;31;22;25;11;23;20;21;30;26;24;27;1;15;7;19;16;10;17;2;4;5;28;1;29008
1;29008;18;8;6;13;9;12;29;32;14;3;31;22;25;11;23;20;21;30;26;24;27;1;15;7;19;16;10;17;2;4;5;28
18;8;6;13;9;12;29;32;14;3;31;22;25;11;23;20;21;30;26;24;27;1;15;7;19;17;10;16;2;4;5;28;1;29512
1;29512;18;8;6;13;9;12;29;32;14;3;31;22;25;11;23;20;21;30;26;24;27;1;15;7;19;17;10;16;2;4;5;28
18;8;6;13;9;12;29;32;14;3;17;22;25;11;23;20;21;30;26;24;27;1;15;7;19;31;10;16;2;4;5;28;1;28832
1;28832;18;8;6;13;9;12;29;32;14;3;17;22;25;11;23;20;21;30;26;24;27;1;15;7;19;31;10;16;2;4;5;28
18;8;23;13;9;12;29;32;14;3;17;22;25;11;6;20;21;30;26;24;27;1;15;7;19;31;10;16;2;4;5;28;1;28188
1;28188;18;8;23;13;9;12;29;32;14;3;17;22;25;11;6;20;21;30;26;24;27;1;15;7;19;31;10;16;2;4;5;28
18;8;23;13;9;12;29;32;19;3;17;22;25;11;6;20;21;30;26;24;27;1;15;7;14;31;10;16;2;4;5;28;1;27430
1;27430;18;8;23;13;9;12;29;32;19;3;17;22;25;11;6;20;21;30;26;24;27;1;15;7;14;31;10;16;2;4;5;28
18;8;23;13;9;11;29;32;19;3;17;22;25;12;6;20;21;30;26;24;27;1;15;7;14;31;10;16;2;4;5;28;1;27290
1;27290;18;8;23;13;9;11;29;32;19;3;17;22;25;12;6;20;21;30;26;24;27;1;15;7;14;31;10;16;2;4;5;28
18;8;23;13;9;11;29;32;19;3;17;22;25;12;6;20;21;30;26;31;27;1;15;7;14;24;10;16;2;4;5;28;1;27010
1;27010;18;8;23;13;9;11;29;32;19;3;17;22;25;12;6;20;21;30;26;31;27;1;15;7;14;24;10;16;2;4;5;28
18;8;23;13;9;11;29;32;19;3;14;22;25;12;6;20;21;30;26;31;27;1;15;7;17;24;10;16;2;4;5;28;1;27830
1;27830;18;8;23;13;9;11;29;32;19;3;14;22;25;12;6;20;21;30;26;31;27;1;15;7;17;24;10;16;2;4;5;28
18;8;23;5;9;11;29;32;19;3;14;22;25;12;6;20;21;30;26;31;27;1;15;7;17;24;10;16;2;4;13;28;1;27270
1;27270;18;8;23;5;9;11;29;32;19;3;14;22;25;12;6;20;21;30;26;31;27;1;15;7;17;24;10;16;2;4;13;28
18;8;23;5;9;11;29;32;19;3;14;22;30;12;6;20;21;25;26;31;27;1;15;7;17;24;10;16;2;4;13;28;1;26790
