"X1";"X27586";"X11";"X7";"X10";"X22";"X31";"X9";"X1.1";"X19";"X2";"X5";"X4";"X23";"X18";"X32";"X14";"X30";"X24";"X17";"X27";"X29";"X15";"X13";"X8";"X26";"X16";"X25";"X28";"X12";"X3";"X21";"X20";"X6"
1;27586;11;7;10;22;31;9;1;19;2;5;4;23;18;32;14;30;24;17;27;29;15;13;8;26;16;25;28;12;3;21;20;6
11;7;2;22;31;9;1;19;10;5;4;23;18;32;14;30;24;17;27;29;15;13;8;26;16;25;28;12;3;21;20;6;1;28346
1;28346;11;7;2;22;31;9;1;19;10;5;4;23;18;32;14;30;24;17;27;29;15;13;8;26;16;25;28;12;3;21;20;6
11;7;2;22;31;9;1;19;28;5;4;23;18;32;14;30;24;17;27;29;15;13;8;26;16;25;10;12;3;21;20;6;1;28672
1;28672;11;7;2;22;31;9;1;19;28;5;4;23;18;32;14;30;24;17;27;29;15;13;8;26;16;25;10;12;3;21;20;6
11;7;2;22;31;9;1;19;28;5;4;23;18;32;21;30;24;17;27;29;15;13;8;26;16;25;10;12;3;14;20;6;1;28870
1;28870;11;7;2;22;31;9;1;19;28;5;4;23;18;32;21;30;24;17;27;29;15;13;8;26;16;25;10;12;3;14;20;6
11;7;2;22;31;9;1;19;27;5;4;23;18;32;21;30;24;17;28;29;15;13;8;26;16;25;10;12;3;14;20;6;1;28610
1;28610;11;7;2;22;31;9;1;19;27;5;4;23;18;32;21;30;24;17;28;29;15;13;8;26;16;25;10;12;3;14;20;6
11;7;2;32;31;9;1;19;27;5;4;23;18;22;21;30;24;17;28;29;15;13;8;26;16;25;10;12;3;14;20;6;1;28850
1;28850;11;7;2;32;31;9;1;19;27;5;4;23;18;22;21;30;24;17;28;29;15;13;8;26;16;25;10;12;3;14;20;6
11;7;2;32;16;9;1;19;27;5;4;23;18;22;21;30;24;17;28;29;15;13;8;26;31;25;10;12;3;14;20;6;1;28788
1;28788;11;7;2;32;16;9;1;19;27;5;4;23;18;22;21;30;24;17;28;29;15;13;8;26;31;25;10;12;3;14;20;6
11;7;3;32;16;9;1;19;27;5;4;23;18;22;21;30;24;17;28;29;15;13;8;26;31;25;10;12;2;14;20;6;1;28828
1;28828;11;7;3;32;16;9;1;19;27;5;4;23;18;22;21;30;24;17;28;29;15;13;8;26;31;25;10;12;2;14;20;6
11;7;3;32;16;9;1;19;14;5;4;23;18;22;21;30;24;17;28;29;15;13;8;26;31;25;10;12;2;27;20;6;1;28822
1;28822;11;7;3;32;16;9;1;19;14;5;4;23;18;22;21;30;24;17;28;29;15;13;8;26;31;25;10;12;2;27;20;6
11;7;3;32;16;9;1;19;14;5;27;23;18;22;21;30;24;17;28;29;15;13;8;26;31;25;10;12;2;4;20;6;1;28526
1;28526;11;7;3;32;16;9;1;19;14;5;27;23;18;22;21;30;24;17;28;29;15;13;8;26;31;25;10;12;2;4;20;6
11;7;3;32;16;9;1;19;17;5;27;23;18;22;21;30;24;14;28;29;15;13;8;26;31;25;10;12;2;4;20;6;1;28202
1;28202;11;7;3;32;16;9;1;19;17;5;27;23;18;22;21;30;24;14;28;29;15;13;8;26;31;25;10;12;2;4;20;6
11;7;3;32;16;9;1;19;17;5;27;23;18;22;21;30;24;14;28;29;15;13;6;26;31;25;10;12;2;4;20;8;1;27962
1;27962;11;7;3;32;16;9;1;19;17;5;27;23;18;22;21;30;24;14;28;29;15;13;6;26;31;25;10;12;2;4;20;8
11;7;3;32;16;9;1;19;6;5;27;23;18;22;21;30;24;14;28;29;15;13;17;26;31;25;10;12;2;4;20;8;1;28674
1;28674;11;7;3;32;16;9;1;19;6;5;27;23;18;22;21;30;24;14;28;29;15;13;17;26;31;25;10;12;2;4;20;8
11;7;3;18;16;9;1;19;6;5;27;23;32;22;21;30;24;14;28;29;15;13;17;26;31;25;10;12;2;4;20;8;1;28694
1;28694;11;7;3;18;16;9;1;19;6;5;27;23;32;22;21;30;24;14;28;29;15;13;17;26;31;25;10;12;2;4;20;8
11;7;3;18;16;9;27;19;6;5;1;23;32;22;21;30;24;14;28;29;15;13;17;26;31;25;10;12;2;4;20;8;1;29004
1;29004;11;7;3;18;16;9;27;19;6;5;1;23;32;22;21;30;24;14;28;29;15;13;17;26;31;25;10;12;2;4;20;8
11;7;3;18;16;9;27;19;6;5;12;23;32;22;21;30;24;14;28;29;15;13;17;26;31;25;10;1;2;4;20;8;1;27964
1;27964;11;7;3;18;16;9;27;19;6;5;12;23;32;22;21;30;24;14;28;29;15;13;17;26;31;25;10;1;2;4;20;8
11;7;3;18;16;9;27;19;6;5;12;23;32;15;21;30;24;14;28;29;22;13;17;26;31;25;10;1;2;4;20;8;1;27602
1;27602;11;7;3;18;16;9;27;19;6;5;12;23;32;15;21;30;24;14;28;29;22;13;17;26;31;25;10;1;2;4;20;8
11;18;3;7;16;9;27;19;6;5;12;23;32;15;21;30;24;14;28;29;22;13;17;26;31;25;10;1;2;4;20;8;1;27734
1;27734;11;18;3;7;16;9;27;19;6;5;12;23;32;15;21;30;24;14;28;29;22;13;17;26;31;25;10;1;2;4;20;8
11;18;3;7;16;9;27;19;6;5;23;12;32;15;21;30;24;14;28;29;22;13;17;26;31;25;10;1;2;4;20;8;1;27618
1;27618;11;18;3;7;16;9;27;19;6;5;23;12;32;15;21;30;24;14;28;29;22;13;17;26;31;25;10;1;2;4;20;8
11;18;3;7;16;9;27;19;6;5;23;15;32;12;21;30;24;14;28;29;22;13;17;26;31;25;10;1;2;4;20;8;1;27738
1;27738;11;18;3;7;16;9;27;19;6;5;23;15;32;12;21;30;24;14;28;29;22;13;17;26;31;25;10;1;2;4;20;8
11;18;3;7;16;9;27;19;6;5;23;15;32;12;21;30;24;14;28;29;22;13;17;26;1;25;10;31;2;4;20;8;1;27870
2;27870;11;18;3;7;16;9;27;19;6;5;23;15;32;12;21;30;24;14;28;29;22;13;17;26;1;25;10;31;2;4;20;8
11;18;3;7;16;9;27;19;6;5;23;15;32;12;21;30;24;14;28;29;2;13;17;26;1;25;10;31;22;4;20;8;2;27542
2;27542;11;18;3;7;16;9;27;19;6;5;23;15;32;12;21;30;24;14;28;29;2;13;17;26;1;25;10;31;22;4;20;8
11;18;3;7;16;9;27;19;6;5;23;15;32;20;21;30;24;14;28;29;2;13;17;26;1;25;10;31;22;4;12;8;2;27930
