"X1";"X28320";"X21";"X5";"X12";"X13";"X14";"X17";"X25";"X28";"X32";"X7";"X27";"X4";"X20";"X11";"X22";"X31";"X19";"X3";"X23";"X18";"X1.1";"X6";"X26";"X10";"X9";"X16";"X30";"X2";"X29";"X24";"X8";"X15"
1;28320;21;5;12;13;14;17;25;28;32;7;27;4;20;11;22;31;19;3;23;18;1;6;26;10;9;16;30;2;29;24;8;15
21;5;12;13;14;17;25;28;32;7;27;4;20;11;22;31;19;3;23;18;1;6;26;10;9;16;24;2;29;30;8;15;1;28160
1;28160;21;5;12;13;14;17;25;28;32;7;27;4;20;11;22;31;19;3;23;18;1;6;26;10;9;16;24;2;29;30;8;15
21;5;12;13;14;10;25;28;32;7;27;4;20;11;22;31;19;3;23;18;1;6;26;17;9;16;24;2;29;30;8;15;1;27654
1;27654;21;5;12;13;14;10;25;28;32;7;27;4;20;11;22;31;19;3;23;18;1;6;26;17;9;16;24;2;29;30;8;15
21;5;12;13;14;10;25;28;32;7;27;31;20;11;22;4;19;3;23;18;1;6;26;17;9;16;24;2;29;30;8;15;1;27750
1;27750;21;5;12;13;14;10;25;28;32;7;27;31;20;11;22;4;19;3;23;18;1;6;26;17;9;16;24;2;29;30;8;15
21;5;12;13;14;10;25;4;32;7;27;31;20;11;22;28;19;3;23;18;1;6;26;17;9;16;24;2;29;30;8;15;1;27678
1;27678;21;5;12;13;14;10;25;4;32;7;27;31;20;11;22;28;19;3;23;18;1;6;26;17;9;16;24;2;29;30;8;15
21;5;12;13;14;10;25;4;24;7;27;31;20;11;22;28;19;3;23;18;1;6;26;17;9;16;32;2;29;30;8;15;1;27398
1;27398;21;5;12;13;14;10;25;4;24;7;27;31;20;11;22;28;19;3;23;18;1;6;26;17;9;16;32;2;29;30;8;15
21;5;12;13;30;10;25;4;24;7;27;31;20;11;22;28;19;3;23;18;1;6;26;17;9;16;32;2;29;14;8;15;1;27076
1;27076;21;5;12;13;30;10;25;4;24;7;27;31;20;11;22;28;19;3;23;18;1;6;26;17;9;16;32;2;29;14;8;15
21;5;12;13;30;10;25;4;24;7;27;31;20;11;22;32;19;3;23;18;1;6;26;17;9;16;28;2;29;14;8;15;1;27476
1;27476;21;5;12;13;30;10;25;4;24;7;27;31;20;11;22;32;19;3;23;18;1;6;26;17;9;16;28;2;29;14;8;15
21;5;12;13;30;10;25;4;24;7;27;31;9;11;22;32;19;3;23;18;1;6;26;17;20;16;28;2;29;14;8;15;1;28024
1;27476;21;5;12;13;30;10;25;4;24;7;27;31;20;11;22;32;19;3;23;18;1;6;26;17;9;16;28;2;29;14;8;15
21;5;12;13;30;10;25;4;24;7;27;31;20;11;22;14;19;3;23;18;1;6;26;17;9;16;28;2;29;32;8;15;1;27352
