"X17L";"X20L";"X27L";"X8L";"X31L";"X19L";"X22L";"X13L";"X21L";"X25L";"X26L";"X14L";"X4L";"X24L";"X10L";"X7L";"X6L";"X32L";"X1L";"X16L";"X11L";"X9L";"X5L";"X30L";"X12L";"X18L";"X23L";"X28L";"X3L";"X15L";"X2L";"X29L"
17;20;27;8;31;19;22;13;21;25;26;14;4;24;10;7;6;32;1;16;11;9;5;30;12;18;23;28;3;15;2;29
17;20;27;8;31;19;22;13;21;25;26;14;4;24;10;7;6;32;1;30;11;9;5;16;12;18;23;28;3;15;2;29
17;20;27;8;31;19;22;13;21;25;26;14;4;24;10;7;6;32;1;30;11;9;5;16;12;18;23;28;3;15;2;29
17;20;27;8;31;19;22;13;21;25;26;14;4;24;10;7;6;32;1;30;11;9;5;16;23;18;12;28;3;15;2;29
17;20;27;8;31;19;22;13;21;25;26;14;4;24;10;7;6;32;1;30;11;9;5;16;23;18;12;28;3;15;2;29
17;8;27;20;31;19;22;13;21;25;26;14;4;24;10;7;6;32;1;30;11;9;5;16;23;18;12;28;3;15;2;29
17;8;27;20;31;19;22;13;21;25;26;14;4;24;10;7;6;32;1;30;11;9;5;16;23;18;12;28;3;15;2;29
17;8;27;20;31;6;22;13;21;25;26;14;4;24;10;7;19;32;1;30;11;9;5;16;23;18;12;28;3;15;2;29
17;8;27;20;31;6;22;13;21;25;26;14;4;24;10;7;19;32;1;30;11;9;5;16;23;18;12;28;3;15;2;29
17;8;27;20;31;6;22;13;21;25;26;14;4;24;10;7;19;32;1;30;11;3;5;16;23;18;12;28;9;15;2;29
17;8;27;20;31;6;22;13;21;25;26;14;4;24;10;7;19;32;1;30;11;3;5;16;23;18;12;28;9;15;2;29
17;8;27;20;31;6;22;13;21;18;26;14;4;24;10;7;19;32;1;30;11;3;5;16;23;25;12;28;9;15;2;29
17;8;27;20;31;6;22;13;21;18;26;14;4;24;10;7;19;32;1;30;11;3;5;16;23;25;12;28;9;15;2;29
17;8;27;20;31;6;22;13;21;18;26;14;4;24;10;7;19;32;1;30;11;3;5;16;23;25;12;28;9;2;15;29
17;8;27;20;31;6;22;13;21;18;26;14;4;24;10;7;19;32;1;30;11;3;5;16;23;25;12;28;9;2;15;29
17;8;27;20;31;6;22;13;21;18;26;14;4;24;10;7;19;32;1;30;11;3;5;16;23;25;12;15;9;2;28;29
17;8;27;20;31;6;22;13;21;18;26;14;4;24;10;7;19;32;1;30;11;3;5;16;23;25;12;15;9;2;28;29
17;8;27;20;31;6;22;13;21;18;26;14;4;24;10;7;5;32;1;30;11;3;19;16;23;25;12;15;9;2;28;29
17;8;27;20;31;6;22;13;21;18;26;14;4;24;10;7;5;32;1;30;11;3;19;16;23;25;12;15;9;2;28;29
17;8;27;20;31;6;22;13;18;21;26;14;4;24;10;7;5;32;1;30;11;3;19;16;23;25;12;15;9;2;28;29
17;8;27;20;31;6;22;13;18;21;26;14;4;24;10;7;5;32;1;30;11;3;19;16;23;25;12;15;9;2;28;29
17;8;27;20;4;6;22;13;18;21;26;14;31;24;10;7;5;32;1;30;11;3;19;16;23;25;12;15;9;2;28;29
17;8;27;20;4;6;22;13;18;21;26;14;31;24;10;7;5;32;1;30;11;3;19;16;23;25;12;15;9;2;28;29
17;8;6;20;4;27;22;13;18;21;26;14;31;24;10;7;5;32;1;30;11;3;19;16;23;25;12;15;9;2;28;29
17;8;6;20;4;27;22;13;18;21;26;14;31;24;10;7;5;32;1;30;11;3;19;16;23;25;12;15;9;2;28;29
17;8;6;20;4;27;22;13;18;21;26;14;32;24;10;7;5;31;1;30;11;3;19;16;23;25;12;15;9;2;28;29
17;8;6;20;4;27;22;13;18;21;26;14;32;24;10;7;5;31;1;30;11;3;19;16;23;25;12;15;9;2;28;29
17;8;6;20;4;27;22;25;18;21;26;14;32;24;10;7;5;31;1;30;11;3;19;16;23;13;12;15;9;2;28;29
17;8;6;20;4;27;22;25;18;21;26;14;32;24;10;7;5;31;1;30;11;3;19;16;23;13;12;15;9;2;28;29
17;8;26;20;4;27;22;25;18;21;6;14;32;24;10;7;5;31;1;30;11;3;19;16;23;13;12;15;9;2;28;29
17;8;26;20;4;27;22;25;18;21;6;14;32;24;10;7;5;31;1;30;11;3;19;16;23;13;12;15;9;2;28;29
17;8;26;20;4;27;23;25;18;21;6;14;32;24;10;7;5;31;1;30;11;3;19;16;22;13;12;15;9;2;28;29
17;8;26;20;4;27;23;25;18;21;6;14;32;24;10;7;5;31;1;30;11;3;19;16;22;13;12;15;9;2;28;29
17;8;26;20;4;27;23;25;18;21;6;14;32;24;10;7;5;31;11;30;1;3;19;16;22;13;12;15;9;2;28;29
17;8;26;20;4;27;23;25;18;21;6;14;32;24;10;7;5;31;11;30;1;3;19;16;22;13;12;15;9;2;28;29
17;8;26;20;32;27;23;25;18;21;6;14;4;24;10;7;5;31;11;30;1;3;19;16;22;13;12;15;9;2;28;29
17;8;26;20;32;27;23;25;18;21;6;14;4;24;10;7;5;31;11;30;1;3;19;16;22;13;12;15;9;2;28;29
17;8;26;20;32;27;23;25;18;21;6;14;3;24;10;7;5;31;11;30;1;4;19;16;22;13;12;15;9;2;28;29
17;8;26;20;32;27;23;25;18;21;6;14;3;24;10;7;5;31;11;30;1;4;19;16;22;13;12;15;9;2;28;29
17;4;26;20;32;27;23;25;18;21;6;14;3;24;10;7;5;31;11;30;1;8;19;16;22;13;12;15;9;2;28;29
17;4;26;20;32;27;23;25;18;21;6;14;3;24;10;7;5;31;11;30;1;8;19;16;22;13;12;15;9;2;28;29
17;4;23;20;32;27;26;25;18;21;6;14;3;24;10;7;5;31;11;30;1;8;19;16;22;13;12;15;9;2;28;29
17;4;23;20;32;27;26;25;18;21;6;14;3;24;10;7;5;31;11;30;1;8;19;16;22;13;12;15;9;2;28;29
17;4;23;20;32;27;26;25;18;21;6;14;3;24;10;7;5;31;11;30;1;8;19;16;22;13;9;15;12;2;28;29
17;4;23;20;32;27;26;25;18;21;6;14;3;24;10;7;5;31;11;30;1;8;19;16;22;13;9;15;12;2;28;29
17;4;23;20;32;27;8;25;18;21;6;14;3;24;10;7;5;31;11;30;1;26;19;16;22;13;9;15;12;2;28;29
17;4;23;20;32;27;8;25;18;21;6;14;3;24;10;7;5;31;11;30;1;26;19;16;22;13;9;15;12;2;28;29
17;4;23;20;32;27;8;25;18;21;6;14;3;13;10;7;5;31;11;30;1;26;19;16;22;24;9;15;12;2;28;29
17;4;23;20;32;27;8;25;18;21;6;14;3;13;10;7;5;31;11;30;1;26;19;16;22;24;9;15;12;2;28;29
17;4;23;20;32;27;8;25;18;21;6;14;3;13;10;7;5;31;11;30;9;26;19;16;22;24;1;15;12;2;28;29
17;4;23;20;32;27;8;25;18;21;6;14;3;13;10;7;5;31;11;30;9;26;19;16;22;24;1;15;12;2;28;29
17;4;23;20;32;27;8;25;18;21;6;14;3;13;10;7;5;31;11;30;9;28;19;16;22;24;1;15;12;2;26;29
17;4;23;20;32;27;8;25;18;21;6;14;3;13;10;7;5;31;11;30;9;28;19;16;22;24;1;15;12;2;26;29
