"X1";"X27374";"X8";"X18";"X22";"X6";"X30";"X32";"X13";"X17";"X26";"X21";"X10";"X9";"X23";"X7";"X11";"X20";"X4";"X5";"X29";"X25";"X31";"X28";"X3";"X16";"X12";"X24";"X15";"X2";"X27";"X19";"X14";"X1.1"
1;27374;8;18;22;6;30;32;13;17;26;21;10;9;23;7;11;20;4;5;29;25;31;28;3;16;12;24;15;2;27;19;14;1
8;18;22;6;30;13;32;17;26;21;10;9;23;7;11;20;4;5;29;25;31;28;3;16;12;24;15;2;27;19;14;1;1;27346
1;27346;8;18;22;6;30;13;32;17;26;21;10;9;23;7;11;20;4;5;29;25;31;28;3;16;12;24;15;2;27;19;14;1
8;18;22;6;30;12;32;17;26;21;10;9;23;7;11;20;4;5;29;25;31;28;3;16;13;24;15;2;27;19;14;1;1;26706
1;26706;8;18;22;6;30;12;32;17;26;21;10;9;23;7;11;20;4;5;29;25;31;28;3;16;13;24;15;2;27;19;14;1
8;18;22;6;30;12;32;17;19;21;10;9;23;7;11;20;4;5;29;25;31;28;3;16;13;24;15;2;27;26;14;1;1;26686
1;26686;8;18;22;6;30;12;32;17;19;21;10;9;23;7;11;20;4;5;29;25;31;28;3;16;13;24;15;2;27;26;14;1
8;18;22;6;30;12;32;17;19;21;10;9;23;7;11;20;4;5;29;25;31;28;13;16;3;24;15;2;27;26;14;1;1;26626
1;26626;8;18;22;6;30;12;32;17;19;21;10;9;23;7;11;20;4;5;29;25;31;28;13;16;3;24;15;2;27;26;14;1
8;18;22;29;30;12;32;17;19;21;10;9;23;7;11;20;4;5;6;25;31;28;13;16;3;24;15;2;27;26;14;1;1;27308
1;27308;8;18;22;29;30;12;32;17;19;21;10;9;23;7;11;20;4;5;6;25;31;28;13;16;3;24;15;2;27;26;14;1
8;18;22;29;30;16;32;17;19;21;10;9;23;7;11;20;4;5;6;25;31;28;13;12;3;24;15;2;27;26;14;1;1;27568
1;27568;8;18;22;29;30;16;32;17;19;21;10;9;23;7;11;20;4;5;6;25;31;28;13;12;3;24;15;2;27;26;14;1
8;18;22;29;30;16;32;17;19;21;10;9;23;7;11;20;4;5;31;25;6;28;13;12;3;24;15;2;27;26;14;1;1;28162
1;28162;8;18;22;29;30;16;32;17;19;21;10;9;23;7;11;20;4;5;31;25;6;28;13;12;3;24;15;2;27;26;14;1
23;18;22;29;30;16;32;17;19;21;10;9;8;7;11;20;4;5;31;25;6;28;13;12;3;24;15;2;27;26;14;1;1;27454
1;27454;23;18;22;29;30;16;32;17;19;21;10;9;8;7;11;20;4;5;31;25;6;28;13;12;3;24;15;2;27;26;14;1
23;18;22;29;30;16;32;17;19;21;10;20;8;7;11;9;4;5;31;25;6;28;13;12;3;24;15;2;27;26;14;1;1;28102
1;28102;23;18;22;29;30;16;32;17;19;21;10;20;8;7;11;9;4;5;31;25;6;28;13;12;3;24;15;2;27;26;14;1
23;18;22;29;30;16;32;17;19;21;10;20;8;7;28;9;4;5;31;25;6;11;13;12;3;24;15;2;27;26;14;1;1;27890
1;27890;23;18;22;29;30;16;32;17;19;21;10;20;8;7;28;9;4;5;31;25;6;11;13;12;3;24;15;2;27;26;14;1
23;18;22;29;30;16;32;17;19;10;21;20;8;7;28;9;4;5;31;25;6;11;13;12;3;24;15;2;27;26;14;1;1;27768
1;27768;23;18;22;29;30;16;32;17;19;10;21;20;8;7;28;9;4;5;31;25;6;11;13;12;3;24;15;2;27;26;14;1
23;18;22;29;30;16;32;17;19;10;21;13;8;7;28;9;4;5;31;25;6;11;20;12;3;24;15;2;27;26;14;1;1;28054
1;28054;23;18;22;29;30;16;32;17;19;10;21;13;8;7;28;9;4;5;31;25;6;11;20;12;3;24;15;2;27;26;14;1
23;18;22;29;30;16;31;17;19;10;21;13;8;7;28;9;4;5;32;25;6;11;20;12;3;24;15;2;27;26;14;1;1;27514
1;27514;23;18;22;29;30;16;31;17;19;10;21;13;8;7;28;9;4;5;32;25;6;11;20;12;3;24;15;2;27;26;14;1
23;18;20;29;30;16;31;17;19;10;21;13;8;7;28;9;4;5;32;25;6;11;22;12;3;24;15;2;27;26;14;1;1;27594
1;27594;23;18;20;29;30;16;31;17;19;10;21;13;8;7;28;9;4;5;32;25;6;11;22;12;3;24;15;2;27;26;14;1
23;18;20;29;12;16;31;17;19;10;21;13;8;7;28;9;4;5;32;25;6;11;22;30;3;24;15;2;27;26;14;1;1;27856
1;27856;23;18;20;29;12;16;31;17;19;10;21;13;8;7;28;9;4;5;32;25;6;11;22;30;3;24;15;2;27;26;14;1
23;18;20;29;12;16;31;17;19;10;21;13;8;7;28;26;4;5;32;25;6;11;22;30;3;24;15;2;27;9;14;1;1;27392
1;27392;23;18;20;29;12;16;31;17;19;10;21;13;8;7;28;26;4;5;32;25;6;11;22;30;3;24;15;2;27;9;14;1
23;18;20;29;12;16;31;17;19;10;21;13;8;7;28;26;4;5;32;25;6;11;9;30;3;24;15;2;27;22;14;1;1;27122
1;27122;23;18;20;29;12;16;31;17;19;10;21;13;8;7;28;26;4;5;32;25;6;11;9;30;3;24;15;2;27;22;14;1
23;18;20;29;12;16;31;17;19;10;21;13;8;7;28;4;26;5;32;25;6;11;9;30;3;24;15;2;27;22;14;1;1;27122
1;27122;23;18;20;29;12;16;31;17;19;10;21;13;8;7;28;4;26;5;32;25;6;11;9;30;3;24;15;2;27;22;14;1
23;18;20;29;12;16;31;17;19;25;21;13;8;7;28;4;26;5;32;10;6;11;9;30;3;24;15;2;27;22;14;1;1;27632
1;27632;23;18;20;29;12;16;31;17;19;25;21;13;8;7;28;4;26;5;32;10;6;11;9;30;3;24;15;2;27;22;14;1
27;18;20;29;12;16;31;17;19;25;21;13;8;7;28;4;26;5;32;10;6;11;9;30;3;24;15;2;23;22;14;1;1;27812
2;27812;27;18;20;29;12;16;31;17;19;25;21;13;8;7;28;4;26;5;32;10;6;11;9;30;3;24;15;2;23;22;14;1
27;18;20;29;12;16;31;17;19;25;21;13;8;7;14;4;26;5;32;10;6;11;9;30;3;24;15;2;23;22;28;1;2;28170
2;28170;27;18;20;29;12;16;31;17;19;25;21;13;8;7;14;4;26;5;32;10;6;11;9;30;3;24;15;2;23;22;28;1
27;18;20;29;10;16;31;17;19;25;21;13;8;7;14;4;26;5;32;12;6;11;9;30;3;24;15;2;23;22;28;1;2;27930
2;27930;27;18;20;29;10;16;31;17;19;25;21;13;8;7;14;4;26;5;32;12;6;11;9;30;3;24;15;2;23;22;28;1
27;18;20;29;10;16;31;17;19;25;21;13;8;7;14;4;26;5;32;12;6;11;9;30;3;24;15;2;1;22;28;23;2;28080
2;28080;27;18;20;29;10;16;31;17;19;25;21;13;8;7;14;4;26;5;32;12;6;11;9;30;3;24;15;2;1;22;28;23
27;26;20;29;10;16;31;17;19;25;21;13;8;7;14;4;18;5;32;12;6;11;9;30;3;24;15;2;1;22;28;23;2;27720
2;27720;27;26;20;29;10;16;31;17;19;25;21;13;8;7;14;4;18;5;32;12;6;11;9;30;3;24;15;2;1;22;28;23
27;26;20;29;10;16;31;17;19;25;21;13;8;7;2;4;18;5;32;12;6;11;9;30;3;24;15;14;1;22;28;23;2;27900
2;27900;27;26;20;29;10;16;31;17;19;25;21;13;8;7;2;4;18;5;32;12;6;11;9;30;3;24;15;14;1;22;28;23
27;26;20;29;10;16;31;17;19;25;21;13;8;7;6;4;18;5;32;12;2;11;9;30;3;24;15;14;1;22;28;23;2;27820
2;27820;27;26;20;29;10;16;31;17;19;25;21;13;8;7;6;4;18;5;32;12;2;11;9;30;3;24;15;14;1;22;28;23
27;26;20;29;10;16;31;17;19;25;21;13;8;7;6;4;18;5;32;3;2;11;9;30;12;24;15;14;1;22;28;23;2;27540
2;27540;27;26;20;29;10;16;31;17;19;25;21;13;8;7;6;4;18;5;32;3;2;11;9;30;12;24;15;14;1;22;28;23
27;26;20;29;10;16;31;17;19;25;21;13;8;7;6;4;18;5;32;3;11;2;9;30;12;24;15;14;1;22;28;23;2;27660
2;27660;27;26;20;29;10;16;31;17;19;25;21;13;8;7;6;4;18;5;32;3;11;2;9;30;12;24;15;14;1;22;28;23
27;26;20;29;10;16;12;17;19;25;21;13;8;7;6;4;18;5;32;3;11;2;9;30;31;24;15;14;1;22;28;23;2;27758
2;27758;27;26;20;29;10;16;12;17;19;25;21;13;8;7;6;4;18;5;32;3;11;2;9;30;31;24;15;14;1;22;28;23
27;26;20;29;10;16;12;17;19;25;21;13;8;7;5;4;18;6;32;3;11;2;9;30;31;24;15;14;1;22;28;23;2;27638
2;27638;27;26;20;29;10;16;12;17;19;25;21;13;8;7;5;4;18;6;32;3;11;2;9;30;31;24;15;14;1;22;28;23
27;26;20;29;10;16;12;17;19;11;21;13;8;7;5;4;18;6;32;3;25;2;9;30;31;24;15;14;1;22;28;23;2;27558
2;27558;27;26;20;29;10;16;12;17;19;11;21;13;8;7;5;4;18;6;32;3;25;2;9;30;31;24;15;14;1;22;28;23
27;26;20;29;10;16;12;17;19;11;21;13;8;7;5;4;18;6;32;3;25;15;9;30;31;24;2;14;1;22;28;23;2;27438
2;27438;27;26;20;29;10;16;12;17;19;11;21;13;8;7;5;4;18;6;32;3;25;15;9;30;31;24;2;14;1;22;28;23
27;26;20;29;10;16;12;17;19;11;21;14;8;7;5;4;18;6;32;3;25;15;9;30;31;24;2;13;1;22;28;23;2;27398
2;27398;27;26;20;29;10;16;12;17;19;11;21;14;8;7;5;4;18;6;32;3;25;15;9;30;31;24;2;13;1;22;28;23
27;26;20;29;10;16;15;17;19;11;21;14;8;7;5;4;18;6;32;3;25;12;9;30;31;24;2;13;1;22;28;23;2;27518
2;27518;27;26;20;29;10;16;15;17;19;11;21;14;8;7;5;4;18;6;32;3;25;12;9;30;31;24;2;13;1;22;28;23
27;26;20;29;10;16;15;17;19;11;21;14;8;7;5;4;30;6;32;3;25;12;9;18;31;24;2;13;1;22;28;23;2;27718
2;27718;27;26;20;29;10;16;15;17;19;11;21;14;8;7;5;4;30;6;32;3;25;12;9;18;31;24;2;13;1;22;28;23
27;26;20;29;10;16;15;17;19;11;21;14;8;32;5;4;30;6;7;3;25;12;9;18;31;24;2;13;1;22;28;23;2;28142
2;28142;27;26;20;29;10;16;15;17;19;11;21;14;8;32;5;4;30;6;7;3;25;12;9;18;31;24;2;13;1;22;28;23
