"X1";"X26680";"X30";"X6";"X15";"X11";"X32";"X7";"X31";"X17";"X10";"X8";"X18";"X5";"X14";"X22";"X12";"X16";"X26";"X25";"X19";"X24";"X3";"X27";"X20";"X9";"X1.1";"X4";"X2";"X13";"X23";"X21";"X28";"X29"
1;26680;30;6;15;11;32;7;31;17;10;8;18;5;14;22;12;16;26;25;19;24;3;27;20;9;1;4;2;13;23;21;28;29
30;6;15;11;32;7;31;17;10;8;18;5;14;22;12;2;26;25;19;24;3;27;20;9;1;4;16;13;23;21;28;29;1;26520
1;26520;30;6;15;11;32;7;31;17;10;8;18;5;14;22;12;2;26;25;19;24;3;27;20;9;1;4;16;13;23;21;28;29
30;6;15;11;24;7;31;17;10;8;18;5;14;22;12;2;26;25;19;32;3;27;20;9;1;4;16;13;23;21;28;29;1;26160
1;26160;30;6;15;11;24;7;31;17;10;8;18;5;14;22;12;2;26;25;19;32;3;27;20;9;1;4;16;13;23;21;28;29
30;6;15;11;24;7;31;17;10;8;18;5;14;22;12;2;26;25;19;32;3;27;20;9;1;28;16;13;23;21;4;29;1;25760
1;25760;30;6;15;11;24;7;31;17;10;8;18;5;14;22;12;2;26;25;19;32;3;27;20;9;1;28;16;13;23;21;4;29
30;6;15;11;24;7;31;17;10;3;18;5;14;22;12;2;26;25;19;32;8;27;20;9;1;28;16;13;23;21;4;29;1;25760
1;25760;30;6;15;11;24;7;31;17;10;3;18;5;14;22;12;2;26;25;19;32;8;27;20;9;1;28;16;13;23;21;4;29
32;6;15;11;24;7;31;17;10;3;18;5;14;22;12;2;26;25;19;30;8;27;20;9;1;28;16;13;23;21;4;29;1;26000
1;26000;32;6;15;11;24;7;31;17;10;3;18;5;14;22;12;2;26;25;19;30;8;27;20;9;1;28;16;13;23;21;4;29
32;6;15;11;24;7;23;17;10;3;18;5;14;22;12;2;26;25;19;30;8;27;20;9;1;28;16;13;31;21;4;29;1;25760
1;25760;32;6;15;11;24;7;23;17;10;3;18;5;14;22;12;2;26;25;19;30;8;27;20;9;1;28;16;13;31;21;4;29
32;6;15;11;19;7;23;17;10;3;18;5;14;22;12;2;26;25;24;30;8;27;20;9;1;28;16;13;31;21;4;29;1;25800
1;25800;32;6;15;11;19;7;23;17;10;3;18;5;14;22;12;2;26;25;24;30;8;27;20;9;1;28;16;13;31;21;4;29
20;6;15;11;19;7;23;17;10;3;18;5;14;22;12;2;26;25;24;30;8;27;32;9;1;28;16;13;31;21;4;29;1;25380
1;25380;20;6;15;11;19;7;23;17;10;3;18;5;14;22;12;2;26;25;24;30;8;27;32;9;1;28;16;13;31;21;4;29
20;6;15;11;19;7;23;17;10;3;22;5;14;18;12;2;26;25;24;30;8;27;32;9;1;28;16;13;31;21;4;29;1;25260
1;25260;20;6;15;11;19;7;23;17;10;3;22;5;14;18;12;2;26;25;24;30;8;27;32;9;1;28;16;13;31;21;4;29
20;6;15;11;29;7;23;17;10;3;22;5;14;18;12;2;26;25;24;30;8;27;32;9;1;28;16;13;31;21;4;19;1;26000
1;26000;20;6;15;11;29;7;23;17;10;3;22;5;14;18;12;2;26;25;24;30;8;27;32;9;1;28;16;13;31;21;4;19
20;6;15;11;29;7;23;17;10;3;2;5;14;18;12;22;26;25;24;30;8;27;32;9;1;28;16;13;31;21;4;19;1;25868
1;25868;20;6;15;11;29;7;23;17;10;3;2;5;14;18;12;22;26;25;24;30;8;27;32;9;1;28;16;13;31;21;4;19
20;6;15;11;29;7;23;12;10;3;2;5;14;18;17;22;26;25;24;30;8;27;32;9;1;28;16;13;31;21;4;19;1;27098
