"X1";"X26142";"X2";"X20";"X26";"X28";"X4";"X31";"X7";"X15";"X19";"X24";"X8";"X13";"X11";"X5";"X17";"X16";"X22";"X10";"X21";"X12";"X3";"X27";"X18";"X29";"X25";"X30";"X32";"X14";"X1.1";"X6";"X9";"X23"
1;26142;2;20;26;28;4;31;7;15;19;24;8;13;11;5;17;16;22;10;21;12;3;27;18;29;25;30;32;14;1;6;9;23
2;20;12;28;4;31;7;15;19;24;8;13;11;5;17;16;22;10;21;26;3;27;18;29;25;30;32;14;1;6;9;23;1;26992
1;26992;2;20;12;28;4;31;7;15;19;24;8;13;11;5;17;16;22;10;21;26;3;27;18;29;25;30;32;14;1;6;9;23
2;20;12;28;4;31;7;15;19;24;8;13;11;5;25;16;22;10;21;26;3;27;18;29;17;30;32;14;1;6;9;23;1;26832
1;26832;2;20;12;28;4;31;7;15;19;24;8;13;11;5;25;16;22;10;21;26;3;27;18;29;17;30;32;14;1;6;9;23
2;20;12;28;4;7;31;15;19;24;8;13;11;5;25;16;22;10;21;26;3;27;18;29;17;30;32;14;1;6;9;23;1;27668
1;27668;2;20;12;28;4;7;31;15;19;24;8;13;11;5;25;16;22;10;21;26;3;27;18;29;17;30;32;14;1;6;9;23
2;20;12;28;4;7;31;15;19;24;8;13;11;17;25;16;22;10;21;26;3;27;18;29;5;30;32;14;1;6;9;23;1;28116
1;28116;2;20;12;28;4;7;31;15;19;24;8;13;11;17;25;16;22;10;21;26;3;27;18;29;5;30;32;14;1;6;9;23
2;20;7;28;4;12;31;15;19;24;8;13;11;17;25;16;22;10;21;26;3;27;18;29;5;30;32;14;1;6;9;23;1;28116
1;28116;2;20;7;28;4;12;31;15;19;24;8;13;11;17;25;16;22;10;21;26;3;27;18;29;5;30;32;14;1;6;9;23
2;20;23;28;4;12;31;15;19;24;8;13;11;17;25;16;22;10;21;26;3;27;18;29;5;30;32;14;1;6;9;7;1;27978
1;27978;2;20;23;28;4;12;31;15;19;24;8;13;11;17;25;16;22;10;21;26;3;27;18;29;5;30;32;14;1;6;9;7
2;20;23;28;4;12;31;15;19;24;8;13;11;17;25;3;22;10;21;26;16;27;18;29;5;30;32;14;1;6;9;7;1;28018
1;28018;2;20;23;28;4;12;31;15;19;24;8;13;11;17;25;3;22;10;21;26;16;27;18;29;5;30;32;14;1;6;9;7
2;20;23;28;4;10;31;15;19;24;8;13;11;17;25;3;22;12;21;26;16;27;18;29;5;30;32;14;1;6;9;7;1;28058
1;28058;2;20;23;28;4;10;31;15;19;24;8;13;11;17;25;3;22;12;21;26;16;27;18;29;5;30;32;14;1;6;9;7
