"X1";"X27168";"X19";"X6";"X28";"X10";"X26";"X18";"X3";"X17";"X14";"X8";"X29";"X4";"X11";"X21";"X2";"X32";"X25";"X5";"X13";"X31";"X7";"X27";"X22";"X1.1";"X12";"X23";"X16";"X24";"X20";"X9";"X15";"X30"
1;27168;19;6;28;10;26;18;3;17;14;8;29;4;11;21;2;32;25;5;13;31;7;27;22;1;12;23;16;24;20;9;15;30
19;6;28;10;26;18;3;17;14;8;29;31;11;21;2;32;25;5;13;4;7;27;22;1;12;23;16;24;20;9;15;30;1;26028
1;26028;19;6;28;10;26;18;3;17;14;8;29;31;11;21;2;32;25;5;13;4;7;27;22;1;12;23;16;24;20;9;15;30
19;6;26;10;28;18;3;17;14;8;29;31;11;21;2;32;25;5;13;4;7;27;22;1;12;23;16;24;20;9;15;30;1;26108
1;26108;19;6;26;10;28;18;3;17;14;8;29;31;11;21;2;32;25;5;13;4;7;27;22;1;12;23;16;24;20;9;15;30
19;6;4;10;28;18;3;17;14;8;29;31;11;21;2;32;25;5;13;26;7;27;22;1;12;23;16;24;20;9;15;30;1;27518
1;26108;19;6;26;10;28;18;3;17;14;8;29;31;11;21;2;32;25;5;13;4;7;27;22;1;12;23;16;24;20;9;15;30
19;6;26;10;28;18;3;17;14;8;11;31;29;21;2;32;25;5;13;4;7;27;22;1;12;23;16;24;20;9;15;30;1;26024
1;26024;19;6;26;10;28;18;3;17;14;8;11;31;29;21;2;32;25;5;13;4;7;27;22;1;12;23;16;24;20;9;15;30
19;14;26;10;28;18;3;17;6;8;11;31;29;21;2;32;25;5;13;4;7;27;22;1;12;23;16;24;20;9;15;30;1;26544
1;26544;19;14;26;10;28;18;3;17;6;8;11;31;29;21;2;32;25;5;13;4;7;27;22;1;12;23;16;24;20;9;15;30
19;14;26;10;28;18;3;17;6;8;11;31;29;21;2;32;25;5;13;4;15;27;22;1;12;23;16;24;20;9;7;30;1;27024
1;27024;19;14;26;10;28;18;3;17;6;8;11;31;29;21;2;32;25;5;13;4;15;27;22;1;12;23;16;24;20;9;7;30
19;14;26;10;28;18;3;17;6;8;11;31;29;21;2;32;25;5;13;4;15;27;9;1;12;23;16;24;20;22;7;30;1;27242
1;27242;19;14;26;10;28;18;3;17;6;8;11;31;29;21;2;32;25;5;13;4;15;27;9;1;12;23;16;24;20;22;7;30
19;16;26;10;28;18;3;17;6;8;11;31;29;21;2;32;25;5;13;4;15;27;9;1;12;23;14;24;20;22;7;30;1;27362
1;27362;19;16;26;10;28;18;3;17;6;8;11;31;29;21;2;32;25;5;13;4;15;27;9;1;12;23;14;24;20;22;7;30
19;16;26;10;28;18;3;17;6;8;11;31;12;21;2;32;25;5;13;4;15;27;9;1;29;23;14;24;20;22;7;30;1;26814
1;26814;19;16;26;10;28;18;3;17;6;8;11;31;12;21;2;32;25;5;13;4;15;27;9;1;29;23;14;24;20;22;7;30
19;16;26;10;28;18;15;17;6;8;11;31;12;21;2;32;25;5;13;4;3;27;9;1;29;23;14;24;20;22;7;30;1;26614
1;26614;19;16;26;10;28;18;15;17;6;8;11;31;12;21;2;32;25;5;13;4;3;27;9;1;29;23;14;24;20;22;7;30
19;16;26;10;28;18;15;17;20;8;11;31;12;21;2;32;25;5;13;4;3;27;9;1;29;23;14;24;6;22;7;30;1;25638
1;25638;19;16;26;10;28;18;15;17;20;8;11;31;12;21;2;32;25;5;13;4;3;27;9;1;29;23;14;24;6;22;7;30
19;16;26;10;28;18;15;17;20;8;11;31;30;21;2;32;25;5;13;4;3;27;9;1;29;23;14;24;6;22;7;12;1;25658
1;25658;19;16;26;10;28;18;15;17;20;8;11;31;30;21;2;32;25;5;13;4;3;27;9;1;29;23;14;24;6;22;7;12
19;16;26;10;25;18;15;17;20;8;11;31;30;21;2;32;28;5;13;4;3;27;9;1;29;23;14;24;6;22;7;12;1;25798
1;25798;19;16;26;10;25;18;15;17;20;8;11;31;30;21;2;32;28;5;13;4;3;27;9;1;29;23;14;24;6;22;7;12
19;16;26;10;25;18;15;17;20;8;11;31;30;21;2;32;28;5;13;4;6;27;9;1;29;23;14;24;3;22;7;12;1;25758
1;25758;19;16;26;10;25;18;15;17;20;8;11;31;30;21;2;32;28;5;13;4;6;27;9;1;29;23;14;24;3;22;7;12
19;31;26;10;25;18;15;17;20;8;11;16;30;21;2;32;28;5;13;4;6;27;9;1;29;23;14;24;3;22;7;12;1;25836
1;25836;19;31;26;10;25;18;15;17;20;8;11;16;30;21;2;32;28;5;13;4;6;27;9;1;29;23;14;24;3;22;7;12
19;31;26;10;25;18;15;17;20;8;11;16;30;21;2;32;28;27;13;4;6;5;9;1;29;23;14;24;3;22;7;12;1;25880
1;25880;19;31;26;10;25;18;15;17;20;8;11;16;30;21;2;32;28;27;13;4;6;5;9;1;29;23;14;24;3;22;7;12
19;31;26;10;25;18;15;17;20;8;11;16;30;2;21;32;28;27;13;4;6;5;9;1;29;23;14;24;3;22;7;12;1;25886
1;25886;19;31;26;10;25;18;15;17;20;8;11;16;30;2;21;32;28;27;13;4;6;5;9;1;29;23;14;24;3;22;7;12
19;31;26;10;25;18;15;17;20;8;11;16;30;2;21;32;28;27;13;4;3;5;9;1;29;23;14;24;6;22;7;12;1;25966
1;25966;19;31;26;10;25;18;15;17;20;8;11;16;30;2;21;32;28;27;13;4;3;5;9;1;29;23;14;24;6;22;7;12
19;31;26;10;25;18;7;17;20;8;11;16;30;2;21;32;28;27;13;4;3;5;9;1;29;23;14;24;6;22;15;12;1;25486
1;25486;19;31;26;10;25;18;7;17;20;8;11;16;30;2;21;32;28;27;13;4;3;5;9;1;29;23;14;24;6;22;15;12
19;31;22;10;25;18;7;17;20;8;11;16;30;2;21;32;28;27;13;4;3;5;9;1;29;23;14;24;6;26;15;12;1;25586
2;25586;19;31;22;10;25;18;7;17;20;8;11;16;30;2;21;32;28;27;13;4;3;5;9;1;29;23;14;24;6;26;15;12
