"X1";"X26636";"X4";"X29";"X26";"X13";"X21";"X10";"X22";"X28";"X16";"X30";"X15";"X23";"X14";"X1.1";"X9";"X32";"X27";"X31";"X3";"X6";"X24";"X12";"X7";"X25";"X18";"X5";"X2";"X19";"X17";"X11";"X8";"X20"
1;26636;4;29;26;13;21;10;22;28;16;30;15;23;14;1;9;32;27;31;3;6;24;12;7;25;18;5;2;19;17;11;8;20
4;29;26;13;21;22;10;28;16;30;15;23;14;1;9;32;27;31;3;6;24;12;7;25;18;5;2;19;17;11;8;20;1;26436
1;26436;4;29;26;13;21;22;10;28;16;30;15;23;14;1;9;32;27;31;3;6;24;12;7;25;18;5;2;19;17;11;8;20
4;29;26;13;21;22;10;28;16;30;15;23;14;1;9;32;27;31;5;6;24;12;7;25;18;3;2;19;17;11;8;20;1;26756
1;26756;4;29;26;13;21;22;10;28;16;30;15;23;14;1;9;32;27;31;5;6;24;12;7;25;18;3;2;19;17;11;8;20
16;29;26;13;21;22;10;28;4;30;15;23;14;1;9;32;27;31;5;6;24;12;7;25;18;3;2;19;17;11;8;20;1;26736
1;26736;16;29;26;13;21;22;10;28;4;30;15;23;14;1;9;32;27;31;5;6;24;12;7;25;18;3;2;19;17;11;8;20
16;29;26;31;21;22;10;28;4;30;15;23;14;1;9;32;27;13;5;6;24;12;7;25;18;3;2;19;17;11;8;20;1;26260
1;26260;16;29;26;31;21;22;10;28;4;30;15;23;14;1;9;32;27;13;5;6;24;12;7;25;18;3;2;19;17;11;8;20
3;29;26;31;21;22;10;28;4;30;15;23;14;1;9;32;27;13;5;6;24;12;7;25;18;16;2;19;17;11;8;20;1;26620
1;26620;3;29;26;31;21;22;10;28;4;30;15;23;14;1;9;32;27;13;5;6;24;12;7;25;18;16;2;19;17;11;8;20
3;29;26;31;21;22;10;28;4;30;15;23;14;9;1;32;27;13;5;6;24;12;7;25;18;16;2;19;17;11;8;20;1;26660
1;26660;3;29;26;31;21;22;10;28;4;30;15;23;14;9;1;32;27;13;5;6;24;12;7;25;18;16;2;19;17;11;8;20
3;29;26;31;20;22;10;28;4;30;15;23;14;9;1;32;27;13;5;6;24;12;7;25;18;16;2;19;17;11;8;21;1;26900
1;26900;3;29;26;31;20;22;10;28;4;30;15;23;14;9;1;32;27;13;5;6;24;12;7;25;18;16;2;19;17;11;8;21
3;29;28;31;20;22;10;26;4;30;15;23;14;9;1;32;27;13;5;6;24;12;7;25;18;16;2;19;17;11;8;21;1;26780
1;26780;3;29;28;31;20;22;10;26;4;30;15;23;14;9;1;32;27;13;5;6;24;12;7;25;18;16;2;19;17;11;8;21
3;29;28;31;20;22;10;26;4;30;15;23;14;9;1;32;27;13;2;6;24;12;7;25;18;16;5;19;17;11;8;21;1;26620
1;26620;3;29;28;31;20;22;10;26;4;30;15;23;14;9;1;32;27;13;2;6;24;12;7;25;18;16;5;19;17;11;8;21
3;29;28;31;20;22;10;12;4;30;15;23;14;9;1;32;27;13;2;6;24;26;7;25;18;16;5;19;17;11;8;21;1;26626
1;26626;3;29;28;31;20;22;10;12;4;30;15;23;14;9;1;32;27;13;2;6;24;26;7;25;18;16;5;19;17;11;8;21
3;29;28;31;20;22;14;12;4;30;15;23;10;9;1;32;27;13;2;6;24;26;7;25;18;16;5;19;17;11;8;21;1;26486
1;26486;3;29;28;31;20;22;14;12;4;30;15;23;10;9;1;32;27;13;2;6;24;26;7;25;18;16;5;19;17;11;8;21
3;29;28;31;20;22;14;12;4;30;15;5;10;9;1;32;27;13;2;6;24;26;7;25;18;16;23;19;17;11;8;21;1;27338
1;27338;3;29;28;31;20;22;14;12;4;30;15;5;10;9;1;32;27;13;2;6;24;26;7;25;18;16;23;19;17;11;8;21
3;29;28;31;20;22;14;12;4;21;15;5;10;9;1;32;27;13;2;6;24;26;7;25;18;16;23;19;17;11;8;30;1;27438
1;27438;3;29;28;31;20;22;14;12;4;21;15;5;10;9;1;32;27;13;2;6;24;26;7;25;18;16;23;19;17;11;8;30
3;26;28;31;20;22;14;12;4;21;15;5;10;9;1;32;27;13;2;6;24;29;7;25;18;16;23;19;17;11;8;30;1;27238
1;27238;3;26;28;31;20;22;14;12;4;21;15;5;10;9;1;32;27;13;2;6;24;29;7;25;18;16;23;19;17;11;8;30
3;26;28;31;20;22;14;12;4;19;15;5;10;9;1;32;27;13;2;6;24;29;7;25;18;16;23;21;17;11;8;30;1;27218
1;27218;3;26;28;31;20;22;14;12;4;19;15;5;10;9;1;32;27;13;2;6;24;29;7;25;18;16;23;21;17;11;8;30
3;26;28;31;20;22;14;12;21;19;15;5;10;9;1;32;27;13;2;6;24;29;7;25;18;16;23;4;17;11;8;30;1;27260
1;27260;3;26;28;31;20;22;14;12;21;19;15;5;10;9;1;32;27;13;2;6;24;29;7;25;18;16;23;4;17;11;8;30
3;26;28;31;20;22;14;12;21;19;10;5;15;9;1;32;27;13;2;6;24;29;7;25;18;16;23;4;17;11;8;30;1;27660
1;27660;3;26;28;31;20;22;14;12;21;19;10;5;15;9;1;32;27;13;2;6;24;29;7;25;18;16;23;4;17;11;8;30
3;26;28;31;15;22;14;12;21;19;10;5;20;9;1;32;27;13;2;6;24;29;7;25;18;16;23;4;17;11;8;30;1;27806
1;27806;3;26;28;31;15;22;14;12;21;19;10;5;20;9;1;32;27;13;2;6;24;29;7;25;18;16;23;4;17;11;8;30
3;26;28;31;15;14;22;12;21;19;10;5;20;9;1;32;27;13;2;6;24;29;7;25;18;16;23;4;17;11;8;30;1;26826
1;26826;3;26;28;31;15;14;22;12;21;19;10;5;20;9;1;32;27;13;2;6;24;29;7;25;18;16;23;4;17;11;8;30
3;26;28;31;15;14;22;12;29;19;10;5;20;9;1;32;27;13;2;6;24;21;7;25;18;16;23;4;17;11;8;30;1;27186
2;27186;3;26;28;31;15;14;22;12;29;19;10;5;20;9;1;32;27;13;2;6;24;21;7;25;18;16;23;4;17;11;8;30
3;26;28;31;15;14;22;12;29;19;10;5;20;9;1;7;27;13;2;6;24;21;32;25;18;16;23;4;17;11;8;30;2;27164
2;27164;3;26;28;31;15;14;22;12;29;19;10;5;20;9;1;7;27;13;2;6;24;21;32;25;18;16;23;4;17;11;8;30
3;23;28;31;15;14;22;12;29;19;10;5;20;9;1;7;27;13;2;6;24;21;32;25;18;16;26;4;17;11;8;30;2;26964
2;26964;3;23;28;31;15;14;22;12;29;19;10;5;20;9;1;7;27;13;2;6;24;21;32;25;18;16;26;4;17;11;8;30
3;23;28;31;15;14;22;12;29;19;10;5;20;9;1;7;27;13;2;6;24;21;25;32;18;16;26;4;17;11;8;30;2;26924
2;26924;3;23;28;31;15;14;22;12;29;19;10;5;20;9;1;7;27;13;2;6;24;21;25;32;18;16;26;4;17;11;8;30
3;23;28;31;15;14;22;12;29;19;10;5;20;9;1;7;27;13;4;6;24;21;25;32;18;16;26;2;17;11;8;30;2;27084
2;27084;3;23;28;31;15;14;22;12;29;19;10;5;20;9;1;7;27;13;4;6;24;21;25;32;18;16;26;2;17;11;8;30
3;23;28;31;15;14;22;12;29;19;10;30;20;9;1;7;27;13;4;6;24;21;25;32;18;16;26;2;17;11;8;5;2;26872
2;26872;3;23;28;31;15;14;22;12;29;19;10;30;20;9;1;7;27;13;4;6;24;21;25;32;18;16;26;2;17;11;8;5
3;4;28;31;15;14;22;12;29;19;10;30;20;9;1;7;27;13;23;6;24;21;25;32;18;16;26;2;17;11;8;5;2;27510
2;27510;3;4;28;31;15;14;22;12;29;19;10;30;20;9;1;7;27;13;23;6;24;21;25;32;18;16;26;2;17;11;8;5
3;4;28;31;15;14;22;12;29;19;10;30;20;5;1;7;27;13;23;6;24;21;25;32;18;16;26;2;17;11;8;9;2;27550
2;27550;3;4;28;31;15;14;22;12;29;19;10;30;20;5;1;7;27;13;23;6;24;21;25;32;18;16;26;2;17;11;8;9
3;4;28;31;15;14;22;12;29;19;27;30;20;5;1;7;10;13;23;6;24;21;25;32;18;16;26;2;17;11;8;9;2;27078
