"X1";"X27956";"X7";"X21";"X9";"X20";"X32";"X24";"X22";"X14";"X1.1";"X8";"X31";"X13";"X17";"X5";"X2";"X30";"X12";"X4";"X19";"X3";"X25";"X26";"X16";"X18";"X29";"X11";"X6";"X15";"X23";"X27";"X10";"X28"
1;27956;7;21;9;20;32;24;22;14;1;8;31;13;17;5;2;30;12;4;19;3;25;26;16;18;29;11;6;15;23;27;10;28
7;21;9;20;32;24;22;14;1;8;31;25;17;5;2;30;12;4;19;3;13;26;16;18;29;11;6;15;23;27;10;28;1;28286
1;28286;7;21;9;20;32;24;22;14;1;8;31;25;17;5;2;30;12;4;19;3;13;26;16;18;29;11;6;15;23;27;10;28
7;21;9;20;32;24;22;14;1;8;31;25;17;10;2;30;12;4;19;3;13;26;16;18;29;11;6;15;23;27;5;28;1;28286
1;28286;7;21;9;20;32;24;22;14;1;8;31;25;17;10;2;30;12;4;19;3;13;26;16;18;29;11;6;15;23;27;5;28
7;21;9;20;32;24;22;14;1;8;31;25;17;10;12;30;2;4;19;3;13;26;16;18;29;11;6;15;23;27;5;28;1;27886
1;27886;7;21;9;20;32;24;22;14;1;8;31;25;17;10;12;30;2;4;19;3;13;26;16;18;29;11;6;15;23;27;5;28
7;15;9;20;32;24;22;14;1;8;31;25;17;10;12;30;2;4;19;3;13;26;16;18;29;11;6;21;23;27;5;28;1;27304
1;27304;7;15;9;20;32;24;22;14;1;8;31;25;17;10;12;30;2;4;19;3;13;26;16;18;29;11;6;21;23;27;5;28
7;15;22;20;32;24;9;14;1;8;31;25;17;10;12;30;2;4;19;3;13;26;16;18;29;11;6;21;23;27;5;28;1;26804
1;26804;7;15;22;20;32;24;9;14;1;8;31;25;17;10;12;30;2;4;19;3;13;26;16;18;29;11;6;21;23;27;5;28
7;15;29;20;32;24;9;14;1;8;31;25;17;10;12;30;2;4;19;3;13;26;16;18;22;11;6;21;23;27;5;28;1;27104
1;27104;7;15;29;20;32;24;9;14;1;8;31;25;17;10;12;30;2;4;19;3;13;26;16;18;22;11;6;21;23;27;5;28
7;13;29;20;32;24;9;14;1;8;31;25;17;10;12;30;2;4;19;3;15;26;16;18;22;11;6;21;23;27;5;28;1;27384
1;27384;7;13;29;20;32;24;9;14;1;8;31;25;17;10;12;30;2;4;19;3;15;26;16;18;22;11;6;21;23;27;5;28
7;13;27;20;32;24;9;14;1;8;31;25;17;10;12;30;2;4;19;3;15;26;16;18;22;11;6;21;23;29;5;28;1;26764
1;26764;7;13;27;20;32;24;9;14;1;8;31;25;17;10;12;30;2;4;19;3;15;26;16;18;22;11;6;21;23;29;5;28
7;13;27;20;14;24;9;32;1;8;31;25;17;10;12;30;2;4;19;3;15;26;16;18;22;11;6;21;23;29;5;28;1;27102
1;27102;7;13;27;20;14;24;9;32;1;8;31;25;17;10;12;30;2;4;19;3;15;26;16;18;22;11;6;21;23;29;5;28
7;13;27;20;14;24;9;32;1;8;31;25;17;10;12;2;30;4;19;3;15;26;16;18;22;11;6;21;23;29;5;28;1;27102
1;27102;7;13;27;20;14;24;9;32;1;8;31;25;17;10;12;2;30;4;19;3;15;26;16;18;22;11;6;21;23;29;5;28
7;13;27;20;14;24;9;32;1;8;31;25;17;10;12;2;30;22;19;3;15;26;16;18;4;11;6;21;23;29;5;28;1;26856
1;26856;7;13;27;20;14;24;9;32;1;8;31;25;17;10;12;2;30;22;19;3;15;26;16;18;4;11;6;21;23;29;5;28
7;13;27;20;14;24;9;32;1;8;31;25;17;10;12;2;30;22;6;3;15;26;16;18;4;11;19;21;23;29;5;28;1;26924
1;26924;7;13;27;20;14;24;9;32;1;8;31;25;17;10;12;2;30;22;6;3;15;26;16;18;4;11;19;21;23;29;5;28
7;13;27;20;14;24;9;32;1;8;31;25;30;10;12;2;17;22;6;3;15;26;16;18;4;11;19;21;23;29;5;28;1;27604
1;27604;7;13;27;20;14;24;9;32;1;8;31;25;30;10;12;2;17;22;6;3;15;26;16;18;4;11;19;21;23;29;5;28
7;13;27;20;14;24;9;32;1;8;31;25;30;10;12;2;17;22;6;3;15;26;16;18;4;11;5;21;23;29;19;28;1;27708
1;27708;7;13;27;20;14;24;9;32;1;8;31;25;30;10;12;2;17;22;6;3;15;26;16;18;4;11;5;21;23;29;19;28
7;13;25;20;14;24;9;32;1;8;31;27;30;10;12;2;17;22;6;3;15;26;16;18;4;11;5;21;23;29;19;28;1;27868
1;27868;7;13;25;20;14;24;9;32;1;8;31;27;30;10;12;2;17;22;6;3;15;26;16;18;4;11;5;21;23;29;19;28
7;13;25;4;14;24;9;32;1;8;31;27;30;10;12;2;17;22;6;3;15;26;16;18;20;11;5;21;23;29;19;28;1;27454
1;27454;7;13;25;4;14;24;9;32;1;8;31;27;30;10;12;2;17;22;6;3;15;26;16;18;20;11;5;21;23;29;19;28
7;13;25;4;14;24;9;32;17;8;31;27;30;10;12;2;1;22;6;3;15;26;16;18;20;11;5;21;23;29;19;28;1;27592
1;27592;7;13;25;4;14;24;9;32;17;8;31;27;30;10;12;2;1;22;6;3;15;26;16;18;20;11;5;21;23;29;19;28
7;13;25;4;14;24;9;32;17;8;31;27;30;10;12;2;28;22;6;3;15;26;16;18;20;11;5;21;23;29;19;1;1;27032
1;27032;7;13;25;4;14;24;9;32;17;8;31;27;30;10;12;2;28;22;6;3;15;26;16;18;20;11;5;21;23;29;19;1
7;13;25;4;14;24;9;32;17;8;31;27;30;28;12;2;10;22;6;3;15;26;16;18;20;11;5;21;23;29;19;1;1;26596
1;26596;7;13;25;4;14;24;9;32;17;8;31;27;30;28;12;2;10;22;6;3;15;26;16;18;20;11;5;21;23;29;19;1
7;13;25;4;9;24;14;32;17;8;31;27;30;28;12;2;10;22;6;3;15;26;16;18;20;11;5;21;23;29;19;1;1;26316
2;26316;7;13;25;4;9;24;14;32;17;8;31;27;30;28;12;2;10;22;6;3;15;26;16;18;20;11;5;21;23;29;19;1
7;13;25;4;9;24;14;32;17;8;31;27;30;28;12;2;10;22;6;3;15;26;16;18;20;11;5;23;21;29;19;1;2;26516
2;26516;7;13;25;4;9;24;14;32;17;8;31;27;30;28;12;2;10;22;6;3;15;26;16;18;20;11;5;23;21;29;19;1
7;13;25;4;9;24;14;32;17;8;31;27;30;28;12;2;19;22;6;3;15;26;16;18;20;11;5;23;21;29;10;1;2;27236
2;27236;7;13;25;4;9;24;14;32;17;8;31;27;30;28;12;2;19;22;6;3;15;26;16;18;20;11;5;23;21;29;10;1
1;13;25;4;9;24;14;32;17;8;31;27;30;28;12;2;19;22;6;3;15;26;16;18;20;11;5;23;21;29;10;7;2;27916
2;27916;1;13;25;4;9;24;14;32;17;8;31;27;30;28;12;2;19;22;6;3;15;26;16;18;20;11;5;23;21;29;10;7
1;13;25;4;9;24;14;32;17;8;31;27;22;28;12;2;19;30;6;3;15;26;16;18;20;11;5;23;21;29;10;7;2;28076
