"X1";"X26418";"X14";"X2";"X25";"X18";"X27";"X31";"X3";"X12";"X4";"X30";"X9";"X23";"X11";"X21";"X20";"X13";"X29";"X26";"X6";"X16";"X8";"X32";"X22";"X5";"X28";"X24";"X17";"X7";"X10";"X1.1";"X19";"X15"
1;26418;14;2;25;18;27;31;3;12;4;30;9;23;11;21;20;13;29;26;6;16;8;32;22;5;28;24;17;7;10;1;19;15
14;29;25;18;27;31;3;12;4;30;9;23;11;21;20;13;2;26;6;16;8;32;22;5;28;24;17;7;10;1;19;15;1;26440
1;26440;14;29;25;18;27;31;3;12;4;30;9;23;11;21;20;13;2;26;6;16;8;32;22;5;28;24;17;7;10;1;19;15
14;29;25;18;27;31;3;12;4;30;9;23;11;21;26;13;2;20;6;16;8;32;22;5;28;24;17;7;10;1;19;15;1;26160
1;26160;14;29;25;18;27;31;3;12;4;30;9;23;11;21;26;13;2;20;6;16;8;32;22;5;28;24;17;7;10;1;19;15
14;29;13;18;27;31;3;12;4;30;9;23;11;21;26;25;2;20;6;16;8;32;22;5;28;24;17;7;10;1;19;15;1;26354
1;26354;14;29;13;18;27;31;3;12;4;30;9;23;11;21;26;25;2;20;6;16;8;32;22;5;28;24;17;7;10;1;19;15
14;29;13;18;27;31;3;1;4;30;9;23;11;21;26;25;2;20;6;16;8;32;22;5;28;24;17;7;10;12;19;15;1;26354
1;26354;14;29;13;18;27;31;3;1;4;30;9;23;11;21;26;25;2;20;6;16;8;32;22;5;28;24;17;7;10;12;19;15
14;29;13;18;27;31;3;1;4;30;9;23;11;21;26;19;2;20;6;16;8;32;22;5;28;24;17;7;10;12;25;15;1;26354
1;26354;14;29;13;18;27;31;3;1;4;30;9;23;11;21;26;19;2;20;6;16;8;32;22;5;28;24;17;7;10;12;25;15
14;29;13;18;27;31;3;1;4;30;9;23;11;21;26;19;2;20;25;16;8;32;22;5;28;24;17;7;10;12;6;15;1;26446
1;26446;14;29;13;18;27;31;3;1;4;30;9;23;11;21;26;19;2;20;25;16;8;32;22;5;28;24;17;7;10;12;6;15
14;29;13;18;27;31;3;1;4;30;9;23;11;21;26;19;2;20;25;16;8;32;22;6;28;24;17;7;10;12;5;15;1;26286
1;26286;14;29;13;18;27;31;3;1;4;30;9;23;11;21;26;19;2;20;25;16;8;32;22;6;28;24;17;7;10;12;5;15
14;30;13;18;27;31;3;1;4;29;9;23;11;21;26;19;2;20;25;16;8;32;22;6;28;24;17;7;10;12;5;15;1;25966
1;25966;14;30;13;18;27;31;3;1;4;29;9;23;11;21;26;19;2;20;25;16;8;32;22;6;28;24;17;7;10;12;5;15
14;30;13;18;27;31;3;1;4;29;9;23;11;21;26;19;2;20;25;15;8;32;22;6;28;24;17;7;10;12;5;16;1;25566
1;25566;14;30;13;18;27;31;3;1;4;29;9;23;11;21;26;19;2;20;25;15;8;32;22;6;28;24;17;7;10;12;5;16
14;30;13;18;27;31;3;1;4;29;9;23;15;21;26;19;2;20;25;11;8;32;22;6;28;24;17;7;10;12;5;16;1;26006
1;26006;14;30;13;18;27;31;3;1;4;29;9;23;15;21;26;19;2;20;25;11;8;32;22;6;28;24;17;7;10;12;5;16
14;30;13;18;27;23;3;1;4;29;9;31;15;21;26;19;2;20;25;11;8;32;22;6;28;24;17;7;10;12;5;16;1;25726
1;25726;14;30;13;18;27;23;3;1;4;29;9;31;15;21;26;19;2;20;25;11;8;32;22;6;28;24;17;7;10;12;5;16
14;16;13;18;27;23;3;1;4;29;9;31;15;21;26;19;2;20;25;11;8;32;22;6;28;24;17;7;10;12;5;30;1;26212
1;26212;14;16;13;18;27;23;3;1;4;29;9;31;15;21;26;19;2;20;25;11;8;32;22;6;28;24;17;7;10;12;5;30
14;16;13;18;27;23;3;1;4;29;9;31;15;21;26;19;2;20;25;11;8;32;22;30;28;24;17;7;10;12;5;6;1;26264
1;26264;14;16;13;18;27;23;3;1;4;29;9;31;15;21;26;19;2;20;25;11;8;32;22;30;28;24;17;7;10;12;5;6
14;16;13;18;27;23;3;1;4;29;9;31;15;21;26;19;2;20;25;11;8;32;17;30;28;24;22;7;10;12;5;6;1;26824
