"X1";"X27304";"X15";"X1.1";"X5";"X19";"X17";"X20";"X6";"X21";"X25";"X14";"X16";"X31";"X26";"X3";"X24";"X22";"X10";"X18";"X23";"X30";"X2";"X8";"X32";"X7";"X27";"X28";"X4";"X12";"X29";"X13";"X11";"X9"
1;27304;15;1;5;19;17;20;6;21;25;14;16;31;26;3;24;22;10;18;23;30;2;8;32;7;27;28;4;12;29;13;11;9
15;1;5;28;17;20;6;21;25;14;16;31;26;3;24;22;10;18;23;30;2;8;32;7;27;19;4;12;29;13;11;9;1;26884
1;26884;15;1;5;28;17;20;6;21;25;14;16;31;26;3;24;22;10;18;23;30;2;8;32;7;27;19;4;12;29;13;11;9
15;1;5;28;17;20;6;21;25;14;16;2;26;3;24;22;10;18;23;30;31;8;32;7;27;19;4;12;29;13;11;9;1;26878
1;26878;15;1;5;28;17;20;6;21;25;14;16;2;26;3;24;22;10;18;23;30;31;8;32;7;27;19;4;12;29;13;11;9
15;1;5;28;17;20;6;21;25;14;16;2;26;3;24;22;10;18;23;27;31;8;32;7;30;19;4;12;29;13;11;9;1;27078
1;27078;15;1;5;28;17;20;6;21;25;14;16;2;26;3;24;22;10;18;23;27;31;8;32;7;30;19;4;12;29;13;11;9
15;1;5;28;17;20;6;21;25;14;16;2;26;3;24;22;19;18;23;27;31;8;32;7;30;10;4;12;29;13;11;9;1;27094
1;27094;15;1;5;28;17;20;6;21;25;14;16;2;26;3;24;22;19;18;23;27;31;8;32;7;30;10;4;12;29;13;11;9
15;1;5;28;17;20;6;21;25;14;16;2;26;3;24;22;19;18;23;27;31;8;12;7;30;10;4;32;29;13;11;9;1;27160
1;27160;15;1;5;28;17;20;6;21;25;14;16;2;26;3;24;22;19;18;23;27;31;8;12;7;30;10;4;32;29;13;11;9
15;1;5;28;17;20;6;21;25;14;16;2;26;3;24;22;19;18;23;27;31;8;12;7;30;10;9;32;29;13;11;4;1;27240
1;27240;15;1;5;28;17;20;6;21;25;14;16;2;26;3;24;22;19;18;23;27;31;8;12;7;30;10;9;32;29;13;11;4
15;1;5;28;17;20;18;21;25;14;16;2;26;3;24;22;19;6;23;27;31;8;12;7;30;10;9;32;29;13;11;4;1;26496
1;26496;15;1;5;28;17;20;18;21;25;14;16;2;26;3;24;22;19;6;23;27;31;8;12;7;30;10;9;32;29;13;11;4
15;1;5;28;17;20;18;21;25;14;32;2;26;3;24;22;19;6;23;27;31;8;12;7;30;10;9;16;29;13;11;4;1;26312
1;26312;15;1;5;28;17;20;18;21;25;14;32;2;26;3;24;22;19;6;23;27;31;8;12;7;30;10;9;16;29;13;11;4
15;1;5;28;17;20;18;21;25;14;32;2;26;3;24;23;19;6;22;27;31;8;12;7;30;10;9;16;29;13;11;4;1;26392
1;26392;15;1;5;28;17;20;18;21;25;14;32;2;26;3;24;23;19;6;22;27;31;8;12;7;30;10;9;16;29;13;11;4
15;1;5;28;17;20;18;21;25;14;32;2;26;27;24;23;19;6;22;3;31;8;12;7;30;10;9;16;29;13;11;4;1;27060
1;27060;15;1;5;28;17;20;18;21;25;14;32;2;26;27;24;23;19;6;22;3;31;8;12;7;30;10;9;16;29;13;11;4
15;1;5;28;17;20;18;21;25;14;32;2;10;27;24;23;19;6;22;3;31;8;12;7;30;26;9;16;29;13;11;4;1;27244
1;27244;15;1;5;28;17;20;18;21;25;14;32;2;10;27;24;23;19;6;22;3;31;8;12;7;30;26;9;16;29;13;11;4
15;1;5;28;17;20;18;21;25;14;22;2;10;27;24;23;19;6;32;3;31;8;12;7;30;26;9;16;29;13;11;4;1;26044
1;26044;15;1;5;28;17;20;18;21;25;14;22;2;10;27;24;23;19;6;32;3;31;8;12;7;30;26;9;16;29;13;11;4
15;1;5;28;17;8;18;21;25;14;22;2;10;27;24;23;19;6;32;3;31;20;12;7;30;26;9;16;29;13;11;4;1;26176
1;26176;15;1;5;28;17;8;18;21;25;14;22;2;10;27;24;23;19;6;32;3;31;20;12;7;30;26;9;16;29;13;11;4
15;1;5;28;17;8;18;21;25;14;22;2;10;27;24;23;19;6;32;3;31;20;12;7;29;26;9;16;30;13;11;4;1;25996
1;25996;15;1;5;28;17;8;18;21;25;14;22;2;10;27;24;23;19;6;32;3;31;20;12;7;29;26;9;16;30;13;11;4
15;1;5;28;17;8;18;21;25;14;22;2;10;27;24;23;19;6;32;31;3;20;12;7;29;26;9;16;30;13;11;4;1;26062
1;26062;15;1;5;28;17;8;18;21;25;14;22;2;10;27;24;23;19;6;32;31;3;20;12;7;29;26;9;16;30;13;11;4
15;1;5;28;17;8;18;21;25;14;22;2;10;27;24;23;19;6;32;31;3;29;12;7;20;26;9;16;30;13;11;4;1;26502
1;26502;15;1;5;28;17;8;18;21;25;14;22;2;10;27;24;23;19;6;32;31;3;29;12;7;20;26;9;16;30;13;11;4
15;1;10;28;17;8;18;21;25;14;22;2;5;27;24;23;19;6;32;31;3;29;12;7;20;26;9;16;30;13;11;4;1;26702
1;26702;15;1;10;28;17;8;18;21;25;14;22;2;5;27;24;23;19;6;32;31;3;29;12;7;20;26;9;16;30;13;11;4
15;1;10;28;17;8;18;21;25;9;22;2;5;27;24;23;19;6;32;31;3;29;12;7;20;26;14;16;30;13;11;4;1;26862
1;26862;15;1;10;28;17;8;18;21;25;9;22;2;5;27;24;23;19;6;32;31;3;29;12;7;20;26;14;16;30;13;11;4
15;1;10;28;17;8;18;21;25;9;22;2;5;27;24;23;4;6;32;31;3;29;12;7;20;26;14;16;30;13;11;19;1;27698
1;27698;15;1;10;28;17;8;18;21;25;9;22;2;5;27;24;23;4;6;32;31;3;29;12;7;20;26;14;16;30;13;11;19
15;1;10;28;17;8;18;21;25;9;26;2;5;27;24;23;4;6;32;31;3;29;12;7;20;22;14;16;30;13;11;19;1;27818
2;27818;15;1;10;28;17;8;18;21;25;9;26;2;5;27;24;23;4;6;32;31;3;29;12;7;20;22;14;16;30;13;11;19
15;3;10;28;17;8;18;21;25;9;26;2;5;27;24;23;4;6;32;31;1;29;12;7;20;22;14;16;30;13;11;19;2;27458
2;27458;15;3;10;28;17;8;18;21;25;9;26;2;5;27;24;23;4;6;32;31;1;29;12;7;20;22;14;16;30;13;11;19
15;3;10;28;17;8;18;21;25;9;26;2;5;27;1;23;4;6;32;31;24;29;12;7;20;22;14;16;30;13;11;19;2;27714
2;27714;15;3;10;28;17;8;18;21;25;9;26;2;5;27;1;23;4;6;32;31;24;29;12;7;20;22;14;16;30;13;11;19
15;3;10;28;32;8;18;21;25;9;26;2;5;27;1;23;4;6;17;31;24;29;12;7;20;22;14;16;30;13;11;19;2;28074
2;28074;15;3;10;28;32;8;18;21;25;9;26;2;5;27;1;23;4;6;17;31;24;29;12;7;20;22;14;16;30;13;11;19
15;3;10;28;32;8;18;21;25;9;26;2;5;27;1;23;4;6;17;31;14;29;12;7;20;22;24;16;30;13;11;19;2;28260
2;28260;15;3;10;28;32;8;18;21;25;9;26;2;5;27;1;23;4;6;17;31;14;29;12;7;20;22;24;16;30;13;11;19
