"X1";"X25944";"X20";"X6";"X27";"X19";"X3";"X13";"X18";"X28";"X4";"X31";"X30";"X24";"X26";"X29";"X2";"X5";"X23";"X32";"X8";"X1.1";"X15";"X17";"X9";"X14";"X21";"X11";"X16";"X22";"X10";"X12";"X25";"X7"
1;25944;20;6;27;19;3;13;18;28;4;31;30;24;26;29;2;5;23;32;8;1;15;17;9;14;21;11;16;22;10;12;25;7
20;6;27;19;3;13;18;28;4;31;30;24;26;23;2;5;29;32;8;1;15;17;9;14;21;11;16;22;10;12;25;7;1;26984
1;26984;20;6;27;19;3;13;18;28;4;31;30;24;26;23;2;5;29;32;8;1;15;17;9;14;21;11;16;22;10;12;25;7
20;6;23;19;3;13;18;28;4;31;30;24;26;27;2;5;29;32;8;1;15;17;9;14;21;11;16;22;10;12;25;7;1;26684
1;26684;20;6;23;19;3;13;18;28;4;31;30;24;26;27;2;5;29;32;8;1;15;17;9;14;21;11;16;22;10;12;25;7
20;6;19;23;3;13;18;28;4;31;30;24;26;27;2;5;29;32;8;1;15;17;9;14;21;11;16;22;10;12;25;7;1;26804
1;26804;20;6;19;23;3;13;18;28;4;31;30;24;26;27;2;5;29;32;8;1;15;17;9;14;21;11;16;22;10;12;25;7
20;6;19;23;3;13;18;28;4;31;30;24;26;5;2;27;29;32;8;1;15;17;9;14;21;11;16;22;10;12;25;7;1;26356
1;26356;20;6;19;23;3;13;18;28;4;31;30;24;26;5;2;27;29;32;8;1;15;17;9;14;21;11;16;22;10;12;25;7
20;6;19;23;3;13;18;28;4;31;30;24;26;5;2;27;8;32;29;1;15;17;9;14;21;11;16;22;10;12;25;7;1;26012
1;26012;20;6;19;23;3;13;18;28;4;31;30;24;26;5;2;27;8;32;29;1;15;17;9;14;21;11;16;22;10;12;25;7
20;6;19;23;3;13;18;28;4;27;30;24;26;5;2;31;8;32;29;1;15;17;9;14;21;11;16;22;10;12;25;7;1;26352
1;26352;20;6;19;23;3;13;18;28;4;27;30;24;26;5;2;31;8;32;29;1;15;17;9;14;21;11;16;22;10;12;25;7
7;6;19;23;3;13;18;28;4;27;30;24;26;5;2;31;8;32;29;1;15;17;9;14;21;11;16;22;10;12;25;20;1;25660
1;25660;7;6;19;23;3;13;18;28;4;27;30;24;26;5;2;31;8;32;29;1;15;17;9;14;21;11;16;22;10;12;25;20
7;6;19;23;3;9;18;28;4;27;30;24;26;5;2;31;8;32;29;1;15;17;13;14;21;11;16;22;10;12;25;20;1;25540
1;25540;7;6;19;23;3;9;18;28;4;27;30;24;26;5;2;31;8;32;29;1;15;17;13;14;21;11;16;22;10;12;25;20
7;21;19;23;3;9;18;28;4;27;30;24;26;5;2;31;8;32;29;1;15;17;13;14;6;11;16;22;10;12;25;20;1;25794
