"X1";"X27336";"X17";"X10";"X22";"X23";"X16";"X31";"X20";"X11";"X8";"X4";"X19";"X26";"X27";"X24";"X32";"X1.1";"X9";"X5";"X6";"X21";"X14";"X18";"X2";"X28";"X15";"X7";"X25";"X29";"X13";"X30";"X12";"X3"
1;27336;17;10;22;23;16;31;20;11;8;4;19;26;27;24;32;1;9;5;6;21;14;18;2;28;15;7;25;29;13;30;12;3
17;10;22;23;16;31;20;2;8;4;19;26;27;24;32;1;9;5;6;21;14;18;11;28;15;7;25;29;13;30;12;3;1;26916
1;26916;17;10;22;23;16;31;20;2;8;4;19;26;27;24;32;1;9;5;6;21;14;18;11;28;15;7;25;29;13;30;12;3
17;10;19;23;16;31;20;2;8;4;22;26;27;24;32;1;9;5;6;21;14;18;11;28;15;7;25;29;13;30;12;3;1;27076
1;27076;17;10;19;23;16;31;20;2;8;4;22;26;27;24;32;1;9;5;6;21;14;18;11;28;15;7;25;29;13;30;12;3
17;10;19;23;16;31;20;2;8;4;22;26;27;24;30;1;9;5;6;21;14;18;11;28;15;7;25;29;13;32;12;3;1;26836
1;26836;17;10;19;23;16;31;20;2;8;4;22;26;27;24;30;1;9;5;6;21;14;18;11;28;15;7;25;29;13;32;12;3
17;10;19;23;16;31;20;2;8;4;14;26;27;24;30;1;9;5;6;21;22;18;11;28;15;7;25;29;13;32;12;3;1;27518
1;27518;17;10;19;23;16;31;20;2;8;4;14;26;27;24;30;1;9;5;6;21;22;18;11;28;15;7;25;29;13;32;12;3
17;10;19;23;16;31;20;2;8;4;25;26;27;24;30;1;9;5;6;21;22;18;11;28;15;7;14;29;13;32;12;3;1;26834
1;26834;17;10;19;23;16;31;20;2;8;4;25;26;27;24;30;1;9;5;6;21;22;18;11;28;15;7;14;29;13;32;12;3
17;10;19;23;16;7;20;2;8;4;25;26;27;24;30;1;9;5;6;21;22;18;11;28;15;31;14;29;13;32;12;3;1;26784
1;26784;17;10;19;23;16;7;20;2;8;4;25;26;27;24;30;1;9;5;6;21;22;18;11;28;15;31;14;29;13;32;12;3
17;10;19;21;16;7;20;2;8;4;25;26;27;24;30;1;9;5;6;23;22;18;11;28;15;31;14;29;13;32;12;3;1;26624
1;26624;17;10;19;21;16;7;20;2;8;4;25;26;27;24;30;1;9;5;6;23;22;18;11;28;15;31;14;29;13;32;12;3
