"X1";"X28066";"X10";"X7";"X17";"X24";"X8";"X9";"X18";"X19";"X30";"X11";"X21";"X31";"X6";"X25";"X32";"X13";"X28";"X2";"X23";"X5";"X29";"X27";"X3";"X22";"X26";"X12";"X16";"X20";"X15";"X4";"X1.1";"X14"
1;28066;10;7;17;24;8;9;18;19;30;11;21;31;6;25;32;13;28;2;23;5;29;27;3;22;26;12;16;20;15;4;1;14
10;7;17;30;8;9;18;19;24;11;21;31;6;25;32;13;28;2;23;5;29;27;3;22;26;12;16;20;15;4;1;14;1;28346
1;28346;10;7;17;30;8;9;18;19;24;11;21;31;6;25;32;13;28;2;23;5;29;27;3;22;26;12;16;20;15;4;1;14
10;7;17;30;8;9;18;19;24;11;4;31;6;25;32;13;28;2;23;5;29;27;3;22;26;12;16;20;15;21;1;14;1;29238
1;29238;10;7;17;30;8;9;18;19;24;11;4;31;6;25;32;13;28;2;23;5;29;27;3;22;26;12;16;20;15;21;1;14
31;7;17;30;8;9;18;19;24;11;4;10;6;25;32;13;28;2;23;5;29;27;3;22;26;12;16;20;15;21;1;14;1;29134
1;29134;31;7;17;30;8;9;18;19;24;11;4;10;6;25;32;13;28;2;23;5;29;27;3;22;26;12;16;20;15;21;1;14
31;7;17;30;8;9;18;19;24;11;4;10;6;25;29;13;28;2;23;5;32;27;3;22;26;12;16;20;15;21;1;14;1;29294
1;29294;31;7;17;30;8;9;18;19;24;11;4;10;6;25;29;13;28;2;23;5;32;27;3;22;26;12;16;20;15;21;1;14
31;7;17;30;8;9;18;19;24;11;4;10;6;25;29;13;28;2;23;5;32;27;3;22;20;12;16;26;15;21;1;14;1;28894
1;28894;31;7;17;30;8;9;18;19;24;11;4;10;6;25;29;13;28;2;23;5;32;27;3;22;20;12;16;26;15;21;1;14
5;7;17;30;8;9;18;19;24;11;4;10;6;25;29;13;28;2;23;31;32;27;3;22;20;12;16;26;15;21;1;14;1;28962
1;28962;5;7;17;30;8;9;18;19;24;11;4;10;6;25;29;13;28;2;23;31;32;27;3;22;20;12;16;26;15;21;1;14
5;22;17;30;8;9;18;19;24;11;4;10;6;25;29;13;28;2;23;31;32;27;3;7;20;12;16;26;15;21;1;14;1;28712
1;28712;5;22;17;30;8;9;18;19;24;11;4;10;6;25;29;13;28;2;23;31;32;27;3;7;20;12;16;26;15;21;1;14
5;22;17;30;16;9;18;19;24;11;4;10;6;25;29;13;28;2;23;31;32;27;3;7;20;12;8;26;15;21;1;14;1;28792
1;28792;5;22;17;30;16;9;18;19;24;11;4;10;6;25;29;13;28;2;23;31;32;27;3;7;20;12;8;26;15;21;1;14
5;22;17;30;16;9;18;19;24;11;4;10;2;25;29;13;28;6;23;31;32;27;3;7;20;12;8;26;15;21;1;14;1;28812
1;28812;5;22;17;30;16;9;18;19;24;11;4;10;2;25;29;13;28;6;23;31;32;27;3;7;20;12;8;26;15;21;1;14
5;22;17;30;16;9;18;19;24;11;4;10;2;25;29;13;28;32;23;31;6;27;3;7;20;12;8;26;15;21;1;14;1;28212
1;28212;5;22;17;30;16;9;18;19;24;11;4;10;2;25;29;13;28;32;23;31;6;27;3;7;20;12;8;26;15;21;1;14
5;18;17;30;16;9;22;19;24;11;4;10;2;25;29;13;28;32;23;31;6;27;3;7;20;12;8;26;15;21;1;14;1;28292
1;28292;5;18;17;30;16;9;22;19;24;11;4;10;2;25;29;13;28;32;23;31;6;27;3;7;20;12;8;26;15;21;1;14
5;18;17;30;16;9;22;21;24;11;4;10;2;25;29;13;28;32;23;31;6;27;3;7;20;12;8;26;15;19;1;14;1;27972
1;27972;5;18;17;30;16;9;22;21;24;11;4;10;2;25;29;13;28;32;23;31;6;27;3;7;20;12;8;26;15;19;1;14
5;18;17;30;16;9;22;20;24;11;4;10;2;25;29;13;28;32;23;31;6;27;3;7;21;12;8;26;15;19;1;14;1;28732
1;28732;5;18;17;30;16;9;22;20;24;11;4;10;2;25;29;13;28;32;23;31;6;27;3;7;21;12;8;26;15;19;1;14
5;18;17;22;16;9;30;20;24;11;4;10;2;25;29;13;28;32;23;31;6;27;3;7;21;12;8;26;15;19;1;14;1;29332
1;29332;5;18;17;22;16;9;30;20;24;11;4;10;2;25;29;13;28;32;23;31;6;27;3;7;21;12;8;26;15;19;1;14
5;18;17;22;16;9;30;20;24;11;4;10;2;25;7;13;28;32;23;31;6;27;3;29;21;12;8;26;15;19;1;14;1;29374
1;29374;5;18;17;22;16;9;30;20;24;11;4;10;2;25;7;13;28;32;23;31;6;27;3;29;21;12;8;26;15;19;1;14
5;18;17;22;16;9;30;20;24;11;29;10;2;25;7;13;28;32;23;31;6;27;3;4;21;12;8;26;15;19;1;14;1;29318
1;29318;5;18;17;22;16;9;30;20;24;11;29;10;2;25;7;13;28;32;23;31;6;27;3;4;21;12;8;26;15;19;1;14
