"X1";"X26600";"X9";"X14";"X25";"X7";"X23";"X26";"X22";"X12";"X3";"X13";"X5";"X16";"X2";"X6";"X27";"X28";"X32";"X21";"X10";"X20";"X8";"X24";"X31";"X29";"X17";"X18";"X19";"X1.1";"X4";"X11";"X15";"X30"
1;26600;9;14;25;7;23;26;22;12;3;13;5;16;2;6;27;28;32;21;10;20;8;24;31;29;17;18;19;1;4;11;15;30
9;14;25;7;23;26;22;12;3;13;5;16;17;6;27;28;32;21;10;20;8;24;31;29;2;18;19;1;4;11;15;30;1;27604
1;27604;9;14;25;7;23;26;22;12;3;13;5;16;17;6;27;28;32;21;10;20;8;24;31;29;2;18;19;1;4;11;15;30
9;14;25;7;23;26;22;12;3;13;5;16;17;6;27;28;32;30;10;20;8;24;31;29;2;18;19;1;4;11;15;21;1;27744
1;27744;9;14;25;7;23;26;22;12;3;13;5;16;17;6;27;28;32;30;10;20;8;24;31;29;2;18;19;1;4;11;15;21
9;14;13;7;23;26;22;12;3;25;5;16;17;6;27;28;32;30;10;20;8;24;31;29;2;18;19;1;4;11;15;21;1;28364
1;28364;9;14;13;7;23;26;22;12;3;25;5;16;17;6;27;28;32;30;10;20;8;24;31;29;2;18;19;1;4;11;15;21
9;14;13;7;20;26;22;12;3;25;5;16;17;6;27;28;32;30;10;23;8;24;31;29;2;18;19;1;4;11;15;21;1;28764
1;28764;9;14;13;7;20;26;22;12;3;25;5;16;17;6;27;28;32;30;10;23;8;24;31;29;2;18;19;1;4;11;15;21
9;14;13;7;20;26;22;12;3;6;5;16;17;25;27;28;32;30;10;23;8;24;31;29;2;18;19;1;4;11;15;21;1;28258
1;28258;9;14;13;7;20;26;22;12;3;6;5;16;17;25;27;28;32;30;10;23;8;24;31;29;2;18;19;1;4;11;15;21
9;14;13;7;20;26;22;12;3;6;5;16;17;25;27;28;32;30;10;23;8;24;31;29;2;18;19;1;4;21;15;11;1;27994
1;27994;9;14;13;7;20;26;22;12;3;6;5;16;17;25;27;28;32;30;10;23;8;24;31;29;2;18;19;1;4;21;15;11
9;14;13;7;20;26;22;31;3;6;5;16;17;25;27;28;32;30;10;23;8;24;12;29;2;18;19;1;4;21;15;11;1;27172
1;27172;9;14;13;7;20;26;22;31;3;6;5;16;17;25;27;28;32;30;10;23;8;24;12;29;2;18;19;1;4;21;15;11
9;14;13;7;20;26;22;31;3;6;5;16;17;25;27;28;1;30;10;23;8;24;12;29;2;18;19;32;4;21;15;11;1;27836
1;27836;9;14;13;7;20;26;22;31;3;6;5;16;17;25;27;28;1;30;10;23;8;24;12;29;2;18;19;32;4;21;15;11
9;14;29;7;20;26;22;31;3;6;5;16;17;25;27;28;1;30;10;23;8;24;12;13;2;18;19;32;4;21;15;11;1;27422
1;27422;9;14;29;7;20;26;22;31;3;6;5;16;17;25;27;28;1;30;10;23;8;24;12;13;2;18;19;32;4;21;15;11
9;14;29;7;20;26;22;31;3;6;5;16;32;25;27;28;1;30;10;23;8;24;12;13;2;18;19;17;4;21;15;11;1;27742
1;27742;9;14;29;7;20;26;22;31;3;6;5;16;32;25;27;28;1;30;10;23;8;24;12;13;2;18;19;17;4;21;15;11
9;14;29;18;20;26;22;31;3;6;5;16;32;25;27;28;1;30;10;23;8;24;12;13;2;7;19;17;4;21;15;11;1;28400
1;28400;9;14;29;18;20;26;22;31;3;6;5;16;32;25;27;28;1;30;10;23;8;24;12;13;2;7;19;17;4;21;15;11
9;14;29;18;20;26;22;31;3;6;5;23;32;25;27;28;1;30;10;16;8;24;12;13;2;7;19;17;4;21;15;11;1;28692
1;28692;9;14;29;18;20;26;22;31;3;6;5;23;32;25;27;28;1;30;10;16;8;24;12;13;2;7;19;17;4;21;15;11
9;14;29;18;20;26;22;6;3;31;5;23;32;25;27;28;1;30;10;16;8;24;12;13;2;7;19;17;4;21;15;11;1;28522
1;28522;9;14;29;18;20;26;22;6;3;31;5;23;32;25;27;28;1;30;10;16;8;24;12;13;2;7;19;17;4;21;15;11
9;14;29;18;20;26;22;6;3;31;5;23;32;25;4;28;1;30;10;16;8;24;12;13;2;7;19;17;27;21;15;11;1;29438
1;29438;9;14;29;18;20;26;22;6;3;31;5;23;32;25;4;28;1;30;10;16;8;24;12;13;2;7;19;17;27;21;15;11
9;14;1;18;20;26;22;6;3;31;5;23;32;25;4;28;29;30;10;16;8;24;12;13;2;7;19;17;27;21;15;11;1;29136
1;29136;9;14;1;18;20;26;22;6;3;31;5;23;32;25;4;28;29;30;10;16;8;24;12;13;2;7;19;17;27;21;15;11
9;14;23;18;20;26;22;6;3;31;5;1;32;25;4;28;29;30;10;16;8;24;12;13;2;7;19;17;27;21;15;11;1;28962
1;28962;9;14;23;18;20;26;22;6;3;31;5;1;32;25;4;28;29;30;10;16;8;24;12;13;2;7;19;17;27;21;15;11
9;14;23;18;20;26;22;6;3;31;5;1;32;25;4;28;29;30;10;16;8;24;12;13;2;7;27;17;19;21;15;11;1;29322
1;29322;9;14;23;18;20;26;22;6;3;31;5;1;32;25;4;28;29;30;10;16;8;24;12;13;2;7;27;17;19;21;15;11
9;14;23;18;20;26;22;6;3;31;5;1;32;25;15;28;29;30;10;16;8;24;12;13;2;7;27;17;19;21;4;11;1;29482
1;29482;9;14;23;18;20;26;22;6;3;31;5;1;32;25;15;28;29;30;10;16;8;24;12;13;2;7;27;17;19;21;4;11
9;14;23;18;20;26;22;6;3;31;5;1;12;25;15;28;29;30;10;16;8;24;32;13;2;7;27;17;19;21;4;11;1;29308
1;29308;9;14;23;18;20;26;22;6;3;31;5;1;12;25;15;28;29;30;10;16;8;24;32;13;2;7;27;17;19;21;4;11
9;14;23;18;20;26;22;6;5;31;3;1;12;25;15;28;29;30;10;16;8;24;32;13;2;7;27;17;19;21;4;11;1;29208
2;29208;9;14;23;18;20;26;22;6;5;31;3;1;12;25;15;28;29;30;10;16;8;24;32;13;2;7;27;17;19;21;4;11
9;7;23;18;20;26;22;6;5;31;3;1;12;25;15;28;29;30;10;16;8;24;32;13;2;14;27;17;19;21;4;11;2;28948
