"X1";"X27558";"X13";"X2";"X28";"X12";"X21";"X19";"X8";"X3";"X29";"X9";"X20";"X15";"X25";"X5";"X26";"X22";"X10";"X16";"X32";"X27";"X14";"X11";"X31";"X23";"X17";"X24";"X1.1";"X4";"X30";"X6";"X18";"X7"
1;27558;13;2;28;12;21;19;8;3;29;9;20;15;25;5;26;22;10;16;32;27;14;11;31;23;17;24;1;4;30;6;18;7
13;11;28;12;21;19;8;3;29;9;20;15;25;5;26;22;10;16;32;27;14;2;31;23;17;24;1;4;30;6;18;7;1;27518
1;27518;13;11;28;12;21;19;8;3;29;9;20;15;25;5;26;22;10;16;32;27;14;2;31;23;17;24;1;4;30;6;18;7
13;11;28;12;21;19;8;3;29;9;20;15;25;5;26;22;10;16;17;27;14;2;31;23;32;24;1;4;30;6;18;7;1;27198
1;27198;13;11;28;12;21;19;8;3;29;9;20;15;25;5;26;22;10;16;17;27;14;2;31;23;32;24;1;4;30;6;18;7
13;11;28;12;21;19;8;3;29;15;20;9;25;5;26;22;10;16;17;27;14;2;31;23;32;24;1;4;30;6;18;7;1;26978
1;26978;13;11;28;12;21;19;8;3;29;15;20;9;25;5;26;22;10;16;17;27;14;2;31;23;32;24;1;4;30;6;18;7
13;11;28;12;24;19;8;3;29;15;20;9;25;5;26;22;10;16;17;27;14;2;31;23;32;21;1;4;30;6;18;7;1;27118
1;27118;13;11;28;12;24;19;8;3;29;15;20;9;25;5;26;22;10;16;17;27;14;2;31;23;32;21;1;4;30;6;18;7
13;11;28;12;24;19;8;3;20;15;29;9;25;5;26;22;10;16;17;27;14;2;31;23;32;21;1;4;30;6;18;7;1;27198
1;27198;13;11;28;12;24;19;8;3;20;15;29;9;25;5;26;22;10;16;17;27;14;2;31;23;32;21;1;4;30;6;18;7
13;16;28;12;24;19;8;3;20;15;29;9;25;5;26;22;10;11;17;27;14;2;31;23;32;21;1;4;30;6;18;7;1;27438
1;27438;13;16;28;12;24;19;8;3;20;15;29;9;25;5;26;22;10;11;17;27;14;2;31;23;32;21;1;4;30;6;18;7
13;5;28;12;24;19;8;3;20;15;29;9;25;16;26;22;10;11;17;27;14;2;31;23;32;21;1;4;30;6;18;7;1;27498
1;27498;13;5;28;12;24;19;8;3;20;15;29;9;25;16;26;22;10;11;17;27;14;2;31;23;32;21;1;4;30;6;18;7
13;5;28;12;24;19;8;21;20;15;29;9;25;16;26;22;10;11;17;27;14;2;31;23;32;3;1;4;30;6;18;7;1;27614
1;27614;13;5;28;12;24;19;8;21;20;15;29;9;25;16;26;22;10;11;17;27;14;2;31;23;32;3;1;4;30;6;18;7
13;19;28;12;24;5;8;21;20;15;29;9;25;16;26;22;10;11;17;27;14;2;31;23;32;3;1;4;30;6;18;7;1;27614
1;27614;13;19;28;12;24;5;8;21;20;15;29;9;25;16;26;22;10;11;17;27;14;2;31;23;32;3;1;4;30;6;18;7
13;19;8;12;24;5;28;21;20;15;29;9;25;16;26;22;10;11;17;27;14;2;31;23;32;3;1;4;30;6;18;7;1;26850
1;26850;13;19;8;12;24;5;28;21;20;15;29;9;25;16;26;22;10;11;17;27;14;2;31;23;32;3;1;4;30;6;18;7
13;19;8;12;24;15;28;21;20;5;29;9;25;16;26;22;10;11;17;27;14;2;31;23;32;3;1;4;30;6;18;7;1;27010
1;27010;13;19;8;12;24;15;28;21;20;5;29;9;25;16;26;22;10;11;17;27;14;2;31;23;32;3;1;4;30;6;18;7
13;19;1;12;24;15;28;21;20;5;29;9;25;16;26;22;10;11;17;27;14;2;31;23;32;3;8;4;30;6;18;7;1;27130
1;27130;13;19;1;12;24;15;28;21;20;5;29;9;25;16;26;22;10;11;17;27;14;2;31;23;32;3;8;4;30;6;18;7
13;19;1;12;24;15;28;21;23;5;29;9;25;16;26;22;10;11;17;27;14;2;31;20;32;3;8;4;30;6;18;7;1;26810
1;26810;13;19;1;12;24;15;28;21;23;5;29;9;25;16;26;22;10;11;17;27;14;2;31;20;32;3;8;4;30;6;18;7
13;19;1;12;24;15;28;21;23;5;29;9;3;16;26;22;10;11;17;27;14;2;31;20;32;25;8;4;30;6;18;7;1;27230
1;27230;13;19;1;12;24;15;28;21;23;5;29;9;3;16;26;22;10;11;17;27;14;2;31;20;32;25;8;4;30;6;18;7
13;19;1;5;24;15;28;21;23;12;29;9;3;16;26;22;10;11;17;27;14;2;31;20;32;25;8;4;30;6;18;7;1;26630
1;26630;13;19;1;5;24;15;28;21;23;12;29;9;3;16;26;22;10;11;17;27;14;2;31;20;32;25;8;4;30;6;18;7
13;19;1;5;24;15;28;21;23;12;29;9;3;16;31;22;10;11;17;27;14;2;26;20;32;25;8;4;30;6;18;7;1;26910
1;26910;13;19;1;5;24;15;28;21;23;12;29;9;3;16;31;22;10;11;17;27;14;2;26;20;32;25;8;4;30;6;18;7
13;19;15;5;24;1;28;21;23;12;29;9;3;16;31;22;10;11;17;27;14;2;26;20;32;25;8;4;30;6;18;7;1;26910
1;26910;13;19;15;5;24;1;28;21;23;12;29;9;3;16;31;22;10;11;17;27;14;2;26;20;32;25;8;4;30;6;18;7
13;19;14;5;24;1;28;21;23;12;29;9;3;16;31;22;10;11;17;27;15;2;26;20;32;25;8;4;30;6;18;7;1;26710
1;26710;13;19;14;5;24;1;28;21;23;12;29;9;3;16;31;22;10;11;17;27;15;2;26;20;32;25;8;4;30;6;18;7
13;19;14;5;24;1;28;21;23;12;29;15;3;16;31;22;10;11;17;27;9;2;26;20;32;25;8;4;30;6;18;7;1;27050
1;27050;13;19;14;5;24;1;28;21;23;12;29;15;3;16;31;22;10;11;17;27;9;2;26;20;32;25;8;4;30;6;18;7
13;19;14;5;24;1;28;2;23;12;29;15;3;16;31;22;10;11;17;27;9;21;26;20;32;25;8;4;30;6;18;7;1;27384
2;27384;13;19;14;5;24;1;28;2;23;12;29;15;3;16;31;22;10;11;17;27;9;21;26;20;32;25;8;4;30;6;18;7
13;19;14;5;24;1;28;2;23;12;29;15;3;16;11;22;10;31;17;27;9;21;26;20;32;25;8;4;30;6;18;7;2;27184
2;27184;13;19;14;5;24;1;28;2;23;12;29;15;3;16;11;22;10;31;17;27;9;21;26;20;32;25;8;4;30;6;18;7
13;19;14;5;24;1;28;2;23;12;29;15;3;16;18;22;10;31;17;27;9;21;26;20;32;25;8;4;30;6;11;7;2;27050
2;27050;13;19;14;5;24;1;28;2;23;12;29;15;3;16;18;22;10;31;17;27;9;21;26;20;32;25;8;4;30;6;11;7
13;19;14;5;24;1;28;2;23;12;29;15;3;16;18;22;10;31;17;27;9;21;26;20;25;32;8;4;30;6;11;7;2;27810
2;27810;13;19;14;5;24;1;28;2;23;12;29;15;3;16;18;22;10;31;17;27;9;21;26;20;25;32;8;4;30;6;11;7
13;19;14;5;24;1;28;2;23;12;29;15;3;16;18;22;10;17;31;27;9;21;26;20;25;32;8;4;30;6;11;7;2;28470
2;28470;13;19;14;5;24;1;28;2;23;12;29;15;3;16;18;22;10;17;31;27;9;21;26;20;25;32;8;4;30;6;11;7
13;19;14;17;24;1;28;2;23;12;29;15;3;16;18;22;10;5;31;27;9;21;26;20;25;32;8;4;30;6;11;7;2;27786
2;27786;13;19;14;17;24;1;28;2;23;12;29;15;3;16;18;22;10;5;31;27;9;21;26;20;25;32;8;4;30;6;11;7
13;19;14;17;24;1;28;2;23;12;29;15;3;16;18;22;10;5;31;27;9;21;26;20;25;32;8;4;30;6;7;11;2;27786
2;27786;13;19;14;17;24;1;28;2;23;12;29;15;3;16;18;22;10;5;31;27;9;21;26;20;25;32;8;4;30;6;7;11
13;19;14;17;24;1;28;2;23;12;29;15;3;16;7;22;10;5;31;27;9;21;26;20;25;32;8;4;30;6;18;11;2;28148
2;28148;13;19;14;17;24;1;28;2;23;12;29;15;3;16;7;22;10;5;31;27;9;21;26;20;25;32;8;4;30;6;18;11
31;19;14;17;24;1;28;2;23;12;29;15;3;16;7;22;10;5;13;27;9;21;26;20;25;32;8;4;30;6;18;11;2;27316
2;27316;31;19;14;17;24;1;28;2;23;12;29;15;3;16;7;22;10;5;13;27;9;21;26;20;25;32;8;4;30;6;18;11
31;19;14;17;25;1;28;2;23;12;29;15;3;16;7;22;10;5;13;27;9;21;26;20;24;32;8;4;30;6;18;11;2;26876
2;26876;31;19;14;17;25;1;28;2;23;12;29;15;3;16;7;22;10;5;13;27;9;21;26;20;24;32;8;4;30;6;18;11
31;19;14;17;25;1;12;2;23;28;29;15;3;16;7;22;10;5;13;27;9;21;26;20;24;32;8;4;30;6;18;11;2;27428
2;27428;31;19;14;17;25;1;12;2;23;28;29;15;3;16;7;22;10;5;13;27;9;21;26;20;24;32;8;4;30;6;18;11
31;19;14;17;25;1;12;2;23;28;29;15;3;16;7;11;10;5;13;27;9;21;26;20;24;32;8;4;30;6;18;22;2;27496
2;27496;31;19;14;17;25;1;12;2;23;28;29;15;3;16;7;11;10;5;13;27;9;21;26;20;24;32;8;4;30;6;18;22
31;19;14;17;25;1;12;2;23;28;29;11;3;16;7;15;10;5;13;27;9;21;26;20;24;32;8;4;30;6;18;22;2;27696
2;27696;31;19;14;17;25;1;12;2;23;28;29;11;3;16;7;15;10;5;13;27;9;21;26;20;24;32;8;4;30;6;18;22
31;19;14;17;32;1;12;2;23;28;29;11;3;16;7;15;10;5;13;27;9;21;26;20;24;25;8;4;30;6;18;22;2;27696
2;27696;31;19;14;17;32;1;12;2;23;28;29;11;3;16;7;15;10;5;13;27;9;21;26;20;24;25;8;4;30;6;18;22
31;19;14;17;32;1;12;2;23;28;29;7;3;16;11;15;10;5;13;27;9;21;26;20;24;25;8;4;30;6;18;22;2;27756
2;27756;31;19;14;17;32;1;12;2;23;28;29;7;3;16;11;15;10;5;13;27;9;21;26;20;24;25;8;4;30;6;18;22
31;19;14;17;32;1;12;2;23;15;29;7;3;16;11;28;10;5;13;27;9;21;26;20;24;25;8;4;30;6;18;22;2;28178
2;28178;31;19;14;17;32;1;12;2;23;15;29;7;3;16;11;28;10;5;13;27;9;21;26;20;24;25;8;4;30;6;18;22
31;19;14;17;27;1;12;2;23;15;29;7;3;16;11;28;10;5;13;32;9;21;26;20;24;25;8;4;30;6;18;22;2;27858
2;27858;31;19;14;17;27;1;12;2;23;15;29;7;3;16;11;28;10;5;13;32;9;21;26;20;24;25;8;4;30;6;18;22
1;19;14;17;27;31;12;2;23;15;29;7;3;16;11;28;10;5;13;32;9;21;26;20;24;25;8;4;30;6;18;22;2;27896
2;27896;1;19;14;17;27;31;12;2;23;15;29;7;3;16;11;28;10;5;13;32;9;21;26;20;24;25;8;4;30;6;18;22
1;19;14;17;27;31;12;2;23;15;29;7;3;16;11;10;28;5;13;32;9;21;26;20;24;25;8;4;30;6;18;22;2;27896
2;27896;1;19;14;17;27;31;12;2;23;15;29;7;3;16;11;10;28;5;13;32;9;21;26;20;24;25;8;4;30;6;18;22
1;19;5;17;27;31;12;2;23;15;29;7;3;16;11;10;28;14;13;32;9;21;26;20;24;25;8;4;30;6;18;22;2;27856
2;27856;1;19;5;17;27;31;12;2;23;15;29;7;3;16;11;10;28;14;13;32;9;21;26;20;24;25;8;4;30;6;18;22
8;19;5;17;27;31;12;2;23;15;29;7;3;16;11;10;28;14;13;32;9;21;26;20;24;25;1;4;30;6;18;22;2;27576
3;27576;8;19;5;17;27;31;12;2;23;15;29;7;3;16;11;10;28;14;13;32;9;21;26;20;24;25;1;4;30;6;18;22
8;19;5;17;27;31;12;2;23;15;29;7;3;30;11;10;28;14;13;32;9;21;26;20;24;25;1;4;16;6;18;22;3;27790
3;27790;8;19;5;17;27;31;12;2;23;15;29;7;3;30;11;10;28;14;13;32;9;21;26;20;24;25;1;4;16;6;18;22
8;19;5;17;27;31;12;2;23;15;29;7;3;30;11;10;28;16;13;32;9;21;26;20;24;25;1;4;14;6;18;22;3;28110
3;28110;8;19;5;17;27;31;12;2;23;15;29;7;3;30;11;10;28;16;13;32;9;21;26;20;24;25;1;4;14;6;18;22
8;19;5;17;27;31;12;2;23;15;29;18;3;30;11;10;28;16;13;32;9;21;26;20;24;25;1;4;14;6;7;22;3;28086
3;28086;8;19;5;17;27;31;12;2;23;15;29;18;3;30;11;10;28;16;13;32;9;21;26;20;24;25;1;4;14;6;7;22
8;12;5;17;27;31;19;2;23;15;29;18;3;30;11;10;28;16;13;32;9;21;26;20;24;25;1;4;14;6;7;22;3;28146
3;28146;8;12;5;17;27;31;19;2;23;15;29;18;3;30;11;10;28;16;13;32;9;21;26;20;24;25;1;4;14;6;7;22
8;12;5;17;27;31;19;2;23;15;29;18;3;30;11;10;28;25;13;32;9;21;26;20;24;16;1;4;14;6;7;22;3;27980
3;27980;8;12;5;17;27;31;19;2;23;15;29;18;3;30;11;10;28;25;13;32;9;21;26;20;24;16;1;4;14;6;7;22
8;12;5;17;27;31;19;2;23;15;29;18;3;30;11;10;28;25;13;32;9;21;26;20;24;14;1;4;16;6;7;22;3;27740
3;27740;8;12;5;17;27;31;19;2;23;15;29;18;3;30;11;10;28;25;13;32;9;21;26;20;24;14;1;4;16;6;7;22
8;12;5;17;30;31;19;2;23;15;29;18;3;27;11;10;28;25;13;32;9;21;26;20;24;14;1;4;16;6;7;22;3;28060
3;28060;8;12;5;17;30;31;19;2;23;15;29;18;3;27;11;10;28;25;13;32;9;21;26;20;24;14;1;4;16;6;7;22
8;22;5;17;30;31;19;2;23;15;29;18;3;27;11;10;28;25;13;32;9;21;26;20;24;14;1;4;16;6;7;12;3;27318
3;27318;8;22;5;17;30;31;19;2;23;15;29;18;3;27;11;10;28;25;13;32;9;21;26;20;24;14;1;4;16;6;7;12
