"X1";"X26738";"X1.1";"X23";"X31";"X21";"X4";"X11";"X3";"X5";"X32";"X16";"X6";"X18";"X27";"X28";"X26";"X20";"X19";"X24";"X25";"X8";"X13";"X15";"X29";"X14";"X12";"X17";"X10";"X22";"X7";"X2";"X9";"X30"
1;26738;1;23;31;21;4;11;3;5;32;16;6;18;27;28;26;20;19;24;25;8;13;15;29;14;12;17;10;22;7;2;9;30
1;23;31;21;4;16;3;5;32;11;6;18;27;28;26;20;19;24;25;8;13;15;29;14;12;17;10;22;7;2;9;30;1;27178
1;27178;1;23;31;21;4;16;3;5;32;11;6;18;27;28;26;20;19;24;25;8;13;15;29;14;12;17;10;22;7;2;9;30
1;23;31;24;4;16;3;5;32;11;6;18;27;28;26;20;19;21;25;8;13;15;29;14;12;17;10;22;7;2;9;30;1;27258
1;27258;1;23;31;24;4;16;3;5;32;11;6;18;27;28;26;20;19;21;25;8;13;15;29;14;12;17;10;22;7;2;9;30
1;19;31;24;4;16;3;5;32;11;6;18;27;28;26;20;23;21;25;8;13;15;29;14;12;17;10;22;7;2;9;30;1;27158
1;27158;1;19;31;24;4;16;3;5;32;11;6;18;27;28;26;20;23;21;25;8;13;15;29;14;12;17;10;22;7;2;9;30
1;19;31;24;4;16;3;5;32;11;6;18;27;28;26;20;23;7;25;8;13;15;29;14;12;17;10;22;21;2;9;30;1;27058
1;27058;1;19;31;24;4;16;3;5;32;11;6;18;27;28;26;20;23;7;25;8;13;15;29;14;12;17;10;22;21;2;9;30
1;19;31;24;4;17;3;5;32;11;6;18;27;28;26;20;23;7;25;8;13;15;29;14;12;16;10;22;21;2;9;30;1;26736
1;26736;1;19;31;24;4;17;3;5;32;11;6;18;27;28;26;20;23;7;25;8;13;15;29;14;12;16;10;22;21;2;9;30
1;19;31;24;4;17;3;5;32;11;6;18;27;28;26;20;23;7;25;13;8;15;29;14;12;16;10;22;21;2;9;30;1;27116
1;27116;1;19;31;24;4;17;3;5;32;11;6;18;27;28;26;20;23;7;25;13;8;15;29;14;12;16;10;22;21;2;9;30
1;19;31;24;4;17;3;5;32;11;6;18;27;28;26;20;29;7;25;13;8;15;23;14;12;16;10;22;21;2;9;30;1;28196
1;28196;1;19;31;24;4;17;3;5;32;11;6;18;27;28;26;20;29;7;25;13;8;15;23;14;12;16;10;22;21;2;9;30
1;19;31;24;4;17;3;5;32;11;6;18;27;28;26;20;29;7;25;13;8;15;23;14;12;16;10;30;21;2;9;22;1;28196
1;28196;1;19;31;24;4;17;3;5;32;11;6;18;27;28;26;20;29;7;25;13;8;15;23;14;12;16;10;30;21;2;9;22
1;19;31;24;4;17;3;5;9;11;6;18;27;28;26;20;29;7;25;13;8;15;23;14;12;16;10;30;21;2;32;22;1;27830
1;27830;1;19;31;24;4;17;3;5;9;11;6;18;27;28;26;20;29;7;25;13;8;15;23;14;12;16;10;30;21;2;32;22
16;19;31;24;4;17;3;5;9;11;6;18;27;28;26;20;29;7;25;13;8;15;23;14;12;1;10;30;21;2;32;22;1;28350
1;28350;16;19;31;24;4;17;3;5;9;11;6;18;27;28;26;20;29;7;25;13;8;15;23;14;12;1;10;30;21;2;32;22
16;19;31;24;4;17;21;5;9;11;6;18;27;28;26;20;29;7;25;13;8;15;23;14;12;1;10;30;3;2;32;22;1;28918
1;28918;16;19;31;24;4;17;21;5;9;11;6;18;27;28;26;20;29;7;25;13;8;15;23;14;12;1;10;30;3;2;32;22
16;19;31;24;4;17;8;5;9;11;6;18;27;28;26;20;29;7;25;13;21;15;23;14;12;1;10;30;3;2;32;22;1;28842
1;28842;16;19;31;24;4;17;8;5;9;11;6;18;27;28;26;20;29;7;25;13;21;15;23;14;12;1;10;30;3;2;32;22
16;19;31;24;4;17;8;5;9;11;6;18;27;28;26;20;29;7;25;15;21;13;23;14;12;1;10;30;3;2;32;22;1;28882
1;28882;16;19;31;24;4;17;8;5;9;11;6;18;27;28;26;20;29;7;25;15;21;13;23;14;12;1;10;30;3;2;32;22
16;19;31;24;4;20;8;5;9;11;6;18;27;28;26;17;29;7;25;15;21;13;23;14;12;1;10;30;3;2;32;22;1;29102
1;29102;16;19;31;24;4;20;8;5;9;11;6;18;27;28;26;17;29;7;25;15;21;13;23;14;12;1;10;30;3;2;32;22
16;19;31;24;4;20;8;5;10;11;6;18;27;28;26;17;29;7;25;15;21;13;23;14;12;1;9;30;3;2;32;22;1;29002
1;29002;16;19;31;24;4;20;8;5;10;11;6;18;27;28;26;17;29;7;25;15;21;13;23;14;12;1;9;30;3;2;32;22
16;19;31;24;4;20;8;5;10;11;6;18;14;28;26;17;29;7;25;15;21;13;23;27;12;1;9;30;3;2;32;22;1;29010
1;29010;16;19;31;24;4;20;8;5;10;11;6;18;14;28;26;17;29;7;25;15;21;13;23;27;12;1;9;30;3;2;32;22
16;19;31;24;4;20;8;5;30;11;6;18;14;28;26;17;29;7;25;15;21;13;23;27;12;1;9;10;3;2;32;22;1;29008
1;29008;16;19;31;24;4;20;8;5;30;11;6;18;14;28;26;17;29;7;25;15;21;13;23;27;12;1;9;10;3;2;32;22
16;19;31;24;4;20;8;5;30;11;6;18;14;28;26;17;29;7;25;15;21;13;3;27;12;1;9;10;23;2;32;22;1;28624
1;28624;16;19;31;24;4;20;8;5;30;11;6;18;14;28;26;17;29;7;25;15;21;13;3;27;12;1;9;10;23;2;32;22
16;19;31;24;4;20;8;5;30;12;6;18;14;28;26;17;29;7;25;15;21;13;3;27;11;1;9;10;23;2;32;22;1;28524
1;28524;16;19;31;24;4;20;8;5;30;12;6;18;14;28;26;17;29;7;25;15;21;13;3;27;11;1;9;10;23;2;32;22
16;19;31;24;4;20;21;5;30;12;6;18;14;28;26;17;29;7;25;15;8;13;3;27;11;1;9;10;23;2;32;22;1;28652
2;28652;16;19;31;24;4;20;21;5;30;12;6;18;14;28;26;17;29;7;25;15;8;13;3;27;11;1;9;10;23;2;32;22
22;19;31;24;4;20;21;5;30;12;6;18;14;28;26;17;29;7;25;15;8;13;3;27;11;1;9;10;23;2;32;16;2;27216
2;27216;22;19;31;24;4;20;21;5;30;12;6;18;14;28;26;17;29;7;25;15;8;13;3;27;11;1;9;10;23;2;32;16
22;19;31;24;4;20;21;5;30;12;7;18;14;28;26;17;29;6;25;15;8;13;3;27;11;1;9;10;23;2;32;16;2;27316
2;27316;22;19;31;24;4;20;21;5;30;12;7;18;14;28;26;17;29;6;25;15;8;13;3;27;11;1;9;10;23;2;32;16
22;19;31;24;4;20;21;5;30;7;12;18;14;28;26;17;29;6;25;15;8;13;3;27;11;1;9;10;23;2;32;16;2;27796
2;27796;22;19;31;24;4;20;21;5;30;7;12;18;14;28;26;17;29;6;25;15;8;13;3;27;11;1;9;10;23;2;32;16
22;19;31;24;4;20;21;5;15;7;12;18;14;28;26;17;29;6;25;30;8;13;3;27;11;1;9;10;23;2;32;16;2;28170
2;28170;22;19;31;24;4;20;21;5;15;7;12;18;14;28;26;17;29;6;25;30;8;13;3;27;11;1;9;10;23;2;32;16
22;29;31;24;4;20;21;5;15;7;12;18;14;28;26;17;19;6;25;30;8;13;3;27;11;1;9;10;23;2;32;16;2;28110
2;28110;22;29;31;24;4;20;21;5;15;7;12;18;14;28;26;17;19;6;25;30;8;13;3;27;11;1;9;10;23;2;32;16
22;29;31;24;3;20;21;5;15;7;12;18;14;28;26;17;19;6;25;30;8;13;4;27;11;1;9;10;23;2;32;16;2;27830
2;27830;22;29;31;24;3;20;21;5;15;7;12;18;14;28;26;17;19;6;25;30;8;13;4;27;11;1;9;10;23;2;32;16
22;29;31;24;3;20;21;5;25;7;12;18;14;28;26;17;19;6;15;30;8;13;4;27;11;1;9;10;23;2;32;16;2;27168
2;27168;22;29;31;24;3;20;21;5;25;7;12;18;14;28;26;17;19;6;15;30;8;13;4;27;11;1;9;10;23;2;32;16
22;29;31;24;3;20;21;5;25;7;12;18;14;28;26;17;19;6;15;30;8;13;4;16;11;1;9;10;23;2;32;27;2;27764
2;27764;22;29;31;24;3;20;21;5;25;7;12;18;14;28;26;17;19;6;15;30;8;13;4;16;11;1;9;10;23;2;32;27
22;29;31;17;3;20;21;5;25;7;12;18;14;28;26;24;19;6;15;30;8;13;4;16;11;1;9;10;23;2;32;27;2;27844
2;27844;22;29;31;17;3;20;21;5;25;7;12;18;14;28;26;24;19;6;15;30;8;13;4;16;11;1;9;10;23;2;32;27
22;29;5;17;3;20;21;31;25;7;12;18;14;28;26;24;19;6;15;30;8;13;4;16;11;1;9;10;23;2;32;27;2;27642
2;27642;22;29;5;17;3;20;21;31;25;7;12;18;14;28;26;24;19;6;15;30;8;13;4;16;11;1;9;10;23;2;32;27
