"X1";"X28646";"X4";"X16";"X3";"X13";"X19";"X1.1";"X12";"X6";"X17";"X29";"X10";"X27";"X11";"X23";"X5";"X21";"X8";"X7";"X32";"X30";"X25";"X31";"X9";"X18";"X15";"X20";"X22";"X14";"X2";"X28";"X24";"X26"
1;28646;4;16;3;13;19;1;12;6;17;29;10;27;11;23;5;21;8;7;32;30;25;31;9;18;15;20;22;14;2;28;24;26
4;16;3;13;25;1;12;6;17;29;10;27;11;23;5;21;8;7;32;30;19;31;9;18;15;20;22;14;2;28;24;26;1;28766
1;28766;4;16;3;13;25;1;12;6;17;29;10;27;11;23;5;21;8;7;32;30;19;31;9;18;15;20;22;14;2;28;24;26
4;16;3;13;25;1;12;6;17;31;10;27;11;23;5;21;8;7;32;30;19;29;9;18;15;20;22;14;2;28;24;26;1;28806
1;28806;4;16;3;13;25;1;12;6;17;31;10;27;11;23;5;21;8;7;32;30;19;29;9;18;15;20;22;14;2;28;24;26
4;16;3;13;25;1;12;6;17;31;10;27;11;23;5;21;32;7;8;30;19;29;9;18;15;20;22;14;2;28;24;26;1;30010
1;30010;4;16;3;13;25;1;12;6;17;31;10;27;11;23;5;21;32;7;8;30;19;29;9;18;15;20;22;14;2;28;24;26
4;16;3;13;25;1;12;6;17;31;10;27;11;23;30;21;32;7;8;5;19;29;9;18;15;20;22;14;2;28;24;26;1;29072
1;29072;4;16;3;13;25;1;12;6;17;31;10;27;11;23;30;21;32;7;8;5;19;29;9;18;15;20;22;14;2;28;24;26
4;16;9;13;25;1;12;6;17;31;10;27;11;23;30;21;32;7;8;5;19;29;3;18;15;20;22;14;2;28;24;26;1;28592
1;28592;4;16;9;13;25;1;12;6;17;31;10;27;11;23;30;21;32;7;8;5;19;29;3;18;15;20;22;14;2;28;24;26
4;22;9;13;25;1;12;6;17;31;10;27;11;23;30;21;32;7;8;5;19;29;3;18;15;20;16;14;2;28;24;26;1;27722
1;27722;4;22;9;13;25;1;12;6;17;31;10;27;11;23;30;21;32;7;8;5;19;29;3;18;15;20;16;14;2;28;24;26
4;22;9;13;3;1;12;6;17;31;10;27;11;23;30;21;32;7;8;5;19;29;25;18;15;20;16;14;2;28;24;26;1;28386
1;28386;4;22;9;13;3;1;12;6;17;31;10;27;11;23;30;21;32;7;8;5;19;29;25;18;15;20;16;14;2;28;24;26
4;22;9;13;3;1;12;6;17;31;10;27;11;23;30;2;32;7;8;5;19;29;25;18;15;20;16;14;21;28;24;26;1;27420
1;27420;4;22;9;13;3;1;12;6;17;31;10;27;11;23;30;2;32;7;8;5;19;29;25;18;15;20;16;14;21;28;24;26
4;22;8;13;3;1;12;6;17;31;10;27;11;23;30;2;32;7;9;5;19;29;25;18;15;20;16;14;21;28;24;26;1;27460
1;27460;4;22;8;13;3;1;12;6;17;31;10;27;11;23;30;2;32;7;9;5;19;29;25;18;15;20;16;14;21;28;24;26
4;22;8;13;3;1;12;6;17;31;10;27;11;23;30;2;32;7;26;5;19;29;25;18;15;20;16;14;21;28;24;9;1;27408
1;27408;4;22;8;13;3;1;12;6;17;31;10;27;11;23;30;2;32;7;26;5;19;29;25;18;15;20;16;14;21;28;24;9
4;22;8;13;3;1;12;6;17;31;10;27;11;23;30;2;32;28;26;5;19;29;25;18;15;20;16;14;21;7;24;9;1;27454
1;27454;4;22;8;13;3;1;12;6;17;31;10;27;11;23;30;2;32;28;26;5;19;29;25;18;15;20;16;14;21;7;24;9
4;22;8;13;3;1;12;32;17;31;10;27;11;23;30;2;6;28;26;5;19;29;25;18;15;20;16;14;21;7;24;9;1;26738
1;26738;4;22;8;13;3;1;12;32;17;31;10;27;11;23;30;2;6;28;26;5;19;29;25;18;15;20;16;14;21;7;24;9
4;22;8;13;3;1;31;32;17;12;10;27;11;23;30;2;6;28;26;5;19;29;25;18;15;20;16;14;21;7;24;9;1;27042
1;27042;4;22;8;13;3;1;31;32;17;12;10;27;11;23;30;2;6;28;26;5;19;29;25;18;15;20;16;14;21;7;24;9
4;22;8;13;3;1;31;32;17;12;16;27;11;23;30;2;6;28;26;5;19;29;25;18;15;20;10;14;21;7;24;9;1;27802
1;27802;4;22;8;13;3;1;31;32;17;12;16;27;11;23;30;2;6;28;26;5;19;29;25;18;15;20;10;14;21;7;24;9
4;22;29;13;3;1;31;32;17;12;16;27;11;23;30;2;6;28;26;5;19;8;25;18;15;20;10;14;21;7;24;9;1;28238
1;28238;4;22;29;13;3;1;31;32;17;12;16;27;11;23;30;2;6;28;26;5;19;8;25;18;15;20;10;14;21;7;24;9
4;22;29;13;3;1;31;32;17;12;16;27;11;23;30;2;6;28;26;5;14;8;25;18;15;20;10;19;21;7;24;9;1;28664
1;28664;4;22;29;13;3;1;31;32;17;12;16;27;11;23;30;2;6;28;26;5;14;8;25;18;15;20;10;19;21;7;24;9
4;22;29;13;3;1;31;32;17;12;16;27;11;5;30;2;6;28;26;23;14;8;25;18;15;20;10;19;21;7;24;9;1;29012
1;28664;4;22;29;13;3;1;31;32;17;12;16;27;11;23;30;2;6;28;26;5;14;8;25;18;15;20;10;19;21;7;24;9
4;22;29;13;3;1;31;32;17;12;16;27;11;28;30;2;6;23;26;5;14;8;25;18;15;20;10;19;21;7;24;9;1;28504
1;28504;4;22;29;13;3;1;31;32;17;12;16;27;11;28;30;2;6;23;26;5;14;8;25;18;15;20;10;19;21;7;24;9
4;22;29;2;3;1;31;32;17;12;16;27;11;28;30;13;6;23;26;5;14;8;25;18;15;20;10;19;21;7;24;9;1;28784
1;28784;4;22;29;2;3;1;31;32;17;12;16;27;11;28;30;13;6;23;26;5;14;8;25;18;15;20;10;19;21;7;24;9
32;22;29;2;3;1;31;4;17;12;16;27;11;28;30;13;6;23;26;5;14;8;25;18;15;20;10;19;21;7;24;9;1;29092
2;29092;32;22;29;2;3;1;31;4;17;12;16;27;11;28;30;13;6;23;26;5;14;8;25;18;15;20;10;19;21;7;24;9
32;22;29;2;3;1;31;4;17;12;16;27;11;10;30;13;6;23;26;5;14;8;25;18;15;20;28;19;21;7;24;9;2;29160
