"X1";"X27316";"X11";"X12";"X13";"X29";"X18";"X21";"X16";"X17";"X5";"X1.1";"X7";"X8";"X15";"X30";"X22";"X2";"X6";"X9";"X26";"X27";"X28";"X3";"X20";"X4";"X14";"X31";"X19";"X25";"X10";"X32";"X23";"X24"
1;27316;11;12;13;29;18;21;16;17;5;1;7;8;15;30;22;2;6;9;26;27;28;3;20;4;14;31;19;25;10;32;23;24
11;12;13;29;18;4;16;17;5;1;7;8;15;30;22;2;6;9;26;27;28;3;20;21;14;31;19;25;10;32;23;24;1;27242
1;27242;11;12;13;29;18;4;16;17;5;1;7;8;15;30;22;2;6;9;26;27;28;3;20;21;14;31;19;25;10;32;23;24
11;12;13;29;18;4;17;16;5;1;7;8;15;30;22;2;6;9;26;27;28;3;20;21;14;31;19;25;10;32;23;24;1;27392
1;27392;11;12;13;29;18;4;17;16;5;1;7;8;15;30;22;2;6;9;26;27;28;3;20;21;14;31;19;25;10;32;23;24
11;12;13;29;18;4;17;16;5;15;7;8;1;30;22;2;6;9;26;27;28;3;20;21;14;31;19;25;10;32;23;24;1;27372
1;27372;11;12;13;29;18;4;17;16;5;15;7;8;1;30;22;2;6;9;26;27;28;3;20;21;14;31;19;25;10;32;23;24
11;12;18;29;13;4;17;16;5;15;7;8;1;30;22;2;6;9;26;27;28;3;20;21;14;31;19;25;10;32;23;24;1;27384
1;27384;11;12;18;29;13;4;17;16;5;15;7;8;1;30;22;2;6;9;26;27;28;3;20;21;14;31;19;25;10;32;23;24
11;12;18;29;2;4;17;16;5;15;7;8;1;30;22;13;6;9;26;27;28;3;20;21;14;31;19;25;10;32;23;24;1;27344
1;27344;11;12;18;29;2;4;17;16;5;15;7;8;1;30;22;13;6;9;26;27;28;3;20;21;14;31;19;25;10;32;23;24
11;12;18;29;2;4;17;16;5;15;7;8;1;6;22;13;30;9;26;27;28;3;20;21;14;31;19;25;10;32;23;24;1;28308
1;28308;11;12;18;29;2;4;17;16;5;15;7;8;1;6;22;13;30;9;26;27;28;3;20;21;14;31;19;25;10;32;23;24
11;12;18;29;2;4;17;16;5;15;7;8;1;6;22;13;30;9;26;27;28;31;20;21;14;3;19;25;10;32;23;24;1;28790
1;28790;11;12;18;29;2;4;17;16;5;15;7;8;1;6;22;13;30;9;26;27;28;31;20;21;14;3;19;25;10;32;23;24
11;12;18;29;2;4;17;16;5;15;7;8;1;6;22;13;28;9;26;27;30;31;20;21;14;3;19;25;10;32;23;24;1;28930
1;28930;11;12;18;29;2;4;17;16;5;15;7;8;1;6;22;13;28;9;26;27;30;31;20;21;14;3;19;25;10;32;23;24
11;12;18;10;2;4;17;16;5;15;7;8;1;6;22;13;28;9;26;27;30;31;20;21;14;3;19;25;29;32;23;24;1;27634
1;27634;11;12;18;10;2;4;17;16;5;15;7;8;1;6;22;13;28;9;26;27;30;31;20;21;14;3;19;25;29;32;23;24
11;31;18;10;2;4;17;16;5;15;7;8;1;6;22;13;28;9;26;27;30;12;20;21;14;3;19;25;29;32;23;24;1;27358
1;27358;11;31;18;10;2;4;17;16;5;15;7;8;1;6;22;13;28;9;26;27;30;12;20;21;14;3;19;25;29;32;23;24
11;31;18;10;6;4;17;16;5;15;7;8;1;2;22;13;28;9;26;27;30;12;20;21;14;3;19;25;29;32;23;24;1;27018
1;27018;11;31;18;10;6;4;17;16;5;15;7;8;1;2;22;13;28;9;26;27;30;12;20;21;14;3;19;25;29;32;23;24
