"X1";"X29438";"X32";"X6";"X27";"X16";"X31";"X24";"X12";"X18";"X3";"X20";"X9";"X5";"X14";"X8";"X23";"X29";"X17";"X2";"X21";"X19";"X26";"X28";"X13";"X25";"X15";"X1.1";"X22";"X10";"X4";"X7";"X11";"X30"
1;29438;32;6;27;16;31;24;12;18;3;20;9;5;14;8;23;29;17;2;21;19;26;28;13;25;15;1;22;10;4;7;11;30
32;6;27;16;8;24;12;18;3;20;9;5;14;31;23;29;17;2;21;19;26;28;13;25;15;1;22;10;4;7;11;30;1;30040
1;30040;32;6;27;16;8;24;12;18;3;20;9;5;14;31;23;29;17;2;21;19;26;28;13;25;15;1;22;10;4;7;11;30
32;6;27;16;8;24;12;18;3;20;9;11;14;31;23;29;17;2;21;19;26;28;13;25;15;1;22;10;4;7;5;30;1;29720
1;29720;32;6;27;16;8;24;12;18;3;20;9;11;14;31;23;29;17;2;21;19;26;28;13;25;15;1;22;10;4;7;5;30
32;13;27;16;8;24;12;18;3;20;9;11;14;31;23;29;17;2;21;19;26;28;6;25;15;1;22;10;4;7;5;30;1;29880
1;29880;32;13;27;16;8;24;12;18;3;20;9;11;14;31;23;29;17;2;21;19;26;28;6;25;15;1;22;10;4;7;5;30
32;13;27;16;8;24;12;18;3;20;9;11;14;31;23;29;17;1;21;19;26;28;6;25;15;2;22;10;4;7;5;30;1;29620
1;29620;32;13;27;16;8;24;12;18;3;20;9;11;14;31;23;29;17;1;21;19;26;28;6;25;15;2;22;10;4;7;5;30
22;13;27;16;8;24;12;18;3;20;9;11;14;31;23;29;17;1;21;19;26;28;6;25;15;2;32;10;4;7;5;30;1;29140
1;29140;22;13;27;16;8;24;12;18;3;20;9;11;14;31;23;29;17;1;21;19;26;28;6;25;15;2;32;10;4;7;5;30
22;13;12;16;8;24;27;18;3;20;9;11;14;31;23;29;17;1;21;19;26;28;6;25;15;2;32;10;4;7;5;30;1;29204
