"X1";"X27128";"X17";"X9";"X27";"X10";"X18";"X32";"X13";"X8";"X31";"X4";"X29";"X5";"X26";"X19";"X1.1";"X22";"X25";"X23";"X6";"X15";"X20";"X11";"X16";"X30";"X21";"X14";"X2";"X12";"X3";"X7";"X28";"X24"
1;27128;17;9;27;10;18;32;13;8;31;4;29;5;26;19;1;22;25;23;6;15;20;11;16;30;21;14;2;12;3;7;28;24
17;9;27;10;18;32;13;2;31;4;29;5;26;19;1;22;25;23;6;15;20;11;16;30;21;14;8;12;3;7;28;24;1;26608
1;26608;17;9;27;10;18;32;13;2;31;4;29;5;26;19;1;22;25;23;6;15;20;11;16;30;21;14;8;12;3;7;28;24
17;9;27;10;18;32;13;2;31;16;29;5;26;19;1;22;25;23;6;15;20;11;4;30;21;14;8;12;3;7;28;24;1;25968
1;25968;17;9;27;10;18;32;13;2;31;16;29;5;26;19;1;22;25;23;6;15;20;11;4;30;21;14;8;12;3;7;28;24
17;20;27;10;18;32;13;2;31;16;29;5;26;19;1;22;25;23;6;15;9;11;4;30;21;14;8;12;3;7;28;24;1;26640
1;26640;17;20;27;10;18;32;13;2;31;16;29;5;26;19;1;22;25;23;6;15;9;11;4;30;21;14;8;12;3;7;28;24
21;20;27;10;18;32;13;2;31;16;29;5;26;19;1;22;25;23;6;15;9;11;4;30;17;14;8;12;3;7;28;24;1;26320
1;26320;21;20;27;10;18;32;13;2;31;16;29;5;26;19;1;22;25;23;6;15;9;11;4;30;17;14;8;12;3;7;28;24
21;20;27;10;18;32;13;2;31;16;29;5;26;19;1;22;25;23;6;15;9;11;28;30;17;14;8;12;3;7;4;24;1;26470
1;26470;21;20;27;10;18;32;13;2;31;16;29;5;26;19;1;22;25;23;6;15;9;11;28;30;17;14;8;12;3;7;4;24
21;20;27;10;18;32;13;2;7;16;29;5;26;19;1;22;25;23;6;15;9;11;28;30;17;14;8;12;3;31;4;24;1;26632
1;26632;21;20;27;10;18;32;13;2;7;16;29;5;26;19;1;22;25;23;6;15;9;11;28;30;17;14;8;12;3;31;4;24
21;20;27;10;16;32;13;2;7;18;29;5;26;19;1;22;25;23;6;15;9;11;28;30;17;14;8;12;3;31;4;24;1;27680
1;27680;21;20;27;10;16;32;13;2;7;18;29;5;26;19;1;22;25;23;6;15;9;11;28;30;17;14;8;12;3;31;4;24
21;20;27;10;16;32;13;2;7;18;29;5;26;19;1;22;25;23;6;15;9;11;28;30;17;8;14;12;3;31;4;24;1;27840
1;27840;21;20;27;10;16;32;13;2;7;18;29;5;26;19;1;22;25;23;6;15;9;11;28;30;17;8;14;12;3;31;4;24
21;20;27;10;16;32;13;2;7;18;29;5;26;19;1;22;23;25;6;15;9;11;28;30;17;8;14;12;3;31;4;24;1;28020
1;28020;21;20;27;10;16;32;13;2;7;18;29;5;26;19;1;22;23;25;6;15;9;11;28;30;17;8;14;12;3;31;4;24
21;20;27;10;16;9;13;2;7;18;29;5;26;19;1;22;23;25;6;15;32;11;28;30;17;8;14;12;3;31;4;24;1;28268
1;28268;21;20;27;10;16;9;13;2;7;18;29;5;26;19;1;22;23;25;6;15;32;11;28;30;17;8;14;12;3;31;4;24
21;11;27;10;16;9;13;2;7;18;29;5;26;19;1;22;23;25;6;15;32;20;28;30;17;8;14;12;3;31;4;24;1;27792
1;27792;21;11;27;10;16;9;13;2;7;18;29;5;26;19;1;22;23;25;6;15;32;20;28;30;17;8;14;12;3;31;4;24
21;11;27;10;16;9;13;2;26;18;29;5;7;19;1;22;23;25;6;15;32;20;28;30;17;8;14;12;3;31;4;24;1;27890
1;27890;21;11;27;10;16;9;13;2;26;18;29;5;7;19;1;22;23;25;6;15;32;20;28;30;17;8;14;12;3;31;4;24
24;11;27;10;16;9;13;2;26;18;29;5;7;19;1;22;23;25;6;15;32;20;28;30;17;8;14;12;3;31;4;21;1;27930
1;27930;24;11;27;10;16;9;13;2;26;18;29;5;7;19;1;22;23;25;6;15;32;20;28;30;17;8;14;12;3;31;4;21
24;11;27;10;16;9;13;2;26;18;29;5;7;19;12;22;23;25;6;15;32;20;28;30;17;8;14;1;3;31;4;21;1;27070
1;27070;24;11;27;10;16;9;13;2;26;18;29;5;7;19;12;22;23;25;6;15;32;20;28;30;17;8;14;1;3;31;4;21
24;11;27;10;16;9;13;2;26;18;29;5;7;19;12;22;23;25;6;15;32;20;28;30;17;8;14;1;21;31;4;3;1;26848
1;26848;24;11;27;10;16;9;13;2;26;18;29;5;7;19;12;22;23;25;6;15;32;20;28;30;17;8;14;1;21;31;4;3
24;11;27;10;26;9;13;2;16;18;29;5;7;19;12;22;23;25;6;15;32;20;28;30;17;8;14;1;21;31;4;3;1;26528
1;26528;24;11;27;10;26;9;13;2;16;18;29;5;7;19;12;22;23;25;6;15;32;20;28;30;17;8;14;1;21;31;4;3
24;11;27;10;26;9;13;2;16;18;29;5;7;19;12;20;23;25;6;15;32;22;28;30;17;8;14;1;21;31;4;3;1;26988
1;26988;24;11;27;10;26;9;13;2;16;18;29;5;7;19;12;20;23;25;6;15;32;22;28;30;17;8;14;1;21;31;4;3
24;11;27;10;26;9;13;2;16;1;29;5;7;19;12;20;23;25;6;15;32;22;28;30;17;8;14;18;21;31;4;3;1;27078
1;27078;24;11;27;10;26;9;13;2;16;1;29;5;7;19;12;20;23;25;6;15;32;22;28;30;17;8;14;18;21;31;4;3
24;11;27;10;26;28;13;2;16;1;29;5;7;19;12;20;23;25;6;15;32;22;9;30;17;8;14;18;21;31;4;3;1;26266
1;26266;24;11;27;10;26;28;13;2;16;1;29;5;7;19;12;20;23;25;6;15;32;22;9;30;17;8;14;18;21;31;4;3
7;11;27;10;26;28;13;2;16;1;29;5;24;19;12;20;23;25;6;15;32;22;9;30;17;8;14;18;21;31;4;3;1;26070
2;26070;7;11;27;10;26;28;13;2;16;1;29;5;24;19;12;20;23;25;6;15;32;22;9;30;17;8;14;18;21;31;4;3
7;11;27;10;29;28;13;2;16;1;26;5;24;19;12;20;23;25;6;15;32;22;9;30;17;8;14;18;21;31;4;3;2;26110
2;26110;7;11;27;10;29;28;13;2;16;1;26;5;24;19;12;20;23;25;6;15;32;22;9;30;17;8;14;18;21;31;4;3
7;15;27;10;29;28;13;2;16;1;26;5;24;19;12;20;23;25;6;11;32;22;9;30;17;8;14;18;21;31;4;3;2;26330
2;26330;7;15;27;10;29;28;13;2;16;1;26;5;24;19;12;20;23;25;6;11;32;22;9;30;17;8;14;18;21;31;4;3
14;15;27;10;29;28;13;2;16;1;26;5;24;19;12;20;23;25;6;11;32;22;9;30;17;8;7;18;21;31;4;3;2;26650
2;26650;14;15;27;10;29;28;13;2;16;1;26;5;24;19;12;20;23;25;6;11;32;22;9;30;17;8;7;18;21;31;4;3
14;15;23;10;29;28;13;2;16;1;26;5;24;19;12;20;27;25;6;11;32;22;9;30;17;8;7;18;21;31;4;3;2;26630
2;26630;14;15;23;10;29;28;13;2;16;1;26;5;24;19;12;20;27;25;6;11;32;22;9;30;17;8;7;18;21;31;4;3
14;15;23;10;29;28;13;2;16;1;26;8;24;19;12;20;27;25;6;11;32;22;9;30;17;5;7;18;21;31;4;3;2;26470
2;26470;14;15;23;10;29;28;13;2;16;1;26;8;24;19;12;20;27;25;6;11;32;22;9;30;17;5;7;18;21;31;4;3
14;15;23;10;29;28;13;2;6;1;26;8;24;19;12;20;27;25;16;11;32;22;9;30;17;5;7;18;21;31;4;3;2;26550
2;26550;14;15;23;10;29;28;13;2;6;1;26;8;24;19;12;20;27;25;16;11;32;22;9;30;17;5;7;18;21;31;4;3
14;15;23;16;29;28;13;2;6;1;26;8;24;19;12;20;27;25;10;11;32;22;9;30;17;5;7;18;21;31;4;3;2;26970
2;26970;14;15;23;16;29;28;13;2;6;1;26;8;24;19;12;20;27;25;10;11;32;22;9;30;17;5;7;18;21;31;4;3
14;15;23;16;29;28;13;2;6;1;26;8;24;19;12;20;27;25;10;11;32;18;9;30;17;5;7;22;21;31;4;3;2;27350
2;27350;14;15;23;16;29;28;13;2;6;1;26;8;24;19;12;20;27;25;10;11;32;18;9;30;17;5;7;22;21;31;4;3
14;15;23;16;29;28;13;2;6;1;26;8;24;19;12;20;27;25;10;11;32;18;9;7;17;5;30;22;21;31;4;3;2;27322
2;27322;14;15;23;16;29;28;13;2;6;1;26;8;24;19;12;20;27;25;10;11;32;18;9;7;17;5;30;22;21;31;4;3
14;5;23;16;29;28;13;2;6;1;26;8;24;19;12;20;27;25;10;11;32;18;9;7;17;15;30;22;21;31;4;3;2;27282
2;27282;14;5;23;16;29;28;13;2;6;1;26;8;24;19;12;20;27;25;10;11;32;18;9;7;17;15;30;22;21;31;4;3
14;5;23;16;29;18;13;2;6;1;26;8;24;19;12;20;27;25;10;11;32;28;9;7;17;15;30;22;21;31;4;3;2;27762
2;27762;14;5;23;16;29;18;13;2;6;1;26;8;24;19;12;20;27;25;10;11;32;28;9;7;17;15;30;22;21;31;4;3
14;5;23;16;29;18;13;2;6;1;26;8;24;15;12;20;27;25;10;11;32;28;9;7;17;19;30;22;21;31;4;3;2;27806
2;27806;14;5;23;16;29;18;13;2;6;1;26;8;24;15;12;20;27;25;10;11;32;28;9;7;17;19;30;22;21;31;4;3
14;5;23;16;29;18;13;2;6;1;26;8;24;15;3;20;27;25;10;11;32;28;9;7;17;19;30;22;21;31;4;12;2;27786
2;27786;14;5;23;16;29;18;13;2;6;1;26;8;24;15;3;20;27;25;10;11;32;28;9;7;17;19;30;22;21;31;4;12
14;5;23;16;29;18;13;2;6;1;26;8;24;15;3;20;27;25;10;21;32;28;9;7;17;19;30;22;11;31;4;12;2;27400
2;27400;14;5;23;16;29;18;13;2;6;1;26;8;24;15;3;20;27;25;10;21;32;28;9;7;17;19;30;22;11;31;4;12
14;5;23;16;29;18;13;2;6;1;26;8;24;15;3;20;27;25;10;21;32;31;9;7;17;19;30;22;11;28;4;12;2;27320
2;27320;14;5;23;16;29;18;13;2;6;1;26;8;24;15;3;20;27;25;10;21;32;31;9;7;17;19;30;22;11;28;4;12
14;5;23;16;29;18;13;2;6;1;26;8;24;15;3;20;27;25;10;21;32;31;9;19;17;7;30;22;11;28;4;12;2;27724
2;27724;14;5;23;16;29;18;13;2;6;1;26;8;24;15;3;20;27;25;10;21;32;31;9;19;17;7;30;22;11;28;4;12
14;5;23;16;29;18;13;2;6;1;26;8;24;15;3;20;27;25;17;21;32;31;9;19;10;7;30;22;11;28;4;12;2;27856
2;27856;14;5;23;16;29;18;13;2;6;1;26;8;24;15;3;20;27;25;17;21;32;31;9;19;10;7;30;22;11;28;4;12
14;5;23;16;29;18;13;22;6;1;26;8;24;15;3;20;27;25;17;21;32;31;9;19;10;7;30;2;11;28;4;12;2;27272
2;27272;14;5;23;16;29;18;13;22;6;1;26;8;24;15;3;20;27;25;17;21;32;31;9;19;10;7;30;2;11;28;4;12
14;5;23;16;29;18;13;22;6;1;26;8;24;15;21;20;27;25;17;3;32;31;9;19;10;7;30;2;11;28;4;12;2;27686
2;27686;14;5;23;16;29;18;13;22;6;1;26;8;24;15;21;20;27;25;17;3;32;31;9;19;10;7;30;2;11;28;4;12
14;5;23;16;20;18;13;22;6;1;26;8;24;15;21;29;27;25;17;3;32;31;9;19;10;7;30;2;11;28;4;12;2;27726
3;27726;14;5;23;16;20;18;13;22;6;1;26;8;24;15;21;29;27;25;17;3;32;31;9;19;10;7;30;2;11;28;4;12
14;5;27;16;20;18;13;22;6;1;26;8;24;15;21;29;23;25;17;3;32;31;9;19;10;7;30;2;11;28;4;12;3;27746
3;27746;14;5;27;16;20;18;13;22;6;1;26;8;24;15;21;29;23;25;17;3;32;31;9;19;10;7;30;2;11;28;4;12
14;5;27;16;20;17;13;22;6;1;26;8;24;15;21;29;23;25;18;3;32;31;9;19;10;7;30;2;11;28;4;12;3;28046
3;28046;14;5;27;16;20;17;13;22;6;1;26;8;24;15;21;29;23;25;18;3;32;31;9;19;10;7;30;2;11;28;4;12
14;5;27;25;20;17;13;22;6;1;26;8;24;15;21;29;23;16;18;3;32;31;9;19;10;7;30;2;11;28;4;12;3;26746
