"X1";"X26580";"X11";"X14";"X32";"X28";"X30";"X3";"X25";"X15";"X27";"X19";"X1.1";"X20";"X26";"X4";"X24";"X12";"X23";"X18";"X13";"X8";"X17";"X6";"X29";"X5";"X2";"X7";"X22";"X21";"X16";"X9";"X31";"X10"
1;26580;11;14;32;28;30;3;25;15;27;19;1;20;26;4;24;12;23;18;13;8;17;6;29;5;2;7;22;21;16;9;31;10
11;14;32;28;30;2;25;15;27;19;1;20;26;4;24;12;23;18;13;8;17;6;29;5;3;7;22;21;16;9;31;10;1;26800
1;26800;11;14;32;28;30;2;25;15;27;19;1;20;26;4;24;12;23;18;13;8;17;6;29;5;3;7;22;21;16;9;31;10
11;14;32;28;30;2;21;15;27;19;1;20;26;4;24;12;23;18;13;8;17;6;29;5;3;7;22;25;16;9;31;10;1;27020
1;27020;11;14;32;28;30;2;21;15;27;19;1;20;26;4;24;12;23;18;13;8;17;6;29;5;3;7;22;25;16;9;31;10
11;14;32;28;30;2;21;15;27;19;9;20;26;4;24;12;23;18;13;8;17;6;29;5;3;7;22;25;16;1;31;10;1;26540
1;26540;11;14;32;28;30;2;21;15;27;19;9;20;26;4;24;12;23;18;13;8;17;6;29;5;3;7;22;25;16;1;31;10
11;14;32;28;30;2;21;15;27;19;9;1;26;4;24;12;23;18;13;8;17;6;29;5;3;7;22;25;16;20;31;10;1;26432
1;26432;11;14;32;28;30;2;21;15;27;19;9;1;26;4;24;12;23;18;13;8;17;6;29;5;3;7;22;25;16;20;31;10
11;14;32;28;30;2;21;15;27;19;9;26;1;4;24;12;23;18;13;8;17;6;29;5;3;7;22;25;16;20;31;10;1;26520
1;26520;11;14;32;28;30;2;21;15;27;19;9;26;1;4;24;12;23;18;13;8;17;6;29;5;3;7;22;25;16;20;31;10
11;14;32;28;30;2;21;15;18;19;9;26;1;4;24;12;23;27;13;8;17;6;29;5;3;7;22;25;16;20;31;10;1;26560
1;26560;11;14;32;28;30;2;21;15;18;19;9;26;1;4;24;12;23;27;13;8;17;6;29;5;3;7;22;25;16;20;31;10
11;28;32;14;30;2;21;15;18;19;9;26;1;4;24;12;23;27;13;8;17;6;29;5;3;7;22;25;16;20;31;10;1;26852
1;26852;11;28;32;14;30;2;21;15;18;19;9;26;1;4;24;12;23;27;13;8;17;6;29;5;3;7;22;25;16;20;31;10
11;28;32;14;30;2;21;15;18;19;9;26;1;4;24;12;23;27;13;8;6;17;29;5;3;7;22;25;16;20;31;10;1;26856
1;26856;11;28;32;14;30;2;21;15;18;19;9;26;1;4;24;12;23;27;13;8;6;17;29;5;3;7;22;25;16;20;31;10
11;28;32;14;30;2;21;15;18;19;9;26;1;4;24;20;23;27;13;8;6;17;29;5;3;7;22;25;16;12;31;10;1;27180
1;27180;11;28;32;14;30;2;21;15;18;19;9;26;1;4;24;20;23;27;13;8;6;17;29;5;3;7;22;25;16;12;31;10
11;28;32;14;30;2;25;15;18;19;9;26;1;4;24;20;23;27;13;8;6;17;29;5;3;7;22;21;16;12;31;10;1;27080
1;27080;11;28;32;14;30;2;25;15;18;19;9;26;1;4;24;20;23;27;13;8;6;17;29;5;3;7;22;21;16;12;31;10
11;28;32;14;30;2;25;15;18;19;9;26;1;4;24;20;23;27;13;8;31;17;29;5;3;7;22;21;16;12;6;10;1;26946
1;26946;11;28;32;14;30;2;25;15;18;19;9;26;1;4;24;20;23;27;13;8;31;17;29;5;3;7;22;21;16;12;6;10
11;28;32;23;30;2;25;15;18;19;9;26;1;4;24;20;14;27;13;8;31;17;29;5;3;7;22;21;16;12;6;10;1;26628
1;26628;11;28;32;23;30;2;25;15;18;19;9;26;1;4;24;20;14;27;13;8;31;17;29;5;3;7;22;21;16;12;6;10
11;28;32;23;30;2;25;15;18;19;9;26;1;17;24;20;14;27;13;8;31;4;29;5;3;7;22;21;16;12;6;10;1;27006
1;27006;11;28;32;23;30;2;25;15;18;19;9;26;1;17;24;20;14;27;13;8;31;4;29;5;3;7;22;21;16;12;6;10
11;28;32;23;30;2;25;15;18;19;9;26;1;17;24;20;31;27;13;8;14;4;29;5;3;7;22;21;16;12;6;10;1;26544
1;26544;11;28;32;23;30;2;25;15;18;19;9;26;1;17;24;20;31;27;13;8;14;4;29;5;3;7;22;21;16;12;6;10
11;28;13;23;30;2;25;15;18;19;9;26;1;17;24;20;31;27;32;8;14;4;29;5;3;7;22;21;16;12;6;10;1;27022
1;27022;11;28;13;23;30;2;25;15;18;19;9;26;1;17;24;20;31;27;32;8;14;4;29;5;3;7;22;21;16;12;6;10
11;28;13;23;30;2;25;15;18;24;9;26;1;17;19;20;31;27;32;8;14;4;29;5;3;7;22;21;16;12;6;10;1;27022
1;27022;11;28;13;23;30;2;25;15;18;24;9;26;1;17;19;20;31;27;32;8;14;4;29;5;3;7;22;21;16;12;6;10
11;28;13;23;30;2;25;15;18;24;14;26;1;17;19;20;31;27;32;8;9;4;29;5;3;7;22;21;16;12;6;10;1;27142
1;27142;11;28;13;23;30;2;25;15;18;24;14;26;1;17;19;20;31;27;32;8;9;4;29;5;3;7;22;21;16;12;6;10
11;28;13;23;30;2;16;15;18;24;14;26;1;17;19;20;31;27;32;8;9;4;29;5;3;7;22;21;25;12;6;10;1;26886
1;26886;11;28;13;23;30;2;16;15;18;24;14;26;1;17;19;20;31;27;32;8;9;4;29;5;3;7;22;21;25;12;6;10
11;9;13;23;30;2;16;15;18;24;14;26;1;17;19;20;31;27;32;8;28;4;29;5;3;7;22;21;25;12;6;10;1;27394
1;26886;11;28;13;23;30;2;16;15;18;24;14;26;1;17;19;20;31;27;32;8;9;4;29;5;3;7;22;21;25;12;6;10
11;31;13;23;30;2;16;15;18;24;14;26;1;17;19;20;28;27;32;8;9;4;29;5;3;7;22;21;25;12;6;10;1;27046
2;27046;11;31;13;23;30;2;16;15;18;24;14;26;1;17;19;20;28;27;32;8;9;4;29;5;3;7;22;21;25;12;6;10
11;31;13;23;30;2;16;15;18;24;14;26;1;17;19;20;27;28;32;8;9;4;29;5;3;7;22;21;25;12;6;10;2;26746
2;26746;11;31;13;23;30;2;16;15;18;24;14;26;1;17;19;20;27;28;32;8;9;4;29;5;3;7;22;21;25;12;6;10
11;31;13;23;30;2;16;15;18;24;14;26;1;17;19;20;27;28;32;8;9;4;29;5;3;7;22;10;25;12;6;21;2;26998
2;26998;11;31;13;23;30;2;16;15;18;24;14;26;1;17;19;20;27;28;32;8;9;4;29;5;3;7;22;10;25;12;6;21
11;31;13;23;30;2;16;15;18;24;14;26;1;17;19;20;27;28;6;8;9;4;29;5;3;7;22;10;25;12;32;21;2;27010
2;27010;11;31;13;23;30;2;16;15;18;24;14;26;1;17;19;20;27;28;6;8;9;4;29;5;3;7;22;10;25;12;32;21
11;31;13;23;30;2;17;15;18;24;14;26;1;16;19;20;27;28;6;8;9;4;29;5;3;7;22;10;25;12;32;21;2;27272
2;27272;11;31;13;23;30;2;17;15;18;24;14;26;1;16;19;20;27;28;6;8;9;4;29;5;3;7;22;10;25;12;32;21
11;31;13;23;30;2;17;15;8;24;14;26;1;16;19;20;27;28;6;18;9;4;29;5;3;7;22;10;25;12;32;21;2;27258
2;27258;11;31;13;23;30;2;17;15;8;24;14;26;1;16;19;20;27;28;6;18;9;4;29;5;3;7;22;10;25;12;32;21
11;31;13;23;30;12;17;15;8;24;14;26;1;16;19;20;27;28;6;18;9;4;29;5;3;7;22;10;25;2;32;21;2;27258
2;27258;11;31;13;23;30;12;17;15;8;24;14;26;1;16;19;20;27;28;6;18;9;4;29;5;3;7;22;10;25;2;32;21
11;31;13;23;30;32;17;15;8;24;14;26;1;16;19;20;27;28;6;18;9;4;29;5;3;7;22;10;25;2;12;21;2;27288
2;27288;11;31;13;23;30;32;17;15;8;24;14;26;1;16;19;20;27;28;6;18;9;4;29;5;3;7;22;10;25;2;12;21
11;31;13;23;30;32;17;15;8;24;14;26;1;16;19;20;27;28;6;18;9;3;29;5;4;7;22;10;25;2;12;21;2;27068
2;27068;11;31;13;23;30;32;17;15;8;24;14;26;1;16;19;20;27;28;6;18;9;3;29;5;4;7;22;10;25;2;12;21
11;31;13;23;30;32;4;15;8;24;14;26;1;16;19;20;27;28;6;18;9;3;29;5;17;7;22;10;25;2;12;21;2;27014
2;27014;11;31;13;23;30;32;4;15;8;24;14;26;1;16;19;20;27;28;6;18;9;3;29;5;17;7;22;10;25;2;12;21
11;31;13;23;30;22;4;15;8;24;14;26;1;16;19;20;27;28;6;18;9;3;29;5;17;7;32;10;25;2;12;21;2;26214
2;26214;11;31;13;23;30;22;4;15;8;24;14;26;1;16;19;20;27;28;6;18;9;3;29;5;17;7;32;10;25;2;12;21
11;31;13;23;30;22;4;15;8;24;14;26;2;16;19;20;27;28;6;18;9;3;29;5;17;7;32;10;25;1;12;21;2;25694
2;25694;11;31;13;23;30;22;4;15;8;24;14;26;2;16;19;20;27;28;6;18;9;3;29;5;17;7;32;10;25;1;12;21
11;31;13;23;30;22;1;15;8;24;14;26;2;16;19;20;27;28;6;18;9;3;29;5;17;7;32;10;25;4;12;21;2;25954
2;25954;11;31;13;23;30;22;1;15;8;24;14;26;2;16;19;20;27;28;6;18;9;3;29;5;17;7;32;10;25;4;12;21
11;31;13;23;30;22;1;15;8;24;14;26;2;16;19;20;27;28;6;18;9;3;29;5;17;7;32;12;25;4;10;21;2;25954
2;25954;11;31;13;23;30;22;1;15;8;24;14;26;2;16;19;20;27;28;6;18;9;3;29;5;17;7;32;12;25;4;10;21
11;31;13;23;30;22;1;15;29;24;14;26;2;16;19;20;27;28;6;18;9;3;8;5;17;7;32;12;25;4;10;21;2;27094
2;25954;11;31;13;23;30;22;1;15;8;24;14;26;2;16;19;20;27;28;6;18;9;3;29;5;17;7;32;12;25;4;10;21
11;31;13;23;30;22;1;15;8;24;14;26;2;16;19;21;27;28;6;18;9;3;29;5;17;7;32;12;25;4;10;20;2;25474
2;25474;11;31;13;23;30;22;1;15;8;24;14;26;2;16;19;21;27;28;6;18;9;3;29;5;17;7;32;12;25;4;10;20
11;31;13;23;30;22;1;15;8;24;14;26;2;16;19;21;27;28;6;18;9;3;29;5;17;7;32;25;12;4;10;20;2;26264
2;26264;11;31;13;23;30;22;1;15;8;24;14;26;2;16;19;21;27;28;6;18;9;3;29;5;17;7;32;25;12;4;10;20
