"X1";"X27040";"X10";"X11";"X15";"X1.1";"X19";"X13";"X22";"X6";"X23";"X14";"X7";"X25";"X9";"X20";"X8";"X24";"X31";"X29";"X27";"X18";"X4";"X17";"X28";"X2";"X30";"X26";"X32";"X5";"X3";"X12";"X21";"X16"
1;27040;10;11;15;1;19;13;22;6;23;14;7;25;9;20;8;24;31;29;27;18;4;17;28;2;30;26;32;5;3;12;21;16
10;11;15;3;19;13;22;6;23;14;7;25;9;20;8;24;31;29;27;18;4;17;28;2;30;26;32;5;1;12;21;16;1;26840
1;26840;10;11;15;3;19;13;22;6;23;14;7;25;9;20;8;24;31;29;27;18;4;17;28;2;30;26;32;5;1;12;21;16
10;11;15;3;19;13;22;6;23;14;7;25;9;20;8;30;31;29;27;18;4;17;28;2;24;26;32;5;1;12;21;16;1;26640
1;26640;10;11;15;3;19;13;22;6;23;14;7;25;9;20;8;30;31;29;27;18;4;17;28;2;24;26;32;5;1;12;21;16
10;11;32;3;19;13;22;6;23;14;7;25;9;20;8;30;31;29;27;18;4;17;28;2;24;26;15;5;1;12;21;16;1;27106
1;27106;10;11;32;3;19;13;22;6;23;14;7;25;9;20;8;30;31;29;27;18;4;17;28;2;24;26;15;5;1;12;21;16
10;11;5;3;19;13;22;6;23;14;7;25;9;20;8;30;31;29;27;18;4;17;28;2;24;26;15;32;1;12;21;16;1;27444
1;27444;10;11;5;3;19;13;22;6;23;14;7;25;9;20;8;30;31;29;27;18;4;17;28;2;24;26;15;32;1;12;21;16
10;11;5;3;19;13;22;6;23;14;7;25;9;20;8;30;31;29;27;28;4;17;18;2;24;26;15;32;1;12;21;16;1;27604
1;27604;10;11;5;3;19;13;22;6;23;14;7;25;9;20;8;30;31;29;27;28;4;17;18;2;24;26;15;32;1;12;21;16
10;11;5;3;19;13;22;6;23;14;7;25;9;20;8;30;31;29;27;28;4;17;18;2;24;1;15;32;26;12;21;16;1;28142
1;28142;10;11;5;3;19;13;22;6;23;14;7;25;9;20;8;30;31;29;27;28;4;17;18;2;24;1;15;32;26;12;21;16
10;11;5;19;3;13;22;6;23;14;7;25;9;20;8;30;31;29;27;28;4;17;18;2;24;1;15;32;26;12;21;16;1;28142
1;28142;10;11;5;19;3;13;22;6;23;14;7;25;9;20;8;30;31;29;27;28;4;17;18;2;24;1;15;32;26;12;21;16
10;11;5;19;12;13;22;6;23;14;7;25;9;20;8;30;31;29;27;28;4;17;18;2;24;1;15;32;26;3;21;16;1;28202
1;28202;10;11;5;19;12;13;22;6;23;14;7;25;9;20;8;30;31;29;27;28;4;17;18;2;24;1;15;32;26;3;21;16
10;11;5;1;12;13;22;6;23;14;7;25;9;20;8;30;31;29;27;28;4;17;18;2;24;19;15;32;26;3;21;16;1;28232
1;28232;10;11;5;1;12;13;22;6;23;14;7;25;9;20;8;30;31;29;27;28;4;17;18;2;24;19;15;32;26;3;21;16
10;11;5;1;12;13;22;29;23;14;7;25;9;20;8;30;31;6;27;28;4;17;18;2;24;19;15;32;26;3;21;16;1;28270
1;28270;10;11;5;1;12;13;22;29;23;14;7;25;9;20;8;30;31;6;27;28;4;17;18;2;24;19;15;32;26;3;21;16
10;11;5;1;12;13;3;29;23;14;7;25;9;20;8;30;31;6;27;28;4;17;18;2;24;19;15;32;26;22;21;16;1;28272
1;28272;10;11;5;1;12;13;3;29;23;14;7;25;9;20;8;30;31;6;27;28;4;17;18;2;24;19;15;32;26;22;21;16
25;11;5;1;12;13;3;29;23;14;7;10;9;20;8;30;31;6;27;28;4;17;18;2;24;19;15;32;26;22;21;16;1;28356
1;28356;25;11;5;1;12;13;3;29;23;14;7;10;9;20;8;30;31;6;27;28;4;17;18;2;24;19;15;32;26;22;21;16
25;11;5;17;12;13;3;29;23;14;7;10;9;20;8;30;31;6;27;28;4;1;18;2;24;19;15;32;26;22;21;16;1;28080
1;28080;25;11;5;17;12;13;3;29;23;14;7;10;9;20;8;30;31;6;27;28;4;1;18;2;24;19;15;32;26;22;21;16
21;11;5;17;12;13;3;29;23;14;7;10;9;20;8;30;31;6;27;28;4;1;18;2;24;19;15;32;26;22;25;16;1;28040
1;28040;21;11;5;17;12;13;3;29;23;14;7;10;9;20;8;30;31;6;27;28;4;1;18;2;24;19;15;32;26;22;25;16
21;11;5;17;12;13;3;29;23;14;10;7;9;20;8;30;31;6;27;28;4;1;18;2;24;19;15;32;26;22;25;16;1;28200
1;28200;21;11;5;17;12;13;3;29;23;14;10;7;9;20;8;30;31;6;27;28;4;1;18;2;24;19;15;32;26;22;25;16
21;11;5;17;12;13;3;29;23;14;10;7;9;20;8;30;31;6;27;28;4;1;18;22;24;19;15;32;26;2;25;16;1;27920
1;27920;21;11;5;17;12;13;3;29;23;14;10;7;9;20;8;30;31;6;27;28;4;1;18;22;24;19;15;32;26;2;25;16
21;11;5;17;12;13;3;29;23;14;10;7;9;20;8;30;16;6;27;28;4;1;18;22;24;19;15;32;26;2;25;31;1;28232
1;28232;21;11;5;17;12;13;3;29;23;14;10;7;9;20;8;30;16;6;27;28;4;1;18;22;24;19;15;32;26;2;25;31
21;11;5;17;12;13;3;29;23;14;10;7;9;20;8;30;24;6;27;28;4;1;18;22;16;19;15;32;26;2;25;31;1;28704
1;28704;21;11;5;17;12;13;3;29;23;14;10;7;9;20;8;30;24;6;27;28;4;1;18;22;16;19;15;32;26;2;25;31
21;11;5;17;12;13;3;29;6;14;10;7;9;20;8;30;24;23;27;28;4;1;18;22;16;19;15;32;26;2;25;31;1;28148
1;28148;21;11;5;17;12;13;3;29;6;14;10;7;9;20;8;30;24;23;27;28;4;1;18;22;16;19;15;32;26;2;25;31
21;11;5;17;12;13;3;29;6;30;10;7;9;20;8;14;24;23;27;28;4;1;18;22;16;19;15;32;26;2;25;31;1;27734
2;27734;21;11;5;17;12;13;3;29;6;30;10;7;9;20;8;14;24;23;27;28;4;1;18;22;16;19;15;32;26;2;25;31
21;11;5;17;12;13;3;29;6;30;10;7;9;20;8;14;24;23;27;28;4;1;26;22;16;19;15;32;18;2;25;31;2;27734
2;27734;21;11;5;17;12;13;3;29;6;30;10;7;9;20;8;14;24;23;27;28;4;1;26;22;16;19;15;32;18;2;25;31
21;11;5;17;12;13;3;29;6;30;10;7;9;20;8;14;24;23;27;28;22;1;26;4;16;19;15;32;18;2;25;31;2;27520
2;27520;21;11;5;17;12;13;3;29;6;30;10;7;9;20;8;14;24;23;27;28;22;1;26;4;16;19;15;32;18;2;25;31
21;11;5;17;12;13;3;29;6;30;31;7;9;20;8;14;24;23;27;28;22;1;26;4;16;19;15;32;18;2;25;10;2;28632
2;28632;21;11;5;17;12;13;3;29;6;30;31;7;9;20;8;14;24;23;27;28;22;1;26;4;16;19;15;32;18;2;25;10
