"X1";"X27752";"X28";"X23";"X13";"X29";"X16";"X8";"X31";"X21";"X15";"X26";"X4";"X3";"X7";"X22";"X19";"X9";"X1.1";"X10";"X12";"X14";"X5";"X18";"X30";"X32";"X20";"X27";"X6";"X11";"X17";"X2";"X25";"X24"
1;27752;28;23;13;29;16;8;31;21;15;26;4;3;7;22;19;9;1;10;12;14;5;18;30;32;20;27;6;11;17;2;25;24
28;23;13;29;16;8;14;21;15;26;4;3;7;22;19;9;1;10;12;31;5;18;30;32;20;27;6;11;17;2;25;24;1;27410
1;27410;28;23;13;29;16;8;14;21;15;26;4;3;7;22;19;9;1;10;12;31;5;18;30;32;20;27;6;11;17;2;25;24
28;23;13;29;16;15;14;21;8;26;4;3;7;22;19;9;1;10;12;31;5;18;30;32;20;27;6;11;17;2;25;24;1;27330
1;27330;28;23;13;29;16;15;14;21;8;26;4;3;7;22;19;9;1;10;12;31;5;18;30;32;20;27;6;11;17;2;25;24
28;23;13;29;16;15;14;21;8;26;4;3;7;22;19;9;1;10;12;31;5;25;30;32;20;27;6;11;17;2;18;24;1;27270
1;27270;28;23;13;29;16;15;14;21;8;26;4;3;7;22;19;9;1;10;12;31;5;25;30;32;20;27;6;11;17;2;18;24
28;23;13;29;16;15;18;21;8;26;4;3;7;22;19;9;1;10;12;31;5;25;30;32;20;27;6;11;17;2;14;24;1;27428
1;27428;28;23;13;29;16;15;18;21;8;26;4;3;7;22;19;9;1;10;12;31;5;25;30;32;20;27;6;11;17;2;14;24
28;23;13;29;16;15;18;21;8;26;4;3;7;22;19;9;1;10;25;31;5;12;30;32;20;27;6;11;17;2;14;24;1;27058
1;27058;28;23;13;29;16;15;18;21;8;26;4;3;7;22;19;9;1;10;25;31;5;12;30;32;20;27;6;11;17;2;14;24
28;23;13;29;26;15;18;21;8;16;4;3;7;22;19;9;1;10;25;31;5;12;30;32;20;27;6;11;17;2;14;24;1;26302
1;26302;28;23;13;29;26;15;18;21;8;16;4;3;7;22;19;9;1;10;25;31;5;12;30;32;20;27;6;11;17;2;14;24
28;23;13;29;12;15;18;21;8;16;4;3;7;22;19;9;1;10;25;31;5;26;30;32;20;27;6;11;17;2;14;24;1;27002
1;27002;28;23;13;29;12;15;18;21;8;16;4;3;7;22;19;9;1;10;25;31;5;26;30;32;20;27;6;11;17;2;14;24
10;23;13;29;12;15;18;21;8;16;4;3;7;22;19;9;1;28;25;31;5;26;30;32;20;27;6;11;17;2;14;24;1;26760
