"X1";"X28028";"X13";"X30";"X14";"X3";"X20";"X29";"X7";"X17";"X27";"X23";"X28";"X26";"X11";"X5";"X9";"X21";"X4";"X22";"X1.1";"X16";"X15";"X32";"X12";"X24";"X19";"X6";"X18";"X8";"X25";"X31";"X10";"X2"
1;28028;13;30;14;3;20;29;7;17;27;23;28;26;11;5;9;21;4;22;1;16;15;32;12;24;19;6;18;8;25;31;10;2
13;30;14;3;28;29;7;17;27;23;20;26;11;5;9;21;4;22;1;16;15;32;12;24;19;6;18;8;25;31;10;2;1;28148
1;28148;13;30;14;3;28;29;7;17;27;23;20;26;11;5;9;21;4;22;1;16;15;32;12;24;19;6;18;8;25;31;10;2
13;30;14;3;28;29;7;17;27;23;20;26;11;5;9;21;4;22;1;16;15;32;6;24;19;12;18;8;25;31;10;2;1;28728
1;28728;13;30;14;3;28;29;7;17;27;23;20;26;11;5;9;21;4;22;1;16;15;32;6;24;19;12;18;8;25;31;10;2
13;30;14;3;28;29;7;17;27;23;20;26;11;5;9;21;4;22;1;16;15;32;12;24;19;6;18;8;25;31;10;2;1;28148
1;28148;13;30;14;3;28;29;7;17;27;23;20;26;11;5;9;21;4;22;1;16;15;32;12;24;19;6;18;8;25;31;10;2
13;23;14;3;28;29;7;17;27;30;20;26;11;5;9;21;4;22;1;16;15;32;12;24;19;6;18;8;25;31;10;2;1;28188
1;28188;13;23;14;3;28;29;7;17;27;30;20;26;11;5;9;21;4;22;1;16;15;32;12;24;19;6;18;8;25;31;10;2
13;23;14;3;28;29;7;30;27;17;20;26;11;5;9;21;4;22;1;16;15;32;12;24;19;6;18;8;25;31;10;2;1;27948
1;27948;13;23;14;3;28;29;7;30;27;17;20;26;11;5;9;21;4;22;1;16;15;32;12;24;19;6;18;8;25;31;10;2
13;23;14;3;28;29;7;30;27;17;20;26;11;5;9;21;10;22;1;16;15;32;12;24;19;6;18;8;25;31;4;2;1;26668
1;26668;13;23;14;3;28;29;7;30;27;17;20;26;11;5;9;21;10;22;1;16;15;32;12;24;19;6;18;8;25;31;4;2
13;23;14;19;28;29;7;30;27;17;20;26;11;5;9;21;10;22;1;16;15;32;12;24;3;6;18;8;25;31;4;2;1;26898
1;26898;13;23;14;19;28;29;7;30;27;17;20;26;11;5;9;21;10;22;1;16;15;32;12;24;3;6;18;8;25;31;4;2
13;23;14;19;28;29;7;30;27;17;12;26;11;5;9;21;10;22;1;16;15;32;20;24;3;6;18;8;25;31;4;2;1;26164
1;26164;13;23;14;19;28;29;7;30;27;17;12;26;11;5;9;21;10;22;1;16;15;32;20;24;3;6;18;8;25;31;4;2
13;23;14;19;28;29;7;30;27;17;12;26;11;5;24;21;10;22;1;16;15;32;20;9;3;6;18;8;25;31;4;2;1;25558
1;25558;13;23;14;19;28;29;7;30;27;17;12;26;11;5;24;21;10;22;1;16;15;32;20;9;3;6;18;8;25;31;4;2
13;23;14;19;28;29;7;30;27;17;12;26;11;5;24;21;10;22;1;18;15;32;20;9;3;6;16;8;25;31;4;2;1;25866
1;25866;13;23;14;19;28;29;7;30;27;17;12;26;11;5;24;21;10;22;1;18;15;32;20;9;3;6;16;8;25;31;4;2
13;23;14;19;28;29;7;30;27;17;12;26;11;5;24;21;10;22;18;1;15;32;20;9;3;6;16;8;25;31;4;2;1;26330
1;26330;13;23;14;19;28;29;7;30;27;17;12;26;11;5;24;21;10;22;18;1;15;32;20;9;3;6;16;8;25;31;4;2
13;23;14;19;28;29;7;30;27;2;12;26;11;5;24;21;10;22;18;1;15;32;20;9;3;6;16;8;25;31;4;17;1;25920
1;25920;13;23;14;19;28;29;7;30;27;2;12;26;11;5;24;21;10;22;18;1;15;32;20;9;3;6;16;8;25;31;4;17
13;23;14;19;28;29;7;30;27;2;12;26;11;5;24;21;10;22;18;1;15;32;3;9;20;6;16;8;25;31;4;17;1;26234
1;26234;13;23;14;19;28;29;7;30;27;2;12;26;11;5;24;21;10;22;18;1;15;32;3;9;20;6;16;8;25;31;4;17
13;14;23;19;28;29;7;30;27;2;12;26;11;5;24;21;10;22;18;1;15;32;3;9;20;6;16;8;25;31;4;17;1;26302
1;26302;13;14;23;19;28;29;7;30;27;2;12;26;11;5;24;21;10;22;18;1;15;32;3;9;20;6;16;8;25;31;4;17
13;14;10;19;28;29;7;30;27;2;12;26;11;5;24;21;23;22;18;1;15;32;3;9;20;6;16;8;25;31;4;17;1;26152
1;26152;13;14;10;19;28;29;7;30;27;2;12;26;11;5;24;21;23;22;18;1;15;32;3;9;20;6;16;8;25;31;4;17
13;14;10;19;28;29;7;30;27;2;12;26;11;5;24;21;23;22;18;1;15;32;3;9;20;6;16;17;25;31;4;8;1;26588
1;26152;13;14;10;19;28;29;7;30;27;2;12;26;11;5;24;21;23;22;18;1;15;32;3;9;20;6;16;8;25;31;4;17
13;14;1;19;28;29;7;30;27;2;12;26;11;5;24;21;23;22;18;10;15;32;3;9;20;6;16;8;25;31;4;17;1;26092
