"X1";"X27744";"X30";"X8";"X29";"X18";"X10";"X17";"X16";"X1.1";"X12";"X20";"X28";"X13";"X3";"X7";"X32";"X31";"X2";"X4";"X5";"X11";"X14";"X23";"X21";"X22";"X9";"X25";"X6";"X26";"X24";"X27";"X19";"X15"
1;27744;30;8;29;18;10;17;16;1;12;20;28;13;3;7;32;31;2;4;5;11;14;23;21;22;9;25;6;26;24;27;19;15
30;8;29;18;10;17;16;1;12;26;28;13;3;7;32;31;2;4;5;11;14;23;21;22;9;25;6;20;24;27;19;15;1;27544
1;27544;30;8;29;18;10;17;16;1;12;26;28;13;3;7;32;31;2;4;5;11;14;23;21;22;9;25;6;20;24;27;19;15
30;8;29;18;10;17;16;1;12;5;28;13;3;7;32;31;2;4;26;11;14;23;21;22;9;25;6;20;24;27;19;15;1;27670
1;27670;30;8;29;18;10;17;16;1;12;5;28;13;3;7;32;31;2;4;26;11;14;23;21;22;9;25;6;20;24;27;19;15
30;8;29;10;18;17;16;1;12;5;28;13;3;7;32;31;2;4;26;11;14;23;21;22;9;25;6;20;24;27;19;15;1;27734
1;27734;30;8;29;10;18;17;16;1;12;5;28;13;3;7;32;31;2;4;26;11;14;23;21;22;9;25;6;20;24;27;19;15
30;8;29;10;18;17;16;1;12;11;28;13;3;7;32;31;2;4;26;5;14;23;21;22;9;25;6;20;24;27;19;15;1;27674
1;27674;30;8;29;10;18;17;16;1;12;11;28;13;3;7;32;31;2;4;26;5;14;23;21;22;9;25;6;20;24;27;19;15
30;8;29;10;18;17;16;1;12;25;28;13;3;7;32;31;2;4;26;5;14;23;21;22;9;11;6;20;24;27;19;15;1;27560
1;27560;30;8;29;10;18;17;16;1;12;25;28;13;3;7;32;31;2;4;26;5;14;23;21;22;9;11;6;20;24;27;19;15
30;8;29;10;18;17;16;1;12;25;28;13;3;7;32;31;2;4;27;5;14;23;21;22;9;11;6;20;24;26;19;15;1;27600
1;27600;30;8;29;10;18;17;16;1;12;25;28;13;3;7;32;31;2;4;27;5;14;23;21;22;9;11;6;20;24;26;19;15
30;8;29;10;18;17;16;1;12;25;28;13;3;7;32;31;2;4;27;5;14;23;21;22;26;11;6;20;24;9;19;15;1;27520
1;27520;30;8;29;10;18;17;16;1;12;25;28;13;3;7;32;31;2;4;27;5;14;23;21;22;26;11;6;20;24;9;19;15
30;8;29;10;18;17;16;1;12;25;28;13;3;7;32;31;2;4;27;5;14;23;21;22;9;11;6;20;24;26;19;15;1;27600
1;27600;30;8;29;10;18;17;16;1;12;25;28;13;3;7;32;31;2;4;27;5;14;23;21;22;9;11;6;20;24;26;19;15
30;8;29;10;18;17;16;1;12;25;28;13;3;5;32;31;2;4;27;7;14;23;21;22;9;11;6;20;24;26;19;15;1;27880
1;27880;30;8;29;10;18;17;16;1;12;25;28;13;3;5;32;31;2;4;27;7;14;23;21;22;9;11;6;20;24;26;19;15
30;8;29;10;18;17;16;1;12;25;28;13;3;5;32;31;2;4;27;7;23;14;21;22;9;11;6;20;24;26;19;15;1;27520
1;27520;30;8;29;10;18;17;16;1;12;25;28;13;3;5;32;31;2;4;27;7;23;14;21;22;9;11;6;20;24;26;19;15
30;8;29;10;18;17;16;1;12;25;28;13;3;5;32;21;2;4;27;7;23;14;31;22;9;11;6;20;24;26;19;15;1;27520
1;27520;30;8;29;10;18;17;16;1;12;25;28;13;3;5;32;21;2;4;27;7;23;14;31;22;9;11;6;20;24;26;19;15
30;8;29;10;25;17;16;1;12;18;28;13;3;5;32;21;2;4;27;7;23;14;31;22;9;11;6;20;24;26;19;15;1;27200
1;27200;30;8;29;10;25;17;16;1;12;18;28;13;3;5;32;21;2;4;27;7;23;14;31;22;9;11;6;20;24;26;19;15
30;8;29;10;25;17;16;1;12;18;28;13;3;5;32;21;2;4;27;7;23;14;31;22;9;15;6;20;24;26;19;11;1;27680
1;27680;30;8;29;10;25;17;16;1;12;18;28;13;3;5;32;21;2;4;27;7;23;14;31;22;9;15;6;20;24;26;19;11
30;8;29;10;25;4;16;1;12;18;28;13;3;5;32;21;2;17;27;7;23;14;31;22;9;15;6;20;24;26;19;11;1;28176
1;28176;30;8;29;10;25;4;16;1;12;18;28;13;3;5;32;21;2;17;27;7;23;14;31;22;9;15;6;20;24;26;19;11
30;8;29;10;25;4;16;1;12;27;28;13;3;5;32;21;2;17;18;7;23;14;31;22;9;15;6;20;24;26;19;11;1;28036
1;28036;30;8;29;10;25;4;16;1;12;27;28;13;3;5;32;21;2;17;18;7;23;14;31;22;9;15;6;20;24;26;19;11
30;8;25;10;29;4;16;1;12;27;28;13;3;5;32;21;2;17;18;7;23;14;31;22;9;15;6;20;24;26;19;11;1;28036
1;28036;30;8;25;10;29;4;16;1;12;27;28;13;3;5;32;21;2;17;18;7;23;14;31;22;9;15;6;20;24;26;19;11
30;8;25;10;16;4;29;1;12;27;28;13;3;5;32;21;2;17;18;7;23;14;31;22;9;15;6;20;24;26;19;11;1;28580
1;28580;30;8;25;10;16;4;29;1;12;27;28;13;3;5;32;21;2;17;18;7;23;14;31;22;9;15;6;20;24;26;19;11
30;8;25;10;16;4;29;1;12;27;28;13;3;5;32;21;2;17;18;7;23;14;31;22;24;15;6;20;9;26;19;11;1;29446
1;29446;30;8;25;10;16;4;29;1;12;27;28;13;3;5;32;21;2;17;18;7;23;14;31;22;24;15;6;20;9;26;19;11
30;8;25;10;16;4;29;1;27;12;28;13;3;5;32;21;2;17;18;7;23;14;31;22;24;15;6;20;9;26;19;11;1;29454
1;29454;30;8;25;10;16;4;29;1;27;12;28;13;3;5;32;21;2;17;18;7;23;14;31;22;24;15;6;20;9;26;19;11
30;8;25;10;16;4;29;1;27;12;28;13;3;5;32;9;2;17;18;7;23;14;31;22;24;15;6;20;21;26;19;11;1;28188
2;28188;30;8;25;10;16;4;29;1;27;12;28;13;3;5;32;9;2;17;18;7;23;14;31;22;24;15;6;20;21;26;19;11
30;8;21;10;16;4;29;1;27;12;28;13;3;5;32;9;2;17;18;7;23;14;31;22;24;15;6;20;25;26;19;11;2;28548
2;28548;30;8;21;10;16;4;29;1;27;12;28;13;3;5;32;9;2;17;18;7;23;14;31;22;24;15;6;20;25;26;19;11
30;8;21;10;16;4;29;1;27;12;28;13;3;5;32;9;2;17;18;7;23;14;31;22;24;25;6;20;15;26;19;11;2;28370
2;28370;30;8;21;10;16;4;29;1;27;12;28;13;3;5;32;9;2;17;18;7;23;14;31;22;24;25;6;20;15;26;19;11
30;8;20;10;16;4;29;1;27;12;28;13;3;5;32;9;2;17;18;7;23;14;31;22;24;25;6;21;15;26;19;11;2;29130
2;29130;30;8;20;10;16;4;29;1;27;12;28;13;3;5;32;9;2;17;18;7;23;14;31;22;24;25;6;21;15;26;19;11
30;8;20;10;16;4;29;1;27;12;28;13;3;5;32;9;2;17;18;7;23;14;31;22;24;25;26;21;15;6;19;11;2;29290
2;29290;30;8;20;10;16;4;29;1;27;12;28;13;3;5;32;9;2;17;18;7;23;14;31;22;24;25;26;21;15;6;19;11
30;8;20;10;16;4;29;31;27;12;28;13;3;5;32;9;2;17;18;7;23;14;1;22;24;25;26;21;15;6;19;11;2;29676
2;29676;30;8;20;10;16;4;29;31;27;12;28;13;3;5;32;9;2;17;18;7;23;14;1;22;24;25;26;21;15;6;19;11
30;8;20;10;16;4;29;31;1;12;28;13;3;5;32;9;2;17;18;7;23;14;27;22;24;25;26;21;15;6;19;11;2;29300
2;29300;30;8;20;10;16;4;29;31;1;12;28;13;3;5;32;9;2;17;18;7;23;14;27;22;24;25;26;21;15;6;19;11
30;8;20;10;16;4;29;31;1;12;28;13;3;5;32;9;2;17;18;7;23;14;21;22;24;25;26;27;15;6;19;11;2;29360
2;29360;30;8;20;10;16;4;29;31;1;12;28;13;3;5;32;9;2;17;18;7;23;14;21;22;24;25;26;27;15;6;19;11
30;8;20;10;16;4;29;31;1;12;28;13;3;5;32;18;2;17;9;7;23;14;21;22;24;25;26;27;15;6;19;11;2;29132
2;29132;30;8;20;10;16;4;29;31;1;12;28;13;3;5;32;18;2;17;9;7;23;14;21;22;24;25;26;27;15;6;19;11
5;8;20;10;16;4;29;31;1;12;28;13;3;30;32;18;2;17;9;7;23;14;21;22;24;25;26;27;15;6;19;11;2;29188
2;29188;5;8;20;10;16;4;29;31;1;12;28;13;3;30;32;18;2;17;9;7;23;14;21;22;24;25;26;27;15;6;19;11
5;8;20;10;16;4;29;31;1;12;28;13;3;30;32;18;2;17;9;7;23;14;21;22;24;25;26;27;15;19;6;11;2;29164
2;29164;5;8;20;10;16;4;29;31;1;12;28;13;3;30;32;18;2;17;9;7;23;14;21;22;24;25;26;27;15;19;6;11
5;8;20;10;16;4;29;31;1;12;28;9;3;30;32;18;2;17;13;7;23;14;21;22;24;25;26;27;15;19;6;11;2;28844
2;28844;5;8;20;10;16;4;29;31;1;12;28;9;3;30;32;18;2;17;13;7;23;14;21;22;24;25;26;27;15;19;6;11
5;8;20;19;16;4;29;31;1;12;28;9;3;30;32;18;2;17;13;7;23;14;21;22;24;25;26;27;15;10;6;11;2;28898
2;28898;5;8;20;19;16;4;29;31;1;12;28;9;3;30;32;18;2;17;13;7;23;14;21;22;24;25;26;27;15;10;6;11
29;8;20;19;16;4;5;31;1;12;28;9;3;30;32;18;2;17;13;7;23;14;21;22;24;25;26;27;15;10;6;11;2;28536
2;28536;29;8;20;19;16;4;5;31;1;12;28;9;3;30;32;18;2;17;13;7;23;14;21;22;24;25;26;27;15;10;6;11
29;8;20;19;16;15;5;31;1;12;28;9;3;30;32;18;2;17;13;7;23;14;21;22;24;25;26;27;4;10;6;11;2;28656
2;28656;29;8;20;19;16;15;5;31;1;12;28;9;3;30;32;18;2;17;13;7;23;14;21;22;24;25;26;27;4;10;6;11
29;8;20;19;16;15;5;31;1;12;28;9;3;30;32;18;2;17;13;27;23;14;21;22;24;25;26;7;4;10;6;11;2;28856
2;28856;29;8;20;19;16;15;5;31;1;12;28;9;3;30;32;18;2;17;13;27;23;14;21;22;24;25;26;7;4;10;6;11
29;8;20;19;16;15;5;31;1;12;28;9;3;30;32;11;2;17;13;27;23;14;21;22;24;25;26;7;4;10;6;18;2;28484
2;28484;29;8;20;19;16;15;5;31;1;12;28;9;3;30;32;11;2;17;13;27;23;14;21;22;24;25;26;7;4;10;6;18
29;8;20;19;16;15;5;31;1;12;28;9;23;30;32;11;2;17;13;27;3;14;21;22;24;25;26;7;4;10;6;18;2;28586
2;28586;29;8;20;19;16;15;5;31;1;12;28;9;23;30;32;11;2;17;13;27;3;14;21;22;24;25;26;7;4;10;6;18
29;8;20;19;16;15;5;31;1;12;28;9;23;30;32;11;2;26;13;27;3;14;21;22;24;25;17;7;4;10;6;18;2;28086
2;28086;29;8;20;19;16;15;5;31;1;12;28;9;23;30;32;11;2;26;13;27;3;14;21;22;24;25;17;7;4;10;6;18
29;8;20;19;16;15;5;31;1;12;28;9;23;30;32;11;2;26;13;27;3;14;21;22;24;4;17;7;25;10;6;18;2;27844
2;27844;29;8;20;19;16;15;5;31;1;12;28;9;23;30;32;11;2;26;13;27;3;14;21;22;24;4;17;7;25;10;6;18
29;8;20;19;16;15;5;31;1;12;28;24;23;30;32;11;2;26;13;27;3;14;21;22;9;4;17;7;25;10;6;18;2;27608
3;27608;29;8;20;19;16;15;5;31;1;12;28;24;23;30;32;11;2;26;13;27;3;14;21;22;9;4;17;7;25;10;6;18
29;8;20;19;16;15;5;31;1;12;28;24;23;30;32;18;2;26;13;27;3;14;21;22;9;4;17;7;25;10;6;11;3;27996
3;27996;29;8;20;19;16;15;5;31;1;12;28;24;23;30;32;18;2;26;13;27;3;14;21;22;9;4;17;7;25;10;6;11
29;8;20;19;16;15;5;31;1;12;28;24;23;13;32;18;2;26;30;27;3;14;21;22;9;4;17;7;25;10;6;11;3;28368
3;28368;29;8;20;19;16;15;5;31;1;12;28;24;23;13;32;18;2;26;30;27;3;14;21;22;9;4;17;7;25;10;6;11
6;8;20;19;16;15;5;31;1;12;28;24;23;13;32;18;2;26;30;27;3;14;21;22;9;4;17;7;25;10;29;11;3;27076
3;27076;6;8;20;19;16;15;5;31;1;12;28;24;23;13;32;18;2;26;30;27;3;14;21;22;9;4;17;7;25;10;29;11
6;8;20;11;16;15;5;31;1;12;28;24;23;13;32;18;2;26;30;27;3;14;21;22;9;4;17;7;25;10;29;19;3;26818
3;26818;6;8;20;11;16;15;5;31;1;12;28;24;23;13;32;18;2;26;30;27;3;14;21;22;9;4;17;7;25;10;29;19
6;8;20;11;16;15;5;31;1;12;3;24;23;13;32;18;2;26;30;27;28;14;21;22;9;4;17;7;25;10;29;19;3;26024
3;26024;6;8;20;11;16;15;5;31;1;12;3;24;23;13;32;18;2;26;30;27;28;14;21;22;9;4;17;7;25;10;29;19
6;8;20;11;16;15;31;5;1;12;3;24;23;13;32;18;2;26;30;27;28;14;21;22;9;4;17;7;25;10;29;19;3;26278
3;26278;6;8;20;11;16;15;31;5;1;12;3;24;23;13;32;18;2;26;30;27;28;14;21;22;9;4;17;7;25;10;29;19
6;8;20;11;16;15;31;5;1;12;3;24;23;13;32;18;2;26;30;27;28;14;21;29;9;4;17;7;25;10;22;19;3;26318
3;26318;6;8;20;11;16;15;31;5;1;12;3;24;23;13;32;18;2;26;30;27;28;14;21;29;9;4;17;7;25;10;22;19
6;8;20;11;2;15;31;5;1;12;3;24;23;13;32;18;16;26;30;27;28;14;21;29;9;4;17;7;25;10;22;19;3;27058
3;27058;6;8;20;11;2;15;31;5;1;12;3;24;23;13;32;18;16;26;30;27;28;14;21;29;9;4;17;7;25;10;22;19
6;8;20;11;2;15;31;5;1;12;3;24;23;13;32;18;16;14;30;27;28;26;21;29;9;4;17;7;25;10;22;19;3;26898
3;26898;6;8;20;11;2;15;31;5;1;12;3;24;23;13;32;18;16;14;30;27;28;26;21;29;9;4;17;7;25;10;22;19
6;8;21;11;2;15;31;5;1;12;3;24;23;13;32;18;16;14;30;27;28;26;20;29;9;4;17;7;25;10;22;19;3;27538
3;27538;6;8;21;11;2;15;31;5;1;12;3;24;23;13;32;18;16;14;30;27;28;26;20;29;9;4;17;7;25;10;22;19
6;8;21;11;2;15;31;5;28;12;3;24;23;13;32;18;16;14;30;27;1;26;20;29;9;4;17;7;25;10;22;19;3;27166
3;27166;6;8;21;11;2;15;31;5;28;12;3;24;23;13;32;18;16;14;30;27;1;26;20;29;9;4;17;7;25;10;22;19
6;8;21;11;2;15;31;5;28;12;3;24;23;13;32;18;16;14;30;27;1;26;4;29;9;20;17;7;25;10;22;19;3;28408
3;28408;6;8;21;11;2;15;31;5;28;12;3;24;23;13;32;18;16;14;30;27;1;26;4;29;9;20;17;7;25;10;22;19
6;8;21;19;2;15;31;5;28;12;3;24;23;13;32;18;16;14;30;27;1;26;4;29;9;20;17;7;25;10;22;11;3;28378
3;28378;6;8;21;19;2;15;31;5;28;12;3;24;23;13;32;18;16;14;30;27;1;26;4;29;9;20;17;7;25;10;22;11
6;8;21;19;2;15;31;5;28;12;3;24;9;13;32;18;16;14;30;27;1;26;4;29;23;20;17;7;25;10;22;11;3;28874
3;28874;6;8;21;19;2;15;31;5;28;12;3;24;9;13;32;18;16;14;30;27;1;26;4;29;23;20;17;7;25;10;22;11
6;8;21;19;2;15;31;5;28;12;3;24;26;13;32;18;16;14;30;27;1;9;4;29;23;20;17;7;25;10;22;11;3;28544
3;28544;6;8;21;19;2;15;31;5;28;12;3;24;26;13;32;18;16;14;30;27;1;9;4;29;23;20;17;7;25;10;22;11
6;8;21;19;2;15;31;5;28;12;3;24;26;13;32;18;16;14;30;25;1;9;4;29;23;20;17;7;27;10;22;11;3;28904
3;28904;6;8;21;19;2;15;31;5;28;12;3;24;26;13;32;18;16;14;30;25;1;9;4;29;23;20;17;7;27;10;22;11
6;8;21;19;2;15;31;25;28;12;3;24;26;13;32;18;16;14;30;5;1;9;4;29;23;20;17;7;27;10;22;11;3;29300
3;29300;6;8;21;19;2;15;31;25;28;12;3;24;26;13;32;18;16;14;30;5;1;9;4;29;23;20;17;7;27;10;22;11
6;8;21;19;2;15;31;25;28;12;3;24;26;13;32;18;16;14;30;5;1;20;4;29;23;9;17;7;27;10;22;11;3;28386
3;28386;6;8;21;19;2;15;31;25;28;12;3;24;26;13;32;18;16;14;30;5;1;20;4;29;23;9;17;7;27;10;22;11
6;8;21;19;2;23;31;25;28;12;3;24;26;13;32;18;16;14;30;5;1;20;4;29;15;9;17;7;27;10;22;11;3;27460
3;27460;6;8;21;19;2;23;31;25;28;12;3;24;26;13;32;18;16;14;30;5;1;20;4;29;15;9;17;7;27;10;22;11
6;8;17;19;2;23;31;25;28;12;3;24;26;13;32;18;16;14;30;5;1;20;4;29;15;9;21;7;27;10;22;11;3;27520
4;27520;6;8;17;19;2;23;31;25;28;12;3;24;26;13;32;18;16;14;30;5;1;20;4;29;15;9;21;7;27;10;22;11
30;8;17;19;2;23;31;25;28;12;3;24;26;13;32;18;16;14;6;5;1;20;4;29;15;9;21;7;27;10;22;11;4;28148
