"X1";"X27466";"X5";"X3";"X20";"X13";"X19";"X9";"X16";"X32";"X7";"X8";"X25";"X4";"X29";"X17";"X23";"X2";"X6";"X1.1";"X15";"X31";"X27";"X26";"X21";"X18";"X30";"X11";"X14";"X10";"X28";"X12";"X24";"X22"
1;27466;5;3;20;13;19;9;16;32;7;8;25;4;29;17;23;2;6;1;15;31;27;26;21;18;30;11;14;10;28;12;24;22
5;3;20;13;19;9;16;32;7;8;25;4;29;17;23;2;6;21;15;31;27;26;1;18;30;11;14;10;28;12;24;22;1;27834
1;27834;5;3;20;13;19;9;16;32;7;8;25;4;29;17;23;2;6;21;15;31;27;26;1;18;30;11;14;10;28;12;24;22
5;3;20;13;19;9;16;32;7;8;25;4;29;17;23;2;6;21;30;31;27;26;1;18;15;11;14;10;28;12;24;22;1;27782
1;27782;5;3;20;13;19;9;16;32;7;8;25;4;29;17;23;2;6;21;30;31;27;26;1;18;15;11;14;10;28;12;24;22
5;3;20;13;19;9;16;32;7;8;25;4;29;17;23;2;6;21;30;31;26;27;1;18;15;11;14;10;28;12;24;22;1;27902
1;27902;5;3;20;13;19;9;16;32;7;8;25;4;29;17;23;2;6;21;30;31;26;27;1;18;15;11;14;10;28;12;24;22
5;3;24;13;19;9;16;32;7;8;25;4;29;17;23;2;6;21;30;31;26;27;1;18;15;11;14;10;28;12;20;22;1;27682
1;27682;5;3;24;13;19;9;16;32;7;8;25;4;29;17;23;2;6;21;30;31;26;27;1;18;15;11;14;10;28;12;20;22
5;3;24;13;19;9;16;32;7;8;25;4;29;17;23;2;6;26;30;31;21;27;1;18;15;11;14;10;28;12;20;22;1;27722
1;27722;5;3;24;13;19;9;16;32;7;8;25;4;29;17;23;2;6;26;30;31;21;27;1;18;15;11;14;10;28;12;20;22
5;3;24;13;19;9;16;32;7;8;25;4;29;17;23;2;6;12;30;31;21;27;1;18;15;11;14;10;28;26;20;22;1;27972
1;27972;5;3;24;13;19;9;16;32;7;8;25;4;29;17;23;2;6;12;30;31;21;27;1;18;15;11;14;10;28;26;20;22
12;3;24;13;19;9;16;32;7;8;25;4;29;17;23;2;6;5;30;31;21;27;1;18;15;11;14;10;28;26;20;22;1;27732
1;27732;12;3;24;13;19;9;16;32;7;8;25;4;29;17;23;2;6;5;30;31;21;27;1;18;15;11;14;10;28;26;20;22
12;3;24;27;19;9;16;32;7;8;25;4;29;17;23;2;6;5;30;31;21;13;1;18;15;11;14;10;28;26;20;22;1;27424
1;27424;12;3;24;27;19;9;16;32;7;8;25;4;29;17;23;2;6;5;30;31;21;13;1;18;15;11;14;10;28;26;20;22
12;3;24;27;19;9;16;32;7;8;25;4;29;11;23;2;6;5;30;31;21;13;1;18;15;17;14;10;28;26;20;22;1;28636
1;28636;12;3;24;27;19;9;16;32;7;8;25;4;29;11;23;2;6;5;30;31;21;13;1;18;15;17;14;10;28;26;20;22
12;3;24;27;19;9;16;32;7;8;25;4;29;11;23;2;6;5;30;31;21;13;1;18;20;17;14;10;28;26;15;22;1;28212
1;28212;12;3;24;27;19;9;16;32;7;8;25;4;29;11;23;2;6;5;30;31;21;13;1;18;20;17;14;10;28;26;15;22
12;3;24;27;19;9;16;32;22;8;25;4;29;11;23;2;6;5;30;31;21;13;1;18;20;17;14;10;28;26;15;7;1;28554
1;28554;12;3;24;27;19;9;16;32;22;8;25;4;29;11;23;2;6;5;30;31;21;13;1;18;20;17;14;10;28;26;15;7
12;3;24;27;19;9;16;32;22;11;25;4;29;8;23;2;6;5;30;31;21;13;1;18;20;17;14;10;28;26;15;7;1;28554
1;28554;12;3;24;27;19;9;16;32;22;11;25;4;29;8;23;2;6;5;30;31;21;13;1;18;20;17;14;10;28;26;15;7
12;3;24;27;19;9;22;32;16;11;25;4;29;8;23;2;6;5;30;31;21;13;1;18;20;17;14;10;28;26;15;7;1;27550
1;27550;12;3;24;27;19;9;22;32;16;11;25;4;29;8;23;2;6;5;30;31;21;13;1;18;20;17;14;10;28;26;15;7
