"X1";"X26530";"X10";"X31";"X1.1";"X29";"X23";"X14";"X32";"X22";"X19";"X15";"X25";"X7";"X17";"X2";"X9";"X20";"X18";"X12";"X24";"X6";"X5";"X11";"X21";"X16";"X8";"X3";"X30";"X13";"X26";"X28";"X27";"X4"
1;26530;10;31;1;29;23;14;32;22;19;15;25;7;17;2;9;20;18;12;24;6;5;11;21;16;8;3;30;13;26;28;27;4
10;31;1;29;16;14;32;22;19;15;25;7;17;2;9;20;18;12;24;6;5;11;21;23;8;3;30;13;26;28;27;4;1;27236
1;27236;10;31;1;29;16;14;32;22;19;15;25;7;17;2;9;20;18;12;24;6;5;11;21;23;8;3;30;13;26;28;27;4
10;31;1;29;16;14;32;22;15;19;25;7;17;2;9;20;18;12;24;6;5;11;21;23;8;3;30;13;26;28;27;4;1;28152
1;28152;10;31;1;29;16;14;32;22;15;19;25;7;17;2;9;20;18;12;24;6;5;11;21;23;8;3;30;13;26;28;27;4
10;31;1;29;16;14;32;22;7;19;25;15;17;2;9;20;18;12;24;6;5;11;21;23;8;3;30;13;26;28;27;4;1;28152
1;28152;10;31;1;29;16;14;32;22;7;19;25;15;17;2;9;20;18;12;24;6;5;11;21;23;8;3;30;13;26;28;27;4
10;31;1;29;16;14;32;2;7;19;25;15;17;22;9;20;18;12;24;6;5;11;21;23;8;3;30;13;26;28;27;4;1;28708
1;28708;10;31;1;29;16;14;32;2;7;19;25;15;17;22;9;20;18;12;24;6;5;11;21;23;8;3;30;13;26;28;27;4
10;31;1;29;16;14;19;2;7;32;25;15;17;22;9;20;18;12;24;6;5;11;21;23;8;3;30;13;26;28;27;4;1;27748
1;27748;10;31;1;29;16;14;19;2;7;32;25;15;17;22;9;20;18;12;24;6;5;11;21;23;8;3;30;13;26;28;27;4
10;31;1;11;16;14;19;2;7;32;25;15;17;22;9;20;18;12;24;6;5;29;21;23;8;3;30;13;26;28;27;4;1;27388
1;27388;10;31;1;11;16;14;19;2;7;32;25;15;17;22;9;20;18;12;24;6;5;29;21;23;8;3;30;13;26;28;27;4
27;31;1;11;16;14;19;2;7;32;25;15;17;22;9;20;18;12;24;6;5;29;21;23;8;3;30;13;26;28;10;4;1;27532
1;27532;27;31;1;11;16;14;19;2;7;32;25;15;17;22;9;20;18;12;24;6;5;29;21;23;8;3;30;13;26;28;10;4
27;31;1;11;16;14;19;2;7;32;25;15;20;22;9;17;18;12;24;6;5;29;21;23;8;3;30;13;26;28;10;4;1;28092
1;28092;27;31;1;11;16;14;19;2;7;32;25;15;20;22;9;17;18;12;24;6;5;29;21;23;8;3;30;13;26;28;10;4
27;31;1;11;16;14;19;2;7;32;25;15;20;22;9;17;18;12;24;23;5;29;21;6;8;3;30;13;26;28;10;4;1;28104
1;28104;27;31;1;11;16;14;19;2;7;32;25;15;20;22;9;17;18;12;24;23;5;29;21;6;8;3;30;13;26;28;10;4
27;31;1;11;16;14;19;2;7;32;25;15;20;22;9;17;18;12;24;23;5;29;21;6;4;3;30;13;26;28;10;8;1;28104
1;28104;27;31;1;11;16;14;19;2;7;32;25;15;20;22;9;17;18;12;24;23;5;29;21;6;4;3;30;13;26;28;10;8
27;31;1;11;13;14;19;2;7;32;25;15;20;22;9;17;18;12;24;23;5;29;21;6;4;3;30;16;26;28;10;8;1;27124
1;27124;27;31;1;11;13;14;19;2;7;32;25;15;20;22;9;17;18;12;24;23;5;29;21;6;4;3;30;16;26;28;10;8
27;31;1;11;13;14;19;2;7;32;25;15;23;22;9;17;18;12;24;20;5;29;21;6;4;3;30;16;26;28;10;8;1;27044
1;27044;27;31;1;11;13;14;19;2;7;32;25;15;23;22;9;17;18;12;24;20;5;29;21;6;4;3;30;16;26;28;10;8
27;31;1;11;13;14;19;2;7;32;25;15;23;22;9;17;18;12;24;20;5;29;21;6;16;3;30;4;26;28;10;8;1;27484
1;27484;27;31;1;11;13;14;19;2;7;32;25;15;23;22;9;17;18;12;24;20;5;29;21;6;16;3;30;4;26;28;10;8
27;13;1;11;31;14;19;2;7;32;25;15;23;22;9;17;18;12;24;20;5;29;21;6;16;3;30;4;26;28;10;8;1;27484
1;27484;27;13;1;11;31;14;19;2;7;32;25;15;23;22;9;17;18;12;24;20;5;29;21;6;16;3;30;4;26;28;10;8
22;13;1;11;31;14;19;2;7;32;25;15;23;27;9;17;18;12;24;20;5;29;21;6;16;3;30;4;26;28;10;8;1;27044
1;27044;22;13;1;11;31;14;19;2;7;32;25;15;23;27;9;17;18;12;24;20;5;29;21;6;16;3;30;4;26;28;10;8
22;13;1;11;31;14;19;2;7;32;25;15;23;27;20;17;18;12;24;9;5;29;21;6;16;3;30;4;26;28;10;8;1;27266
1;27266;22;13;1;11;31;14;19;2;7;32;25;15;23;27;20;17;18;12;24;9;5;29;21;6;16;3;30;4;26;28;10;8
22;13;1;11;31;14;19;2;7;32;25;15;23;27;20;17;18;12;24;8;5;29;21;6;16;3;30;4;26;28;10;9;1;27466
1;27466;22;13;1;11;31;14;19;2;7;32;25;15;23;27;20;17;18;12;24;8;5;29;21;6;16;3;30;4;26;28;10;9
22;13;1;11;31;14;19;2;7;32;25;4;23;27;20;17;18;12;24;8;5;29;21;6;16;3;30;15;26;28;10;9;1;27866
1;27866;22;13;1;11;31;14;19;2;7;32;25;4;23;27;20;17;18;12;24;8;5;29;21;6;16;3;30;15;26;28;10;9
22;13;1;11;31;14;19;2;7;32;25;4;23;27;18;17;20;12;24;8;5;29;21;6;16;3;30;15;26;28;10;9;1;28306
1;28306;22;13;1;11;31;14;19;2;7;32;25;4;23;27;18;17;20;12;24;8;5;29;21;6;16;3;30;15;26;28;10;9
22;13;1;11;31;14;19;2;7;32;25;4;23;27;18;17;20;12;5;8;24;29;21;6;16;3;30;15;26;28;10;9;1;28244
2;28244;22;13;1;11;31;14;19;2;7;32;25;4;23;27;18;17;20;12;5;8;24;29;21;6;16;3;30;15;26;28;10;9
